,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
91,Troy Brown,SF,19,WAS,52,10,730,6.3,15.2,.415,1.4,4.5,.319,4.9,10.7,.455,2.1,3.0,.681,2.3,7.1,9.4,5.2,1.4,0.3,1.9,3.6,16.1,,105,115,https://www.basketball-reference.com/players/b/browntr01.html
92,Jalen Brunson,PG,22,DAL,73,38,1591,8.0,17.2,.467,1.9,5.5,.348,6.1,11.7,.523,2.7,3.7,.725,0.8,4.4,5.2,7.0,1.1,0.1,2.7,3.9,20.7,,110,114,https://www.basketball-reference.com/players/b/brunsja01.html
93,Thomas Bryant,C,21,WAS,72,53,1496,9.8,15.9,.616,1.0,3.1,.333,8.7,12.8,.685,3.4,4.3,.781,3.6,10.8,14.4,2.9,0.8,2.1,1.9,4.0,24.0,,130,112,https://www.basketball-reference.com/players/b/bryanth01.html
94,Reggie Bullock,SG,27,TOT,63,60,1879,6.3,15.3,.412,3.8,10.1,.377,2.5,5.2,.483,1.9,2.2,.859,0.6,3.9,4.5,3.3,1.0,0.3,1.7,2.8,18.4,,111,113,https://www.basketball-reference.com/players/b/bullore01.html
95,Reggie Bullock,SG,27,DET,44,44,1355,6.6,16.0,.413,4.1,10.7,.388,2.5,5.3,.463,2.0,2.3,.875,0.7,3.7,4.5,4.0,0.9,0.2,2.0,2.9,19.4,,113,113,https://www.basketball-reference.com/players/b/bullore01.html
96,Reggie Bullock,SG,27,LAL,19,16,524,5.6,13.6,.412,3.0,8.8,.343,2.6,4.8,.537,1.5,1.9,.810,0.2,4.3,4.4,1.8,1.4,0.6,1.0,2.7,15.7,,107,112,https://www.basketball-reference.com/players/b/bullore01.html
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 97
98,Trey Burke,PG,26,TOT,58,8,1125,10.1,23.5,.431,2.4,6.8,.352,7.7,16.7,.463,4.4,5.3,.831,1.2,3.0,4.3,6.8,1.4,0.3,2.1,2.5,27.1,,110,116,https://www.basketball-reference.com/players/b/burketr01.html
99,Trey Burke,PG,26,NYK,33,7,689,10.4,25.0,.413,2.1,6.0,.349,8.3,19.0,.434,4.3,5.2,.827,1.0,3.3,4.3,6.6,1.5,0.3,2.0,2.3,27.1,,106,117,https://www.basketball-reference.com/players/b/burketr01.html
100,Trey Burke,PG,26,DAL,25,1,436,9.8,21.1,.463,2.9,8.1,.356,6.9,13.0,.530,4.6,5.5,.837,1.4,2.7,4.1,7.2,1.3,0.2,2.2,2.8,27.0,,119,114,https://www.basketball-reference.com/players/b/burketr01.html
101,Alec Burks,SG,27,TOT,64,24,1375,6.8,16.9,.405,2.2,6.0,.363,4.7,10.9,.428,4.1,5.0,.823,1.1,7.3,8.4,4.6,1.4,0.7,2.3,3.2,20.0,,106,114,https://www.basketball-reference.com/players/b/burksal01.html
102,Alec Burks,SG,27,UTA,17,0,269,8.4,20.3,.412,2.8,7.6,.372,5.5,12.6,.437,5.9,6.8,.868,0.4,4.4,4.8,3.6,1.1,0.7,2.7,3.9,25.4,,106,109,https://www.basketball-reference.com/players/b/burksal01.html
103,Alec Burks,SG,27,CLE,34,24,979,6.9,17.2,.400,2.3,6.0,.378,4.6,11.2,.412,4.0,5.0,.806,1.3,8.1,9.4,5.0,1.3,0.8,2.3,3.1,20.1,,107,117,https://www.basketball-reference.com/players/b/burksal01.html
104,Alec Burks,SG,27,SAC,13,0,127,3.3,7.3,.450,0.0,2.2,.000,3.3,5.1,.643,1.5,1.8,.800,0.7,7.3,8.1,3.7,2.9,0.4,1.5,2.6,8.1,,103,109,https://www.basketball-reference.com/players/b/burksal01.html
105,Deonte Burton,SG,25,OKC,32,0,240,6.4,15.9,.402,1.6,5.3,.296,4.9,10.7,.455,1.6,2.3,.667,0.8,4.7,5.4,1.8,1.2,1.6,1.8,6.0,15.9,,94,109,https://www.basketball-reference.com/players/b/burtode02.html
106,Jimmy Butler,SF-SG,29,TOT,65,65,2185,9.1,19.6,.462,1.5,4.2,.347,7.6,15.4,.494,6.8,7.9,.855,2.6,4.8,7.4,5.7,2.7,0.8,2.1,2.4,26.3,,121,110,https://www.basketball-reference.com/players/b/butleji01.html
107,Jimmy Butler,SG,29,MIN,10,10,361,9.8,20.8,.471,2.3,6.0,.378,7.6,14.9,.509,6.4,8.1,.787,2.1,4.8,6.9,5.7,3.2,1.3,1.9,2.4,28.3,,122,111,https://www.basketball-reference.com/players/b/butleji01.html
108,Jimmy Butler,SF,29,PHI,55,55,1824,8.9,19.3,.461,1.3,3.8,.338,7.6,15.5,.491,6.8,7.9,.868,2.7,4.8,7.5,5.7,2.6,0.8,2.1,2.4,25.9,,120,109,https://www.basketball-reference.com/players/b/butleji01.html
109,Bruno Caboclo,SF,23,MEM,34,19,800,6.0,14.0,.427,3.0,8.1,.369,3.0,5.9,.505,2.6,3.1,.840,2.6,7.2,9.8,3.1,0.9,2.1,2.4,5.0,17.5,,109,109,https://www.basketball-reference.com/players/c/cabocbr01.html
110,José Calderón,PG,37,DET,49,0,632,3.5,9.4,.375,1.1,4.4,.246,2.4,4.9,.492,0.7,0.9,.818,0.9,3.8,4.7,9.0,1.2,0.2,2.7,5.0,8.8,,102,112,https://www.basketball-reference.com/players/c/caldejo01.html
111,Kentavious Caldwell-Pope,SG,25,LAL,82,23,2035,7.4,17.3,.430,3.5,9.9,.347,4.0,7.3,.542,3.1,3.6,.867,1.1,4.3,5.4,2.5,1.7,0.3,1.5,3.1,21.4,,113,112,https://www.basketball-reference.com/players/c/caldwke01.html
112,Isaiah Canaan,PG,27,TOT,30,16,629,4.9,12.4,.390,2.6,7.3,.354,2.3,5.2,.441,1.4,1.8,.792,0.5,3.9,4.4,6.4,1.1,0.2,2.7,3.9,13.7,,102,118,https://www.basketball-reference.com/players/c/canaais01.html
113,Isaiah Canaan,PG,27,PHO,19,15,503,4.8,12.2,.395,2.4,6.8,.347,2.5,5.4,.456,1.4,1.9,.750,0.5,4.2,4.7,5.9,1.1,0.0,2.8,4.4,13.5,,100,119,https://www.basketball-reference.com/players/c/canaais01.html
114,Isaiah Canaan,PG,27,MIN,7,1,95,5.5,14.6,.379,3.5,9.6,.368,2.0,5.0,.400,2.0,2.0,1.000,0.0,2.5,2.5,9.6,1.0,0.5,2.0,2.0,16.6,,117,118,https://www.basketball-reference.com/players/c/canaais01.html
115,Isaiah Canaan,PG,27,MIL,4,0,31,3.0,9.0,.333,3.0,7.5,.400,0.0,1.5,.000,0.0,0.0,,1.5,4.5,6.0,4.5,0.0,1.5,3.0,3.0,9.0,,95,110,https://www.basketball-reference.com/players/c/canaais01.html
116,Clint Capela,C,24,HOU,67,67,2249,10.3,16.0,.648,0.0,0.0,,10.3,16.0,.648,3.6,5.7,.636,6.5,12.0,18.5,2.1,1.0,2.2,2.1,3.7,24.3,,133,108,https://www.basketball-reference.com/players/c/capelca01.html
117,DeMarre Carroll,PF,32,BRK,67,8,1703,6.3,16.1,.395,3.0,8.7,.342,3.4,7.4,.457,5.1,6.8,.760,1.9,7.9,9.8,2.4,0.9,0.3,2.0,3.2,20.8,,110,111,https://www.basketball-reference.com/players/c/carrode01.html
118,Jevon Carter,PG,23,MEM,39,3,577,4.8,15.9,.303,2.9,8.8,.333,1.9,7.1,.265,2.2,2.8,.813,1.2,4.5,5.7,5.9,2.2,0.9,2.8,4.7,14.8,,90,109,https://www.basketball-reference.com/players/c/carteje01.html
119,Vince Carter,PF,42,ATL,76,9,1330,6.8,16.3,.419,4.3,11.0,.389,2.5,5.3,.480,1.6,2.3,.712,1.1,5.7,6.7,3.0,1.5,0.9,1.7,4.9,19.5,,112,115,https://www.basketball-reference.com/players/c/cartevi01.html
120,Wendell Carter,C,19,CHI,44,44,1110,7.9,16.2,.485,0.3,1.4,.188,7.6,14.8,.513,3.9,4.9,.795,3.8,9.6,13.4,3.4,1.1,2.5,2.8,6.6,19.9,,107,110,https://www.basketball-reference.com/players/c/cartewe01.html
121,Michael Carter-Williams,PG,27,TOT,28,1,372,6.1,16.2,.374,1.3,5.0,.263,4.7,11.2,.424,4.2,7.0,.604,2.5,6.7,9.2,9.2,2.6,2.0,2.6,6.3,17.6,,106,106,https://www.basketball-reference.com/players/c/cartemi01.html
122,Michael Carter-Williams,PG,27,HOU,16,1,145,8.5,20.6,.410,2.4,6.4,.368,6.1,14.2,.429,4.1,8.8,.462,1.0,3.4,4.4,7.1,3.0,2.0,3.4,9.1,23.3,,99,109,https://www.basketball-reference.com/players/c/cartemi01.html
123,Michael Carter-Williams,PG,27,ORL,12,0,227,4.5,13.4,.339,0.6,4.1,.158,3.9,9.3,.419,4.3,5.8,.741,3.4,8.8,12.3,10.6,2.4,1.9,2.2,4.5,14.0,,111,104,https://www.basketball-reference.com/players/c/cartemi01.html
124,Alex Caruso,PG,24,LAL,25,4,531,6.7,15.2,.445,2.1,4.4,.480,4.6,10.8,.431,4.5,5.6,.797,1.8,4.1,5.9,6.7,2.1,0.8,3.7,4.7,20.1,,109,110,https://www.basketball-reference.com/players/c/carusal01.html
125,Omri Casspi,SF,30,MEM,36,0,520,8.2,15.4,.534,1.4,4.1,.349,6.8,11.3,.602,3.7,5.5,.672,1.6,9.4,11.0,2.5,1.9,0.9,2.2,3.3,21.6,,112,107,https://www.basketball-reference.com/players/c/casspom01.html
126,Willie Cauley-Stein,C,25,SAC,81,81,2213,8.7,15.6,.556,0.0,0.0,.500,8.6,15.5,.556,2.9,5.3,.551,3.8,10.5,14.3,4.1,2.0,1.1,1.8,4.8,20.3,,118,108,https://www.basketball-reference.com/players/c/caulewi01.html
127,Troy Caupain,PG,23,ORL,4,0,16,12.2,24.5,.500,6.1,9.2,.667,6.1,15.3,.400,0.0,0.0,,3.1,6.1,9.2,12.2,3.1,0.0,0.0,0.0,30.6,,144,107,https://www.basketball-reference.com/players/c/caupatr01.html
128,Tyler Cavanaugh,PF,24,UTA,11,0,39,3.7,12.3,.300,1.2,6.1,.200,2.5,6.1,.400,2.5,2.5,1.000,3.7,6.1,9.8,1.2,0.0,0.0,1.2,3.7,11.0,,97,112,https://www.basketball-reference.com/players/c/cavanty01.html
129,Tyson Chandler,C,36,TOT,55,6,875,3.3,5.3,.616,0.0,0.1,.000,3.3,5.2,.622,2.7,4.6,.586,4.9,11.5,16.4,2.0,1.1,1.2,2.2,5.9,9.2,,120,108,https://www.basketball-reference.com/players/c/chandty01.html
130,Tyson Chandler,C,36,PHO,7,0,89,4.3,6.4,.667,0.0,0.0,,4.3,6.4,.667,5.4,9.7,.556,3.8,17.2,20.9,3.2,1.1,0.5,3.8,11.3,13.9,,111,110,https://www.basketball-reference.com/players/c/chandty01.html
131,Tyson Chandler,C,36,LAL,48,6,786,3.1,5.2,.609,0.0,0.1,.000,3.1,5.1,.616,2.4,4.1,.594,5.0,10.8,15.9,1.8,1.1,1.3,2.1,5.3,8.7,,121,108,https://www.basketball-reference.com/players/c/chandty01.html
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 132
133,Wilson Chandler,PF-SF,31,TOT,51,33,1177,4.6,11.0,.418,2.4,6.3,.373,2.2,4.6,.478,0.7,1.0,.720,1.9,6.7,8.6,3.3,1.0,0.8,1.8,4.9,12.2,,107,112,https://www.basketball-reference.com/players/c/chandwi01.html
134,Wilson Chandler,PF,31,PHI,36,32,951,4.5,10.3,.440,2.3,5.9,.390,2.2,4.4,.506,0.6,0.9,.722,2.2,6.2,8.3,3.6,1.1,0.9,1.9,4.7,12.0,,111,112,https://www.basketball-reference.com/players/c/chandwi01.html
135,Wilson Chandler,SF,31,LAC,15,1,226,4.8,13.8,.348,2.7,8.4,.325,2.1,5.4,.385,1.0,1.5,.714,0.8,9.0,9.8,2.1,0.6,0.6,1.5,6.1,13.4,,94,112,https://www.basketball-reference.com/players/c/chandwi01.html
136,Joe Chealey,PG,23,CHO,1,0,8,6.1,18.2,.333,0.0,0.0,,6.1,18.2,.333,0.0,0.0,,0.0,0.0,0.0,6.1,0.0,0.0,0.0,6.1,12.2,,86,121,https://www.basketball-reference.com/players/c/chealjo01.html
137,Chris Chiozza,PG,23,HOU,7,0,33,3.0,11.9,.250,3.0,7.4,.400,0.0,4.5,.000,0.0,0.0,,1.5,4.5,5.9,5.9,1.5,1.5,1.5,3.0,8.9,,97,112,https://www.basketball-reference.com/players/c/chiozch01.html
138,Marquese Chriss,PF,21,TOT,43,2,499,6.7,17.9,.372,1.6,7.1,.222,5.1,10.7,.472,3.2,4.5,.711,4.0,10.1,14.1,2.2,1.7,1.1,3.6,8.0,18.1,,92,113,https://www.basketball-reference.com/players/c/chrisma01.html
139,Marquese Chriss,PF,21,HOU,16,0,104,5.2,16.0,.324,0.5,7.1,.067,4.7,9.0,.526,2.8,3.3,.857,3.3,9.9,13.2,2.8,0.9,1.9,5.7,8.0,13.7,,75,109,https://www.basketball-reference.com/players/c/chrisma01.html
140,Marquese Chriss,PF,21,CLE,27,2,395,7.0,18.4,.384,1.9,7.2,.263,5.2,11.2,.461,3.3,4.8,.684,4.1,10.2,14.3,2.0,1.9,0.9,3.0,8.0,19.2,,96,114,https://www.basketball-reference.com/players/c/chrisma01.html
141,Gary Clark,PF,24,HOU,51,2,641,3.8,11.6,.331,3.1,10.6,.297,0.7,1.0,.692,0.5,0.5,1.000,1.8,7.0,8.9,1.4,1.5,2.0,0.5,3.6,11.3,,108,110,https://www.basketball-reference.com/players/c/clarkga01.html
142,Ian Clark,SG,27,NOP,60,6,973,7.2,18.3,.394,3.2,9.6,.327,4.1,8.6,.470,1.6,1.8,.892,0.6,3.6,4.3,4.5,1.1,0.4,2.8,4.5,19.2,,98,116,https://www.basketball-reference.com/players/c/clarkia01.html
143,Jordan Clarkson,SG,26,CLE,81,0,2214,11.9,26.5,.448,3.2,10.0,.324,8.6,16.5,.524,3.6,4.3,.844,1.8,4.2,6.1,4.4,1.3,0.3,3.0,2.5,30.6,,107,119,https://www.basketball-reference.com/players/c/clarkjo01.html
144,John Collins,PF,21,ATL,61,59,1829,11.7,21.0,.560,1.4,4.0,.348,10.4,17.0,.609,5.1,6.7,.763,5.5,9.5,15.0,3.1,0.6,1.0,3.0,5.0,30.0,,122,115,https://www.basketball-reference.com/players/c/collijo01.html
145,Zach Collins,C,21,POR,77,0,1356,6.8,14.3,.473,1.4,4.3,.331,5.3,10.0,.534,3.4,4.5,.746,3.9,7.7,11.6,2.5,0.9,2.4,2.8,6.2,18.3,,112,110,https://www.basketball-reference.com/players/c/colliza01.html
146,Darren Collison,PG,31,IND,76,76,2143,7.0,15.0,.467,1.8,4.4,.407,5.2,10.6,.492,3.6,4.3,.832,0.8,4.5,5.3,10.5,2.5,0.2,2.9,3.1,19.5,,118,108,https://www.basketball-reference.com/players/c/collida01.html
147,Bonzie Colson,SF,23,MIL,8,2,98,6.2,18.5,.333,2.4,10.0,.238,3.8,8.5,.444,3.8,4.3,.889,3.8,10.4,14.2,1.4,2.4,0.5,1.4,1.4,18.5,,100,103,https://www.basketball-reference.com/players/c/colsobo01.html
148,Mike Conley,PG,31,MEM,70,70,2342,10.4,23.8,.438,3.3,9.0,.364,7.1,14.7,.483,7.3,8.6,.845,0.8,4.2,5.1,9.5,2.0,0.5,2.8,2.6,31.4,,117,111,https://www.basketball-reference.com/players/c/conlemi01.html
149,Pat Connaughton,SG,26,MIL,61,2,1261,6.0,12.9,.466,2.4,7.4,.330,3.6,5.5,.647,1.1,1.5,.725,2.2,7.3,9.5,4.5,1.2,0.9,1.2,3.0,15.5,,122,107,https://www.basketball-reference.com/players/c/connapa01.html
150,Quinn Cook,PG,25,GSW,74,10,1059,9.2,19.7,.465,3.6,9.0,.405,5.5,10.7,.515,0.9,1.2,.769,1.0,6.1,7.1,5.2,0.9,0.1,2.2,4.1,22.9,,110,113,https://www.basketball-reference.com/players/c/cookqu01.html
151,DeMarcus Cousins,C,28,GSW,30,30,771,11.0,22.9,.480,1.6,5.9,.274,9.4,17.0,.551,6.5,8.9,.736,2.7,12.6,15.2,6.6,2.5,2.7,4.4,6.7,30.1,,109,102,https://www.basketball-reference.com/players/c/couside01.html
152,Robert Covington,SF,28,TOT,35,35,1203,6.2,14.3,.431,3.4,8.9,.378,2.8,5.4,.518,2.7,3.5,.764,1.1,6.5,7.6,1.8,2.9,1.9,1.9,5.0,18.4,,110,108,https://www.basketball-reference.com/players/c/covinro01.html
153,Robert Covington,SF,28,PHI,13,13,440,5.4,12.6,.427,3.2,8.3,.390,2.1,4.3,.500,1.8,2.5,.739,0.8,6.4,7.2,1.5,2.6,2.5,2.4,4.8,15.8,,102,106,https://www.basketball-reference.com/players/c/covinro01.html
154,Robert Covington,SF,28,MIN,22,22,763,6.7,15.4,.433,3.5,9.3,.372,3.2,6.1,.526,3.2,4.1,.773,1.3,6.6,7.9,2.0,3.1,1.5,1.6,5.1,20.0,,115,109,https://www.basketball-reference.com/players/c/covinro01.html
155,Allen Crabbe,SG,26,BRK,43,20,1133,5.8,15.7,.367,4.1,10.9,.378,1.6,4.8,.342,1.7,2.4,.732,0.7,5.5,6.2,1.9,1.0,0.5,1.9,4.3,17.4,,100,112,https://www.basketball-reference.com/players/c/crabbal01.html
156,Torrey Craig,SF,28,DEN,75,37,1503,5.2,11.8,.442,2.0,6.1,.324,3.2,5.7,.569,1.6,2.3,.700,2.9,5.7,8.6,2.4,1.2,1.5,1.4,5.7,14.1,,114,110,https://www.basketball-reference.com/players/c/craigto01.html
157,Jamal Crawford,SG,38,PHO,64,0,1211,6.9,17.3,.397,2.6,8.0,.332,4.2,9.3,.453,3.7,4.3,.845,0.3,3.0,3.4,9.0,1.3,0.5,3.9,3.0,20.0,,102,119,https://www.basketball-reference.com/players/c/crawfja01.html
158,Mitch Creek,SF,26,TOT,5,0,48,7.9,15.9,.500,0.0,2.0,.000,7.9,13.9,.571,5.0,7.0,.714,6.0,6.0,11.9,6.0,2.0,0.0,1.0,3.0,20.9,,129,111,https://www.basketball-reference.com/players/c/creekmi01.html
159,Mitch Creek,SF,26,BRK,4,0,36,6.6,13.2,.500,0.0,1.3,.000,6.6,11.9,.556,6.6,9.3,.714,6.6,6.6,13.2,6.6,1.3,0.0,0.0,4.0,19.8,,145,111,https://www.basketball-reference.com/players/c/creekmi01.html
160,Mitch Creek,SF,26,MIN,1,0,12,12.0,24.0,.500,0.0,4.0,.000,12.0,20.0,.600,0.0,0.0,,4.0,4.0,8.0,4.0,4.0,0.0,4.0,0.0,24.0,,96,111,https://www.basketball-reference.com/players/c/creekmi01.html
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 161
162,Jae Crowder,SF,28,UTA,80,11,2166,7.0,17.6,.399,3.8,11.5,.331,3.2,6.1,.527,3.1,4.4,.721,1.3,7.2,8.5,2.9,1.4,0.7,1.9,3.8,21.0,,107,107,https://www.basketball-reference.com/players/c/crowdja01.html
163,Dante Cunningham,PF,31,SAS,64,21,928,3.9,8.3,.475,1.6,3.4,.462,2.4,4.9,.484,0.7,0.9,.778,2.5,7.4,9.9,2.6,1.4,0.7,1.2,3.7,10.2,,121,111,https://www.basketball-reference.com/players/c/cunnida01.html
164,Seth Curry,SG,28,POR,74,2,1399,7.3,16.1,.456,3.9,8.7,.450,3.4,7.4,.463,1.5,1.8,.846,0.9,3.2,4.2,2.3,1.2,0.4,2.1,3.4,20.1,,113,114,https://www.basketball-reference.com/players/c/curryse01.html
165,Stephen Curry,PG,30,GSW,69,69,2331,12.9,27.3,.472,7.2,16.5,.437,5.7,10.8,.525,5.4,5.9,.916,0.9,6.6,7.5,7.4,1.9,0.5,3.9,3.4,38.4,,120,110,https://www.basketball-reference.com/players/c/curryst01.html
166,Troy Daniels,SG,27,PHO,51,1,760,7.1,17.3,.411,4.6,12.2,.381,2.5,5.1,.481,1.1,1.4,.783,0.8,3.8,4.6,1.6,1.6,0.3,1.7,5.0,20.0,,104,118,https://www.basketball-reference.com/players/d/danietr01.html
167,Anthony Davis,C,25,NOP,56,56,1850,13.3,25.8,.517,1.2,3.6,.331,12.1,22.1,.547,8.6,10.9,.794,4.4,12.5,16.9,5.5,2.2,3.4,2.8,3.3,36.5,,122,105,https://www.basketball-reference.com/players/d/davisan02.html
168,Deyonta Davis,C,22,ATL,9,0,118,5.9,8.6,.682,0.0,0.4,.000,5.9,8.2,.714,2.3,3.9,.600,3.9,10.2,14.1,2.0,1.2,2.0,1.2,4.7,14.1,,136,112,https://www.basketball-reference.com/players/d/davisde01.html
169,Ed Davis,C,29,BRK,81,1,1446,6.1,9.9,.616,0.0,0.1,.000,6.1,9.9,.620,3.3,5.3,.617,7.1,15.7,22.8,2.0,1.2,1.1,2.1,7.4,15.5,,129,105,https://www.basketball-reference.com/players/d/davised01.html
170,Tyler Davis,C,21,OKC,1,0,1,0.0,46.7,.000,0.0,0.0,,0.0,46.7,.000,0.0,0.0,,46.7,0.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,,65,116,https://www.basketball-reference.com/players/d/davisty01.html
171,Dewayne Dedmon,C,29,ATL,64,52,1609,7.4,15.1,.492,2.4,6.2,.382,5.1,8.9,.570,2.6,3.2,.814,3.0,10.8,13.8,2.6,2.0,2.0,2.4,6.1,19.9,,115,109,https://www.basketball-reference.com/players/d/dedmode01.html
172,Sam Dekker,PF,24,TOT,47,5,788,7.3,15.5,.469,1.2,3.8,.306,6.1,11.8,.521,1.7,2.8,.609,3.2,5.8,9.0,2.8,2.3,0.4,1.5,2.9,17.4,,109,114,https://www.basketball-reference.com/players/d/dekkesa01.html
173,Sam Dekker,PF,24,CLE,9,5,169,6.5,14.1,.458,1.5,3.8,.385,5.0,10.3,.486,2.4,2.9,.800,2.6,7.1,9.7,2.6,3.2,0.0,1.5,3.8,16.8,,114,114,https://www.basketball-reference.com/players/d/dekkesa01.html
174,Sam Dekker,PF,24,WAS,38,0,619,7.5,15.9,.471,1.1,3.7,.286,6.4,12.2,.528,1.5,2.8,.556,3.4,5.4,8.8,2.8,2.1,0.5,1.5,2.6,17.6,,108,114,https://www.basketball-reference.com/players/d/dekkesa01.html
175,Ángel Delgado,C,24,LAC,2,0,15,3.1,15.7,.200,0.0,0.0,,3.1,15.7,.200,3.1,6.3,.500,6.3,6.3,12.6,0.0,3.1,0.0,0.0,6.3,9.4,,78,109,https://www.basketball-reference.com/players/d/delgaan01.html
176,Matthew Dellavedova,PG,28,TOT,48,0,812,5.9,14.7,.405,2.7,7.9,.338,3.3,6.8,.482,2.5,3.2,.808,0.4,4.3,4.7,11.0,0.8,0.1,4.1,4.6,17.1,,107,119,https://www.basketball-reference.com/players/d/dellama01.html
177,Matthew Dellavedova,PG,28,MIL,12,0,97,2.9,9.1,.316,1.9,5.3,.364,1.0,3.8,.250,1.9,1.9,1.000,0.0,4.8,4.8,13.9,1.0,0.0,5.3,4.3,9.6,,99,110,https://www.basketball-reference.com/players/d/dellama01.html
178,Matthew Dellavedova,PG,28,CLE,36,0,715,6.4,15.5,.413,2.8,8.3,.336,3.6,7.2,.500,2.6,3.3,.792,0.4,4.2,4.7,10.6,0.8,0.1,4.0,4.6,18.2,,107,121,https://www.basketball-reference.com/players/d/dellama01.html
179,Luol Deng,SF,33,MIN,22,2,392,7.2,14.4,.500,1.7,5.4,.318,5.5,9.0,.608,3.1,4.3,.714,2.4,6.5,8.9,2.2,1.8,1.0,1.7,2.9,19.2,,117,113,https://www.basketball-reference.com/players/d/denglu01.html
180,DeMar DeRozan,SG,29,SAS,77,77,2688,11.5,23.9,.481,0.1,0.8,.156,11.3,23.0,.492,6.6,8.0,.830,1.0,7.4,8.4,8.6,1.6,0.7,3.6,3.2,29.7,,110,111,https://www.basketball-reference.com/players/d/derozde01.html
181,Marcus Derrickson,PF,22,GSW,11,0,67,11.4,23.4,.485,7.1,14.2,.500,4.3,9.2,.462,2.8,3.6,.800,5.7,3.6,9.2,0.7,0.0,0.7,2.1,6.4,32.7,,123,116,https://www.basketball-reference.com/players/d/derrima01.html
182,Cheick Diallo,PF,22,NOP,64,1,896,8.7,14.1,.620,0.1,0.2,.250,8.7,13.8,.625,2.6,3.5,.746,3.9,13.3,17.2,1.7,1.5,1.7,2.5,5.9,20.1,,119,108,https://www.basketball-reference.com/players/d/diallch01.html
183,Hamidou Diallo,SG,20,OKC,51,3,526,6.7,14.6,.455,0.4,2.1,.167,6.3,12.5,.504,3.2,5.2,.610,3.4,5.2,8.6,1.5,1.9,0.9,2.0,6.8,16.9,,103,108,https://www.basketball-reference.com/players/d/diallha01.html
184,Gorgui Dieng,C,29,MIN,76,2,1031,8.8,17.5,.501,0.9,2.6,.339,7.9,14.9,.530,4.1,4.9,.830,3.8,10.7,14.5,3.3,2.2,1.9,2.6,6.2,22.5,,114,108,https://www.basketball-reference.com/players/d/dienggo01.html
185,Spencer Dinwiddie,PG,25,BRK,68,4,1914,9.1,20.6,.442,3.1,9.2,.335,6.0,11.4,.528,7.1,8.9,.806,0.6,3.5,4.1,7.7,1.0,0.4,3.8,4.7,28.4,,114,113,https://www.basketball-reference.com/players/d/dinwisp01.html
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Error on row 186
187,Donte DiVincenzo,SG,22,MIL,27,0,411,5.7,14.0,.403,2.5,9.4,.265,3.2,4.6,.683,1.0,1.4,.750,1.8,5.5,7.3,3.5,1.5,0.7,2.1,4.3,14.8,,102,107,https://www.basketball-reference.com/players/d/divindo01.html
188,Luka Dončić,SG,19,DAL,72,72,2318,10.6,24.8,.427,3.5,10.8,.327,7.1,14.1,.503,7.2,10.1,.713,1.8,10.0,11.8,9.0,1.6,0.5,5.2,2.9,31.9,,107,109,https://www.basketball-reference.com/players/d/doncilu01.html
189,Tyler Dorsey,SG,22,TOT,48,11,698,7.4,18.3,.405,3.1,9.2,.333,4.4,9.2,.477,2.6,4.2,.623,1.9,6.0,7.8,3.9,1.0,0.1,1.9,3.7,20.5,,104,114,https://www.basketball-reference.com/players/d/dorsety01.html
190,Tyler Dorsey,SG,22,ATL,27,0,251,5.9,16.4,.360,1.8,7.2,.256,4.1,9.2,.440,2.9,4.8,.615,1.7,6.3,7.9,3.1,1.3,0.2,1.8,3.7,16.6,,96,116,https://www.basketball-reference.com/players/d/dorsety01.html
191,Tyler Dorsey,SG,22,MEM,21,11,447,8.3,19.5,.429,3.8,10.3,.366,4.6,9.1,.500,2.4,3.9,.629,2.0,5.8,7.8,4.3,0.8,0.1,1.9,3.7,22.9,,108,113,https://www.basketball-reference.com/players/d/dorsety01.html
192,Damyean Dotson,SG,24,NYK,73,40,2004,7.0,16.8,.415,3.0,8.2,.368,3.9,8.6,.461,1.8,2.4,.745,0.8,5.5,6.3,3.2,1.4,0.2,1.7,3.2,18.7,,105,116,https://www.basketball-reference.com/players/d/dotsoda01.html
193,PJ Dozier,SG,22,BOS,6,0,51,7.6,19.8,.381,1.9,7.6,.250,5.7,12.3,.462,0.9,1.9,.500,5.7,10.4,16.1,4.7,1.9,0.0,0.0,1.9,17.9,,112,107,https://www.basketball-reference.com/players/d/doziepj01.html
194,Goran Dragić,PG,32,MIA,36,22,991,8.8,21.3,.413,2.8,8.1,.348,6.0,13.3,.454,3.9,5.0,.782,1.0,4.5,5.5,8.6,1.5,0.2,3.5,4.0,24.4,,106,111,https://www.basketball-reference.com/players/d/dragigo01.html
195,Andre Drummond,C,25,DET,79,79,2647,10.4,19.6,.533,0.1,0.7,.132,10.4,18.9,.548,4.5,7.7,.590,7.9,15.1,22.9,2.1,2.5,2.6,3.3,5.1,25.5,,113,100,https://www.basketball-reference.com/players/d/drumman01.html
