,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
23,OG Anunoby,SF,21,TOR,67,6,1352,6.5,14.3,.453,2.4,7.2,.332,4.1,7.2,.574,1.3,2.2,.581,2.1,4.9,7.0,1.7,1.6,0.8,1.9,5.0,16.6,,104,109,https://www.basketball-reference.com/players/a/anunoog01.html
24,Ryan Arcidiacono,PG,24,CHI,81,32,1961,4.6,10.3,.447,2.0,5.4,.373,2.6,5.0,.527,2.2,2.5,.873,0.7,4.7,5.4,6.7,1.6,0.1,1.6,4.2,13.5,,121,115,https://www.basketball-reference.com/players/a/arcidry01.html
25,Trevor Ariza,SF,33,TOT,69,69,2349,5.9,14.9,.399,2.9,8.8,.334,3.0,6.1,.493,2.6,3.3,.793,1.0,6.5,7.5,5.1,1.8,0.4,2.1,2.6,17.5,,107,115,https://www.basketball-reference.com/players/a/arizatr01.html
26,Trevor Ariza,SF,33,PHO,26,26,884,4.6,12.3,.379,2.7,7.5,.360,1.9,4.8,.409,1.9,2.3,.837,0.9,7.0,7.8,4.7,2.1,0.4,2.1,2.4,13.9,,104,115,https://www.basketball-reference.com/players/a/arizatr01.html
27,Trevor Ariza,SF,33,WAS,43,43,1465,6.7,16.5,.409,3.1,9.5,.322,3.7,6.9,.528,3.0,3.9,.777,1.1,6.2,7.3,5.3,1.7,0.4,2.2,2.8,19.6,,109,115,https://www.basketball-reference.com/players/a/arizatr01.html
28,D.J. Augustin,PG,31,ORL,81,81,2269,6.9,14.6,.470,2.8,6.7,.421,4.0,7.9,.511,3.9,4.5,.866,0.9,3.5,4.4,9.2,1.1,0.1,2.8,2.5,20.4,,122,112,https://www.basketball-reference.com/players/a/augusdj01.html
29,Deandre Ayton,C,20,PHO,71,70,2183,11.1,19.0,.585,0.0,0.1,.000,11.1,18.9,.588,3.1,4.1,.746,4.9,11.1,15.9,2.7,1.3,1.5,2.8,4.6,25.4,,117,113,https://www.basketball-reference.com/players/a/aytonde01.html
30,Dwayne Bacon,SG,23,CHO,43,13,759,7.8,16.5,.475,2.4,5.6,.437,5.4,10.9,.494,2.2,2.9,.739,0.5,5.2,5.7,3.0,0.8,0.3,1.2,4.6,20.2,,114,116,https://www.basketball-reference.com/players/b/bacondw01.html
31,Marvin Bagley,PF,19,SAC,62,4,1567,10.6,21.0,.504,0.9,2.9,.313,9.7,18.1,.534,5.4,7.8,.691,4.8,9.2,14.0,1.8,1.0,1.8,2.9,3.6,27.4,,111,110,https://www.basketball-reference.com/players/b/baglema01.html
32,Ron Baker,SG,25,TOT,15,0,152,1.3,6.3,.200,0.3,4.1,.077,0.9,2.2,.429,1.6,1.9,.833,0.3,3.2,3.5,4.7,1.9,0.3,1.6,5.7,4.4,,79,116,https://www.basketball-reference.com/players/b/bakerro01.html
