,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,Tm18,G18,GS18,MP18,FG18,FGA18,FG%18,3P18,3PA18,3P%18,2P18,2PA18,2P%18,FT18,FTA18,FT%18,ORB18,DRB18,TRB18,AST18,STL18,BLK18,TOV18,PF18,PTS18,ORtg18,DRtg18,PER18,TS%18,3PAr18,FTr18,ORB%18,DRB%18,TRB%18,AST%18,STL%18,BLK%18,TOV%18,USG%18,OWS18,DWS18,WS18,WS/4818,OBPM18,DBPM18,BPM18,VORP18,Games1818,FB18,PAINTPTS18,TO_PTS18,2ND_PTS18,Q1PTS18,Q2PTS18,Q3PTS18,Q4PTS18,PPP18,>8ft%18,8-16ft%18,16-24ft%18,24+%18,BCS%18,>8FTU18,8-16FTU18,16-24FTU18,24+U18,BCU18,AVGDISTA18,AVGDISTM18,AVGDISTF18,AFGM18,JS18,LU18,DUN18,TIPIN18,JS%18,Layup%1818,DUN%18,2PT_m18,3PT_m18,FT_m18,AB_3U18,MRU18,paint_nonra18,ra_usage18,RC_318,LC_318,backcourt_usage18,AB3%18,MR%18,paint_nonra%18,RA%18,RC3%18,LC3%18,BC%18,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP,>8ft%,8-16ft%,16-24ft%,24+%,BCS%,>8FTU,8-16FTU,16-24FTU,24+U,BCU,AVGDISTA,AVGDISTM,AVGDISTF,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%,url_list, , .1,Unnamed: 0,Team,Minutes
86,Josh Jackson,SG,21.0,PHO,79.0,29.0,1988.0,8.3,20.2,0.413,1.8,5.4,0.324,6.6,14.8,0.445,3.4,5.1,0.6709999999999999,1.6,6.7,8.3,4.4,1.8,1.3,4.2,5.0,21.9,91.0,114.0,10.6,0.48700000000000004,0.268,0.253,3.6,15.9,9.7,14.1,1.8,2.3,15.6,23.9,-2.8,1.1,-1.7,-0.04,-4.3,-0.5,-4.8,-1.4,"$7,059,480 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHO,79.0,29.0,1988.0,8.3,20.2,0.413,1.8,5.4,0.324,6.6,14.8,0.445,3.4,5.1,0.6709999999999999,1.6,6.7,8.3,4.4,1.8,1.3,4.2,5.0,21.9,91.0,114.0,10.6,0.48700000000000004,0.268,0.253,3.6,15.9,9.7,14.1,1.8,2.3,15.6,23.9,-2.8,1.1,-1.7,-0.04,-4.3,-0.5,-4.8,-1.4,79.0,1.81,5.67,1.8,0.87,2.72,3.13,3.06,2.43,1.082,0.473,0.368,0.413,0.327,0.0,48.75,13.56,10.94,26.52,0.24,11.2,9.55,12.36,56.48,61.12,29.49,7.49,1.9,0.368,0.415,0.794,60.22,24.07,15.71,18.19,15.46,21.28,36.5,3.69,4.64,0.24,0.359,0.385,0.374,0.511,0.32299999999999995,0.205,0.0,79.0,1.81,5.67,1.8,0.87,2.72,3.13,3.06,2.43,1.082,0.473,0.368,0.413,0.327,0.0,48.75,13.56,10.94,26.52,0.24,11.2,9.55,12.36,56.48,61.12,29.49,7.49,1.9,0.368,0.415,0.794,60.22,24.07,15.71,18.19,15.46,21.28,36.5,3.69,4.64,0.24,0.359,0.385,0.374,0.511,0.32299999999999995,0.205,0.0,,,,,,
87,Josh Magette,PG,30.0,ORL,2.0,0.0,8.0,12.3,30.7,0.4,0.0,0.0,0.0,12.3,30.7,0.4,0.0,0.0,0.0,6.1,6.1,12.3,12.3,12.3,0.0,0.0,0.0,24.6,108.0,84.0,33.5,0.4,0.0,0.0,12.6,13.9,13.2,46.6,12.3,0.0,0.0,27.1,0.0,0.0,0.0,0.253,6.9,10.0,16.9,0.0,0,5.1,8.9,14.0,3.0,-18.8,-15.7,5.1,4.3,9.4,0.0,ORL,2.0,0.0,8.0,12.3,30.7,0.4,0.0,0.0,0.0,12.3,30.7,0.4,0.0,0.0,0.0,6.1,6.1,12.3,12.3,12.3,0.0,0.0,0.0,24.6,108.0,84.0,33.5,0.4,0.0,0.0,12.6,13.9,13.2,46.6,12.3,0.0,0.0,27.1,0.0,0.0,0.0,0.253,6.9,10.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
88,Juan Hernangómez,PF,24.0,DEN,9.0,0.0,122.0,4.8,10.4,0.462,2.8,6.8,0.41200000000000003,2.0,3.6,0.556,0.8,2.0,0.4,1.6,7.2,8.8,2.4,0.0,0.8,2.8,2.8,13.2,100.0,107.0,7.8,0.585,0.654,0.192,3.4,15.7,9.5,6.6,0.0,1.5,19.9,12.3,0.0,0.2,0.2,0.061,-3.0,0.1,-3.0,0.0,"$3,321,030 ",-2.5,0.9,-1.6,2.0,3.2,5.2,-1.7,1.2,-0.5,0.1,DEN,70.0,25.0,1358.0,5.0,11.4,0.439,2.4,6.5,0.365,2.6,4.8,0.541,2.4,3.1,0.767,2.3,7.3,9.6,2.0,1.0,0.9,1.3,3.4,14.8,118.0,110.0,11.0,0.58,0.5760000000000001,0.27399999999999997,5.1,16.1,10.6,5.3,1.0,1.6,9.5,12.2,1.6,1.4,3.0,0.105,-0.9,0.0,-0.9,0.4,70.0,0.66,1.91,0.74,1.21,1.54,1.13,1.67,1.49,1.304,0.55,0.33299999999999996,0.667,0.365,0.0,38.34,1.92,1.92,57.83,0.0,15.3,12.94,17.17,84.78,66.13,26.84,4.79,2.24,0.37200000000000005,0.56,0.8,35.29,48.53,16.18,39.62,2.88,7.03,32.27,9.9,8.31,0.0,0.387,0.556,0.182,0.624,0.258,0.385,0.0,70.0,0.66,1.91,0.74,1.21,1.54,1.13,1.67,1.49,1.304,0.55,0.33299999999999996,0.667,0.365,0.0,38.34,1.92,1.92,57.83,0.0,15.3,12.94,17.17,84.78,66.13,26.84,4.79,2.24,0.37200000000000005,0.56,0.8,35.29,48.53,16.18,39.62,2.88,7.03,32.27,9.9,8.31,0.0,0.387,0.556,0.182,0.624,0.258,0.385,0.0,,,,,,
89,Justin James,SG,23.0,SAC,8.0,0.0,97.0,7.6,16.2,0.469,1.5,5.1,0.3,6.1,11.1,0.545,0.5,3.0,0.16699999999999998,0.0,5.1,5.1,3.0,1.0,2.0,1.0,3.5,17.2,99.0,112.0,10.3,0.491,0.313,0.188,0.0,12.1,5.9,9.5,1.0,3.8,5.5,16.5,0.0,0.1,0.1,0.03,-3.6,-0.3,-3.9,0.0,"$898,310 ",-3.5,0.8,-2.7,-9.2,8.6,-0.6,-4.7,2.4,-2.4,0.0,SAC,8.0,0.0,97.0,7.6,16.2,0.469,1.5,5.1,0.3,6.1,11.1,0.545,0.5,3.0,0.16699999999999998,0.0,5.1,5.1,3.0,1.0,2.0,1.0,3.5,17.2,99.0,112.0,10.3,0.491,0.313,0.188,0.0,12.1,5.9,9.5,1.0,3.8,5.5,16.5,0.0,0.1,0.1,0.03,-3.6,-0.3,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
90,Justin Robinson,PG,22.0,WAS,4.0,0.0,12.0,7.7,19.1,0.4,3.8,3.8,1.0,3.8,15.3,0.25,0.0,0.0,0.0,3.8,7.7,11.5,7.7,0.0,0.0,7.7,0.0,19.1,88.0,119.0,9.0,0.5,0.2,0.0,8.9,18.6,13.6,21.4,0.0,0.0,28.6,23.9,0.0,0.0,0.0,-0.096,-5.3,-3.2,-8.4,0.0,"$898,310 ",-4.6,-6.8,-11.4,1.4,25.8,27.2,-3.8,-1.1,-4.9,0.0,WAS,4.0,0.0,12.0,7.7,19.1,0.4,3.8,3.8,1.0,3.8,15.3,0.25,0.0,0.0,0.0,3.8,7.7,11.5,7.7,0.0,0.0,7.7,0.0,19.1,88.0,119.0,9.0,0.5,0.2,0.0,8.9,18.6,13.6,21.4,0.0,0.0,28.6,23.9,0.0,0.0,0.0,-0.096,-5.3,-3.2,-8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
91,Jusuf Nurkic,C,24.0,POR,72.0,72.0,1974.0,10.3,20.3,0.508,0.1,0.7,0.10300000000000001,10.2,19.6,0.523,6.9,9.0,0.773,6.0,12.4,18.4,5.7,1.7,2.5,4.1,6.1,27.6,116.0,105.0,23.4,0.57,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,4.4,3.3,7.8,0.18899999999999997,1.6,3.6,5.1,3.5,"$12,000,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POR,72.0,72.0,1974.0,10.3,20.3,0.508,0.1,0.7,0.10300000000000001,10.2,19.6,0.523,6.9,9.0,0.773,6.0,12.4,18.4,5.7,1.7,2.5,4.1,6.1,27.6,116.0,105.0,23.4,0.57,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,4.4,3.3,7.8,0.18899999999999997,1.6,3.6,5.1,3.5,72.0,0.61,10.33,1.89,3.61,4.74,4.01,4.28,2.47,1.3619999999999999,0.551,0.37,0.436,0.10300000000000001,0.0,78.21,8.84,9.44,3.51,0.0,5.22,3.85,6.63,65.95,49.76,32.45,9.69,8.11,0.436,0.552,0.85,74.13,0.8,25.07,3.27,12.95,20.1,63.44,0.12,0.12,0.0,0.111,0.42100000000000004,0.386,0.588,0.0,0.0,0.0,72.0,0.61,10.33,1.89,3.61,4.74,4.01,4.28,2.47,1.3619999999999999,0.551,0.37,0.436,0.10300000000000001,0.0,78.21,8.84,9.44,3.51,0.0,5.22,3.85,6.63,65.95,49.76,32.45,9.69,8.11,0.436,0.552,0.85,74.13,0.8,25.07,3.27,12.95,20.1,63.44,0.12,0.12,0.0,0.111,0.42100000000000004,0.386,0.588,0.0,0.0,0.0,,,,,,
92,Juwan Morgan,PF,22.0,UTA,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,15.9,0.0,0.0,0.0,0.0,15.9,0.0,0.0,103.0,-1.4,0.0,0.0,0.0,0.0,34.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,-9.2,0.2,-8.9,0.0,0,-1.9,-6.3,-8.2,-13.8,16.7,2.9,-4.1,-2.5,-6.6,0.0,UTA,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,15.9,0.0,0.0,0.0,0.0,15.9,0.0,0.0,103.0,-1.4,0.0,0.0,0.0,0.0,34.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,-9.2,0.2,-8.9,0.0,0.0,-1.9,-6.3,-8.2,-13.8,16.7,2.9,-4.1,-2.5,-6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
93,Kelan Martin,SF,24.0,MIN,8.0,0.0,116.0,5.9,17.4,0.341,2.0,9.5,0.20800000000000002,4.0,7.9,0.5,0.0,0.0,0.0,0.8,9.1,9.9,0.8,0.4,0.4,1.2,7.1,13.9,81.0,110.0,2.9,0.39799999999999996,0.545,0.0,1.8,20.1,10.9,2.4,0.4,0.7,6.4,16.5,-0.2,0.1,-0.1,-0.04,-7.0,-2.7,-9.7,-0.2,0,-4.5,-2.5,-7.0,-9.3,4.6,-4.7,-5.6,-1.4,-7.0,-0.2,MIN,8.0,0.0,116.0,5.9,17.4,0.341,2.0,9.5,0.20800000000000002,4.0,7.9,0.5,0.0,0.0,0.0,0.8,9.1,9.9,0.8,0.4,0.4,1.2,7.1,13.9,81.0,110.0,2.9,0.39799999999999996,0.545,0.0,1.8,20.1,10.9,2.4,0.4,0.7,6.4,16.5,-0.2,0.1,-0.1,-0.04,-7.0,-2.7,-9.7,-0.2,0.0,-4.5,-2.5,-7.0,-9.3,4.6,-4.7,-5.6,-1.4,-7.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
94,Keldon Johnson,SF,20.0,SAS,1.0,0.0,2.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,-19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,-0.535,-20.6,-6.9,-27.5,0.0,"$1,950,600 ",-21.4,-25.6,-47.0,-12.4,1.6,-10.8,-20.9,-22.0,-42.9,0.0,SAS,1.0,0.0,2.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,-19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,-0.535,-20.6,-6.9,-27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
95,Kelly Oubre,SF,24.0,PHO,17.0,17.0,518.0,9.1,19.8,0.45899999999999996,2.2,6.4,0.33799999999999997,6.9,13.4,0.517,6.0,7.3,0.8270000000000001,2.1,6.7,8.7,2.5,2.0,0.8,2.6,4.7,26.4,110.0,108.0,16.6,0.573,0.32299999999999995,0.368,4.8,16.0,10.3,8.3,2.0,1.5,10.2,23.4,0.7,0.6,1.3,0.11699999999999999,0.2,-0.1,0.1,0.3,"$15,625,000 ",1.2,1.6,2.9,-1.7,-2.0,-3.8,0.7,1.0,1.8,1.2,TOT,69.0,19.0,1935.0,9.2,20.7,0.445,2.7,8.3,0.32,6.6,12.4,0.53,4.6,6.0,0.775,1.7,6.2,8.0,2.1,2.1,1.5,2.5,4.5,25.8,105.0,113.0,15.2,0.551,0.401,0.29,4.0,14.6,9.2,6.8,2.1,2.5,9.8,23.2,0.9,1.3,2.2,0.054000000000000006,-0.9,-1.2,-2.2,-0.1,69.0,2.83,6.99,2.9,1.91,2.88,4.28,3.26,4.55,1.2429999999999999,0.5479999999999999,0.429,0.517,0.318,0.5,48.1,8.31,3.44,39.9,0.24,12.58,9.71,14.88,64.8,61.88,26.6,8.67,2.85,0.369,0.478,0.863,51.0,30.95,18.05,30.52,6.65,16.03,37.17,5.7,3.8,0.12,0.32299999999999995,0.46399999999999997,0.39299999999999996,0.601,0.354,0.25,0.0,69.0,2.83,6.99,2.9,1.91,2.88,4.28,3.26,4.55,1.2429999999999999,0.5479999999999999,0.429,0.517,0.318,0.5,48.1,8.31,3.44,39.9,0.24,12.58,9.71,14.88,64.8,61.88,26.6,8.67,2.85,0.369,0.478,0.863,51.0,30.95,18.05,30.52,6.65,16.03,37.17,5.7,3.8,0.12,0.32299999999999995,0.46399999999999997,0.39299999999999996,0.601,0.354,0.25,0.0,,,,,,
96,Kendrick Nunn,SG,24.0,MIA,17.0,17.0,499.0,10.6,22.1,0.478,3.8,9.4,0.40399999999999997,6.8,12.7,0.534,1.7,2.1,0.818,0.2,3.6,3.8,5.3,2.1,0.5,3.5,4.5,26.7,106.0,105.0,15.0,0.579,0.42700000000000005,0.095,0.5,8.2,4.6,19.0,2.1,1.0,13.3,24.0,0.4,0.7,1.1,0.107,0.3,-1.0,-0.7,0.2,"$1,416,852 ",0.4,1.1,1.5,-1.9,3.7,1.8,0.0,1.6,1.5,1.1,MIA,17.0,17.0,499.0,10.6,22.1,0.478,3.8,9.4,0.40399999999999997,6.8,12.7,0.534,1.7,2.1,0.818,0.2,3.6,3.8,5.3,2.1,0.5,3.5,4.5,26.7,106.0,105.0,15.0,0.579,0.42700000000000005,0.095,0.5,8.2,4.6,19.0,2.1,1.0,13.3,24.0,0.4,0.7,1.1,0.107,0.3,-1.0,-0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
97,Kevin Durant,SF,30.0,GSW,78.0,78.0,2702.0,12.7,24.4,0.521,2.4,6.8,0.353,10.3,17.5,0.5870000000000001,7.9,8.9,0.885,0.6,8.2,8.8,8.0,1.0,1.5,4.0,2.7,35.7,121.0,110.0,24.2,0.631,0.281,0.366,1.4,17.5,9.8,26.2,1.0,2.6,12.3,29.0,8.6,2.9,11.5,0.204,4.2,0.1,4.3,4.3,"$37,199,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GSW,78.0,78.0,2702.0,12.7,24.4,0.521,2.4,6.8,0.353,10.3,17.5,0.5870000000000001,7.9,8.9,0.885,0.6,8.2,8.8,8.0,1.0,1.5,4.0,2.7,35.7,121.0,110.0,24.2,0.631,0.281,0.366,1.4,17.5,9.8,26.2,1.0,2.6,12.3,29.0,8.6,2.9,11.5,0.204,4.2,0.1,4.3,4.3,78.0,4.58,8.46,3.62,1.92,8.63,5.29,7.51,4.35,1.466,0.6890000000000001,0.525,0.535,0.353,0.0,26.03,27.26,18.66,28.05,0.0,14.45,12.25,16.85,48.96,78.45,12.65,8.68,0.22,0.467,0.5660000000000001,0.95,57.62,20.28,22.1,25.81,33.33,18.08,20.54,1.3,0.94,0.0,0.364,0.551,0.49200000000000005,0.7290000000000001,0.222,0.231,0.0,78.0,4.58,8.46,3.62,1.92,8.63,5.29,7.51,4.35,1.466,0.6890000000000001,0.525,0.535,0.353,0.0,26.03,27.26,18.66,28.05,0.0,14.45,12.25,16.85,48.96,78.45,12.65,8.68,0.22,0.467,0.5660000000000001,0.95,57.62,20.28,22.1,25.81,33.33,18.08,20.54,1.3,0.94,0.0,0.364,0.551,0.49200000000000005,0.7290000000000001,0.222,0.231,0.0,,,,,,
98,Kevin Knox,SF,20.0,NYK,18.0,1.0,357.0,6.2,16.1,0.385,3.3,8.7,0.381,2.9,7.4,0.389,3.7,5.8,0.643,1.2,5.9,7.1,3.6,1.4,0.5,1.8,4.3,19.4,108.0,114.0,11.7,0.52,0.5379999999999999,0.359,2.5,13.5,7.7,11.2,1.4,1.1,8.8,17.6,0.3,0.1,0.4,0.06,-0.8,-1.8,-2.7,-0.1,"$4,380,120 ",-1.3,-3.9,-5.2,-5.5,-1.2,-6.7,-2.1,-3.6,-5.7,-0.5,NYK,75.0,57.0,2158.0,7.5,20.4,0.37,2.8,8.1,0.34299999999999997,4.8,12.3,0.387,3.6,5.0,0.7170000000000001,1.4,6.1,7.5,1.8,1.0,0.5,2.5,3.9,21.5,93.0,116.0,8.7,0.475,0.39799999999999996,0.247,2.9,13.6,8.1,6.0,1.0,0.9,10.1,22.3,-2.2,0.9,-1.3,-0.03,-3.6,-2.4,-6.0,-2.2,75.0,1.88,4.59,1.87,1.13,4.16,2.76,3.07,2.84,1.054,0.445,0.361,0.275,0.34299999999999997,0.0,32.71,14.55,13.13,39.61,0.0,14.7,13.29,15.52,63.31,72.43,23.96,2.84,0.77,0.344,0.41600000000000004,0.6920000000000001,44.24,38.94,16.82,30.85,18.93,17.07,24.4,5.25,3.5,0.0,0.33299999999999996,0.243,0.41700000000000004,0.48,0.41700000000000004,0.313,0.0,75.0,1.88,4.59,1.87,1.13,4.16,2.76,3.07,2.84,1.054,0.445,0.361,0.275,0.34299999999999997,0.0,32.71,14.55,13.13,39.61,0.0,14.7,13.29,15.52,63.31,72.43,23.96,2.84,0.77,0.344,0.41600000000000004,0.6920000000000001,44.24,38.94,16.82,30.85,18.93,17.07,24.4,5.25,3.5,0.0,0.33299999999999996,0.243,0.41700000000000004,0.48,0.41700000000000004,0.313,0.0,,,,,,
99,Kevin Porter,SF,19.0,CLE,17.0,1.0,355.0,5.8,14.8,0.39399999999999996,1.1,5.0,0.21600000000000003,4.8,9.8,0.486,2.6,3.4,0.76,0.8,6.1,6.9,4.6,1.9,0.5,3.0,6.1,15.4,93.0,112.0,8.3,0.47100000000000003,0.33899999999999997,0.22899999999999998,1.8,13.9,7.7,14.4,1.9,1.0,15.5,17.1,-0.2,0.2,0.0,-0.003,-3.3,-0.1,-3.3,-0.1,"$1,290,960 ",-2.1,-4.1,-6.2,-8.6,-3.9,-12.5,-3.4,-4.2,-7.6,-0.9,CLE,17.0,1.0,355.0,5.8,14.8,0.39399999999999996,1.1,5.0,0.21600000000000003,4.8,9.8,0.486,2.6,3.4,0.76,0.8,6.1,6.9,4.6,1.9,0.5,3.0,6.1,15.4,93.0,112.0,8.3,0.47100000000000003,0.33899999999999997,0.22899999999999998,1.8,13.9,7.7,14.4,1.9,1.0,15.5,17.1,-0.2,0.2,0.0,-0.003,-3.3,-0.1,-3.3,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
