Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
Dean Wade,PF,23,CLE,3,0,18,2.7,5.4,0.5,2.7,2.7,1,0,2.7,0,0,0,0,0,5.4,5.4,0,2.7,0,0,8,8,148,111,6.6,0.75,0.5,0,0,12.2,6,0,2.7,0,0,4.7,0,0,0,0.089,-2.3,-1,-3.3,0,,Cavaliers,18,-5.1,-6.5,-11.7,20.6,-9.2,11.5,-0.6,-7.1,-7.7,0
DeMarcus Cousins,C,28,GSW,30,30,771,11,22.9,0.48,1.6,5.9,0.274,9.4,17,0.551,6.5,8.9,0.736,2.7,12.6,15.2,6.6,2.5,2.7,4.4,6.7,30.1,109,102,21.4,0.562,0.256,0.388,6.2,27,17.1,20.4,2.5,4.8,14.2,28.1,0.9,1.5,2.4,0.151,0.2,3.4,3.6,1.1,"$3,500,000 ",,,,,,,,,,,,
Demetrius Jackson,PG,24,PHI,6,0,39,9.7,18.2,0.533,2.4,7.3,0.333,7.3,10.9,0.667,4.8,4.8,1,2.4,1.2,3.6,6.1,2.4,0,1.2,4.8,26.6,138,112,21,0.656,0.4,0.267,5.6,2.6,4.1,19.6,2.4,0,5.6,19.1,0.2,0,0.2,0.231,4.4,-3.4,1,0,"$92,857 ",,,,,,,,,,,,
Dennis Schröder,PG,26,OKC,17,0,490,9.5,21.8,0.437,2.2,7.6,0.286,7.4,14.3,0.517,3.5,4.7,0.75,0.8,6.1,6.9,6.4,1.4,0.5,4.8,4.1,24.8,96,110,12.7,0.518,0.347,0.216,1.8,13.5,7.8,22.1,1.4,0.8,16.8,26.2,-0.3,0.4,0.1,0.009,-2,-0.8,-2.8,-0.1,"$15,500,000 ",Thunder,490,-1.9,0.2,-1.8,-2.3,14.8,12.6,-2.1,2.9,0.8,0.9
Dennis Smith,PG,22,NYK,11,0,172,6.6,19.7,0.333,2,6.3,0.318,4.6,13.4,0.34,1.4,2.3,0.625,2.6,2.6,5.1,8.3,1.7,0.3,4.6,7.4,16.5,87,115,6.3,0.4,0.319,0.116,5.3,5.9,5.5,26.3,1.7,0.6,18.1,21.8,-0.3,0,-0.3,-0.072,-4.2,-3,-7.2,-0.2,"$4,463,640 ",Knicks,172,-4,-3.1,-7.1,-6.9,-5.3,-12.2,-4.7,-3.6,-8.3,-0.5
Derrick Jones,SF,22,MIA,4,0,57,10,16.7,0.6,0.8,3.3,0.25,9.2,13.3,0.688,2.5,2.5,1,2.5,4.2,6.7,1.7,2.5,0,1.7,9.2,23.3,124,105,16.1,0.657,0.2,0.15,6.4,9.4,8,5.8,2.5,0,8.6,17.6,0.1,0.1,0.2,0.184,0.6,-1,-0.3,0,"$1,645,357 ",Heat,57,-1.3,4.1,2.8,4.6,-2.3,2.3,-0.3,3,2.8,0.2
Derrick Walton,PG,24,LAC,3,0,9,5.2,5.2,1,5.2,5.2,1,0,0,0,0,0,0,0,0,0,5.2,0,0,5.2,10.4,15.6,125,114,8.6,1.5,1,0,0,0,0,14.9,0,0,50,9.1,0,0,0,0.089,0.9,-6.8,-6,0,"$1,445,697 ",Clippers,9,0.4,-4.4,-4,13.3,10.2,23.5,2.7,-2.1,0.6,0
Devon Hall,SG,24,OKC,2,0,15,3.2,12.9,0.25,0,6.4,0,3.2,6.4,0.5,9.6,12.9,0.75,0,3.2,3.2,6.4,0,0,3.2,3.2,16.1,91,116,5.6,0.434,0.5,1,0,7.1,3.6,18.2,0,0,14.8,19.8,0,0,0,-0.042,-5.5,-4.6,-10.1,0,,Thunder,15,-5,-15.8,-20.8,30.7,-1.2,29.5,1.4,-13.9,-12.5,-0.1
Dion Waiters,SG,27,MIA,44,28,1138,8.5,20.5,0.414,4.7,12.4,0.377,3.8,8.1,0.471,0.9,1.9,0.5,0.3,4.7,5,5.2,1.2,0.4,2.7,3.1,22.6,102,111,11.4,0.53,0.605,0.092,0.7,10.2,5.4,16.4,1.2,0.7,11.4,21.1,0.1,1.1,1.2,0.052,-0.3,-1.6,-1.9,0,"$12,100,000 ",,,,,,,,,,,,
Drew Eubanks,PF,22,SAS,1,0,2,0,47.5,0,0,0,0,0,47.5,0,0,0,0,47.5,23.7,71.2,0,0,0,23.7,23.7,0,46,109,-27.9,0,0,0,100,54.7,80.1,0,0,0,33.3,63.2,0,0,0,-1.117,-40.6,-24.2,-64.8,0,,Spurs,2,-39.9,-9.7,-49.6,-38,1,-37.1,-42,-8.3,-50.2,-0.1
Džanan Musa,SF,20,BRK,13,0,211,5.3,15.7,0.338,1.3,7.7,0.171,4,7.9,0.5,4,5.3,0.75,1.3,7.3,8.6,3.1,1.3,0.2,4,2.6,15.9,84,111,6.1,0.441,0.493,0.338,3,16.1,9.7,9.2,1.3,0.4,18.1,19.5,-0.4,0.2,-0.2,-0.051,-5.8,-1.4,-7.2,-0.3,"$1,911,600 ",Nets,211,-4.5,1.2,-3.3,-8.5,0.7,-7.9,-5.5,1.2,-4.3,-0.2
Ersan İlyasova,PF,32,MIL,16,0,257,6.5,14.1,0.463,1.9,7.2,0.268,4.6,6.9,0.667,3,3.5,0.85,3.5,10.6,14.1,1.6,1.4,1.1,0.9,5.3,18,123,102,15.6,0.574,0.513,0.25,7.9,22.2,15.3,4.7,1.4,2,5.3,14.9,0.5,0.5,1,0.185,0.2,0.2,0.4,0.2,"$7,000,000 ",Bucks,257,1.8,2.5,4.4,-2.6,-4,-6.6,1.1,1.4,2.5,0.7
Garrison Mathews,SG,23,WAS,2,0,14,0,6.6,0,0,6.6,0,0,0,0,0,0,0,0,3.3,3.3,6.6,0,0,3.3,9.8,0,39,121,-7.1,0,1,0,0,8,3.9,15.1,0,0,33.3,8.8,-0.1,0,-0.1,-0.199,-9,-3.2,-12.2,0,,Wizards,14,-4.9,0.9,-4,-16,30.6,14.6,-7.3,6.4,-0.9,0
Gary Trent,SG,21,POR,11,1,93,7.5,16.6,0.455,5.5,11.5,0.478,2,5,0.4,0,0,0,1.5,4.5,6,2.5,1,1,1,3.5,20.6,125,114,15,0.621,0.697,0,3.3,9.7,6.5,7.6,1,1.8,5.7,15.6,0.2,0,0.2,0.127,2.2,-1.9,0.2,0.1,"$1,416,852 ",Trail Blazers,93,4,-2.4,1.6,-0.8,-8.8,-9.7,3.3,-3.7,-0.4,0.1
Gerald Green,SG,33,HOU,73,0,1473,7.7,19.2,0.4,5.2,14.7,0.354,2.5,4.6,0.547,1.9,2.3,0.838,1,5.1,6.1,1.3,1.1,0.9,1.8,4.2,22.5,107,113,11.4,0.555,0.763,0.118,2.2,11.7,6.8,4.1,1.1,1.6,8.3,19.5,0.9,1,1.9,0.061,-0.8,-2.6,-3.4,-0.5,"$2,564,753 ",,,,,,,,,,,,
Glenn Robinson,SF,26,GSW,19,19,604,7.1,14.6,0.484,2,4.8,0.41,5.1,9.8,0.52,1.7,2,0.846,2.5,4.5,7.1,3.2,1.6,0.3,1.3,2.4,17.8,117,116,13.9,0.575,0.328,0.14,5.6,10.4,8,10.3,1.6,0.6,7.9,14.9,0.9,0.1,1,0.079,0.8,-1.3,-0.5,0.2,"$1,882,867 ",Warriors,604,-0.1,-1.4,-1.4,2,-5.4,-3.4,0.3,-2.1,-1.8,0.3
Goran Dragić,PG,33,MIA,16,1,460,8.2,18.3,0.446,3.6,8.9,0.407,4.5,9.4,0.484,5.2,7.3,0.704,0.4,4.9,5.3,8.3,1.1,0.4,4.6,2.7,25.1,108,107,15.2,0.583,0.486,0.401,1.1,11,6.3,27.1,1.1,0.9,17.8,23.7,0.6,0.6,1.1,0.117,0.4,-1.4,-1,0.1,"$19,217,900 ",Heat,460,2.2,-2.5,-0.3,-1.2,-6.8,-8,1.7,-3.5,-1.7,0.2
Guerschon Yabusele,PF,23,BOS,41,1,251,6.7,14.8,0.455,1.7,5.4,0.321,5,9.4,0.531,2.9,4.2,0.682,4.4,5.8,10.2,2.9,1.5,1.3,2.9,6.1,18,108,109,12.4,0.542,0.364,0.286,9.8,12.8,11.3,8.2,1.5,2.5,14.8,17.5,0.2,0.3,0.5,0.09,-2.1,-0.1,-2.1,0,"$3,117,240 ",,,,,,,,,,,,
Harry Giles,PF,21,SAC,7,0,52,10.4,23.6,0.44,0,0,0,10.4,23.6,0.44,1.9,1.9,1,2.8,3.8,6.6,4.7,1.9,2.8,4.7,12.3,22.7,90,109,9.8,0.464,0,0.08,6.5,9,7.7,16.3,1.9,5.3,16.2,25.9,-0.1,0.1,0,-0.028,-5.7,0.9,-4.9,0,"$2,578,800 ",Kings,52,-8.6,-3.4,-12,-13,-1.5,-14.5,-9.9,-3.2,-13.1,-0.3
Henry Ellenson,PF,23,BRK,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,-6.3,0,-6.2,0,,Nets,3,-0.6,-12.5,-13.1,-17.2,-3.6,-20.8,-3.9,-11.6,-15.4,0
Ian Mahinmi,C,32,WAS,34,6,498,4.5,9.9,0.452,0.3,1.5,0.188,4.2,8.4,0.5,4,5.8,0.689,4.6,7.6,12.2,2.4,2.4,1.5,2,8,13.2,113,111,12,0.531,0.154,0.587,10.3,17.7,13.9,6.5,2.4,2.7,13.8,12.9,0.5,0.5,1,0.092,-2.3,1.3,-1,0.1,"$15,450,051 ",,,,,,,,,,,,
Ivan Rabb,PF,21,MEM,49,13,721,8,14.6,0.547,0.2,1,0.2,7.8,13.6,0.574,3.4,4.8,0.71,4.8,9.4,14.2,3.7,1.2,1,2.4,6.2,19.6,117,109,16.1,0.586,0.071,0.325,10.7,21.5,16,12,1.2,1.8,12.6,17.2,1.2,0.9,2.1,0.137,-1.3,0.7,-0.6,0.2,"$371,758 ",,,,,,,,,,,,
Jakob Pöltl,C,24,SAS,19,5,334,6.4,11.4,0.563,0,0,0,6.4,11.4,0.563,2.3,4,0.571,6,9.7,15.6,4,1.4,2.7,2.6,5,15.1,118,110,17.6,0.574,0,0.35,13.1,22.3,17.6,11.2,1.4,4.7,16.3,13.9,0.6,0.3,0.9,0.123,-0.2,2.3,2.1,0.4,"$3,754,886 ",Spurs,334,0.2,4.5,4.8,7.5,1.7,9.2,1.6,4.4,6,1.5
Jalen McDaniels,PF,22,CHO,1,0,3,16.1,32.2,0.5,0,0,0,16.1,32.2,0.5,0,0,0,16.1,0,16.1,0,0,0,0,0,32.2,118,121,26.8,0.5,0,0,35.3,0,18.5,0,0,0,0,28.8,0,0,0,0.124,1,-12.3,-11.4,0,,Hornets,3,12.7,-24.4,-11.7,4.5,-6,-1.6,12,-22.2,-10.2,0
James Ennis,SF,29,PHI,18,0,286,7.5,14.2,0.529,2.2,5.7,0.382,5.4,8.5,0.627,2.8,4,0.708,4,6.2,10.2,2,1.3,0.7,2,5.9,20.1,122,105,15.3,0.628,0.4,0.282,9.5,14.1,11.8,6,1.3,1.2,11.2,15.9,0.6,0.4,1,0.166,1.1,-0.4,0.7,0.2,"$1,882,867 ",76ers,286,1.4,-1.1,0.3,5.3,-2.3,3,2.2,-1.4,0.8,0.5
Jared Harper,PG,22,PHO,1,0,2,0,23.3,0,0,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,-19.6,0,1,0,0,0,0,0,0,0,0,21.3,0,0,0,-0.53,-15.9,-6.9,-22.8,0,,Suns,2,-12.9,-8.9,-21.7,-18,-1.9,-19.9,-14.6,-8.1,-22.8,0
Jaren Jackson,C,20,MEM,16,16,425,9.8,20.8,0.469,3.7,8.7,0.425,6.1,12.2,0.5,3.6,4.6,0.786,2.5,6.4,8.9,2.1,0.9,1.5,3.3,6.8,26.8,107,114,14.9,0.587,0.417,0.219,5.8,14.9,10.3,6.8,0.9,2.9,12.5,23.4,0.4,0.2,0.5,0.062,0.4,-2,-1.7,0,"$6,927,480 ",Grizzlies,425,-0.7,-1.4,-2.1,0.5,-10.2,-9.7,-0.5,-3,-3.5,-0.2
Jarrell Brantley,PF,23,UTA,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7,28.7,9.6,0,9.6,0,0,0,232,84,21.6,0,0,0,0,61.7,32.5,25.5,0,16.7,0,0,0,0,0,0.281,-6.9,15.9,8.9,0,,Jazz,5,5,0.4,5.4,28.1,18,46.1,9.6,3.5,13.1,0
Jaylen Adams,PG,22,ATL,34,1,428,4.1,11.9,0.345,2.7,8,0.338,1.4,3.9,0.361,0.8,1,0.778,1.2,5.3,6.5,7,1.5,0.5,3,4.9,11.7,99,115,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1,19.7,13.5,-0.1,0.2,0.1,0.011,-3.1,-1.3,-4.4,-0.3,"$100,000 ",,,,,,,,,,,,
Jaylen Hoard,SF,20,POR,3,0,11,4.2,8.5,0.5,0,0,0,4.2,8.5,0.5,0,0,0,4.2,12.7,17,4.2,4.2,0,0,4.2,8.5,137,102,16.6,0.5,0,0,9.3,27.4,18.4,11.7,4.2,0,0,7.6,0,0,0,0.182,-0.4,3.5,3.1,0,,Trail Blazers,11,6.6,-7.9,-1.3,-1,-15.2,-16.3,5.5,-9.7,-4.2,0
Jemerrio Jones,SF,23,LAL,6,2,143,3.9,10.7,0.364,0.7,3.3,0.2,3.3,7.5,0.435,0.3,0.7,0.5,5.2,10.7,15.9,4.2,2.3,1.6,1.6,3.3,8.8,102,105,12.1,0.398,0.303,0.061,11.8,23.4,17.7,11.4,2.3,2.9,12.9,11.3,0,0.2,0.2,0.084,-2.9,3.7,0.8,0.1,"$199,000 ",,,,,,,,,,,,
J.J. Redick,SG,35,NOP,17,13,479,7.6,17,0.444,5.6,11.8,0.48,1.9,5.3,0.364,4.1,4.9,0.843,0.4,4.4,4.8,3.1,0.8,0.5,2.3,2.5,24.9,121,118,15.3,0.649,0.691,0.287,0.9,10.6,5.5,9.4,0.8,0.9,10.7,19,1.1,0,1,0.105,2.9,-3.1,-0.2,0.2,"$13,486,300 ",Pelicans,479,2.5,-2,0.5,2.1,-1.6,0.6,2.5,-2,0.5,0.8
Joakim Noah,C,33,MEM,42,1,693,7.9,15.3,0.516,0,0.1,0,7.9,15.2,0.519,5.6,7.8,0.716,4.2,12.9,17.1,6.4,1.4,2.2,3.6,6.9,21.4,113,105,18.6,0.571,0.005,0.512,9.2,29.6,19.3,20.6,1.4,4.2,16.1,20,1,1.2,2.2,0.15,-1.9,3.5,1.6,0.6,"$6,431,666 ",,,,,,,,,,,,
John Konchar,SG,23,MEM,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026,-5.8,-0.7,-6.5,0,,Grizzlies,7,-3.8,-6.2,-10,-4.6,-13.8,-18.3,-4.2,-7.8,-12,0
John Wall,PG,28,WAS,32,32,1104,10.5,23.7,0.444,2.2,7.2,0.302,8.3,16.4,0.507,5.2,7.5,0.697,0.6,4.3,5,12,2.1,1.2,5.2,3,28.4,104,114,18,0.527,0.306,0.317,1.5,10.1,5.7,39.2,2.1,2.2,16.1,28.8,0.5,0.7,1.2,0.051,1.1,-1.2,-0.2,0.5,"$37,800,000 ",,,,,,,,,,,,
Johnathan Motley,PF,24,LAC,2,0,4,11.7,35.2,0.333,11.7,11.7,1,0,23.4,0,0,0,0,11.7,11.7,23.4,23.4,0,0,23.4,11.7,35.2,88,106,11.5,0.5,0.333,0,26.2,25.1,25.7,82.6,0,0,40,51.1,0,0,0,-0.134,2.4,5.1,7.5,0,,Clippers,4,-10.3,-33.8,-44.1,-9.1,-9.4,-18.5,-10.8,-31.2,-42,-0.1
Jon Leuer,PF,29,DET,41,1,402,8.1,13.9,0.584,0.1,1.3,0.091,8,12.5,0.637,2.8,3.8,0.742,3.3,8.6,11.9,1.7,1.5,0.5,2.8,7.4,19.1,113,109,13.2,0.616,0.097,0.274,7.1,19.8,13.2,5.5,1.5,0.8,15.4,16.1,0.4,0.5,0.9,0.11,-2.9,-0.1,-3,-0.1,"$3,169,348 ",,,,,,,,,,,,
Jonas Valančiūnas,C,27,MEM,17,17,412,10.4,18.9,0.55,1.1,3.1,0.357,9.3,15.8,0.589,2.9,3.4,0.867,4.4,13.6,17.9,3.6,0.6,1.5,4.3,4.9,24.9,109,111,18.6,0.609,0.166,0.178,10.1,31.6,20.8,12.1,0.6,2.7,17.3,22.1,0.5,0.3,0.8,0.094,-0.5,0,-0.5,0.2,"$16,000,000 ",Grizzlies,412,-1.3,1,-0.3,-1.5,0.8,-0.6,-1.4,1.1,-0.3,0.5
Jonathon Simmons,SG-SF,29,TOT,56,9,1064,6.1,16,0.38,1.3,4.7,0.269,4.8,11.2,0.427,3.3,4.4,0.742,1.2,4.5,5.8,5.8,1.3,0.7,3.1,4.1,16.7,95,111,8.5,0.466,0.297,0.277,2.7,10,6.3,16.7,1.3,1.2,14.8,18.7,-0.8,1.1,0.3,0.013,-4.1,-0.6,-4.8,-0.7,"$1,000,000 ",,,,,,,,,,,,
