Player,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP
Andrew Wiggins,72,1.88,7.33,2.36,1.68,6.21,4.03,5.46,2.29,1.093
Thomas Bryant,71,0.73,6.85,1.2,2.1,3.3,1.72,2.97,2.28,1.517
Shelvin Mack,57,0.81,3.47,1.14,0.42,1.37,2.04,1.88,2.26,1.067
Rudy Gay,69,0.96,5.59,2.1,1.39,3.7,3.7,3.97,2.26,1.268
Rondae Hollis-Jefferson,59,1.05,6.07,1.39,1.17,1.78,2.31,2.53,2.25,1.082
Jodie Meeks,8,1,2.75,1.13,0.63,0,4.13,0,2.25,1.308
Jaylen Morris,4,0.75,1.5,1.25,0.5,0.25,0,0,2.25,1
Enes Kanter,67,0.73,10.48,1.54,4.16,3.63,4.12,3.63,2.25,1.34
JaVale McGee,74,1.24,10.24,1.16,2.28,3.34,3.18,3.08,2.23,1.392
Michael Beasley,26,0.42,5.08,1.08,0.65,0.92,2.35,1.46,2.23,1.183
Cameron Payne,40,0.58,2.8,0.98,0.55,1.28,1.4,1.3,2.23,1.121
Jerome Robinson,32,0.44,1.13,0.44,0.38,0.16,0.75,0.19,2.22,1.028
Luke Kornet,46,0.33,1.3,0.72,0.83,1.76,1.35,1.63,2.2,1.138
Kevin Huerter,74,1.54,3.41,1.77,0.89,2.62,2.76,2.05,2.2,1.115
Nik Stauskas,68,0.56,1.41,0.56,0.51,0.78,2.66,0.24,2.19,1.18
Justise Winslow,66,1.5,5.73,1.48,1.14,3.64,3.53,3.23,2.18,1.108
Dante Exum,42,0.74,3.9,1.33,0.5,1.52,1.33,1.83,2.17,1.195
Darren Collison,76,1.96,3.18,2.36,1.04,3.5,1.59,3.96,2.17,1.294
Jeremy Lamb,79,1.89,6.2,2.8,1.82,5.11,3.57,4.32,2.16,1.234
Jonas Jerebko,73,1.08,2.03,1.11,1.21,1.26,1.73,1.07,2.16,1.293
Raul Neto,37,0.65,2.7,1.11,0.05,0.57,1.46,1.14,2.14,1.217
Daryl Macon,8,0.25,0.75,0.25,0,0.38,0.25,0.75,2.13,1.074
Deyonta Davis,8,0.5,3.5,0.5,1.13,1.13,1,0,2.13,1.545
Marvin Williams,75,0.97,3.23,1.59,1.2,2.24,2.69,2.95,2.13,1.16
Furkan Korkmaz,48,1.1,1.88,1.25,0.67,1.25,1.35,1.08,2.13,1.139
Mo Bamba,47,0.13,3.28,1.09,1.26,0.89,2.43,0.77,2.13,1.202
Steven Adams,80,1.34,11.65,1.49,3.56,5,3.18,3.45,2.11,1.37
Dzanan Musa,9,0,1.56,0,0,0,0,0,2.11,0.864
Mitchell Robinson,66,0.38,6.09,1.15,2.79,1.74,1.82,1.68,2.11,1.667
Chasson Randle,48,0.52,1.75,1.13,0.58,1.13,1.44,0.79,2.1,1.23
Dorian Finney-Smith,80,1.28,3.5,1.16,1.54,1.63,2.24,1.55,2.1,1.149
Kris Dunn,46,1.48,5.91,1.54,0.43,3.41,2.46,3.11,2.09,1.026
Tomas Satoransky,79,1.08,4.2,1.53,1.05,2.37,2.35,1.95,2.09,1.348
Anthony Tolliver,64,0.7,0.44,0.83,0.5,0.5,1.61,0.83,2.08,1.278
Ian Clark,59,1.05,2.14,0.49,0.66,1.64,1.66,1.17,2.08,1.04
Allen Crabbe,43,1.44,1.26,1.12,0.77,2.93,2.35,2.16,2.07,1.107
Evan Turner,73,0.44,3.7,0.58,0.81,1.34,2.32,1.04,2.07,1.115
Cameron Reynolds,18,0.28,0.67,0.94,0.22,0.11,1.89,0.94,2.06,1.233
Jonathon Simmons,56,0.84,3,1.21,0.57,1.41,1.98,1.11,2.04,1.046
Rajon Rondo,45,0.96,4.76,1.62,0.82,2.71,1.98,2.49,2.04,0.981
Jake Layman,71,0.92,3.97,1.13,1,1.8,2,1.79,2.03,1.276
Alex Len,76,0.75,6.08,1.34,2.11,2.91,3.03,2.93,2.01,1.314
Kyle Korver,70,0.73,0.63,1.03,1,2.67,2.16,1.74,2,1.242
DJ Stephens,1,0,2,0,0,0,0,0,2,1
Michael Carter-Williams,28,0.5,2.57,0.46,0.54,0.39,1.21,1.18,2,1.089
DeAndre' Bembry,81,1.56,5.38,1.58,0.98,2.16,1.57,2.41,2,1.104
Joe Chealey,1,0,2,2,0,0,0,0,2,0.667
Reggie Bullock,63,1.02,1.78,1.38,0.89,4.08,1.97,3.16,2,1.197
Zhou Qi,1,0,2,0,0,0,0,0,2,2
Donatas Motiejunas,3,0,2,0,0,0,0,0,2,1
OG Anunoby,67,1.15,3.25,1.19,0.9,1.39,2.49,1.13,1.99,1.161
Sterling Brown,58,1.26,2.93,1.16,0.62,1.67,1.09,1.64,1.98,1.192
Harry Giles III,58,0.62,5.34,0.98,1.28,1.52,1.95,1.59,1.98,1.172
Brad Wanamaker,36,1.25,1.39,0.78,0.28,0.39,1.31,0.22,1.97,1.333
Isaiah Briscoe,39,0.44,1.74,0.33,0.05,0.44,0.79,0.28,1.97,0.986
Matthew Dellavedova,48,0.48,1.92,0.71,0.54,1.54,1.02,1.35,1.96,1.165
CJ Miles,53,0.94,1.17,0.74,0.32,1.36,2.11,0.96,1.96,1.09
Boban Marjanovic,56,0.3,5.14,1.21,2.43,1.89,1.7,1.95,1.96,1.623
Anfernee Simons,20,0.45,1.2,0.45,0.3,0.35,1,0.35,1.95,1.19
Alex Poythress,21,0.43,2.95,0.57,1.14,1.1,1.29,0.76,1.95,1.321
Lonnie Walker IV,17,0.47,0.94,0.35,0.12,0,0.59,0.12,1.94,0.978
Paul Millsap,69,0.94,6.64,1.87,2.45,4.07,3.03,3.54,1.94,1.333
Sam Dekker,47,1.17,4.04,1.57,1.02,1.19,2.19,0.79,1.94,1.121
Yuta Watanabe,15,0.73,1.47,0.87,0.4,0.27,0.4,0,1.93,0.765
Georges Niang,59,0.51,1.39,0.34,0.36,0.2,1.34,0.46,1.93,1.298
Gary Trent Jr.,15,0,0.53,0.4,0.2,0.27,0.13,0.33,1.93,0.8
David Nwaba,51,1.35,3.96,1.12,0.92,1.37,1.61,1.65,1.92,1.275
Amile Jefferson,12,0.33,1.67,0.5,0.67,0,0.33,0,1.92,1.688
Jarrett Allen,80,0.7,8.18,1.13,2.01,3.7,2.06,3.15,1.9,1.537
Khem Birch,50,0.46,3.56,0.68,1.04,0.52,1.86,0.52,1.9,1.589
Hassan Whiteside,72,0.54,10.22,1.65,4.04,4.33,2.65,3.43,1.9,1.304
Cristiano Felicio,60,0.33,3.03,0.52,1.1,0.73,0.85,0.52,1.9,1.341
Wade Baldwin IV,16,0.13,0.75,0,0,0,0,0,1.88,0.909
Tony Snell,74,1.03,2,0.96,0.57,0.88,2.26,0.99,1.88,1.23
Jon Leuer,40,0.25,2.7,0.65,0.63,0.45,1.18,0.4,1.88,1.381
Derrick Jones Jr.,60,1.08,4.3,1.72,1.77,1.53,2.52,1.1,1.88,1.302
DeAndre Jordan,69,0.88,8.26,1.3,2.96,3.32,2.7,3.03,1.88,1.7
Wayne Selden,75,0.95,2.75,1.16,0.52,1.73,2.07,1.17,1.85,1.064
Josh Hart,67,2.31,2.72,1.76,0.72,1.63,2.34,1.99,1.85,1.131
Patty Mills,82,1.41,1.9,1.6,0.7,3.17,2.09,2.72,1.85,1.223
Trevor Ariza,68,2.31,3.88,2.53,1.18,3.9,3.09,3.69,1.85,1.171
Mason Plumlee,81,0.49,6.12,0.77,1.33,2.06,2.09,1.74,1.85,1.441
Garrett Temple,74,1.86,2.59,1.97,0.38,1.69,2.05,2.09,1.85,1.182
Greg Monroe,43,0.33,4.05,0.65,1.74,1,1.49,1.02,1.84,1.217
Ivica Zubac,58,0.88,7,1.16,1.74,2.57,1.91,2.45,1.83,1.382
Andrew Harrison,17,0.29,1.18,0.76,0.18,0.41,0.59,0.35,1.82,1.019
JR Smith,11,0.55,1.27,1,0.45,1.82,1.18,1.91,1.82,0.937
Bruno Caboclo,34,0.5,2.65,1.29,1.44,2.35,1.79,2.32,1.82,1.253
Thon Maker,63,0.6,1.75,0.84,0.71,1.13,1.4,0.76,1.81,1.211
Cheick Diallo,63,0.7,4.29,0.79,1.08,1.24,1.35,1.63,1.81,1.436
Svi Mykhailiuk,42,0.55,0.52,0.43,0.14,0.24,0.71,0.4,1.81,0.957
Daniel Theis,66,0.2,3.3,0.73,1.42,1.26,1.47,1.14,1.8,1.406
Miles Bridges,80,0.81,4.1,1.19,1.23,1.76,1.84,2.01,1.8,1.168
Haywood Highsmith,5,0,1.2,0,0.4,0,0,0,1.8,0.9
Justin Holiday,82,1.77,2.27,1.91,0.8,3.15,2.84,2.51,1.79,1.103
Richaun Holmes,70,0.57,6.29,1.39,1.69,1.8,2.17,2.36,1.79,1.567
Brook Lopez,81,0.89,3.78,1.04,0.89,3.99,3.23,3.42,1.79,1.284
Josh Okogie,73,1.55,2.99,1.62,0.82,1.49,2.14,2.22,1.78,1.12
Marcus Smart,80,1.04,2.45,1.41,0.76,2.19,1.95,2.91,1.78,1.249
Kyle O'Quinn,45,0.18,1.6,0.36,0.76,0.4,0.69,0.6,1.78,1.147
Landry Shamet,79,1.34,1.42,1.42,0.78,2.25,2.39,2.73,1.76,1.296
Devin Harris,67,0.91,1.85,0.7,0.76,1.18,2.28,1.09,1.75,1.243
James Nunnally,15,0.13,0.53,0.33,0,0.27,0,0.2,1.73,1.059
Corey Brewer,30,1.2,2.4,0.87,0.37,1,1.47,0.7,1.73,1.225
James Ennis III,58,1.43,2.76,1.66,1.22,1.91,1.59,1.48,1.72,1.323
Tyus Jones,67,0.88,3.34,1.31,0.51,1.67,2,1.4,1.72,1.041
Damion Lee,32,0.88,1.06,0.69,0.53,0.59,1.38,1.25,1.72,1.244
Tyler Dorsey,48,1.13,2.13,0.92,0.44,1.23,1.54,1.56,1.71,1.121
Chandler Hutchison,44,1.36,3.41,1.14,0.64,1.14,1.25,1.11,1.7,1.096
Abdel Nader,61,0.74,1.87,0.8,0.46,0.54,0.97,0.69,1.7,1.121
JaMychal Green,64,0.91,4.19,1.5,1.98,2.7,2.58,2.41,1.7,1.284
Maxi Kleber,70,0.69,2.4,1.16,1.04,1.54,2.13,1.33,1.69,1.245
John Jenkins,26,0.35,0.54,0.42,0,0.58,1.88,0.5,1.69,1.152
Jalen Jones,16,0.69,1.88,1.25,1.25,0.75,1.44,1.19,1.69,1.306
Guerschon Yabusele,41,0.24,1.17,0.37,0.29,0.15,0.24,0.22,1.68,1.221
Nerlens Noel,77,0.26,3.82,0.77,1.42,0.91,1.39,0.94,1.68,1.37
Dirk Nowitzki,50,0.34,0.6,0.52,0.94,2,2.3,1.3,1.68,0.984
Cory Joseph,82,0.74,2.41,1.15,0.61,1.39,2.12,1.37,1.67,0.98
Mike Scott,79,0.91,1.24,0.59,0.52,1.19,1.99,0.96,1.67,1.093
Jerian Grant,60,0.58,0.83,0.82,0.32,0.67,1.03,0.8,1.67,1.136
Trevon Duval,3,0,0.67,0.67,0,0,0,0,1.67,1.667
Jerryd Bayless,33,0.52,1.52,0.85,0.33,0.64,2.39,1.12,1.67,0.909
Mike Muscala,64,1,1.28,1.13,0.89,1.8,1.44,2.11,1.67,1.244
PJ Dozier,6,0.5,2,0.33,1.5,0,0.67,0.83,1.67,0.905
Yogi Ferrell,70,1.36,1.83,0.99,0.31,0.83,2.3,1.11,1.66,1.197
Timothe Luwawu-Cabarrot,50,0.88,1.6,0.56,0.36,0.98,1.2,0.78,1.66,1.06
Jakob Poeltl,77,0.22,4.65,0.71,1.47,1.17,1,1.66,1.66,1.459
Meyers Leonard,61,0.38,2.46,0.44,0.69,1.08,1.77,1.34,1.66,1.475
Khyri Thomas,26,0.23,0.69,0.12,0.15,0,0.38,0.31,1.65,0.884
Thomas Welsh,11,0,0.36,0.27,0,0,0,0,1.64,1.385
Joakim Noah,42,0.55,5.05,1.38,1.21,1.6,1.9,1.95,1.64,1.399
Moritz Wagner,42,0.62,2.05,0.48,0.43,0.83,1.17,1.02,1.64,1.181
Bonzie Colson,8,1.13,1.75,0.38,1,1,1.63,0.63,1.63,1
Jaron Blossomgame,27,0.41,2.44,0.81,1.15,0.63,0.67,1.3,1.63,1.075
Ryan Broekhoff,41,0.44,0.78,0.41,0.56,0.61,1.02,0.54,1.63,1.289
Chimezie Metu,29,0.28,1.17,0.69,0.21,0,0,0.14,1.62,0.879
Myles Turner,74,0.8,5.49,2.2,1.46,4.85,2.58,4.2,1.62,1.262
Devonte' Graham,46,0.85,1.3,0.28,0.54,0.63,1.5,0.87,1.61,1.005
Lonzo Ball,47,2.19,4.21,1.89,1.23,2.94,2.32,2.87,1.6,1.02
Willy Hernangomez,58,0.43,4.59,0.66,2.12,2.02,1.5,2.09,1.6,1.422
Shai Gilgeous-Alexander,81,1.74,5.23,1.57,0.62,3.56,2.57,3.06,1.6,1.239
Rodions Kurucs,63,1.02,4.41,1.35,0.86,2.86,1.81,2.22,1.59,1.189
Al-Farouq Aminu,81,1.27,3.8,1.49,1.56,2.93,1.74,3.06,1.58,1.282
Robin Lopez,74,0.08,7.59,0.73,1.66,3.35,1.95,2.51,1.57,1.316
Gorgui Dieng,75,0.32,2.53,0.84,1,1.48,2.28,1.08,1.57,1.286
Will Barton,42,1.71,4.57,1.79,1.29,3.95,3.17,2.83,1.57,1.083
Omri Casspi,36,1.64,3.89,1.72,0.86,1.83,2.25,0.64,1.56,1.404
Salah Mejri,36,0.28,2.44,0.42,0.83,1.03,0.64,0.5,1.56,1.259
Ekpe Udoh,51,0.06,1.96,0.31,0.61,0.2,0.35,0.24,1.55,1.653
Jahlil Okafor,58,0.48,7.03,0.91,1.78,2.36,2.43,2,1.55,1.344
Jevon Carter,39,1.03,0.67,0.79,0.69,0.82,0.92,1.13,1.54,0.93
Ryan Arcidiacono,81,0.52,2.2,0.86,0.43,1.73,1.69,1.72,1.54,1.301
Elie Okobo,53,0.77,2.38,0.89,0.28,1.26,1.36,1.58,1.53,1.048
Kyle Anderson,43,1.58,5.77,1.56,1.05,2.19,1.91,2.37,1.53,1.254
George Hill,60,1.12,3.23,1.45,1.02,1.88,1.92,2.32,1.52,1.218
Patrick Beverley,77,1.14,2.03,1.16,0.55,2.12,1.95,1.95,1.51,1.238
Amir Johnson,51,0.25,2.55,0.53,0.76,0.8,0.76,0.86,1.51,1.28
Vince Carter,75,0.71,1.55,0.83,0.45,1.83,1.59,2.32,1.51,1.195
Marquese Chriss,43,0.42,2.33,0.88,0.79,0.93,0.67,0.88,1.51,1.011
Angel Delgado,2,0,1,0,0.5,0,0,0,1.5,0.6
Vincent Edwards,2,0,0,0,1.5,0,0,0,1.5,0.75
Melvin Frazier Jr.,10,0.6,1.2,0.6,0.2,0,0,0,1.5,0.714
Skal Labissiere,22,0.18,1.45,0.32,0.36,0.36,0.36,0.82,1.5,1.367
Jarred Vanderbilt,16,0,1.13,0.25,0.38,0,0,0,1.5,1.263
Troy Brown Jr.,51,0.75,2.27,0.94,0.51,1.08,1.04,1.14,1.49,1.08
Juancho Hernangomez,70,0.66,1.91,0.74,1.21,1.54,1.13,1.67,1.49,1.304
Alex Abrines,31,0.65,0.65,0.35,0.65,1.03,1.45,1.35,1.48,1.051
Jonathan Isaac,75,1.21,3.73,1.65,1.39,3.25,2.07,2.8,1.48,1.178
Drew Eubanks,23,0,1.22,0.09,0.09,0.09,0,0.22,1.48,1.577
Keita Bates-Diop,29,0.93,2.76,1.17,0.55,1.24,0.97,1.28,1.48,1.067
Noah Vonleh,68,0.35,4.44,1.22,1.4,2.76,2.13,2.03,1.47,1.298
Taj Gibson,70,1,7.54,1.89,2.83,3.67,2.39,3.19,1.46,1.402
Nicolas Batum,75,0.75,2.8,1.37,1.17,3.27,1.67,2.83,1.45,1.244
MarShon Brooks,29,0.86,3.45,0.9,0.83,1.72,2.48,0.9,1.45,1.124
Robert Williams III,31,0.32,2.26,0.71,0.45,0.19,0.48,0.48,1.45,1.588
Dwight Howard,9,0.89,8.67,2.33,2.78,5.78,2.44,3.11,1.44,1.667
Brandon Goodwin,16,0.31,0.5,0.69,0.13,0,0,0,1.44,1
Tristan Thompson,43,0.49,8.79,1.49,3.67,3.4,2.81,3.28,1.44,1.237
Jarell Martin,42,0.38,0.76,0.29,0.21,0.36,0.67,0.29,1.43,1.106
Justin Anderson,47,0.77,1.66,0.68,0.57,0.64,0.91,0.68,1.43,1.122
Semi Ojeleye,56,0.79,1.29,0.55,0.63,0.59,0.79,0.52,1.43,1.177
James Johnson,55,0.4,3.89,1.04,0.45,2.29,1.44,2.64,1.42,1.129
D.J. Wilson,48,0.54,2.04,1.13,0.96,1.35,1.52,1.5,1.42,1.116
Markelle Fultz,19,1.37,5.37,0.89,1.05,2.11,2.11,2.53,1.42,1
Jonah Bolden,44,0.7,2.05,0.36,1.09,1.52,0.93,0.84,1.41,1.278
Rodney McGruder,66,0.76,3.03,0.92,1.15,1.83,1.7,2.68,1.41,1.091
Kenrich Williams,45,1.44,2.27,0.89,0.47,1.51,1.27,1.78,1.4,1
Hamidou Diallo,51,1.1,2.67,0.98,0.67,0.22,1.75,0.37,1.39,1.152
Michael Kidd-Gilchrist,64,0.81,3.72,1.3,1.28,2.06,1.33,1.89,1.39,1.286
Edmond Sumner,23,0.39,1.13,0.61,0.43,0.57,0.83,0.09,1.39,1.031
Wendell Carter Jr.,44,0.66,6.45,1.48,1.66,3.57,1.95,3.39,1.39,1.226
Torrey Craig,74,1.26,2.51,1.15,1,1.61,1.32,1.5,1.38,1.194
Shaun Livingston,64,0.55,2.53,0.55,0.55,0.39,1.77,0.5,1.38,1.229
Danny Green,80,2.24,1.73,1.54,1.08,3.54,1.95,3.28,1.36,1.303
Raymond Felton,33,0.73,1.27,0.79,0.52,0.33,1.91,0.7,1.36,1.052
Nemanja Bjelica,76,1.38,4.47,1.14,2.08,3.42,2.34,2.53,1.36,1.249
Channing Frye,36,0,0.33,0.22,0.42,0.72,0.69,0.81,1.36,1.103
Tyrone Wallace,61,0.8,2.52,0.89,0.3,0.21,1.41,0.46,1.36,1
Omari Spellman,46,0.46,2.17,0.78,1.13,1.33,1.91,1.33,1.35,1.115
Jordan Bell,68,0.51,2.26,0.34,0.5,0.38,0.79,0.75,1.35,1.161
Cody Zeller,49,0.73,7.39,1.78,1.59,2.96,3.18,2.65,1.35,1.441
Jason Smith,20,0,0.9,0.1,0.4,0.65,0.9,0.35,1.35,1.102
Treveon Graham,35,0.37,1.2,0.31,0.63,1,1.03,1.8,1.34,0.963
Glenn Robinson III,47,0.74,1.83,1,0.21,1.13,0.96,0.74,1.34,1.125
Tony Bradley,3,0.67,5.33,0.67,2,1.33,0.33,2,1.33,1.063
Ivan Rabb,49,0.45,4.08,0.78,1.39,1.43,1.86,1.18,1.33,1.34
Jimmer Fredette,6,0.33,2,0.67,0,0,1.67,0.67,1.33,0.759
Dairis Bertans,12,0.25,0,0,0,0,1.25,0.25,1.33,0.723
Justin Patton,3,0,1.33,0,0,0,0,0.33,1.33,0.714
T.J. McConnell,76,0.87,3.53,0.78,0.51,1.66,1.59,1.76,1.32,1.15
Quincy Pondexter,53,0.26,0.79,0.32,0.11,0.08,0.28,0.17,1.32,1.69
Tim Frazier,59,0.85,2.17,0.59,0.41,1.14,1.46,1.32,1.31,1.188
Alfonzo McKinnie,72,0.9,2.39,0.6,0.86,0.9,1.33,1.14,1.31,1.221
Deonte Burton,32,0.31,1.38,0.63,0.06,0.19,0.94,0.16,1.28,1
Wilson Chandler,50,1.28,1.68,0.74,0.68,1.8,1.74,1.18,1.26,1.128
Draymond Green,66,1.41,3.91,1,0.67,1.79,2.14,2.11,1.26,1.152
Andre Iguodala,68,1.24,2.79,1.18,0.41,1.06,2.06,1.32,1.24,1.288
De'Anthony Melton,50,0.94,2.56,0.94,0.44,1.24,0.94,1.5,1.24,0.977
Jared Terrell,13,0.08,0.46,0.23,0.54,0.23,0.08,0.85,1.23,0.795
Lorenzo Brown,26,0.31,1.08,0.42,0,0.27,0.38,0.23,1.23,0.775
Ed Davis,81,0.09,4.59,0.7,2.44,1.3,2.36,0.95,1.22,1.563
Thabo Sefolosha,50,0.66,1.24,0.92,0.22,0.2,1.96,0.42,1.22,1.275
Ersan Ilyasova,67,0.87,2.84,0.91,1.36,2.12,1.61,1.75,1.21,1.189
C.J. Williams,14,0.29,1,0.43,0.21,0.14,1.21,0.21,1.21,1.147
Dragan Bender,46,0.57,2.87,0.93,1.11,1.5,1.24,0.96,1.17,1.168
TJ Leaf,58,0.67,2.97,0.57,1,0.59,1.72,0.41,1.16,1.229
Courtney Lee,34,0.5,1.12,0.65,0.12,1.06,1,0.79,1.15,1.054
Frank Ntilikina,43,0.4,1.95,0.65,0.35,1.63,1.53,1.42,1.14,0.872
Avery Bradley,63,1.16,2.38,1.46,1.03,3.44,2.13,3.14,1.13,1.028
Isaiah Canaan,30,0.7,1.47,0.93,0.47,2,1.47,1.43,1.13,1.104
Kevon Looney,80,0.41,4.83,0.65,1.79,2.15,0.95,2.03,1.13,1.441
Pau Gasol,30,0.17,1.87,0.37,0.63,1.33,0.63,0.83,1.13,1.255
Royce O'Neale,82,1.16,2.27,1.06,0.17,1.2,1.67,1.21,1.12,1.242
