Player,Age_x,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%_x,OREB,DREB_x,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB_y,DREB%,T_DREB%_x,STL,T_STL%_x,BLK,T_BLK%_x,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_DREB%_y,T_REB%,T_AST%,T_TOV%,T_STL%_y,T_BLK%_y,T_BLKA%,T_PF%,T_PFD%,T_PTS%,Age_y,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,FT%_y,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary
Ante Zizic,22,0,5,13.3,2,3.6,55.6,0,0,0,0.8,1,80,1,2,3,0,0.2,1.6,9.4,0,0,-2.4,2,14.7,22.2,0.2,14.3,0.2,33.3,3.4,3.6,3.4,14,-0.016,13.2,17.9,15.4,0,0,14.3,12.5,45.5,22.2,26.8,0,5.3,14.3,33.3,25,29.6,23.3,15.2,22,100,0,83.3,0,0,8.3,16.7,16.7,83.3,80,20,0,0,80,20,0.8,1,0.4,4,3.4,3.6,3.4,14,0.4,1.4,64,-3.6,-1.4,-4.9,1.6,-8,-6.4,-2.7,-2.6,-5.3,-0.1,"$2,281,800 "
Boban Marjanovic,31,5,3,13,3,6,50,0,0.1,0,1.3,1.5,83.3,1.5,3.1,4.6,0.6,0.9,1.8,14,0,0,5.6,3.1,20.3,29.4,0.3,16.7,0.1,11.1,4.9,3.3,4.3,12,0.044,23.5,23.1,23.8,0,1.3,29.4,30.8,41.4,29.4,32.5,9.1,25,16.7,11.1,38.5,29.2,42.5,20.6,31,97.9,2.1,82.8,3.4,0,3.4,17.2,10.3,79.3,45.8,54.2,0,0,45.8,54.2,0.8,2.6,0.3,5.8,4.9,3.3,4.3,12,0.6,2.1,104,0.2,-2.1,-1.9,13.7,-1.2,12.5,2.6,-2.1,0.5,0.2,"$3,500,000 "
Bogdan Bogdanovic,27,8,9,27.8,5.2,12.9,40.5,2.8,7.4,38.4,1.7,2.4,72.5,0.2,2.5,2.8,4.8,1.8,1.9,28.5,2,0,-1.2,2.5,9.5,14.1,1.5,34.7,0.1,3.8,8.8,6.3,5.1,24.5,0.074,24.4,24.3,26.3,36.4,35.1,19.3,20.6,4.3,14.1,11.8,36,20.9,34.7,3.8,33.3,14.6,20,25.1,27,43.2,56.8,32.2,15.7,56.5,12.2,11.4,14.5,16.5,17.1,82.9,79.2,20.8,50.6,49.4,2.2,1.5,1.8,2.5,8.8,6.3,5.1,24.5,0.9,2.4,445,4.1,1.1,5.2,-0.2,1.4,1.3,3.6,1.2,4.8,1.7,"$8,529,386 "
Bojan Bogdanovic,30,12,6,33.3,7.6,15.6,48.8,3.3,7,46.8,3.6,4.1,87.8,0.7,3.7,4.4,2.2,2.7,2,30.9,0,0,5.7,3.7,10.2,14.3,0.8,19.2,0.2,7.8,11.8,9.8,8.6,31.9,0.135,25.6,28,26.9,35.8,31.6,25,22.2,11.9,14.3,13.8,14.3,25.8,19.2,7.8,37.9,14.3,19.3,28.4,30,55.2,44.8,39.2,3,44.5,14.1,16.3,20.6,36.2,48.7,51.3,88.1,11.9,65.7,34.3,4.6,1.6,3.1,8,11.8,9.8,8.6,31.9,1.2,3.2,565,1.9,-0.2,1.6,7.9,-1.6,6.3,3.1,-0.5,2.6,1.5,"$17,000,000 "
Brian Bowen II,21,2,1,3.2,0.3,1.3,25,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,2.1,0,0,1,0.3,10,12.5,0,0,0.3,50,0,0,0.7,2,0.016,16,10,20,0,20,0,0,0,12.5,9.1,0,0,0,50,0,0,20,8.7,21,75,25,100,0,0,0,0,0,100,100,0,0,0,100,0,0,0,0,0.7,0,0,0.7,2,0,0.3,10,-7.6,7.4,-0.2,-1.1,0.8,-0.3,-6.7,6.5,-0.2,0,
CJ Miles,32,4,6,16.1,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2,75,0.4,0.8,1.2,1.2,0.4,1.4,13.4,0,0,-0.8,0.8,5,7.5,1,40,0.4,22.2,6.1,4.1,3.7,16.8,0.016,16.9,12.6,17.7,24.4,25.2,23.4,26.7,10.8,7.5,8.4,12.8,9.1,40,22.2,12.5,16.5,18.7,15.6,32,40.7,59.3,25,3.1,51.6,14.1,23.4,18.8,21.9,75,25,90.9,9.1,84.2,15.8,1.2,1.3,0.9,1.4,6.1,4.1,3.7,16.8,0.2,1.4,161,1.2,-0.3,0.9,0.1,-6.6,-6.5,1,-1.4,-0.4,0.2,"$8,730,158 "
Charles Brown Jr.,22,0,4,4.1,0.3,0.8,33.3,0.3,0.3,100,1,1,100,0.5,0.3,0.8,0,0,0,3.4,0,0,2.5,0.3,8.3,10,0,0,0.3,100,0,0.8,0,1.5,0.045,12.2,9.1,11.5,25,11.1,36.4,25,50,10,21.4,0,0,0,100,0,0,30,18.9,22,66.7,33.3,0,0,42.9,28.6,57.1,28.6,0,0,0,100,0,100,0,0.5,0,0.5,0,0,0.8,0,1.5,0,0.8,16,2.7,7.3,10,3.3,12.6,15.9,3,8.8,11.8,0.1,
Chris Chiozza,24,1,3,10.5,0.5,2.8,18.2,0.5,1,50,0,0,0,0,1,1,1.8,1,1.5,7.3,0,0,1.5,1,9.5,12.1,0.5,33.3,0.5,50,3.5,1.5,2,8,0.137,14,7.1,14.1,15.4,10,0,0,0,12.1,10,38.9,19,33.3,50,40,22.2,11.1,7.7,24,63.6,36.4,0,0,100,50,0,0,0,0,0,100,0,100,0,0,0,0.8,0,3.5,1.5,2,8,0.5,0.5,37,-4.9,6.2,1.3,-18.8,23.2,4.4,-7.8,9.7,2,0.1,
Chris Clemons,22,9,4,8.9,1.8,4,46.2,1.4,3.3,41.9,0.2,0.3,75,0.2,0.5,0.7,0.5,0.5,0.9,7.3,0,0,0.2,0.5,5,8,0.2,15.4,0.2,14.3,3.2,3,2,8.6,0.032,21.4,25.8,24.4,43.9,33.3,7.3,7.8,8.7,8,8.1,12,17.1,15.4,14.3,16.7,21.8,14.6,25.7,22,17.3,82.7,17.4,2.9,78.3,10.1,4.3,18.8,14.5,0,100,66.7,33.3,50,50,1,0.5,0.5,0.8,3.2,3,2,8.6,0.2,0.5,101,3.1,1.9,5,-2.1,0.3,-1.8,2.3,1.7,4,0.4,
Chris Silva,23,13,4,10.5,1.6,2.4,67.5,0,0.1,0,1.1,1.5,69.2,1.9,2.4,4.4,0.7,1.4,2.9,12.3,0,0,1.8,2.4,20.8,30.8,0.2,12.9,0.8,70,5.9,3.3,3.4,8,0.055,16.8,17.4,12.8,0,1.5,31.6,33.8,64.7,30.8,40.2,12.8,27,12.9,70,36.4,48.5,36.8,17,23,95,5,75,5.6,0,0,25,15.3,69.4,63,37,0,0,63,37,0.6,1.5,0,2.9,5.9,3.3,3.4,8,0.2,1.5,161,-2,4.1,2.1,3.8,1.6,5.4,-1.1,3.6,2.5,0.4,
