,Player,Team,Position(s),Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
228,CJ Miles,Wizards,SF,161,+0.7,-0.3,+0.4,+0.7,-5.1,-4.4,+0.7,-1.2,-0.5,0.2
229,Boban Marjanovic,Mavericks,C,108,+0.6,-2.8,-2.2,+14.4,-1.8,+12.6,+3.3,-2.8,+0.6,0.2
230,James Johnson,Heat,"SF, PF",68,-3.8,+4.9,+1.1,+5.9,+2.7,+8.6,-2.1,+4.6,+2.5,0.2
231,Matt Thomas,Raptors,SG,136,+1.0,-1.1,-0.1,-0.6,+0.5,-0.1,+0.7,-0.9,-0.2,0.2
232,RJ Barrett,Knicks,"SG, SF",649,-1.7,+0.1,-1.5,-4.0,-1.2,-5.2,-2.1,-0.1,-2.2,0.2
233,Svi Mykhailiuk,Pistons,"SG, SF",268,-0.7,-3.0,-3.6,+7.8,-0.1,+7.7,+1.0,-2.5,-1.5,0.2
234,Elfrid Payton,Knicks,PG,102,-2.0,+0.2,-1.7,+5.4,+3.6,+9.0,-0.5,+1.0,+0.5,0.2
235,Tremont Waters,Celtics,PG,20,+3.5,+6.9,+10.3,+20.0,+4.0,+24.0,+7.1,+6.6,+13.7,0.2
236,Derrick Favors,Pelicans,"PF, C",189,+0.2,-1.8,-1.6,+3.5,-2.2,+1.3,+0.8,-1.9,-1.1,0.2
237,Grayson Allen,Grizzlies,SG,184,-1.8,+0.7,-1.0,-7.1,+5.7,-1.4,-2.9,+1.9,-1.0,0.2
238,Damyean Dotson,Knicks,SG,278,+0.2,-2.1,-1.9,+1.8,-2.4,-0.6,+0.6,-2.2,-1.6,0.2
239,Ryan Broekhoff,Mavericks,"SG, SF",25,+4.4,+3.2,+7.7,+20.3,-6.5,+13.8,+7.8,+1.3,+9.1,0.2
240,Derrick White,Spurs,"PG, SG",480,+0.3,-1.8,-1.5,-2.4,-2.2,-4.6,-0.3,-1.9,-2.1,0.1
241,Chris Chiozza,Wizards,PG,48,-4.6,+5.9,+1.4,-13.8,+23.7,+9.9,-6.8,+10.1,+3.3,0.1
242,Dragan Bender,Bucks,PF,29,+3.4,+0.2,+3.6,+14.9,+3.3,+18.2,+5.9,+0.7,+6.6,0.1
243,Goga Bitadze,Pacers,C,201,-2.9,+0.9,-2.1,+1.2,+0.6,+1.8,-2.2,+0.8,-1.5,0.1
244,Admiral Schofield,Wizards,SF,59,+2.2,-1.5,+0.7,-6.9,+11.1,+4.2,+0.4,+1.1,+1.5,0.1
245,Steven Adams,Thunder,C,420,-0.5,-2.8,-3.3,+1.7,+1.2,+2.8,-0.1,-2.1,-2.2,0.1
246,Elie Okobo,Suns,PG,144,+3.1,-6.1,-3.0,+9.2,-1.9,+7.3,+4.6,-5.6,-1.0,0.1
247,Seth Curry,Mavericks,"PG, SG",377,+1.3,-2.8,-1.5,-1.2,-2.3,-3.5,+0.8,-2.9,-2.1,0.1
248,Jared Dudley,Lakers,PF,89,-0.3,+2.9,+2.7,-11.1,+0.6,-10.5,-2.5,+2.5,-0.0,0.1
249,Rajon Rondo,Lakers,PG,226,+2.7,-3.6,-0.9,-0.6,-3.6,-4.1,+2.1,-3.9,-1.7,0.1
250,Kentavious Caldwell-Pope,Lakers,SG,496,-1.3,-1.2,-2.6,+0.1,-0.2,-0.1,-1.1,-1.2,-2.3,0.1
251,Charles Brown Jr.,Hawks,SG,16,+2.7,+6.9,+9.6,+3.5,+11.8,+15.2,+3.1,+8.4,+11.6,0.1
252,Keita Bates-Diop,Timberwolves,"SF, PF",150,-0.6,-0.7,-1.3,-6.1,+5.4,-0.7,-1.7,+0.5,-1.2,0.1
253,DeMarre Carroll,Spurs,"SF, PF",120,-3.2,+0.8,-2.4,+3.3,+1.5,+4.8,-2.0,+1.1,-0.9,0.1
254,JaKarr Sampson,Pacers,SF,166,-4.0,+2.3,-1.7,-0.6,+0.8,+0.2,-3.5,+2.1,-1.4,0.1
255,Gary Trent Jr.,Trail Blazers,SG,93,+4.0,-2.4,+1.5,-0.6,-8.3,-8.9,+3.3,-3.8,-0.5,0.1
256,Tyson Chandler,Rockets,C,163,-2.5,-0.1,-2.6,+3.6,+0.7,+4.3,-1.5,+0.0,-1.5,0.1
257,Terry Rozier,Hornets,"PG, SG",712,+0.0,-0.1,-0.0,-6.1,-6.1,-12.2,-1.2,-1.3,-2.5,0.1
258,Lonnie Walker IV,Spurs,SG,116,-1.0,-1.1,-2.1,-3.0,+6.2,+3.2,-1.5,+0.4,-1.1,0.1
259,Darius Bazley,Thunder,"SF, PF",325,-4.4,+1.8,-2.6,-7.3,+7.6,+0.3,-5.3,+3.1,-2.2,0.1
260,Trey Burke,76ers,PG,122,+1.0,-1.9,-0.8,+0.5,-2.3,-1.8,+1.0,-2.1,-1.2,0.1
261,Noah Vonleh,Timberwolves,PF,177,-3.3,+1.5,-1.8,-2.8,+2.2,-0.7,-3.4,+1.7,-1.7,0.1
262,Alex Len,Hawks,C,334,-3.0,+2.6,-0.4,-10.9,+1.4,-9.5,-4.8,+2.6,-2.2,0.1
263,Max Strus,Bulls,SG,6,+13.6,-1.0,+12.7,+55.8,+19.2,+75.0,+23.4,+3.2,+26.6,0.1
264,Ty Jerome,Suns,"PG, SG",12,+3.8,+9.7,+13.5,-2.0,+3.5,+1.5,+2.8,+9.0,+11.8,0.1
265,Tony Snell,Pistons,"SG, SF",432,+0.8,-2.8,-2.0,+0.3,-3.5,-3.3,+0.8,-3.1,-2.3,0.1
266,Edmond Sumner,Pacers,SG,67,-0.8,+4.1,+3.2,-1.9,-12.4,-14.3,-1.0,+0.8,-0.2,0.1
267,Larry Nance Jr.,Cavaliers,"PF, C",467,+1.1,-2.4,-1.2,-1.3,-5.6,-6.8,+0.7,-3.1,-2.4,0.1
268,Trey Lyles,Spurs,PF,382,-0.4,-2.3,-2.7,+0.8,-1.2,-0.3,-0.2,-2.1,-2.3,0.1
269,DaQuan Jeffries,Kings,SF,11,-0.8,+11.0,+10.2,-8.8,+21.2,+12.4,-2.5,+13.9,+11.4,0.1
270,Mfiondu Kabengele,Clippers,C,23,+7.9,-3.2,+4.7,+5.9,-4.5,+1.5,+7.8,-3.8,+4.0,0.1
271,Daniel Gafford,Bulls,C,118,-1.1,-0.5,-1.6,-7.5,+6.3,-1.2,-2.5,+0.9,-1.6,0.1
272,Josh Magette,Magic,PG,8,+6.1,+11.0,+17.2,+3.8,-16.6,-12.8,+6.2,+6.0,+12.2,0.1
273,Jaxson Hayes,Pelicans,C,363,-1.8,-2.7,-4.4,+4.1,+2.2,+6.2,-0.7,-1.8,-2.4,0.1
274,Thanasis Antetokounmpo,Bucks,SF,25,+5.4,-5.1,+0.3,+10.4,-2.9,+7.5,+6.6,-5.1,+1.5,0.1
275,Nicolas Claxton,Nets,C,119,-2.1,+1.8,-0.4,-5.8,-1.8,-7.6,-3.1,+1.2,-1.9,0.1
276,Frank Mason,Bucks,PG,10,-0.7,+1.5,+0.8,+15.8,+17.8,+33.5,+2.5,+4.8,+7.3,0.1
277,Yuta Watanabe,Grizzlies,SF,3,+15.3,+4.2,+19.4,+6.1,+34.7,+40.8,+14.4,+10.9,+25.3,0.0
278,Jarrell Brantley,Jazz,PF,5,+5.0,-0.0,+5.0,+27.0,+17.4,+44.5,+10.0,+3.4,+13.5,0.0
279,Kadeem Allen,Knicks,PG,16,+2.4,+1.1,+3.5,+1.5,-6.8,-5.3,+2.6,-0.3,+2.3,0.0
280,Courtney Lee,Mavericks,SG,47,+1.5,-2.6,-1.1,+10.7,-10.3,+0.4,+3.4,-4.5,-1.1,0.0
281,T.J. McConnell,Pacers,PG,311,+0.5,-2.6,-2.0,-1.3,-2.5,-3.8,+0.2,-2.7,-2.6,0.0
282,Patrick McCaw,Raptors,SG,40,-0.6,+1.1,+0.6,-1.7,-7.1,-8.8,-0.9,-0.6,-1.5,0.0
283,Evan Turner,Hawks,"PG, SG, SF",174,-3.2,+0.3,-2.9,-7.9,+7.3,-0.6,-4.3,+1.9,-2.5,0.0
284,Derrick Walton Jr.,Clippers,PG,22,-4.7,+3.0,-1.7,+2.3,+3.2,+5.5,-3.6,+3.0,-0.5,0.0
285,Brian Bowen II,Pacers,SF,10,-7.4,+9.0,+1.6,-0.1,+3.1,+3.0,-6.3,+8.3,+2.0,0.0
286,Nassir Little,Trail Blazers,SF,223,-2.7,+0.3,-2.4,+1.1,-4.0,-2.9,-2.1,-0.5,-2.6,0.0
287,Amile Jefferson,Magic,PF,9,+9.4,-8.2,+1.2,-2.9,+2.4,-0.5,+7.5,-6.5,+1.0,0.0
288,Garrison Mathews,Wizards,SG,14,-5.0,+0.9,-4.1,-16.0,+31.2,+15.2,-7.7,+7.3,-0.4,0.0
289,Miye Oni,Jazz,SG,4,-14.5,+22.0,+7.5,-16.5,+8.8,-7.8,-15.8,+20.6,+4.8,0.0
290,Tyler Cook,Cavaliers,PF,17,+1.3,-1.4,-0.1,-5.8,+0.8,-5.0,-0.0,-0.9,-0.9,0.0
291,Kyle Korver,Bucks,"SG, PF",257,-1.5,-0.1,-1.6,-1.7,-4.2,-5.9,-1.7,-1.0,-2.7,0.0
292,Nickeil Alexander-Walker,Pelicans,SG,242,-2.8,-1.0,-3.8,+3.6,-1.5,+2.2,-1.6,-1.1,-2.7,0.0
293,Taj Gibson,Knicks,PF,311,-1.5,-0.8,-2.3,-0.9,-3.2,-4.1,-1.4,-1.3,-2.7,0.0
294,Dante Exum,Jazz,"PG, SG",59,-1.6,-0.2,-1.7,-11.0,+5.3,-5.7,-3.6,+1.0,-2.6,0.0
295,Romeo Langford,Celtics,"SG, SF",1,+1.3,+5.8,+7.1,-59.5,+0.8,-58.7,-11.4,+5.0,-6.4,0.0
296,Reggie Jackson,Pistons,PG,36,-1.9,-1.4,-3.3,-9.6,+9.4,-0.2,-3.6,+0.8,-2.8,-0.0
297,Dewan Hernandez,Raptors,PF,9,-3.1,-0.3,-3.4,+5.5,-6.7,-1.2,-1.7,-1.9,-3.6,-0.0
298,Alize Johnson,Pacers,"SF, PF",37,+3.4,-6.3,-2.9,+7.6,-10.0,-2.3,+4.5,-7.5,-3.0,-0.0
299,Brandon Goodwin,Hawks,PG,2,-25.2,+21.0,-4.2,-6.6,-13.3,-19.9,-22.9,+15.1,-7.8,-0.0
300,Jerome Robinson,Clippers,"SG, SF",205,-3.8,-1.0,-4.8,+2.2,+4.3,+6.5,-2.8,-0.0,-2.8,-0.0
301,Jaylen Hoard,Trail Blazers,PF,11,+6.8,-7.6,-0.8,-0.9,-15.0,-15.8,+5.6,-9.7,-4.1,-0.0
302,Juwan Morgan,Jazz,PF,3,-2.5,-6.9,-9.4,-15.6,+14.2,-1.3,-5.3,-3.0,-8.3,-0.0
303,Malcolm Miller,Raptors,SF,48,+2.1,-4.0,-1.9,-1.1,-5.1,-6.2,+1.5,-4.6,-3.1,-0.0
304,Bobby Portis,Knicks,"PF, C",458,-2.6,+0.7,-1.9,-4.3,-1.9,-6.2,-3.0,+0.3,-2.8,-0.0
305,Nigel Williams-Goss,Jazz,PG,15,-3.4,-1.3,-4.7,-8.7,+9.1,+0.4,-4.7,+0.8,-4.0,-0.0
306,Justin Robinson,Wizards,PG,12,-5.2,-6.8,-11.9,+1.9,+25.7,+27.6,-4.0,-0.3,-4.4,-0.0
307,Deonte Burton,Thunder,SG,93,-1.2,-1.5,-2.7,-2.0,-1.3,-3.3,-1.4,-1.6,-3.0,-0.0
308,Jalen McDaniels,Hornets,PF,3,+12.5,-24.5,-12.0,+4.6,-6.0,-1.4,+11.8,-22.0,-10.3,-0.0
309,Kostas Antetokounmpo,Lakers,"SF, PF",3,-3.2,-14.5,-17.7,+9.5,+10.2,+19.8,-0.7,-10.3,-11.1,-0.0
310,Sekou Doumbouya,Pistons,"SF, PF",9,-6.9,-5.8,-12.7,+12.5,+10.2,+22.7,-3.4,-2.8,-6.2,-0.0
311,Vlatko Cancar,Nuggets,SF,2,-10.0,-15.7,-25.8,-1.1,+15.8,+14.7,-8.6,-10.1,-18.7,-0.0
312,Doug McDermott,Pacers,SF,415,-1.6,-1.9,-3.5,-0.6,+1.6,+1.0,-1.5,-1.4,-2.8,-0.0
313,Al-Farouq Aminu,Magic,PF,380,-4.0,+2.5,-1.6,-10.1,+2.8,-7.3,-5.5,+2.6,-2.9,-0.0
314,Daryl Macon,Heat,PG,13,-9.2,+0.2,-9.0,-13.8,+22.7,+8.9,-10.8,+5.0,-5.8,-0.0
315,Udonis Haslem,Heat,PF,11,+1.3,-2.2,-1.0,-14.1,-11.5,-25.6,-2.0,-4.4,-6.4,-0.0
316,Jared Harper,Suns,PG,2,-12.9,-8.9,-21.8,-17.5,-1.5,-19.1,-14.8,-8.0,-22.8,-0.0
317,Henry Ellenson,Nets,PF,3,-1.1,-13.0,-14.1,-18.4,-3.4,-21.8,-5.0,-11.8,-16.8,-0.0
318,Monte Morris,Nuggets,PG,306,+0.2,-1.6,-1.4,-6.1,-2.2,-8.3,-1.1,-1.8,-2.9,-0.0
319,Javonte Green,Celtics,SF,84,-0.7,-1.4,-2.1,+0.6,-7.1,-6.5,-0.5,-2.8,-3.3,-0.0
320,Ryan Anderson,Rockets,PF,14,-9.0,-2.5,-11.5,+10.5,+8.0,+18.5,-5.5,-0.4,-5.8,-0.0
321,Stanton Kidd,Jazz,PF,15,-14.2,+8.0,-6.1,-8.1,+6.5,-1.6,-13.8,+8.0,-5.8,-0.0
322,Jaylen Nowell,Timberwolves,SG,15,-3.3,-1.2,-4.5,-20.0,+10.5,-9.5,-7.0,+1.1,-5.8,-0.0
323,Austin Rivers,Rockets,"PG, SG",495,+0.5,-2.5,-2.0,+3.6,-8.7,-5.1,+1.1,-4.0,-2.9,-0.0
324,Ish Smith,Wizards,PG,445,-1.2,-3.1,-4.3,+2.3,+1.2,+3.5,-0.6,-2.3,-2.9,-0.0
325,Norvel Pelle,76ers,C,13,-12.6,+8.8,-3.8,-22.4,+2.6,-19.9,-15.4,+7.9,-7.6,-0.0
326,John Konchar,Grizzlies,SG,7,-3.5,-6.0,-9.5,-4.7,-13.4,-18.1,-4.0,-7.8,-11.8,-0.0
327,Keldon Johnson,Spurs,SF,2,-21.5,-25.7,-47.2,-12.2,-0.1,-12.3,-20.8,-22.0,-42.8,-0.0
328,Jacob Evans,Warriors,"PG, SG, SF",43,+2.7,-5.4,-2.6,-1.5,-10.9,-12.4,+2.1,-6.8,-4.7,-0.0
329,Caleb Swanigan,Kings,PF,11,-12.5,-1.3,-13.8,-13.9,+22.3,+8.4,-13.5,+3.6,-9.9,-0.0
330,Khyri Thomas,Pistons,SG,6,-5.8,-6.2,-12.0,-51.8,+18.2,-33.6,-15.8,-1.5,-17.3,-0.0
331,John Henson,Cavaliers,C,22,-3.9,+1.8,-2.1,-7.1,-17.5,-24.6,-4.8,-1.9,-6.7,-0.0
332,Jarred Vanderbilt,Nuggets,"SF, PF",9,-9.1,-5.8,-14.9,+14.0,-17.2,-3.2,-4.7,-8.5,-13.2,-0.0
333,Dorian Finney-Smith,Mavericks,"SF, PF",539,-1.5,-1.6,-3.2,+2.8,-3.6,-0.8,-0.8,-2.2,-2.9,-0.0
334,Dean Wade,Cavaliers,PF,18,-5.6,-7.0,-12.6,+19.7,-8.2,+11.5,-0.6,-7.4,-8.0,-0.0
335,Zach Norvell Jr.,Lakers,SG,5,-10.3,-11.9,-22.2,-7.5,-9.9,-17.5,-10.4,-12.3,-22.6,-0.1
336,Jahlil Okafor,Pelicans,C,229,-0.9,-1.7,-2.6,-1.0,-3.9,-4.9,-1.0,-2.2,-3.2,-0.1
337,Ja Morant,Grizzlies,PG,488,+0.0,-3.8,-3.8,-0.4,+0.8,+0.5,+0.1,-3.0,-3.0,-0.1
338,KZ Okpala,Heat,"SF, PF",3,-15.4,-9.1,-24.5,-62.7,-1.7,-64.4,-26.3,-8.3,-34.6,-0.1
339,Chandler Parsons,Hawks,SF,35,-1.3,-0.9,-2.1,-6.7,-13.0,-19.7,-2.4,-3.4,-5.8,-0.1
340,Oshae Brissett,Raptors,SF,17,-5.1,-3.7,-8.8,+6.0,-14.2,-8.2,-3.2,-6.3,-9.4,-0.1
341,Tacko Fall,Celtics,C,4,-32.3,-0.4,-32.7,-13.8,+2.2,-11.6,-30.4,-0.1,-30.6,-0.1
342,Justin James,Kings,SG,132,-3.5,+0.3,-3.2,-9.8,+4.7,-5.0,-5.0,+1.3,-3.7,-0.1
343,Devon Hall,Thunder,SG,15,-4.8,-15.8,-20.6,+29.9,-0.2,+29.7,+2.2,-13.5,-11.2,-0.1
344,Aaron Gordon,Magic,PF,520,-2.1,-0.7,-2.8,-2.8,-0.1,-2.9,-2.3,-0.7,-3.0,-0.1
345,Josh Gray,Pelicans,PG,23,-8.2,+0.6,-7.6,-17.8,+9.8,-7.9,-10.7,+2.6,-8.1,-0.1
346,Jonah Bolden,76ers,"PF, C",5,-17.1,-0.3,-17.4,-27.5,-36.5,-64.0,-20.4,-8.0,-28.4,-0.1
347,Draymond Green,Warriors,PF,362,-1.4,-1.8,-3.3,-0.5,-1.5,-2.0,-1.3,-1.8,-3.1,-0.1
348,Wes Iwundu,Magic,SF,142,-4.4,+1.1,-3.4,-1.6,-2.5,-4.1,-4.1,+0.4,-3.7,-0.1
349,Thabo Sefolosha,Rockets,SF,185,-2.1,-0.3,-2.4,-1.3,-5.1,-6.4,-2.2,-1.3,-3.5,-0.1
350,Timothe Luwawu-Cabarrot,Nets,SG,6,-17.6,-9.3,-26.9,-21.1,+2.0,-19.1,-19.3,-7.5,-26.8,-0.1
351,Vince Carter,Hawks,SG,243,-2.7,-2.2,-5.0,-4.5,+8.4,+3.8,-3.2,-0.1,-3.3,-0.1
352,Moses Brown,Trail Blazers,C,15,-1.8,-7.4,-9.2,-4.8,-18.7,-23.6,-2.7,-10.3,-13.0,-0.1
353,Johnathan Motley,Clippers,"SF, PF",4,-9.2,-34.6,-43.8,-8.7,-9.5,-18.1,-9.8,-31.6,-41.4,-0.1
354,Stanley Johnson,Raptors,SF,19,-12.0,+2.6,-9.4,-16.3,+1.6,-14.7,-13.7,+2.5,-11.2,-0.1
355,Semi Ojeleye,Celtics,PF,249,-2.9,-0.2,-3.1,-2.6,-0.6,-3.1,-3.1,-0.3,-3.4,-0.1
356,Kyle O'Quinn,76ers,C,120,-1.0,-0.0,-1.0,-4.4,-10.6,-15.0,-1.8,-2.3,-4.1,-0.1
357,Michael Kidd-Gilchrist,Hornets,"SF, PF",18,-8.9,-3.1,-12.0,-16.9,+4.8,-12.1,-11.0,-1.5,-12.5,-0.1
358,Wayne Ellington,Knicks,SG,246,-2.1,-2.5,-4.6,-3.6,+5.0,+1.4,-2.5,-1.0,-3.5,-0.1
359,Gary Clark,Rockets,PF,72,-0.3,-7.9,-8.2,+5.8,+3.3,+9.2,+0.8,-6.1,-5.3,-0.1
360,Marvin Bagley III,Kings,"PF, C",28,-7.2,+0.9,-6.3,-11.8,-6.9,-18.7,-8.5,-0.6,-9.2,-0.1
361,Melvin Frazier Jr.,Magic,"SG, SF",8,-3.2,-23.8,-27.1,-2.3,-12.1,-14.4,-3.1,-22.8,-25.9,-0.1
362,Kevon Looney,Warriors,"PF, C",25,-8.0,-2.7,-10.7,-7.6,+1.4,-6.2,-8.4,-1.9,-10.3,-0.1
363,Torrey Craig,Nuggets,SF,187,-1.8,-0.7,-2.5,-4.8,-3.0,-7.8,-2.5,-1.3,-3.8,-0.1
364,Mike Scott,76ers,"SF, PF",400,-0.7,-2.8,-3.5,-1.4,+0.5,-0.9,-0.9,-2.3,-3.2,-0.1
365,Robin Lopez,Bucks,C,301,-4.3,+0.4,-3.9,+1.0,-0.5,+0.5,-3.5,+0.1,-3.4,-0.1
366,Thaddeus Young,Bulls,PF,448,-3.6,+1.1,-2.5,-6.0,+0.5,-5.5,-4.2,+1.0,-3.2,-0.1
367,Myles Turner,Pacers,C,373,-2.2,-1.2,-3.4,-0.1,-1.8,-1.9,-1.9,-1.5,-3.3,-0.1
368,Justin Patton,Thunder,C,9,-17.1,-11.6,-28.7,+4.3,-11.2,-6.9,-13.7,-12.2,-25.9,-0.1
369,Terrance Ferguson,Thunder,"SG, SF",465,-2.9,+0.7,-2.2,-1.5,-4.9,-6.4,-2.8,-0.4,-3.2,-0.1
370,Jordan Bone,Pistons,PG,6,-30.2,-10.4,-40.6,-22.9,+6.8,-16.1,-30.7,-7.4,-38.1,-0.1
371,Carmelo Anthony,Trail Blazers,PF,212,-0.1,-5.1,-5.2,+5.0,-2.1,+2.9,+0.9,-4.7,-3.8,-0.1
372,Caleb Martin,Hornets,SF,25,-11.7,+0.4,-11.3,-22.7,+12.0,-10.8,-14.6,+3.0,-11.7,-0.1
373,Shamorie Ponds,Raptors,PG,8,+6.2,-42.0,-35.8,+16.5,-22.1,-5.6,+8.6,-40.6,-32.0,-0.1
374,Glenn Robinson III,Warriors,"SG, SF",706,-1.0,-1.9,-2.9,+2.5,-5.8,-3.3,-0.4,-2.7,-3.1,-0.1
375,P.J. Washington,Hornets,PF,608,-0.8,-2.6,-3.3,-0.6,-1.7,-2.2,-0.7,-2.4,-3.2,-0.1
376,Lonzo Ball,Pelicans,PG,361,-1.1,-1.7,-2.8,-1.6,-3.5,-5.1,-1.3,-2.1,-3.4,-0.1
377,Brandon Knight,Cavaliers,"PG, SG",79,-3.4,-1.9,-5.3,+1.0,-8.2,-7.2,-2.6,-3.3,-5.9,-0.1
378,Ante Zizic,Cavaliers,C,70,-4.5,-2.2,-6.6,+0.1,-6.0,-5.9,-3.7,-3.0,-6.7,-0.1
379,Jordan Bell,Timberwolves,"PF, C",74,-5.5,+0.1,-5.4,-8.1,-1.2,-9.2,-6.3,-0.1,-6.5,-0.1
380,Malik Beasley,Nuggets,"SG, SF",216,-3.0,+0.9,-2.1,-2.9,-8.2,-11.0,-3.1,-1.0,-4.1,-0.2
381,Jaren Jackson Jr.,Grizzlies,"PF, C",508,-0.5,-1.0,-1.5,-0.5,-10.0,-10.4,-0.5,-2.9,-3.4,-0.2
382,Thon Maker,Pistons,"PF, C",218,-0.6,-2.6,-3.2,-1.4,-5.7,-7.1,-0.8,-3.3,-4.2,-0.2
383,Dewayne Dedmon,Kings,C,284,-5.5,+2.1,-3.5,-5.1,+0.7,-4.3,-5.8,+1.9,-3.8,-0.2
384,Abdel Nader,Thunder,SF,169,-3.7,-0.2,-3.9,-9.8,+3.4,-6.4,-5.1,+0.5,-4.7,-0.2
385,Maurice Harkless,Clippers,SF,487,-3.2,+0.4,-2.9,-3.7,-0.5,-4.2,-3.5,+0.1,-3.4,-0.2
386,Iman Shumpert,Nets,SG,167,-4.4,+0.4,-3.9,-6.8,+0.7,-6.2,-5.2,+0.5,-4.7,-0.2
387,Michael Porter Jr.,Nuggets,SF,90,-3.5,-0.3,-3.8,-9.1,-5.2,-14.3,-4.9,-1.4,-6.3,-0.2
388,Caris LeVert,Nets,"SG, SF",284,-3.5,-0.7,-4.2,-0.6,-1.3,-1.9,-3.1,-0.8,-3.9,-0.2
389,Georges Niang,Jazz,PF,152,+0.9,-5.6,-4.7,-10.0,+5.2,-4.7,-1.3,-3.7,-5.0,-0.2
390,Vincent Poirier,Celtics,C,31,-7.3,-9.8,-17.1,-2.0,+3.3,+1.3,-6.7,-7.8,-14.5,-0.2
391,Tyrone Wallace,Hawks,PG,156,-4.3,-1.0,-5.3,-9.0,+5.6,-3.3,-5.5,+0.4,-5.1,-0.2
392,Landry Shamet,Clippers,"SG, SF",294,-2.2,-1.4,-3.6,-2.0,-2.2,-4.2,-2.3,-1.8,-4.0,-0.2
393,Zylan Cheatham,Pelicans,PF,20,-8.1,-9.8,-17.9,-15.7,-17.3,-33.0,-10.2,-11.9,-22.1,-0.2
394,Damian Jones,Hawks,C,369,-0.7,-2.6,-3.2,+2.3,-7.6,-5.3,-0.1,-3.7,-3.8,-0.2
395,Ignas Brazdeikis,Knicks,"SF, PF",42,-7.4,-7.3,-14.7,+1.5,-1.0,+0.5,-5.8,-6.3,-12.1,-0.2
396,Willy Hernangomez,Hornets,C,57,-4.8,-2.7,-7.5,-11.8,-5.7,-17.5,-6.4,-3.3,-9.7,-0.2
397,Rodney McGruder,Clippers,"PG, SG",260,-2.2,-2.6,-4.8,+2.3,-3.1,-0.8,-1.4,-2.9,-4.3,-0.2
398,Troy Daniels,Lakers,SG,238,-1.5,-2.3,-3.8,-5.0,-0.9,-5.9,-2.3,-2.2,-4.5,-0.2
399,D.J. Wilson,Bucks,PF,102,-0.7,-7.4,-8.1,+5.4,-5.9,-0.5,+0.4,-7.7,-7.3,-0.2
400,D.J. Augustin,Magic,PG,513,-0.2,-2.5,-2.7,-6.8,+0.4,-6.4,-1.6,-2.1,-3.7,-0.2
401,Rodions Kurucs,Nets,"SF, PF",99,-8.8,+0.8,-8.0,-6.5,+3.8,-2.7,-8.9,+1.5,-7.3,-0.2
402,Dzanan Musa,Nets,"SG, SF, PF",240,-4.7,+1.0,-3.8,-6.8,-0.1,-6.9,-5.4,+0.8,-4.6,-0.2
403,Jeff Teague,Timberwolves,PG,434,+1.5,-5.4,-3.9,+0.6,-3.0,-2.4,+1.4,-5.3,-3.8,-0.2
404,De'Andre Hunter,Hawks,PF,665,-2.5,-2.8,-5.2,+6.6,-2.5,+4.1,-0.7,-2.8,-3.5,-0.3
405,Mario Hezonja,Trail Blazers,"SF, PF",336,-3.5,-1.2,-4.8,-4.7,+3.8,-1.0,-4.0,-0.2,-4.3,-0.3
406,Cory Joseph,Kings,PG,469,-3.2,-0.1,-3.3,-2.5,-2.8,-5.3,-3.2,-0.6,-3.9,-0.3
407,Kelan Martin,Timberwolves,SF,116,-4.8,-2.7,-7.5,-9.2,+4.7,-4.5,-5.9,-1.3,-7.3,-0.3
408,Harry Giles III,Kings,"PF, C",52,-8.5,-3.1,-11.6,-12.6,-2.1,-14.7,-9.8,-3.1,-12.9,-0.3
409,Wenyen Gabriel,Kings,PF,47,-4.8,-10.4,-15.2,-6.0,+0.6,-5.4,-5.2,-8.7,-13.9,-0.3
410,Tyus Jones,Grizzlies,PG,403,-1.8,-2.1,-3.9,-0.4,-3.8,-4.2,-1.6,-2.5,-4.1,-0.3
411,Drew Eubanks,Spurs,PF,31,-5.9,-9.8,-15.7,-15.9,-19.6,-35.6,-8.4,-12.3,-20.6,-0.3
412,Alfonzo McKinnie,Cavaliers,SF,155,-3.7,-4.3,-8.0,+3.5,-2.8,+0.7,-2.3,-4.2,-6.5,-0.3
413,Grant Williams,Celtics,PF,267,-7.5,+0.8,-6.7,-3.1,+7.4,+4.3,-7.1,+2.2,-4.9,-0.3
414,Jordan McLaughlin,Timberwolves,PG,57,-7.8,-4.7,-12.5,-11.2,-4.0,-15.1,-9.0,-4.9,-13.8,-0.3
415,De'Aaron Fox,Kings,PG,288,+1.1,-5.0,-3.9,+1.5,-9.5,-7.9,+1.3,-6.2,-4.9,-0.3
416,Theo Pinson,Nets,SG,167,-5.6,-1.2,-6.8,-5.8,+1.7,-4.1,-6.0,-0.6,-6.6,-0.3
417,Marco Belinelli,Spurs,SG,321,-2.6,-4.3,-6.9,+3.1,+1.9,+5.0,-1.6,-3.2,-4.8,-0.3
418,Anfernee Simons,Trail Blazers,SG,462,-1.0,-1.8,-2.8,-6.2,-2.4,-8.6,-2.1,-2.0,-4.1,-0.3
419,Trevor Ariza,Kings,"SF, PF",240,-3.9,-0.2,-4.1,-8.1,-1.4,-9.5,-5.1,-0.4,-5.5,-0.3
420,Jeff Green,Jazz,PF,394,-2.4,-0.3,-2.6,-7.5,-2.6,-10.1,-3.6,-0.8,-4.4,-0.3
