,Player18,Pos18,Age18,Tm18,G18,GS18,MP18,FG18,FGA18,FG%18,3P18,3PA18,3P%18,2P18,2PA18,2P%18,FT18,FTA18,FT%18,ORB18,DRB18,TRB18,AST18,STL18,BLK18,TOV18,PF18,PTS18,ORtg18,DRtg18,PER18,TS%18,3PAr18,FTr18,ORB%18,DRB%18,TRB%18,AST%18,STL%18,BLK%18,TOV%18,USG%18,OWS18,DWS18,WS18,WS/4818,OBPM18,DBPM18,BPM18,VORP18,Games1818,FB18,PAINTPTS18,TO_PTS18,2ND_PTS18,Q1PTS18,Q2PTS18,Q3PTS18,Q4PTS18,PPP18,>8ft%18,8-16ft%18,16-24ft%18,24+%18,BCS%18,>8FTU18,8-16FTU18,16-24FTU18,24+U18,BCU18,AVGDISTA18,AVGDISTM18,AVGDISTF18,AFGM18,JS18,LU18,DUN18,TIPIN18,JS%18,Layup%1818,DUN%18,2PT_m18,3PT_m18,FT_m18,AB_3U18,MRU18,paint_nonra18,ra_usage18,RC_318,LC_318,backcourt_usage18,AB3%18,MR%18,paint_nonra%18,RA%18,RC3%18,LC3%18,BC%18, 18, .118,Player
65,Corey Brewer,SF,32.0,TOT,31.0,3.0,492.0,5.0,11.7,0.431,1.3,4.2,0.318,3.7,7.5,0.494,2.9,4.1,0.721,2.5,4.7,7.2,3.7,3.0,0.7,1.8,6.0,14.3,112.0,109.0,11.6,0.532,0.358,0.35,5.4,10.7,8.0,10.2,3.0,1.2,11.8,13.6,0.4,0.6,1.0,0.095,-1.1,1.0,-0.1,0.2,30.0,1.2,2.4,0.87,0.37,1.0,1.47,0.7,1.73,1.225,0.531,0.25,0.2,0.326,0.0,53.33,6.67,4.17,35.83,0.0,11.42,8.33,13.7,78.43,53.33,36.67,5.83,4.17,0.266,0.591,1.0,50.34,28.57,21.09,20.83,5.0,15.0,44.17,5.83,9.17,0.0,0.32,0.16699999999999998,0.111,0.642,0.429,0.273,0.0,0.0,0.0,Corey Brewer
66,Mikal Bridges,SF,22.0,PHO,82.0,56.0,2417.0,4.8,11.1,0.43,2.1,6.2,0.335,2.7,4.9,0.5479999999999999,1.9,2.3,0.805,1.1,4.1,5.2,3.4,2.5,0.8,1.4,4.0,13.5,112.0,115.0,10.8,0.556,0.556,0.21,2.5,9.7,6.0,9.8,2.5,1.3,10.2,12.2,1.7,1.2,2.9,0.057999999999999996,-0.5,0.3,-0.2,1.1,82.0,1.77,3.1,2.4,0.82,1.49,2.13,1.9,2.82,1.215,0.591,0.395,0.313,0.33899999999999997,0.0,35.17,6.75,2.84,55.06,0.18,15.15,12.08,17.47,82.23,68.56,25.04,4.8,1.6,0.35,0.574,0.9259999999999999,40.06,46.05,13.89,30.37,5.33,8.53,30.91,14.39,10.3,0.18,0.35700000000000004,0.33299999999999996,0.33299999999999996,0.638,0.259,0.397,0.0,0.0,0.0,Mikal Bridges
67,Miles Bridges,SF,20.0,CHO,80.0,25.0,1696.0,6.8,14.7,0.46399999999999997,1.9,5.7,0.325,4.9,8.9,0.5529999999999999,1.7,2.2,0.753,1.9,7.3,9.3,2.7,1.6,1.4,1.4,3.2,17.1,111.0,112.0,13.1,0.5479999999999999,0.391,0.151,4.2,16.6,10.3,8.1,1.6,2.5,8.4,15.1,1.4,1.5,2.9,0.083,-1.2,0.5,-0.6,0.6,80.0,0.81,4.1,1.19,1.23,1.76,1.84,2.01,1.8,1.168,0.601,0.355,0.261,0.34,0.0,50.49,6.07,4.5,37.38,1.57,12.39,8.36,15.88,82.28,54.6,27.2,14.87,3.33,0.33,0.496,0.8290000000000001,57.62,32.66,9.72,22.11,6.26,10.18,44.62,8.41,6.85,1.57,0.31,0.25,0.34600000000000003,0.64,0.395,0.371,0.0,0.0,0.0,Miles Bridges
68,Isaiah Briscoe,PG,22.0,ORL,39.0,0.0,559.0,4.8,12.1,0.39899999999999997,1.0,3.0,0.324,3.9,9.1,0.423,1.3,2.3,0.5770000000000001,0.4,6.0,6.5,7.6,1.0,0.2,2.7,5.8,11.9,96.0,111.0,6.7,0.455,0.24600000000000002,0.188,0.9,13.4,7.1,21.0,1.0,0.3,17.2,14.1,-0.3,0.5,0.3,0.023,-5.0,-0.6,-5.6,-0.5,39.0,0.44,1.74,0.33,0.05,0.44,0.79,0.28,1.97,0.986,0.579,0.154,0.265,0.324,0.0,41.3,9.42,24.64,24.64,0.0,12.49,9.25,14.63,34.55,62.32,36.23,1.45,0.0,0.267,0.6,1.0,64.71,24.26,11.03,15.94,26.81,13.77,34.78,3.62,5.07,0.0,0.364,0.27,0.21100000000000002,0.625,0.0,0.429,0.0,0.0,0.0,Isaiah Briscoe
69,Ryan Broekhoff,SG,28.0,DAL,42.0,0.0,453.0,6.1,13.5,0.452,4.1,10.0,0.409,2.0,3.5,0.5760000000000001,1.6,2.0,0.789,0.9,5.9,6.7,2.4,0.6,0.4,1.7,3.7,17.9,116.0,114.0,10.7,0.621,0.738,0.151,1.9,12.9,7.4,7.2,0.6,0.8,10.6,14.3,0.5,0.3,0.8,0.086,-0.7,-1.7,-2.3,0.0,41.0,0.44,0.78,0.41,0.56,0.61,1.02,0.54,1.63,1.2890000000000001,0.636,0.25,1.0,0.402,0.0,18.18,6.61,2.48,71.9,0.83,19.55,17.54,21.16,90.74,82.64,14.05,1.65,1.65,0.4,0.706,1.0,24.36,67.31,8.33,49.59,5.79,4.13,17.36,11.57,10.74,0.83,0.36700000000000005,0.429,0.4,0.667,0.5,0.462,0.0,0.0,0.0,Ryan Broekhoff
70,Malcolm Brogdon,SG,26.0,MIL,64.0,64.0,1832.0,9.6,19.0,0.505,2.6,6.2,0.426,7.0,12.8,0.544,3.6,3.9,0.9279999999999999,1.6,5.7,7.3,5.2,1.2,0.3,2.3,2.6,25.4,121.0,108.0,17.8,0.614,0.326,0.203,3.8,11.7,8.0,16.2,1.2,0.6,10.0,20.7,4.2,2.3,6.5,0.171,1.9,-0.3,1.5,1.6,64.0,2.39,8.09,1.84,1.3,4.17,3.63,4.2,3.52,1.34,0.568,0.389,0.36,0.426,0.0,59.17,4.82,3.35,32.66,0.0,10.37,8.58,12.2,56.88,45.11,53.55,0.94,0.4,0.40399999999999997,0.585,0.857,54.75,31.17,14.09,26.24,4.95,9.37,53.01,3.21,3.21,0.0,0.408,0.405,0.271,0.606,0.583,0.41700000000000004,0.0,0.0,0.0,Malcolm Brogdon
71,Dillon Brooks,SF,23.0,MEM,18.0,0.0,330.0,7.4,18.4,0.402,2.3,6.0,0.375,5.1,12.3,0.415,3.3,4.5,0.733,1.4,3.3,4.7,2.4,1.5,0.6,2.9,7.5,20.3,94.0,112.0,7.6,0.499,0.32799999999999996,0.24600000000000002,3.0,7.6,5.3,7.6,1.5,1.1,12.3,20.9,-0.3,0.3,0.0,-0.004,-4.2,-1.9,-6.1,-0.3,18.0,0.72,3.0,1.89,0.39,2.33,1.33,1.28,2.56,1.107,0.47200000000000003,0.3,0.33299999999999996,0.385,0.0,43.44,16.39,7.38,31.97,0.82,12.66,11.47,13.45,75.51,63.93,31.97,1.64,2.46,0.385,0.41,1.0,50.37,33.33,16.3,27.05,16.39,13.93,36.89,3.28,1.64,0.82,0.39399999999999996,0.35,0.353,0.467,0.25,0.5,0.0,0.0,0.0,Dillon Brooks
72,MarShon Brooks,SG,30.0,MEM,29.0,0.0,387.0,9.8,21.7,0.45,1.9,6.9,0.278,7.8,14.8,0.53,3.0,4.2,0.6970000000000001,1.5,4.2,5.8,3.2,1.2,0.5,2.7,4.2,24.4,98.0,113.0,11.6,0.518,0.32,0.195,3.4,9.7,6.5,11.0,1.2,1.0,10.3,23.6,-0.2,0.3,0.1,0.018000000000000002,-2.9,-2.6,-5.6,-0.3,29.0,0.86,3.45,0.9,0.83,1.72,2.48,0.9,1.45,1.124,0.6409999999999999,0.484,0.25,0.278,0.0,37.87,18.34,11.83,31.95,0.0,13.3,9.46,16.43,32.89,71.6,23.67,1.78,2.96,0.33899999999999997,0.725,0.667,64.21,23.68,12.11,28.4,17.75,24.85,25.44,1.18,2.37,0.0,0.271,0.36700000000000005,0.405,0.767,0.5,0.25,0.0,0.0,0.0,MarShon Brooks
73,Bruce Brown,SG,22.0,DET,74.0,56.0,1449.0,4.3,10.7,0.39799999999999996,0.8,3.2,0.258,3.4,7.5,0.457,1.5,2.0,0.75,1.6,4.7,6.3,3.1,1.4,1.2,1.6,6.1,10.9,100.0,110.0,6.9,0.469,0.29600000000000004,0.191,3.5,10.7,7.0,8.8,1.4,2.1,11.9,11.5,-0.1,1.6,1.5,0.048,-3.7,1.7,-2.0,0.0,73.0,0.66,2.71,0.9,0.47,1.26,0.67,1.62,0.82,1.016,0.47,0.33299999999999996,0.25,0.27,0.0,64.33,4.78,1.27,28.34,1.27,9.7,6.4,11.89,68.0,41.4,48.41,7.32,2.87,0.292,0.441,0.696,63.32,22.57,14.11,14.65,2.23,19.43,48.73,6.69,7.32,0.96,0.174,0.28600000000000003,0.27899999999999997,0.536,0.429,0.304,0.0,0.0,0.0,Bruce Brown
74,Jaylen Brown,SG,22.0,BOS,74.0,25.0,1913.0,9.3,19.9,0.465,2.4,6.9,0.344,6.9,13.0,0.529,3.3,5.1,0.6579999999999999,1.6,6.2,7.9,2.5,1.7,0.8,2.5,4.7,24.3,104.0,109.0,13.5,0.547,0.348,0.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.1,0.7,2.4,3.0,0.076,-1.5,-0.6,-2.1,0.0,74.0,2.99,6.32,2.61,1.36,2.77,3.7,2.64,3.88,1.217,0.5870000000000001,0.42100000000000004,0.359,0.344,0.0,44.32,15.91,4.92,34.85,0.0,12.2,9.61,14.46,67.39,61.11,31.19,5.93,1.77,0.37799999999999995,0.5589999999999999,0.894,56.64,29.56,13.8,25.13,12.75,15.66,36.74,6.44,3.28,0.0,0.34700000000000003,0.386,0.41100000000000003,0.629,0.275,0.462,0.0,0.0,0.0,Jaylen Brown
75,Lorenzo Brown,PG,28.0,TOR,26.0,0.0,212.0,5.2,16.1,0.324,1.4,6.3,0.214,3.8,9.7,0.395,0.7,0.7,1.0,1.1,5.9,7.0,6.3,2.7,1.1,3.6,5.0,12.4,82.0,105.0,6.3,0.38,0.39399999999999996,0.042,2.6,12.9,7.9,17.3,2.7,2.0,18.1,17.9,-0.5,0.3,-0.1,-0.027000000000000003,-5.8,1.5,-4.3,-0.1,26.0,0.31,1.08,0.42,0.0,0.27,0.38,0.23,1.23,0.775,0.375,0.5,0.4,0.231,0.0,45.07,8.45,7.04,36.62,2.82,13.73,10.26,15.4,34.78,63.38,30.99,4.23,1.41,0.289,0.364,0.667,61.82,32.73,5.45,23.94,9.86,14.08,36.62,4.23,8.45,2.82,0.17600000000000002,0.429,0.4,0.385,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0,Lorenzo Brown
76,Sterling Brown,SG,23.0,MIL,58.0,7.0,1034.0,6.5,14.0,0.465,2.4,6.6,0.361,4.1,7.4,0.5579999999999999,1.3,1.9,0.69,1.3,7.0,8.3,3.8,1.1,0.4,2.1,4.0,16.7,109.0,108.0,10.9,0.563,0.47100000000000003,0.135,3.0,14.4,9.0,10.7,1.1,0.7,12.2,15.2,0.7,1.4,2.1,0.098,-1.6,0.0,-1.6,0.1,58.0,1.26,2.93,1.16,0.62,1.67,1.09,1.64,1.98,1.192,0.583,0.462,0.222,0.371,0.0,46.15,4.17,2.88,45.83,0.96,13.48,10.37,16.19,77.93,56.73,37.18,4.81,1.28,0.36700000000000005,0.569,0.867,49.46,42.74,7.8,27.88,5.45,6.41,41.35,9.94,8.33,0.64,0.276,0.41200000000000003,0.4,0.597,0.484,0.5379999999999999,0.0,0.0,0.0,Sterling Brown
78,Jalen Brunson,PG,22.0,DAL,73.0,38.0,1591.0,8.0,17.2,0.467,1.9,5.5,0.348,6.1,11.7,0.523,2.7,3.7,0.725,0.8,4.4,5.2,7.0,1.1,0.1,2.7,3.9,20.7,110.0,114.0,12.8,0.5489999999999999,0.32,0.212,1.7,9.6,5.7,22.6,1.1,0.2,12.5,19.1,1.5,1.0,2.6,0.077,-0.8,-1.6,-2.5,-0.2,72.0,1.31,4.53,1.03,0.76,1.99,2.47,2.31,2.38,1.19,0.578,0.47200000000000003,0.37200000000000005,0.341,0.0,37.88,22.8,7.72,31.6,0.0,12.77,10.45,14.77,43.8,73.25,25.49,0.72,0.54,0.40700000000000003,0.613,0.75,59.73,27.15,13.12,21.72,16.88,25.67,25.85,4.13,5.75,0.0,0.355,0.37200000000000005,0.483,0.653,0.348,0.281,0.0,0.0,0.0,Jalen Brunson
79,Thomas Bryant,C,21.0,WAS,72.0,53.0,1496.0,9.8,15.9,0.616,1.0,3.1,0.33299999999999996,8.7,12.8,0.685,3.4,4.3,0.7809999999999999,3.6,10.8,14.4,2.9,0.8,2.1,1.9,4.0,24.0,130.0,112.0,21.0,0.674,0.19699999999999998,0.273,8.1,25.1,16.5,9.3,0.8,3.8,9.6,17.6,4.3,1.3,5.6,0.17800000000000002,1.2,0.4,1.6,1.3,71.0,0.73,6.85,1.2,2.1,3.3,1.72,2.97,2.28,1.517,0.745,0.465,0.465,0.337,0.0,63.43,8.69,8.69,19.19,0.0,8.38,5.47,13.08,80.07,43.03,29.09,23.23,4.65,0.43200000000000005,0.625,0.93,72.97,12.78,14.25,16.97,13.94,12.12,54.75,1.21,1.01,0.0,0.35700000000000004,0.449,0.45,0.797,0.16699999999999998,0.2,0.0,0.0,0.0,Thomas Bryant
80,Reggie Bullock,SG,27.0,TOT,63.0,60.0,1879.0,6.3,15.3,0.41200000000000003,3.8,10.1,0.377,2.5,5.2,0.483,1.9,2.2,0.8590000000000001,0.6,3.9,4.5,3.3,1.0,0.3,1.7,2.8,18.4,111.0,113.0,10.5,0.563,0.662,0.14300000000000002,1.2,8.8,4.9,10.1,1.0,0.5,9.3,15.8,1.6,1.4,3.1,0.078,0.1,-1.0,-0.9,0.5,63.0,1.02,1.78,1.38,0.89,4.08,1.97,3.16,2.0,1.197,0.531,0.306,0.556,0.377,0.0,16.5,8.25,9.09,66.16,0.0,19.54,18.23,20.45,88.98,85.86,13.13,0.34,0.67,0.39,0.551,1.0,27.29,62.45,10.27,48.48,12.96,7.58,13.3,6.57,11.11,0.0,0.365,0.532,0.2,0.595,0.385,0.424,0.0,0.0,0.0,Reggie Bullock
81,Trey Burke,PG,26.0,TOT,58.0,8.0,1125.0,10.1,23.5,0.431,2.4,6.8,0.35200000000000004,7.7,16.7,0.46299999999999997,4.4,5.3,0.831,1.2,3.0,4.3,6.8,1.4,0.3,2.1,2.5,27.1,110.0,116.0,16.5,0.524,0.29,0.226,2.6,6.7,4.6,24.1,1.4,0.5,7.5,24.8,1.4,0.5,1.9,0.081,0.7,-3.2,-2.5,-0.1,57.0,1.05,4.11,1.58,0.6,2.21,3.21,2.37,3.04,1.147,0.5379999999999999,0.345,0.451,0.353,0.0,34.25,20.26,16.76,28.18,0.55,13.76,12.0,15.08,25.75,72.19,27.26,0.18,0.37,0.38799999999999996,0.541,1.0,57.46,26.0,16.53,23.94,27.44,18.6,25.23,1.66,2.58,0.55,0.36200000000000004,0.41600000000000004,0.396,0.562,0.33299999999999996,0.28600000000000003,0.0,0.0,0.0,Trey Burke
82,Alec Burks,SG,27.0,TOT,64.0,24.0,1375.0,6.8,16.9,0.405,2.2,6.0,0.363,4.7,10.9,0.428,4.1,5.0,0.823,1.1,7.3,8.4,4.6,1.4,0.7,2.3,3.2,20.0,106.0,114.0,12.7,0.523,0.354,0.297,2.3,17.0,9.4,13.7,1.4,1.3,10.8,19.0,0.7,0.8,1.5,0.052000000000000005,-1.5,-0.6,-2.2,-0.1,64.0,0.63,3.41,1.05,1.16,1.95,2.25,2.22,2.34,1.1840000000000002,0.51,0.25,0.304,0.36700000000000005,0.0,42.19,12.66,9.7,35.02,0.42,13.03,10.9,14.49,53.13,65.61,30.59,2.32,1.48,0.331,0.51,1.0,46.7,32.62,20.68,27.85,15.19,16.24,33.12,2.11,5.06,0.42,0.371,0.306,0.26,0.5670000000000001,0.4,0.33299999999999996,0.0,0.0,0.0,Alec Burks
83,Deonte Burton,SG,25.0,OKC,32.0,0.0,240.0,6.4,15.9,0.402,1.6,5.3,0.29600000000000004,4.9,10.7,0.455,1.6,2.3,0.667,0.8,4.7,5.4,1.8,1.2,1.6,1.8,6.0,15.9,94.0,109.0,7.0,0.47,0.32899999999999996,0.146,1.7,10.7,6.0,5.0,1.2,2.8,9.3,16.3,-0.2,0.3,0.1,0.027000000000000003,-5.6,-0.6,-6.3,-0.3,32.0,0.31,1.38,0.63,0.06,0.19,0.94,0.16,1.28,1.0,0.47600000000000003,0.4,0.33299999999999996,0.29600000000000004,0.0,51.22,12.2,3.66,32.93,0.0,10.61,8.48,12.04,78.79,56.1,37.8,6.1,0.0,0.304,0.484,0.8,60.98,29.27,9.76,18.29,10.98,12.2,43.9,6.1,8.54,0.0,0.4,0.33299999999999996,0.3,0.528,0.2,0.14300000000000002,0.0,0.0,0.0,Deonte Burton
84,Jimmy Butler,SF-SG,29.0,TOT,65.0,65.0,2185.0,9.1,19.6,0.462,1.5,4.2,0.34700000000000003,7.6,15.4,0.494,6.8,7.9,0.855,2.6,4.8,7.4,5.7,2.7,0.8,2.1,2.4,26.3,121.0,110.0,20.2,0.5710000000000001,0.213,0.40399999999999997,6.0,10.5,8.3,18.0,2.7,1.4,8.2,22.3,5.4,2.5,7.9,0.17300000000000001,2.6,0.6,3.2,2.9,65.0,2.6,8.22,2.58,2.02,3.91,4.74,4.32,5.65,1.344,0.595,0.397,0.319,0.35100000000000003,0.0,44.03,19.8,14.93,21.13,0.11,11.18,8.51,13.48,51.2,63.61,26.44,7.63,2.32,0.36700000000000005,0.544,0.971,57.78,16.54,25.68,16.04,26.11,16.81,35.84,3.21,1.88,0.11,0.35200000000000004,0.35600000000000004,0.355,0.657,0.345,0.353,0.0,0.0,0.0,Jimmy Butler
85,Bruno Caboclo,SF,23.0,MEM,34.0,19.0,800.0,6.0,14.0,0.42700000000000005,3.0,8.1,0.369,3.0,5.9,0.505,2.6,3.1,0.84,2.6,7.2,9.8,3.1,0.9,2.1,2.4,5.0,17.5,109.0,109.0,12.4,0.5710000000000001,0.578,0.222,5.8,16.5,11.1,9.4,0.9,3.9,13.3,15.9,0.6,0.9,1.5,0.09,-1.0,1.2,0.2,0.4,34.0,0.5,2.65,1.29,1.44,2.35,1.79,2.32,1.82,1.253,0.517,0.0,1.0,0.37200000000000005,0.0,38.67,2.22,1.33,57.33,0.44,15.27,13.29,16.74,82.29,69.78,22.67,5.33,2.22,0.35700000000000004,0.529,0.833,34.04,51.06,14.89,33.33,1.78,9.78,30.67,9.33,14.67,0.44,0.387,0.75,0.22699999999999998,0.58,0.33299999999999996,0.364,0.0,0.0,0.0,Bruno Caboclo
87,Kentavious Caldwell-Pope,SG,25.0,LAL,82.0,23.0,2035.0,7.4,17.3,0.43,3.5,9.9,0.34700000000000003,4.0,7.3,0.542,3.1,3.6,0.867,1.1,4.3,5.4,2.5,1.7,0.3,1.5,3.1,21.4,113.0,112.0,12.9,0.568,0.575,0.209,2.5,9.4,6.0,7.5,1.7,0.5,7.3,18.1,2.3,1.8,4.0,0.095,0.6,-1.2,-0.6,0.7,81.0,2.64,2.74,2.09,0.94,2.63,3.48,2.49,2.62,1.23,0.608,0.42200000000000004,0.483,0.344,0.0,22.46,8.66,11.77,56.97,0.14,17.8,15.3,19.66,80.95,79.7,16.37,2.84,1.08,0.377,0.595,0.762,37.4,47.85,14.74,41.14,16.64,6.09,20.16,7.04,8.8,0.14,0.319,0.48,0.37799999999999995,0.631,0.365,0.446,0.0,0.0,0.0,Kentavious Caldwell-Pope
88,Isaiah Canaan,PG,27.0,TOT,30.0,16.0,629.0,4.9,12.4,0.39,2.6,7.3,0.354,2.3,5.2,0.441,1.4,1.8,0.792,0.5,3.9,4.4,6.4,1.1,0.2,2.7,3.9,13.7,102.0,118.0,8.0,0.518,0.585,0.146,1.0,9.2,5.1,18.2,1.1,0.3,16.7,14.2,0.0,0.1,0.1,0.008,-2.4,-2.7,-5.1,-0.5,30.0,0.7,1.47,0.93,0.47,2.0,1.47,1.43,1.13,1.104,0.42,0.444,0.556,0.354,0.0,30.49,5.49,5.49,58.54,0.0,16.93,15.81,17.65,53.13,72.56,27.44,0.0,0.0,0.37799999999999995,0.42200000000000004,0.0,33.15,56.35,10.5,42.07,9.15,6.1,26.22,7.93,8.54,0.0,0.33299999999999996,0.5329999999999999,0.3,0.442,0.462,0.35700000000000004,0.0,0.0,0.0,Isaiah Canaan
89,Clint Capela,C,24.0,HOU,67.0,67.0,2249.0,10.3,16.0,0.648,0.0,0.0,0.0,10.3,16.0,0.648,3.6,5.7,0.636,6.5,12.0,18.5,2.1,1.0,2.2,2.1,3.7,24.3,133.0,108.0,23.8,0.6579999999999999,0.0,0.35700000000000004,14.4,27.6,20.8,7.1,1.0,3.9,10.0,18.2,7.8,3.0,10.8,0.23,1.3,1.6,2.9,2.8,67.0,2.36,14.15,2.01,3.51,4.69,5.07,3.4,3.37,1.5219999999999998,0.66,0.2,0.0,0.0,0.0,97.27,2.73,0.0,0.0,0.0,1.88,1.31,2.93,81.22,15.98,42.76,34.29,6.97,0.41,0.5429999999999999,0.932,85.1,0.0,14.9,0.0,0.82,14.89,84.29,0.0,0.0,0.0,0.0,0.0,0.349,0.7070000000000001,0.0,0.0,0.0,0.0,0.0,Clint Capela
90,DeMarre Carroll,PF,32.0,BRK,67.0,8.0,1703.0,6.3,16.1,0.395,3.0,8.7,0.342,3.4,7.4,0.457,5.1,6.8,0.76,1.9,7.9,9.8,2.4,0.9,0.3,2.0,3.2,20.8,110.0,111.0,12.1,0.546,0.539,0.42100000000000004,4.2,17.3,10.8,7.2,0.9,0.5,9.7,18.6,1.5,1.6,3.1,0.08800000000000001,-1.0,-0.7,-1.7,0.1,67.0,2.0,3.22,1.73,1.39,2.54,3.28,2.78,2.33,1.294,0.511,0.32799999999999996,0.385,0.34,0.0,31.65,10.09,4.52,53.74,0.0,15.85,13.8,17.18,77.97,73.57,25.39,0.52,0.52,0.34299999999999997,0.521,1.0,32.53,42.74,24.73,37.04,6.96,15.13,24.17,9.57,7.13,0.0,0.33299999999999996,0.35,0.299,0.59,0.29100000000000004,0.439,0.0,0.0,0.0,DeMarre Carroll
91,Jevon Carter,PG,23.0,MEM,39.0,3.0,577.0,4.8,15.9,0.303,2.9,8.8,0.33299999999999996,1.9,7.1,0.265,2.2,2.8,0.813,1.2,4.5,5.7,5.9,2.2,0.9,2.8,4.7,14.8,90.0,109.0,7.8,0.43200000000000005,0.551,0.17300000000000001,2.7,10.3,6.4,17.4,2.2,1.8,14.2,18.0,-0.7,0.7,0.0,-0.003,-3.8,-0.1,-4.0,-0.3,39.0,1.03,0.67,0.79,0.69,0.82,0.92,1.13,1.54,0.93,0.324,0.22699999999999998,0.222,0.34,0.0,18.38,11.89,14.59,54.05,1.08,18.46,18.54,18.43,50.0,85.95,13.51,0.54,0.0,0.302,0.28,1.0,25.58,59.3,15.12,36.22,20.54,9.73,14.59,10.81,7.03,1.08,0.34299999999999997,0.237,0.278,0.29600000000000004,0.4,0.231,0.0,0.0,0.0,Jevon Carter
92,Vince Carter,PF,42.0,ATL,76.0,9.0,1330.0,6.8,16.3,0.419,4.3,11.0,0.389,2.5,5.3,0.48,1.6,2.3,0.7120000000000001,1.1,5.7,6.7,3.0,1.5,0.9,1.7,4.9,19.5,112.0,115.0,11.8,0.565,0.675,0.141,2.4,13.2,7.7,9.3,1.5,1.8,8.8,16.7,1.2,0.7,1.9,0.07,-0.2,-1.4,-1.6,0.1,75.0,0.71,1.55,0.83,0.45,1.83,1.59,2.32,1.51,1.195,0.551,0.415,0.35,0.386,0.0,19.52,8.99,4.39,66.45,0.66,19.25,17.37,20.6,79.17,82.1,12.88,3.28,1.75,0.386,0.49200000000000005,0.867,26.42,64.95,8.62,54.82,9.21,6.8,16.89,6.58,5.04,0.66,0.37200000000000005,0.35700000000000004,0.387,0.597,0.467,0.435,0.0,0.0,0.0,Vince Carter
94,Michael Carter-Williams,PG,27.0,TOT,28.0,1.0,372.0,6.1,16.2,0.374,1.3,5.0,0.263,4.7,11.2,0.424,4.2,7.0,0.604,2.5,6.7,9.2,9.2,2.6,2.0,2.6,6.3,17.6,106.0,106.0,14.7,0.45799999999999996,0.309,0.431,5.4,15.0,10.1,26.5,2.6,3.4,12.0,19.4,0.2,0.6,0.8,0.099,-2.0,2.0,0.0,0.2,28.0,0.5,2.57,0.46,0.54,0.39,1.21,1.18,2.0,1.089,0.43799999999999994,0.364,0.0,0.263,0.0,59.35,8.94,0.81,30.89,0.0,10.56,7.96,12.12,36.96,56.91,38.21,2.44,2.44,0.314,0.40399999999999997,1.0,53.73,22.39,23.88,20.33,2.44,28.46,38.21,6.5,4.07,0.0,0.2,0.0,0.371,0.489,0.25,0.6,0.0,0.0,0.0,Michael Carter-Williams
95,Alex Caruso,PG,24.0,LAL,25.0,4.0,531.0,6.7,15.2,0.445,2.1,4.4,0.48,4.6,10.8,0.431,4.5,5.6,0.797,1.8,4.1,5.9,6.7,2.1,0.8,3.7,4.7,20.1,109.0,110.0,13.9,0.569,0.289,0.37,4.0,9.0,6.5,19.7,2.1,1.4,17.3,19.0,0.5,0.6,1.0,0.09300000000000001,-0.9,0.0,-0.9,0.2,24.0,1.13,3.92,2.21,1.08,1.29,2.92,2.04,3.13,1.324,0.484,0.28600000000000003,0.273,0.489,0.0,53.53,12.35,6.47,27.65,0.0,10.71,10.03,11.27,48.68,54.71,40.0,4.12,1.18,0.409,0.485,0.5710000000000001,47.11,30.67,22.22,21.76,10.59,14.71,47.06,2.94,2.94,0.0,0.541,0.33299999999999996,0.28,0.5,0.2,0.4,0.0,0.0,0.0,Alex Caruso
96,Omri Casspi,SF,30.0,MEM,36.0,0.0,520.0,8.2,15.4,0.534,1.4,4.1,0.349,6.8,11.3,0.602,3.7,5.5,0.672,1.6,9.4,11.0,2.5,1.9,0.9,2.2,3.3,21.6,112.0,107.0,15.7,0.606,0.267,0.36,3.6,21.5,12.4,8.1,1.9,1.6,11.0,18.0,0.6,0.7,1.3,0.11900000000000001,-2.0,0.1,-1.8,0.0,36.0,1.64,3.89,1.72,0.86,1.83,2.25,0.64,1.56,1.4040000000000001,0.633,0.222,0.0,0.349,0.0,67.7,5.59,0.0,26.71,0.0,8.6,5.6,12.04,80.23,49.07,39.13,9.94,1.86,0.32899999999999996,0.667,1.0,62.83,19.91,17.26,22.36,1.86,19.25,52.17,2.48,1.86,0.0,0.361,0.33299999999999996,0.29,0.726,0.0,0.667,0.0,0.0,0.0,Omri Casspi
97,Willie Cauley-Stein,C,25.0,SAC,81.0,81.0,2213.0,8.7,15.6,0.556,0.0,0.0,0.5,8.6,15.5,0.556,2.9,5.3,0.551,3.8,10.5,14.3,4.1,2.0,1.1,1.8,4.8,20.3,118.0,108.0,18.0,0.5660000000000001,0.003,0.34299999999999997,8.2,23.7,15.8,12.3,2.0,2.0,9.0,17.5,3.8,2.9,6.7,0.146,-0.2,2.2,2.0,2.3,80.0,1.6,9.35,1.91,1.3,3.4,3.08,2.79,2.6,1.295,0.598,0.324,0.33299999999999996,1.0,0.0,83.08,10.1,6.55,0.14,0.14,4.02,2.72,5.62,78.27,32.2,37.38,26.47,3.96,0.34700000000000003,0.493,0.892,85.14,0.32,14.54,0.14,11.32,19.92,68.49,0.0,0.0,0.14,1.0,0.361,0.301,0.657,0.0,0.0,0.0,0.0,0.0,Willie Cauley-Stein
