Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,Tm18,G18,GS18,MP18,FG18,FGA18,FG%18,3P18,3PA18,3P%18,2P18,2PA18,2P%18,FT18,FTA18,FT%18,ORB18,DRB18,TRB18,AST18,STL18,BLK18,TOV18,PF18,PTS18,ORtg18,DRtg18,PER18,TS%18,3PAr18,FTr18,ORB%18,DRB%18,TRB%18,AST%18,STL%18,BLK%18,TOV%18,USG%18,OWS18,DWS18,WS18,WS/4818,OBPM18,DBPM18,BPM18,VORP18,Games1818,FB18,PAINTPTS18,TO_PTS18,2ND_PTS18,Q1PTS18,Q2PTS18,Q3PTS18,Q4PTS18,PPP18,>8ft%18,8-16ft%18,16-24ft%18,24+%18,BCS%18,>8FTU18,8-16FTU18,16-24FTU18,24+U18,BCU18,AVGDISTA18,AVGDISTM18,AVGDISTF18,AFGM18,JS18,LU18,DUN18,TIPIN18,JS%18,Layup%1818,DUN%18,2PT_m18,3PT_m18,FT_m18,AB_3U18,MRU18,paint_nonra18,ra_usage18,RC_318,LC_318,backcourt_usage18,AB3%18,MR%18,paint_nonra%18,RA%18,RC3%18,LC3%18,BC%18,Games18,FB,PAINTPTS,TO_PTS,2ND_PTS,Q1PTS,Q2PTS,Q3PTS,Q4PTS,PPP,>8ft%,8-16ft%,16-24ft%,24+%,BCS%,>8FTU,8-16FTU,16-24FTU,24+U,BCU,AVGDISTA,AVGDISTM,AVGDISTF,AFGM,JS,LU,DUN,TIPIN,JS%,Layup%18,DUN%,2PT_m,3PT_m,FT_m,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
C.J. Miles,SG,32,WAS,10,0,161,5.4,16.8,0.322,3.1,10,0.314,2.3,6.8,0.333,4.3,5.7,0.75,1.1,2.3,3.4,3.4,2.9,1.1,1.1,4,18.3,103,114,11.3,0.472,0.593,0.339,2.7,5.5,4.1,9,2.9,2.1,5.6,18.3,0.1,0.1,0.1,0.032,-0.5,-1.5,-2,0,"$8,730,158 ",1.2,-0.3,0.9,0.1,-6.6,-6.5,1,-1.4,-0.4,0.2,TOT,53,1,856,6.3,17.6,0.36,3.8,11.5,0.33,2.6,6.1,0.417,2.7,3.3,0.828,0.7,4.6,5.4,2,1.5,0.9,1.7,4.5,19.2,99,110,9,0.504,0.653,0.186,1.7,10.3,6.1,6,1.5,1.5,8.2,18.6,-0.2,0.9,0.7,0.041,-2.1,-1.4,-3.4,-0.3,53,0.94,1.17,0.74,0.32,1.36,2.11,0.96,1.96,1.09,0.441,0.308,0.478,0.332,0,18.97,8.36,7.4,64.95,0.32,19.14,17.98,19.79,84.82,85.53,12.86,1.29,0.32,0.353,0.375,0.75,26.55,59.29,14.16,49.2,10.93,9,14.79,9,6.75,0.32,0.307,0.412,0.357,0.457,0.393,0.429,0,53,0.94,1.17,0.74,0.32,1.36,2.11,0.96,1.96,1.09,0.441,0.308,0.478,0.332,0,18.97,8.36,7.4,64.95,0.32,19.14,17.98,19.79,84.82,85.53,12.86,1.29,0.32,0.353,0.375,0.75,26.55,59.29,14.16,49.2,10.93,9,14.79,9,6.75,0.32,0.307,0.412,0.357,0.457,0.393,0.429,0
Caleb Martin,SF,24,CHO,3,0,25,3.9,17.4,0.222,0,5.8,0,3.9,11.6,0.333,1.9,5.8,0.333,0,7.7,7.7,5.8,1.9,3.9,5.8,3.9,9.7,51,108,-1.1,0.242,0.333,0.333,0,18.7,8.9,16.6,1.9,7.1,22.5,23,-0.2,0,-0.1,-0.268,-13.6,2.3,-11.3,-0.1,"$898,310 ",-11.5,0.5,-11,-22.2,11.6,-10.7,-14,2.7,-11.3,-0.1,CHO,3,0,25,3.9,17.4,0.222,0,5.8,0,3.9,11.6,0.333,1.9,5.8,0.333,0,7.7,7.7,5.8,1.9,3.9,5.8,3.9,9.7,51,108,-1.1,0.242,0.333,0.333,0,18.7,8.9,16.6,1.9,7.1,22.5,23,-0.2,0,-0.1,-0.268,-13.6,2.3,-11.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Reddish,SF,20,ATL,16,14,395,4.7,16.1,0.294,1.5,7.1,0.217,3.2,9,0.355,3.1,3.9,0.788,1.1,5.7,6.7,3.3,1.8,0.6,3.4,3.7,14.1,79,115,4.5,0.395,0.441,0.243,2.5,13.4,8,9.8,1.8,1.2,16.2,18.8,-0.9,0.1,-0.8,-0.096,-5.6,-1.5,-7.2,-0.5,"$4,245,720 ",-5.1,-0.8,-5.8,-11.3,-0.6,-11.9,-6.5,-0.7,-7.1,-0.9,ATL,16,14,395,4.7,16.1,0.294,1.5,7.1,0.217,3.2,9,0.355,3.1,3.9,0.788,1.1,5.7,6.7,3.3,1.8,0.6,3.4,3.7,14.1,79,115,4.5,0.395,0.441,0.243,2.5,13.4,8,9.8,1.8,1.2,16.2,18.8,-0.9,0.1,-0.8,-0.096,-5.6,-1.5,-7.2,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Johnson,PF,23,PHO,15,0,293,7.5,17.2,0.435,4.8,11.6,0.411,2.7,5.6,0.486,2.5,2.7,0.941,1.8,4.9,6.7,1.8,1.4,0.8,1.6,4.1,22.3,114,110,14.2,0.606,0.676,0.157,4.1,11.9,7.9,5.5,1.4,1.5,8,18.2,0.4,0.3,0.7,0.112,1.7,-1.3,0.4,0.2,"$4,033,440 ",0.5,-0.8,-0.3,-4.6,3,-1.6,-0.5,-0.1,-0.6,0.3,PHO,15,0,293,7.5,17.2,0.435,4.8,11.6,0.411,2.7,5.6,0.486,2.5,2.7,0.941,1.8,4.9,6.7,1.8,1.4,0.8,1.6,4.1,22.3,114,110,14.2,0.606,0.676,0.157,4.1,11.9,7.9,5.5,1.4,1.5,8,18.2,0.4,0.3,0.7,0.112,1.7,-1.3,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Payne,PG,24,TOT,40,13,712,6.6,15.3,0.43,1.7,5.8,0.298,4.9,9.5,0.511,2.3,2.8,0.805,0.9,4,4.9,7.3,1.9,0.6,3.1,4.4,17.1,103,115,11.5,0.519,0.377,0.184,2,9.2,5.5,21.8,1.9,1.1,15.7,17.6,0.1,0.3,0.5,0.031,-1.9,-1.6,-3.5,-0.3,"$150,000 ",0,0,0,0,0,0,0,0,0,0,TOT,40,13,712,6.6,15.3,0.43,1.7,5.8,0.298,4.9,9.5,0.511,2.3,2.8,0.805,0.9,4,4.9,7.3,1.9,0.6,3.1,4.4,17.1,103,115,11.5,0.519,0.377,0.184,2,9.2,5.5,21.8,1.9,1.1,15.7,17.6,0.1,0.3,0.5,0.031,-1.9,-1.6,-3.5,-0.3,40,0.58,2.8,0.98,0.55,1.28,1.4,1.3,2.23,1.121,0.551,0.469,0.368,0.305,0,39.91,14.35,8.52,36.77,0.45,13.77,10.8,16.01,38.54,69.51,29.15,0,1.35,0.374,0.554,0,56.8,30,13.2,30.04,17.04,19.28,26.46,4.48,2.24,0.45,0.284,0.395,0.512,0.576,0.2,0.8,0,40,0.58,2.8,0.98,0.55,1.28,1.4,1.3,2.23,1.121,0.551,0.469,0.368,0.305,0,39.91,14.35,8.52,36.77,0.45,13.77,10.8,16.01,38.54,69.51,29.15,0,1.35,0.374,0.554,0,56.8,30,13.2,30.04,17.04,19.28,26.46,4.48,2.24,0.45,0.284,0.395,0.512,0.576,0.2,0.8,0
Carsen Edwards,SG,21,BOS,15,0,172,6.1,19,0.324,3.6,11.2,0.325,2.5,7.8,0.321,2.5,3.1,0.818,1.4,6.1,7.5,3.9,1.1,0.6,2,4.2,18.4,96,107,8.8,0.453,0.588,0.162,3,13,8,11.6,1.1,1.1,8.8,19.7,-0.1,0.2,0.1,0.038,-2.6,-1.1,-3.7,-0.1,"$1,200,000 ",-2.7,-0.4,-3.1,-14,-2.7,-16.7,-5,-0.9,-5.9,-0.3,BOS,15,0,172,6.1,19,0.324,3.6,11.2,0.325,2.5,7.8,0.321,2.5,3.1,0.818,1.4,6.1,7.5,3.9,1.1,0.6,2,4.2,18.4,96,107,8.8,0.453,0.588,0.162,3,13,8,11.6,1.1,1.1,8.8,19.7,-0.1,0.2,0.1,0.038,-2.6,-1.1,-3.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Brown,SG,22,ATL,4,0,16,2.9,8.8,0.333,2.9,2.9,1,0,5.8,0,11.7,11.7,1,5.8,2.9,8.8,0,0,2.9,0,0,20.4,169,118,21.7,0.735,0.333,1.333,13.8,6.9,10.4,0,0,5.7,0,12.3,0.1,0,0.1,0.25,2.2,-4.4,-2.2,0,0,2.7,7.3,10,3.3,12.6,15.9,3,8.8,11.8,0.1,ATL,4,0,16,2.9,8.8,0.333,2.9,2.9,1,0,5.8,0,11.7,11.7,1,5.8,2.9,8.8,0,0,2.9,0,0,20.4,169,118,21.7,0.735,0.333,1.333,13.8,6.9,10.4,0,0,5.7,0,12.3,0.1,0,0.1,0.25,2.2,-4.4,-2.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Chiozza,PG,24,WAS,3,0,37,2.5,11.2,0.222,2.5,5,0.5,0,6.2,0,0,0,0,0,5,5,8.7,2.5,2.5,3.7,7.5,7.5,78,112,4.8,0.333,0.444,0,0,12.1,5.9,21.2,2.5,4.5,25,13.3,-0.1,0,0,-0.061,-6.2,1.2,-5,0,0,-4.9,6.2,1.3,-18.8,23.2,4.4,-7.8,9.7,2,0.1,HOU,7,0,33,3,11.9,0.25,3,7.4,0.4,0,4.5,0,0,0,0,1.5,4.5,5.9,5.9,1.5,1.5,1.5,3,8.9,97,112,7,0.375,0.625,0,3.3,10.3,6.7,16.1,1.5,2.6,11.1,11.8,0,0,0,0.023,-4.5,-0.2,-4.7,0,7,0,0,0.43,0,0,0,0,0.86,0.75,0,0,0,0.4,0,25,0,12.5,62.5,0,18.63,25,16.5,100,75,25,0,0,0.333,0,0,0,100,0,37.5,12.5,12.5,12.5,12.5,12.5,0,0.333,0,0,0,1,0,0,7,0,0,0.43,0,0,0,0,0.86,0.75,0,0,0,0.4,0,25,0,12.5,62.5,0,18.63,25,16.5,100,75,25,0,0,0.333,0,0,0,100,0,37.5,12.5,12.5,12.5,12.5,12.5,0,0.333,0,0,0,1,0,0
Chris Clemons,SG,22,HOU,12,0,101,8.1,19,0.429,6.3,15.8,0.4,1.8,3.2,0.571,1.4,1.8,0.75,0.9,3.2,4.1,2.7,0.9,0.9,2.3,5,24,114,113,13.4,0.606,0.833,0.095,2,7,4.5,9.1,0.9,1.7,10.3,19.6,0.2,0.1,0.2,0.1,1.1,-3.3,-2.2,0,0,3.1,1.9,5,-2.1,0.3,-1.8,2.3,1.7,4,0.4,HOU,12,0,101,8.1,19,0.429,6.3,15.8,0.4,1.8,3.2,0.571,1.4,1.8,0.75,0.9,3.2,4.1,2.7,0.9,0.9,2.3,5,24,114,113,13.4,0.606,0.833,0.095,2,7,4.5,9.1,0.9,1.7,10.3,19.6,0.2,0.1,0.2,0.1,1.1,-3.3,-2.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Silva,PF,23,MIA,16,0,161,7.4,10.9,0.676,0,0.6,0,7.4,10.3,0.714,4.1,5.9,0.7,9.1,10.3,19.5,3.2,1.2,3.5,6.8,13,18.9,111,99,17.2,0.699,0.054,0.541,23.5,23.3,23.4,10.4,1.2,7.3,33.4,18.4,0.2,0.3,0.6,0.171,-0.5,4.4,3.9,0.2,0,-2,4.1,2.1,3.8,1.6,5.4,-1.1,3.6,2.5,0.4,MIA,16,0,161,7.4,10.9,0.676,0,0.6,0,7.4,10.3,0.714,4.1,5.9,0.7,9.1,10.3,19.5,3.2,1.2,3.5,6.8,13,18.9,111,99,17.2,0.699,0.054,0.541,23.5,23.3,23.4,10.4,1.2,7.3,33.4,18.4,0.2,0.3,0.6,0.171,-0.5,4.4,3.9,0.2,0,-2,4.1,2.1,3.8,1.6,5.4,-1.1,3.6,2.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coby White,SG,19,CHI,19,0,487,8.6,23.4,0.366,3.7,11.2,0.328,4.9,12.2,0.402,2.9,3.7,0.789,0.5,5.9,6.4,3.9,1.6,0,2.8,2.7,23.7,93,110,10.4,0.474,0.477,0.156,1,13.6,7,13.6,1.6,0,10,24.5,-0.4,0.4,0,-0.001,-2.7,-1.9,-4.6,-0.3,"$5,307,120 ",-2.2,-0.7,-2.9,-4.8,2.1,-2.7,-2.7,-0.2,-2.9,0,CHI,19,0,487,8.6,23.4,0.366,3.7,11.2,0.328,4.9,12.2,0.402,2.9,3.7,0.789,0.5,5.9,6.4,3.9,1.6,0,2.8,2.7,23.7,93,110,10.4,0.474,0.477,0.156,1,13.6,7,13.6,1.6,0,10,24.5,-0.4,0.4,0,-0.001,-2.7,-1.9,-4.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Martin,SF,24,CHO,16,0,189,3.8,10.7,0.357,0.3,4.6,0.056,3.6,6.1,0.583,3.8,5.6,0.682,2,7.2,9.2,4.6,3.3,0.3,1.8,4.9,11.8,101,109,10.5,0.445,0.429,0.524,4.5,17.3,10.6,13.2,3.3,0.5,11.9,13.4,0,0.2,0.2,0.049,-2.8,0.9,-1.9,0,"$1,173,310 ",-2.1,8.8,6.7,-1.2,6.4,5.3,-2,9,7,0.9,CHO,16,0,189,3.8,10.7,0.357,0.3,4.6,0.056,3.6,6.1,0.583,3.8,5.6,0.682,2,7.2,9.2,4.6,3.3,0.3,1.8,4.9,11.8,101,109,10.5,0.445,0.429,0.524,4.5,17.3,10.6,13.2,3.3,0.5,11.9,13.4,0,0.2,0.2,0.049,-2.8,0.9,-1.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Felicio,C,26,CHI,60,0,746,6.2,11.6,0.531,0,0.3,0,6.2,11.4,0.543,3.3,4.7,0.685,5.1,9,14.2,2.4,0.7,0.5,2.1,4.5,15.6,116,114,13.4,0.568,0.022,0.408,11.4,20.5,15.9,7.2,0.7,0.8,13.5,14.3,0.9,0.4,1.4,0.088,-2.5,-1.1,-3.5,-0.3,"$8,156,500 ",0,0,0,0,0,0,0,0,0,0,CHI,60,0,746,6.2,11.6,0.531,0,0.3,0,6.2,11.4,0.543,3.3,4.7,0.685,5.1,9,14.2,2.4,0.7,0.5,2.1,4.5,15.6,116,114,13.4,0.568,0.022,0.408,11.4,20.5,15.9,7.2,0.7,0.8,13.5,14.3,0.9,0.4,1.4,0.088,-2.5,-1.1,-3.5,-0.3,60,0.33,3.03,0.52,1.1,0.73,0.85,0.52,1.9,1.341,0.564,0.455,0.25,0,0,87.15,6.15,4.47,2.23,0,3.38,1.94,5.01,69.47,27.37,50.28,13.41,8.94,0.367,0.544,0.875,79.17,0,20.83,2.23,6.15,17.32,74.3,0,0,0,0,0.364,0.29,0.617,0,0,0,60,0.33,3.03,0.52,1.1,0.73,0.85,0.52,1.9,1.341,0.564,0.455,0.25,0,0,87.15,6.15,4.47,2.23,0,3.38,1.94,5.01,69.47,27.37,50.28,13.41,8.94,0.367,0.544,0.875,79.17,0,20.83,2.23,6.15,17.32,74.3,0,0,0,0,0.364,0.29,0.617,0,0,0
Džanan Musa,SF,20,BRK,13,0,211,5.3,15.7,0.338,1.3,7.7,0.171,4,7.9,0.5,4,5.3,0.75,1.3,7.3,8.6,3.1,1.3,0.2,4,2.6,15.9,84,111,6.1,0.441,0.493,0.338,3,16.1,9.7,9.2,1.3,0.4,18.1,19.5,-0.4,0.2,-0.2,-0.051,-5.8,-1.4,-7.2,-0.3,"$1,911,600 ",-4.5,1.2,-3.3,-8.5,0.7,-7.9,-5.5,1.2,-4.3,-0.2,BRK,13,0,211,5.3,15.7,0.338,1.3,7.7,0.171,4,7.9,0.5,4,5.3,0.75,1.3,7.3,8.6,3.1,1.3,0.2,4,2.6,15.9,84,111,6.1,0.441,0.493,0.338,3,16.1,9.7,9.2,1.3,0.4,18.1,19.5,-0.4,0.2,-0.2,-0.051,-5.8,-1.4,-7.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damion Lee,SG,27,GSW,11,0,241,6.9,17.9,0.385,2.4,6.9,0.343,4.5,11,0.411,5.5,6.5,0.848,1.8,6.7,8.5,3.9,1.6,0,2.6,3.5,21.6,105,115,12.7,0.521,0.385,0.363,3.9,15.2,9.5,12.5,1.6,0,11,20.7,0.1,0.1,0.2,0.04,-1.4,-2.7,-4.1,-0.1,0,-0.2,-0.8,-1,-1.5,0.4,-1.2,-0.4,-0.6,-1,0.2,GSW,32,0,375,7.1,16.1,0.441,3.4,8.6,0.397,3.7,7.5,0.492,2.4,2.8,0.864,1,7.1,8.1,1.6,1.6,0,1.4,3.6,20,112,111,11.9,0.578,0.535,0.173,2.4,15.3,9.1,4.5,1.6,0,7.4,16.8,0.3,0.4,0.7,0.09,-1.1,-2.5,-3.6,-0.2,32,0.88,1.06,0.69,0.53,0.59,1.38,1.25,1.72,1.244,0.56,0.375,0.5,0.397,0,19.69,12.6,14.17,53.54,0,17.8,16.66,18.7,83.93,84.25,15.75,0,0,0.43,0.5,0,36.71,51.27,12.03,33.86,20.47,11.81,14.17,8.66,11.02,0,0.326,0.462,0.533,0.5,0.273,0.714,0,32,0.88,1.06,0.69,0.53,0.59,1.38,1.25,1.72,1.244,0.56,0.375,0.5,0.397,0,19.69,12.6,14.17,53.54,0,17.8,16.66,18.7,83.93,84.25,15.75,0,0,0.43,0.5,0,36.71,51.27,12.03,33.86,20.47,11.81,14.17,8.66,11.02,0,0.326,0.462,0.533,0.5,0.273,0.714,0
Daniel Gafford,C,21,CHI,10,0,100,8,12.2,0.654,0,0,0,8,12.2,0.654,2.3,5.6,0.417,5.2,4.7,9.8,0.5,0,2.8,0.5,7,18.3,131,111,15.9,0.623,0,0.462,10.8,10.8,10.8,1.6,0,5.6,3.1,13.3,0.2,0.1,0.3,0.152,-1.8,-0.2,-2,0,"$898,310 ",-1.7,-0.5,-2.2,-10.4,5,-5.4,-3.3,0.5,-2.9,0,CHI,10,0,100,8,12.2,0.654,0,0,0,8,12.2,0.654,2.3,5.6,0.417,5.2,4.7,9.8,0.5,0,2.8,0.5,7,18.3,131,111,15.9,0.623,0,0.462,10.8,10.8,10.8,1.6,0,5.6,3.1,13.3,0.2,0.1,0.3,0.152,-1.8,-0.2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danuel House,SF,26,HOU,14,13,416,6,12.7,0.474,4,8.9,0.444,2.1,3.8,0.543,3,3.7,0.794,1.8,5.3,7,1.8,2,1.1,1.4,3.1,19,128,109,15.7,0.661,0.698,0.293,3.9,11.7,7.8,5.5,2,2.1,9,14,1,0.4,1.4,0.157,2.1,0.5,2.5,0.5,"$3,540,000 ",1.1,3.4,4.5,2.7,1.4,4,1.4,3.2,4.6,1.6,HOU,39,13,979,5.9,12.6,0.468,3.7,8.9,0.416,2.2,3.7,0.595,2.8,3.6,0.789,1.3,5.8,7,2,1.1,0.6,1.8,4,18.3,123,113,12.2,0.646,0.706,0.282,2.8,13.3,7.9,5.9,1.1,1,11,14.1,1.6,0.7,2.3,0.113,0.4,-1.1,-0.6,0.3,39,1.56,2.21,1.56,1.38,2.21,1.97,2.18,3.03,1.452,0.609,0.25,1,0.416,0,27.38,1.59,0.4,70.63,0,17.8,15.86,19.51,86.44,73.81,18.25,6.35,1.59,0.409,0.565,0.875,24.04,60.66,15.3,40.08,0.79,3.17,25.4,21.43,9.13,0,0.436,0.5,0.25,0.641,0.352,0.478,0,39,1.56,2.21,1.56,1.38,2.21,1.97,2.18,3.03,1.452,0.609,0.25,1,0.416,0,27.38,1.59,0.4,70.63,0,17.8,15.86,19.51,86.44,73.81,18.25,6.35,1.59,0.409,0.565,0.875,24.04,60.66,15.3,40.08,0.79,3.17,25.4,21.43,9.13,0,0.436,0.5,0.25,0.641,0.352,0.478,0
Dario Šarić,PF,25,PHO,17,17,468,6.7,15.8,0.424,3.1,7.9,0.392,3.6,7.9,0.456,1.7,2.1,0.81,2.8,9,11.8,3.4,1.8,0.7,2.5,4.1,18.2,105,107,13.2,0.544,0.5,0.133,6.5,21.6,13.9,10.3,1.8,1.3,13,17.5,0.3,0.6,0.8,0.087,-0.2,1.2,1,0.4,"$3,481,986 ",-1.3,0.8,-0.5,4.2,-1.1,3.1,-0.4,0.5,0.1,0.7,TOT,81,41,2023,7.2,16.4,0.437,2.8,7.6,0.365,4.4,8.8,0.499,3.1,3.5,0.88,3,7.8,10.8,3,1.1,0.2,2.3,4.3,20.3,113,114,13.1,0.563,0.464,0.216,6.6,17.5,12.1,8.8,1.1,0.4,11.3,17.8,2.3,1.2,3.5,0.084,0.3,-1.4,-1.1,0.5,80,1.05,3.93,1.4,1.66,2.84,2.5,2.76,2.4,1.224,0.556,0.342,0.317,0.364,0,38.78,5.54,9.18,46.5,0,14.67,12.11,16.62,83.16,68.51,29.01,1.31,1.17,0.34,0.618,1,43.1,41.43,15.48,38.05,11.37,10.35,31.78,4.81,3.64,0,0.364,0.308,0.268,0.633,0.394,0.32,0,80,1.05,3.93,1.4,1.66,2.84,2.5,2.76,2.4,1.224,0.556,0.342,0.317,0.364,0,38.78,5.54,9.18,46.5,0,14.67,12.11,16.62,83.16,68.51,29.01,1.31,1.17,0.34,0.618,1,43.1,41.43,15.48,38.05,11.37,10.35,31.78,4.81,3.64,0,0.364,0.308,0.268,0.633,0.394,0.32,0
Darius Bazley,PF,19,OKC,17,0,295,4.7,10.9,0.433,2.1,5.7,0.371,2.6,5.2,0.5,1.3,2.3,0.571,1.1,9.3,10.5,1.5,1,1.1,2.3,2.6,12.9,96,108,8.7,0.54,0.522,0.209,2.6,20.6,11.8,4.4,1,1.9,16.1,13,-0.1,0.3,0.2,0.036,-3.8,0.4,-3.4,-0.1,"$2,284,800 ",-4.4,2,-2.4,-7.6,9,1.4,-5.2,3.4,-1.8,0.1,OKC,17,0,295,4.7,10.9,0.433,2.1,5.7,0.371,2.6,5.2,0.5,1.3,2.3,0.571,1.1,9.3,10.5,1.5,1,1.1,2.3,2.6,12.9,96,108,8.7,0.54,0.522,0.209,2.6,20.6,11.8,4.4,1,1.9,16.1,13,-0.1,0.3,0.2,0.036,-3.8,0.4,-3.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Garland,PG,20,CLE,18,18,500,6.8,18.4,0.366,2.6,7.4,0.351,4.2,11,0.377,1.9,2.3,0.833,0.4,2.3,2.7,5.1,1.5,0,4.7,2.4,18.1,85,116,6.3,0.464,0.403,0.126,0.8,5.3,3,16.4,1.5,0,19.6,21.4,-0.9,0.1,-0.8,-0.081,-4.2,-2.8,-6.9,-0.6,"$6,400,920 ",-4.8,-3,-7.9,-3.9,-4.5,-8.4,-4.9,-3.4,-8.3,-1.4,CLE,18,18,500,6.8,18.4,0.366,2.6,7.4,0.351,4.2,11,0.377,1.9,2.3,0.833,0.4,2.3,2.7,5.1,1.5,0,4.7,2.4,18.1,85,116,6.3,0.464,0.403,0.126,0.8,5.3,3,16.4,1.5,0,19.6,21.4,-0.9,0.1,-0.8,-0.081,-4.2,-2.8,-6.9,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Miller,SF,28,NOP,69,15,1757,5,12.8,0.39,3.5,9.6,0.365,1.5,3.2,0.467,1.5,1.9,0.789,0.4,3,3.4,3.9,1.1,0.6,1.6,4.4,15,110,116,8.4,0.55,0.752,0.147,0.8,6.6,3.8,10.4,1.1,1.1,10.3,13.4,1.1,0.6,1.6,0.045,-0.1,-1.5,-1.7,0.1,"$7,250,000 ",0,0,0,0,0,0,0,0,0,0,NOP,69,15,1757,5,12.8,0.39,3.5,9.6,0.365,1.5,3.2,0.467,1.5,1.9,0.789,0.4,3,3.4,3.9,1.1,0.6,1.6,4.4,15,110,116,8.4,0.55,0.752,0.147,0.8,6.6,3.8,10.4,1.1,1.1,10.3,13.4,1.1,0.6,1.6,0.045,-0.1,-1.5,-1.7,0.1,68,0.88,0.65,1.07,0.5,1.57,2.38,1.56,2.59,1.18,0.593,0.413,0.452,0.367,0,5.71,9.73,8.88,75.48,0.21,21.86,20.88,22.5,84.86,95.98,3.81,0.21,0,0.379,0.667,1,19,70.97,10.04,60.89,14.8,5.71,3.81,7.82,6.77,0.21,0.368,0.457,0.37,0.667,0.297,0.438,0,68,0.88,0.65,1.07,0.5,1.57,2.38,1.56,2.59,1.18,0.593,0.413,0.452,0.367,0,5.71,9.73,8.88,75.48,0.21,21.86,20.88,22.5,84.86,95.98,3.81,0.21,0,0.379,0.667,1,19,70.97,10.04,60.89,14.8,5.71,3.81,7.82,6.77,0.21,0.368,0.457,0.37,0.667,0.297,0.438,0
