Player,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
Kelly Oubre Jr.,30.52,6.65,16.03,37.17,5.7,3.8,0.12,0.323,0.464,0.393,0.601,0.354,0.25,0
Nikola Mirotic,48.52,12.92,6.83,21.59,4.06,5.72,0.37,0.361,0.357,0.595,0.641,0.409,0.387,0
Evan Fournier,34.14,17.12,15.62,25.16,1.78,5.99,0.19,0.332,0.421,0.407,0.628,0.316,0.422,0
Terrence Ross,48.78,31.55,5.45,7.89,2.14,3.51,0.68,0.381,0.435,0.536,0.642,0.545,0.389,0
Dwyane Wade,19.38,23.96,20.94,28.02,1.35,6.04,0.31,0.29,0.33,0.433,0.621,0.308,0.466,0.333
Serge Ibaka,17.1,25.09,25.31,30.33,0.8,1.37,0,0.287,0.491,0.5,0.737,0.286,0.333,0
Marvin Bagley III,10.59,16.88,28.76,40.63,1.72,1.29,0.14,0.351,0.373,0.448,0.658,0.25,0.111,0
Emmanuel Mudiay,23.21,19.7,17.54,34.68,2.56,2.29,0,0.314,0.459,0.469,0.521,0.316,0.471,0
Jabari Parker,18.94,20.57,12.67,40.6,3.13,3.95,0.14,0.273,0.384,0.409,0.688,0.348,0.483,0
Walter Lemon Jr.,5.75,20.69,13.79,59.77,0,0,0,0.4,0.333,0.333,0.5,0,0,0
Bobby Portis,26.77,16.61,21.45,31.61,1.45,2.1,0,0.41,0.359,0.398,0.566,0.111,0.462,0
Kyle Lowry,53.32,12.45,5.82,20.57,2.17,5.28,0.41,0.34,0.37,0.395,0.632,0.375,0.436,0
Bogdan Bogdanovic,37.63,16.65,19.23,21.1,2.7,2.34,0.35,0.358,0.415,0.409,0.55,0.348,0.4,0
Domantas Sabonis,2,18.4,23.11,56.06,0.14,0.29,0,0.571,0.38,0.469,0.71,0,0.5,0
Marcus Morris,37.68,20.73,12.56,20.62,3.44,4.5,0.47,0.412,0.44,0.425,0.626,0.172,0.263,0
Otto Porter Jr.,28.3,30.33,12.13,17.73,5.44,6.07,0,0.396,0.39,0.577,0.649,0.457,0.41,0
Steven Adams,0,3.09,27.56,69.1,0,0,0.25,0,0.6,0.448,0.655,0,0,0
Jaren Jackson Jr.,18.17,4.58,32.6,38.71,3.06,2.89,0,0.411,0.296,0.422,0.693,0.167,0.235,0
Goran Dragic,30.48,12.93,18.01,31.18,4.16,3.23,0,0.364,0.321,0.359,0.563,0.222,0.357,0
Rudy Gay,16.22,28.02,24.13,23.19,5.09,3.08,0.27,0.372,0.522,0.467,0.63,0.447,0.522,0
Joe Harris,43.32,4.14,12.17,32.09,5.48,2.81,0,0.466,0.452,0.352,0.604,0.512,0.524,0
Caris LeVert,28.57,4.97,25.88,37.27,1.45,1.86,0,0.304,0.167,0.392,0.589,0.286,0.444,0
Enes Kanter,4.83,7.47,17.13,70.42,0.15,0,0,0.273,0.275,0.368,0.64,1,0,0
Jerami Grant,16.4,6.32,13.12,44.96,12.88,6.08,0.24,0.393,0.346,0.306,0.657,0.406,0.38,0
Dennis Smith Jr.,28.62,16.46,10.46,41.08,2,1.23,0.15,0.317,0.355,0.324,0.566,0.385,0.375,0
Al Horford,25.17,23.51,19.78,28.49,1.66,1.24,0.14,0.368,0.547,0.51,0.718,0.167,0.444,0
Marc Gasol,30.69,22.53,27.47,18.51,0.34,0.46,0,0.363,0.469,0.406,0.634,0,0.5,0
Taurean Prince,32.82,12.93,14.12,19.9,10.71,9.01,0.51,0.373,0.408,0.373,0.641,0.444,0.415,0
Carmelo Anthony,50.41,24.79,5.79,16.53,1.65,0.83,0,0.328,0.4,0.571,0.6,0.5,0,0
Myles Turner,22.95,31.41,15.9,27.69,0.9,1.15,0,0.369,0.412,0.476,0.667,0.571,0.667,0
Robert Covington,53.59,10.22,8.29,19.61,4.7,3.59,0,0.366,0.405,0.333,0.662,0.529,0.308,0
Gary Harris,26.9,12.03,16.3,33.54,4.43,6.65,0.16,0.312,0.303,0.417,0.575,0.429,0.381,0
Cedi Osman,33.53,12.56,11.85,31.28,5.57,5.09,0.12,0.353,0.377,0.36,0.583,0.34,0.326,0
Jaylen Brown,25.13,12.75,15.66,36.74,6.44,3.28,0,0.347,0.386,0.411,0.629,0.275,0.462,0
Kevin Knox,30.85,18.93,17.07,24.4,5.25,3.5,0,0.333,0.243,0.417,0.48,0.417,0.313,0
Dwight Howard,0,14.49,17.39,68.12,0,0,0,0,0.4,0.25,0.766,0,0,0
Ricky Rubio,23.97,25.07,13.42,26.85,3.29,7.26,0.14,0.291,0.388,0.357,0.561,0.333,0.377,0
Paul Millsap,18.32,12.06,23.05,41.07,3.05,2.29,0.15,0.342,0.43,0.411,0.621,0.55,0.267,1
Thaddeus Young,9.27,6.42,23.66,52.56,2.38,5.47,0.24,0.359,0.204,0.467,0.652,0.3,0.37,0
Trevor Ariza,40.44,5.19,5.74,30.19,11.34,6.97,0.14,0.304,0.421,0.143,0.57,0.373,0.451,0
Justise Winslow,21.76,13.48,23.1,29.24,4.94,7.34,0.13,0.374,0.386,0.358,0.58,0.27,0.455,0
Brook Lopez,55.6,4.2,12.34,18.32,6.23,3.31,0,0.357,0.455,0.464,0.75,0.367,0.5,0
Jeff Green,32.16,15.35,10.96,27.05,7.75,6.14,0.58,0.336,0.429,0.44,0.735,0.453,0.31,0
Hassan Whiteside,1.18,8.24,28.09,61.32,0.44,0.74,0,0.125,0.321,0.429,0.686,0.333,0,0
Wesley Matthews,45.35,11.73,16.02,14.59,5.01,7.15,0.14,0.36,0.427,0.277,0.618,0.4,0.44,0
Jeff Teague,24.28,12.5,31.97,30.05,0,1.2,0,0.337,0.423,0.376,0.552,0,0.2,0
Joe Ingles,42.77,4.36,11.6,23.57,10.35,7.11,0.25,0.364,0.4,0.387,0.635,0.398,0.544,0
Dion Waiters,42.26,9.83,3.97,25.73,6.49,11.51,0.21,0.356,0.383,0.316,0.528,0.323,0.491,0
E'Twaun Moore,22.18,13.53,27.44,25.94,4.32,6.58,0,0.483,0.361,0.473,0.616,0.217,0.4,0
Jae Crowder,48.18,8.16,3.51,22.84,7.65,9.16,0.5,0.331,0.415,0.25,0.61,0.361,0.329,0
Willie Cauley-Stein,0.14,11.32,19.92,68.49,0,0,0.14,1,0.361,0.301,0.657,0,0,0
JaVale McGee,1.59,5.08,23.49,69.52,0,0.16,0.16,0.1,0.344,0.399,0.731,0,0,0
