Player,AB_3U,MRU,paint_nonra,ra_usage,RC_3,LC_3,backcourt_usage,AB3%,MR%,paint_nonra%,RA%,RC3%,LC3%,BC%
Shelvin Mack,26.3,17.12,20.35,30.27,2.98,2.98,0,0.377,0.261,0.366,0.566,0.167,0.333,0
Dorian Finney-Smith,29.25,5.74,6.5,40.34,9.94,7.46,0.76,0.314,0.3,0.294,0.616,0.365,0.282,0
Iman Shumpert,41.7,23.09,2.91,12.78,8.52,10.76,0.22,0.328,0.33,0.154,0.632,0.368,0.417,0
Dillon Brooks,27.05,16.39,13.93,36.89,3.28,1.64,0.82,0.394,0.35,0.353,0.467,0.25,0.5,0
Chandler Parsons,40.11,15.38,11.54,21.43,6.59,4.95,0,0.329,0.357,0.381,0.538,0.167,0.333,0
Miles Bridges,22.11,6.26,10.18,44.62,8.41,6.85,1.57,0.31,0.25,0.346,0.64,0.395,0.371,0
Christian Wood,17.59,8.33,22.22,48.15,2.78,0.93,0,0.368,0.444,0.333,0.654,0.333,0,0
Draymond Green,33.65,8.77,13.03,39.1,2.61,2.61,0.24,0.261,0.324,0.327,0.673,0.636,0.273,0
Dwayne Bacon,22.18,10.89,22.18,33.07,2.72,8.95,0,0.421,0.25,0.316,0.694,0.571,0.435,0
Mitchell Robinson,0,1.03,3.44,95.53,0,0,0,0,0.333,0.4,0.709,0,0,0
Antonio Blakeney,12.63,31.06,29.55,16.67,2.02,7.83,0.25,0.3,0.333,0.419,0.621,0.5,0.516,0
PJ Tucker,20.27,2.29,7.27,17.02,30.98,21.99,0.19,0.349,0.333,0.342,0.494,0.432,0.339,0
Doug McDermott,29.55,15.13,6.86,29.31,5.2,13.71,0.24,0.384,0.391,0.517,0.669,0.455,0.448,0
Dirk Nowitzki,48.65,37.03,7.03,1.35,4.32,1.35,0.27,0.311,0.394,0.462,0.6,0.375,0.2,0
Vince Carter,54.82,9.21,6.8,16.89,6.58,5.04,0.66,0.372,0.357,0.387,0.597,0.467,0.435,0
Justin Jackson,31.67,13.33,18.96,17.29,9.38,8.96,0.42,0.342,0.359,0.462,0.771,0.378,0.419,0
Willy Hernangomez,11.49,4.73,19.59,62.5,1.35,0.34,0,0.382,0.357,0.448,0.578,0.5,0,0
Lance Stephenson,31.29,20,6.59,27.76,8.71,4.71,0.94,0.338,0.4,0.25,0.576,0.541,0.35,0
Luol Deng,19.49,15.25,8.47,38.98,9.32,7.63,0.85,0.217,0.389,0.5,0.717,0.636,0.222,0
Joakim Noah,0,7.98,16.43,75.12,0,0,0.47,0,0.235,0.257,0.606,0,0,0
Harry Giles III,0.86,16.95,35.63,45.69,0,0.57,0.29,0,0.339,0.427,0.642,0,0,0
Derrick Jones Jr.,8.95,1.85,10.8,59.26,6.79,11.42,0.93,0.241,0.5,0.2,0.635,0.364,0.351,0
Mike Muscala,55.68,8.03,4.99,16.07,7.76,7.2,0.28,0.363,0.517,0.333,0.603,0.179,0.423,0
OG Anunoby,25.25,4.21,6.19,39.6,12.62,12.13,0,0.382,0.412,0.24,0.644,0.255,0.306,0
Luke Kornet,58.3,9.89,7.42,14.84,4.59,4.95,0,0.345,0.25,0.286,0.571,0.462,0.5,0
Michael Beasley,5.88,11.76,30.07,47.06,3.92,1.31,0,0.111,0.333,0.348,0.694,0.167,0.5,0
Terrance Ferguson,30.63,7.89,3.94,21.58,15.55,20.42,0,0.333,0.265,0.176,0.72,0.493,0.33,0
Pat Connaughton,46.57,2.86,6.29,33.71,4.57,6,0,0.331,0.6,0.364,0.703,0.313,0.333,0
Quinn Cook,35.54,23.92,11.85,18.68,4.1,5.69,0.23,0.397,0.524,0.442,0.549,0.278,0.56,0
Stanley Johnson,31.26,7.82,14.71,28.74,9.43,7.36,0.69,0.287,0.353,0.516,0.504,0.293,0.281,0
Dante Exum,11.62,2.07,22.82,49.38,9.54,4.56,0,0.25,0.2,0.327,0.538,0.304,0.364,0
Wayne Selden,27.12,16.77,20.7,26.5,3.52,5.38,0,0.282,0.481,0.37,0.516,0.529,0.308,0
Brandon Knight,41.92,16.54,20.38,13.46,4.23,3.46,0,0.33,0.605,0.245,0.543,0.182,0.333,0
Tyus Jones,21.51,19.68,27.92,24.26,3.66,2.75,0.23,0.277,0.36,0.434,0.557,0.563,0.167,0
Evan Turner,7.67,28.44,26.19,33.63,1.81,2.26,0,0.206,0.46,0.371,0.617,0.25,0.2,0
Ersan Ilyasova,30.71,10.5,9.45,38.06,6.3,4.72,0.26,0.376,0.35,0.222,0.6,0.417,0.222,0
JR Smith,43.04,32.91,13.92,3.8,0,6.33,0,0.265,0.308,0.545,0.333,0,0.6,0
Ryan Arcidiacono,39.23,9.33,19.86,18.9,6.22,6.46,0,0.354,0.436,0.53,0.57,0.538,0.333,0
James Ennis III,25.85,2.38,4.08,40.48,15.65,11.56,0,0.303,0.429,0.333,0.639,0.37,0.441,0
Devin Robinson,6.25,21.88,25,46.88,0,0,0,0,0.429,0.625,0.733,0,0,0
Maxi Kleber,38.03,7.98,8.78,27.39,8.78,9.04,0,0.364,0.4,0.485,0.66,0.182,0.441,0
Michael Kidd-Gilchrist,4.22,15.96,20.78,49.4,5.12,3.61,0.9,0.214,0.434,0.348,0.579,0.471,0.417,0
Zhaire Smith,35.29,14.71,2.94,35.29,5.88,5.88,0,0.5,0.2,1,0.5,0,0,0
Zach Collins,27.5,11,12,46.75,1,1.75,0,0.336,0.227,0.458,0.626,0,0.429,0
Johnathan Williams,0,4.63,20.37,73.15,0.93,0,0.93,0,0.4,0.318,0.696,0,0,0
Ian Clark,39.84,14.17,18.98,14.44,6.42,6.15,0,0.309,0.415,0.451,0.574,0.375,0.348,0
MarShon Brooks,28.4,17.75,24.85,25.44,1.18,2.37,0,0.271,0.367,0.405,0.767,0.5,0.25,0
Cory Joseph,23.36,33.76,17.52,17.52,4.01,3.1,0.73,0.32,0.389,0.438,0.594,0.273,0.412,0.25
David Nwaba,12.98,2.29,24.43,44.66,9.16,6.11,0.38,0.294,0.167,0.453,0.615,0.333,0.375,0
Jonathon Simmons,21.71,17.71,22.86,29.71,2.57,4.86,0.57,0.25,0.339,0.35,0.538,0.222,0.412,0
Billy Garrett,29.63,25.93,22.22,22.22,0,0,0,0,0.429,0.5,0.833,0,0,0
Shaquille Harrison,12.68,3.52,17.14,58.45,2.82,4.69,0.7,0.278,0.133,0.288,0.55,0.25,0.3,0
Sterling Brown,27.88,5.45,6.41,41.35,9.94,8.33,0.64,0.276,0.412,0.4,0.597,0.484,0.538,0
Gorgui Dieng,4.28,42.25,13.9,29.14,5.08,4.81,0.53,0.188,0.468,0.423,0.67,0.316,0.5,0
CJ Miles,49.2,10.93,9,14.79,9,6.75,0.32,0.307,0.412,0.357,0.457,0.393,0.429,0
Jodie Meeks,28.21,17.95,15.38,20.51,7.69,10.26,0,0.455,0.286,0.667,0.875,0,0.75,0
T.J. McConnell,4.52,31.67,32.86,25.24,3.33,2.14,0.24,0.316,0.541,0.442,0.689,0.357,0.333,0
Devin Harris,45.32,8.19,9.65,24.56,3.22,8.19,0.88,0.31,0.286,0.424,0.571,0.273,0.357,0
Jonas Jerebko,37.75,11.83,6.48,29.01,6.76,7.89,0.28,0.358,0.476,0.478,0.612,0.5,0.286,1
Omri Casspi,22.36,1.86,19.25,52.17,2.48,1.86,0,0.361,0.333,0.29,0.726,0,0.667,0
Kevon Looney,1.44,12.68,7.78,76.66,0.58,0.58,0.29,0.2,0.523,0.259,0.699,0,0,0
Cameron Payne,30.04,17.04,19.28,26.46,4.48,2.24,0.45,0.284,0.395,0.512,0.576,0.2,0.8,0
Troy Daniels,54.91,13.82,6.91,8.73,7.64,8,0,0.344,0.474,0.579,0.417,0.524,0.5,0
Mo Bamba,20.58,20.99,12.35,37.86,2.88,4.94,0.41,0.3,0.373,0.3,0.739,0.143,0.417,0
Tyler Dorsey,39.02,13.26,10.23,26.52,5.68,5.3,0,0.34,0.343,0.407,0.571,0.2,0.429,0
Sam Dekker,17.58,8.98,11.33,55.47,2.34,4.3,0,0.267,0.261,0.138,0.641,0.667,0.273,0
Cheick Diallo,0.38,21.05,24.81,52.63,0.38,0.38,0.38,1,0.536,0.5,0.729,0,0,0
Jerryd Bayless,36.36,27.27,10.91,18.64,4.55,1.82,0.45,0.313,0.4,0.25,0.463,0.2,0.5,0
Isaiah Canaan,42.07,9.15,6.1,26.22,7.93,8.54,0,0.333,0.533,0.3,0.442,0.462,0.357,0
Kenrich Williams,40.22,6.64,8.12,29.89,8.12,6.27,0.74,0.349,0.167,0.273,0.556,0.273,0.353,0
Tony Snell,37.95,6.93,8.03,28.53,7.2,11.08,0.28,0.387,0.32,0.241,0.65,0.385,0.45,0
Henry Ellenson,23.16,10.53,23.16,26.32,10.53,6.32,0,0.5,0.5,0.182,0.52,0.4,0.333,0
Wilson Chandler,41.13,10.94,10.94,20,11.32,5.66,0,0.385,0.345,0.448,0.547,0.433,0.267,0
Jordan McRae,19.17,35,15,25,0,5,0.83,0.348,0.476,0.444,0.667,0,0.333,0
Omari Spellman,33.2,4.1,6.56,36.89,10.66,8.61,0,0.296,0.4,0.188,0.522,0.5,0.333,0
Yogi Ferrell,33.91,22.61,13.04,22.03,2.61,4.93,0.87,0.368,0.423,0.489,0.553,0.111,0.529,0
Aaron Holiday,41.98,17.94,13.74,19.85,3.82,2.29,0.38,0.345,0.404,0.361,0.577,0.3,0.333,0
Matthew Dellavedova,48.76,7.44,24.79,14.05,1.24,2.07,1.65,0.364,0.444,0.45,0.559,0,0.2,0
Nik Stauskas,42.31,13.31,8.28,22.78,6.8,6.21,0.3,0.378,0.4,0.393,0.481,0.261,0.476,0
Meyers Leonard,39.26,7.85,11.16,35.12,2.48,3.72,0.41,0.453,0.368,0.444,0.741,0.333,0.556,0
D.J. Wilson,29.08,10.76,12.35,26.29,12.75,8.76,0,0.37,0.333,0.387,0.561,0.375,0.318,0
Ed Davis,0.66,0.33,11.59,87.42,0,0,0,0,0,0.286,0.667,0,0,0
Juancho Hernangomez,39.62,2.88,7.03,32.27,9.9,8.31,0,0.387,0.556,0.182,0.624,0.258,0.385,0
Mike Scott,42.62,11.19,14.29,14.76,7.86,8.57,0.71,0.391,0.404,0.3,0.5,0.394,0.472,0
Torrey Craig,28.89,5.28,7.5,35.83,11.39,11.11,0,0.308,0.316,0.333,0.651,0.366,0.35,0
Furkan Korkmaz,46.12,8.57,14.29,19.18,8.57,2.04,1.22,0.319,0.333,0.371,0.681,0.381,0.4,0
Ivan Rabb,4.25,21.23,21.23,50.47,1.42,1.42,0,0.333,0.289,0.622,0.673,0,0,0
Elie Okobo,40,11.72,14.83,27.93,2.41,2.76,0.34,0.302,0.353,0.326,0.605,0.286,0.25,0
Frank Ntilikina,31.56,22.34,20.57,16.67,4.61,3.9,0.35,0.292,0.333,0.345,0.468,0.154,0.364,0
Andre Iguodala,27.15,10.93,5.63,35.76,9.93,10.26,0.33,0.28,0.242,0.294,0.833,0.467,0.355,0
Daniel Theis,23.31,13.91,12.03,48.87,1.5,0.38,0,0.419,0.297,0.344,0.754,0,0,0
Tony Bradley,0,6.25,6.25,87.5,0,0,0,0,0,0,0.571,0,0,0
John Henson,31.34,1.49,13.43,38.81,4.48,10.45,0,0.333,0,0.333,0.654,0.333,0.429,0
Aron Baynes,22.42,8.52,12.56,51.57,2.69,2.24,0,0.34,0.421,0.464,0.548,0.333,0.4,0
Grayson Allen,37.64,10.67,11.8,21.91,7.3,10.11,0.56,0.284,0.421,0.381,0.487,0.538,0.333,0
Jakob Poeltl,0,3.79,20,76.21,0,0,0,0,0.727,0.448,0.692,0,0,0
Chasson Randle,40.85,6.57,9.39,31.46,7.51,4.23,0,0.425,0.214,0.25,0.552,0.313,0.222,0
Damian Jones,0,5.41,9.46,85.14,0,0,0,0,0.5,0.286,0.778,0,0,0
Greg Monroe,2.65,7.94,22.22,67.2,0,0,0,0.2,0.267,0.357,0.567,0,0,0
Alex Abrines,62.42,6.37,1.27,11.46,7.64,9.55,1.27,0.316,0.5,0,0.556,0.417,0.333,0
Raul Neto,22.98,7.45,21.12,34.16,8.7,5.59,0,0.324,0.333,0.441,0.636,0.357,0.333,0
Troy Williams,35.71,5.1,11.22,38.78,6.12,2.04,1.02,0.343,0.2,0.364,0.658,0.333,0,0
Treveon Graham,45.03,7.85,13.61,12.04,10.47,10.99,0,0.337,0.4,0.346,0.522,0,0.381,0
Tim Frazier,29.5,16.48,12.64,32.18,4.21,4.98,0,0.338,0.349,0.455,0.583,0.636,0.308,0
Royce O'Neale,26.53,2.92,8.75,37.03,11.95,11.37,1.46,0.396,0.2,0.267,0.669,0.39,0.41,0
Chandler Hutchison,11,9.09,19.14,48.33,4.31,6.7,1.44,0.261,0.421,0.375,0.594,0.222,0.357,0
Frank Mason,34.32,14.79,17.75,29.59,2.37,1.18,0,0.224,0.48,0.467,0.62,0.25,0,0
Alex Poythress,6.17,2.47,3.7,65.43,8.64,13.58,0,0.2,0,0.333,0.566,0.571,0.364,0
Thon Maker,32.08,6.04,7.55,29.43,13.21,11.7,0,0.282,0.25,0.4,0.603,0.343,0.419,0
Anthony Tolliver,59.61,3.53,3.14,9.8,12.55,11.37,0,0.395,0.444,0.25,0.48,0.344,0.345,0
Brandon Sampson,33.33,3.33,16.67,31.67,3.33,11.67,0,0.35,0,0.5,0.632,1,0.286,0
Jalen Jones,32.26,8.06,20.97,25.81,6.45,6.45,0,0.35,0.2,0.308,0.688,0.5,0.25,0
De'Anthony Melton,26.56,12.11,20.7,30.08,4.69,5.86,0,0.279,0.226,0.396,0.558,0.583,0.2,0
Cameron Reynolds,47.95,12.33,6.85,12.33,9.59,10.96,0,0.429,0.444,0.6,0.333,0.143,0.625,0
Luc Mbah a Moute,16.67,5.56,5.56,55.56,16.67,0,0,0.667,1,1,0.4,0,0,0
Dragan Bender,37.56,1.02,7.61,40.1,6.09,7.61,0,0.216,0,0.4,0.759,0.167,0.267,0
Wes Iwundu,16.79,20.8,12.77,37.96,4.74,6.57,0.36,0.413,0.351,0.286,0.529,0.385,0.222,0
Keita Bates-Diop,22.96,14.81,14.07,34.07,6.67,6.67,0.74,0.29,0.2,0.368,0.717,0.333,0.111,0
Marcin Gortat,0,8.6,33.87,57.53,0,0,0,0,0.375,0.413,0.626,0,0,0
Damion Lee,33.86,20.47,11.81,14.17,8.66,11.02,0,0.326,0.462,0.533,0.5,0.273,0.714,0
Nerlens Noel,0,13.41,23.91,62.68,0,0,0,0,0.405,0.348,0.717,0,0,0
Corey Brewer,20.83,5,15,44.17,5.83,9.17,0,0.32,0.167,0.111,0.642,0.429,0.273,0
Bonzie Colson,30.77,7.69,5.13,33.33,7.69,12.82,2.56,0.25,0.333,0.5,0.462,0.667,0,0
Jared Dudley,49.37,7.53,5.02,24.27,10.04,3.77,0,0.331,0.556,0.333,0.586,0.458,0.333,0
Johnathan Motley,2.74,1.37,32.88,61.64,0,1.37,0,0,0,0.333,0.689,0,0,0
Donte DiVincenzo,53.23,2.42,4.03,26.61,6.45,7.26,0,0.258,0.333,0.2,0.788,0.25,0.333,0
Khem Birch,0.66,3.31,29.8,66.23,0,0,0,0,0.4,0.444,0.69,0,0,0
Michael Carter-Williams,20.33,2.44,28.46,38.21,6.5,4.07,0,0.2,0,0.371,0.489,0.25,0.6,0
Troy Brown Jr.,22.32,17.41,21.43,30.8,3.57,4.02,0.45,0.3,0.359,0.271,0.652,0.5,0.333,0
Devonte' Graham,44.44,13.43,7.41,23.15,6.02,3.24,2.31,0.26,0.345,0.25,0.52,0.538,0.286,0
Jonah Bolden,44.44,3.7,3.7,33.95,8.02,6.17,0,0.361,0.167,0.333,0.782,0.462,0.2,0
Alfonzo McKinnie,19.93,6.88,6.88,43.48,9.42,13.41,0,0.364,0.316,0.368,0.658,0.231,0.432,0
Moritz Wagner,43.37,3.61,11.45,39.16,0.6,1.81,0,0.306,0.333,0.421,0.538,0,0,0
John Jenkins,40,33.33,4.76,5.71,8.57,7.62,0,0.405,0.371,0.6,0.667,0.444,0.125,0
Timothe Luwawu-Cabarrot,30.73,9.63,5.05,32.11,11.47,10.55,0.46,0.254,0.286,0.091,0.557,0.4,0.391,0
Theo Pinson,57.53,5.48,8.22,23.29,1.37,2.74,1.37,0.262,0.25,0,0.706,1,0,0
Jemerrio Jones,30.3,9.09,9.09,51.52,0,0,0,0.2,0,0,0.588,0,0,0
Lance Thomas,16.75,21.83,14.21,23.86,9.64,13.71,0,0.273,0.419,0.321,0.617,0.263,0.296,0
Miles Plumlee,0,4.17,22.92,72.92,0,0,0,0,0,0.636,0.714,0,0,0
Jevon Carter,36.22,20.54,9.73,14.59,10.81,7.03,1.08,0.343,0.237,0.278,0.296,0.4,0.231,0
Bismack Biyombo,0,10.9,20.51,68.59,0,0,0,0,0.353,0.406,0.654,0,0,0
Bruce Brown,14.65,2.23,19.43,48.73,6.69,7.32,0.96,0.174,0.286,0.279,0.536,0.429,0.304,0
Shake Milton,33.33,12.64,13.79,22.99,6.9,10.34,0,0.31,0.455,0.25,0.6,0.167,0.444,0
Solomon Hill,35.39,6.18,10.67,26.4,8.99,11.8,0.56,0.286,0.273,0.263,0.596,0.375,0.381,0
Raymond Felton,36.3,23.7,17.78,13.33,4.44,3.7,0.74,0.327,0.438,0.458,0.556,0.5,0.2,0
Deyonta Davis,0,13.64,4.55,77.27,4.55,0,0,0,0.333,0,0.824,0,0,0
Marquese Chriss,25.56,2.22,12.22,45.56,6.67,7.78,0,0.196,0.25,0.318,0.524,0.083,0.429,0
Jaron Blossomgame,20.75,8.49,13.21,41.51,5.66,10.38,0,0.273,0.444,0.143,0.705,0.167,0.273,0
Glenn Robinson III,17.05,15.34,22.73,26.7,10.8,7.39,0,0.333,0.481,0.325,0.638,0.211,0.308,0
Mitchell Creek,6.25,6.25,6.25,75,0,6.25,0,0,0,1,0.583,0,0,0
Marcus Derrickson,45.45,24.24,6.06,9.09,12.12,3.03,0,0.533,0.5,0,0.667,0.25,1,0
Jerian Grant,43.18,25.45,11.82,12.73,1.36,5.45,0,0.358,0.482,0.231,0.679,0.667,0.333,0
Ian Mahinmi,5.77,0.96,27.88,55.77,3.85,5.77,0,0.167,0,0.379,0.569,0.25,0.167,0
Shaun Livingston,0,31.9,32.86,34.29,0,0,0.95,0,0.418,0.507,0.639,0,0,0
Tahjere McCall,0,0,0,66.67,33.33,0,0,0,0,0,1,0,0,0
Isaiah Hicks,0,37.5,12.5,50,0,0,0,0,0.667,0,0.5,0,0,0
Cristiano Felicio,2.23,6.15,17.32,74.3,0,0,0,0,0.364,0.29,0.617,0,0,0
Courtney Lee,27.13,30.23,10.85,16.28,6.98,8.53,0,0.171,0.462,0.571,0.524,0.667,0.364,0
Dusty Hannahs,33.33,0,16.67,41.67,8.33,0,0,0,0,0,0.6,0,0,0
Georges Niang,32.04,3.31,18.23,20.44,12.15,13.81,0,0.431,0.333,0.545,0.622,0.136,0.6,0
Zaza Pachulia,0,23.04,14.14,60.73,0,0,2.09,0,0.386,0.185,0.534,0,0,0
Abdel Nader,26.98,3.72,13.95,36.28,9.3,9.3,0.47,0.293,0.25,0.467,0.551,0.45,0.3,0
Ben McLemore,42.19,18.75,4.69,12.5,6.25,14.06,1.56,0.481,0.333,0,0.5,0.25,0.333,0
Amir Johnson,20.38,2.55,24.2,47.77,2.55,1.91,0.64,0.344,0.5,0.342,0.693,0.25,0,0
Pau Gasol,10.64,22.34,25.53,38.3,1.06,2.13,0,0.6,0.381,0.375,0.528,0,0,0
Salah Mejri,26.79,4.46,14.29,50.89,2.68,0.89,0,0.3,0,0.438,0.649,0.667,0,0
Jon Leuer,5.31,22.12,22.12,46.02,0.88,3.54,0,0.167,0.44,0.36,0.865,0,0,0
Brad Wanamaker,36.19,20.95,20,21.9,0,0.95,0,0.421,0.409,0.381,0.739,0,0,0
TJ Leaf,12.02,8.74,26.78,47.54,2.19,2.73,0,0.273,0.313,0.449,0.736,0.25,0.2,0
Ray Spalding,4.26,4.26,25.53,63.83,2.13,0,0,0,0.5,0.5,0.6,0,0,0
Ryan Broekhoff,49.59,5.79,4.13,17.36,11.57,10.74,0.83,0.367,0.429,0.4,0.667,0.5,0.462,0
Thabo Sefolosha,20.81,10.07,8.05,29.53,14.77,16.78,0,0.419,0.4,0.417,0.591,0.545,0.36,0
Anfernee Simons,38.1,19.05,15.87,19.05,0,7.94,0,0.333,0.5,0.3,0.75,0,0.4,0
Hamidou Diallo,2.42,4.85,13.94,66.67,6.06,6.06,0,0,0.375,0.261,0.564,0.2,0.2,0
Justin Anderson,35.26,4.49,14.1,32.69,4.49,8.33,0.64,0.309,0.143,0.318,0.627,0.429,0.231,0
Kosta Koufos,0,4.61,57.89,37.5,0,0,0,0,0.714,0.398,0.561,0,0,0
Rawle Alkins,20.51,0,20.51,48.72,5.13,5.13,0,0.125,0,0.25,0.421,0.5,0.5,0
Gary Payton II,0,0,0,75,25,0,0,0,0,0,0.667,0.5,0,0
Demetrius Jackson,33.33,20,6.67,33.33,6.67,0,0,0.2,0.667,1,0.6,1,0,0
Jimmer Fredette,31.03,24.14,17.24,13.79,10.34,0,3.45,0,0.286,0.4,1,0,0,0
Patrick Patterson,40.64,8.68,11.87,17.35,13.7,7.76,0,0.337,0.368,0.385,0.526,0.267,0.412,0
Daryl Macon,37.04,33.33,14.81,11.11,3.7,0,0,0.5,0.222,0.25,0.667,0,0,0
Alan Williams,7.69,7.69,46.15,38.46,0,0,0,0,1,0.5,0.8,0,0,0
Nene,2.59,27.59,22.41,47.41,0,0,0,0,0.438,0.308,0.691,0,0,0
Channing Frye,61.54,17.95,8.55,5.98,2.56,3.42,0,0.403,0.238,0.2,0.571,0.667,0.25,0
Andrew Bogut,0,5.56,27.78,66.67,0,0,0,0,0.5,0.4,0.542,0,0,0
Tyrone Wallace,4.21,7.94,42.06,41.59,1.4,2.8,0,0.111,0.588,0.378,0.483,0.333,0.333,0
Jerome Robinson,40.37,17.43,12.84,18.35,0.92,8.26,1.83,0.318,0.421,0.357,0.65,0,0.444,0
Malcolm Miller,50,3.85,3.85,11.54,11.54,19.23,0,0.385,1,0,0,0.667,0.6,0
Isaiah Briscoe,15.94,26.81,13.77,34.78,3.62,5.07,0,0.364,0.27,0.211,0.625,0,0.429,0
Kyle O'Quinn,7.35,48.53,13.24,29.41,0.74,0.74,0,0.1,0.485,0.556,0.65,0,0,0
Wesley Johnson,25,26.56,4.69,10.16,14.06,19.53,0,0.469,0.265,0.333,0.769,0.167,0.24,0
Emanuel Terry,0,0,0,100,0,0,0,0,0,0,0.571,0,0,0
Duncan Robinson,58.7,8.7,0,15.22,10.87,6.52,0,0.259,0.5,0,0.857,0.6,0,0
Semi Ojeleye,34.18,8.86,6.96,27.85,10.76,10.76,0.63,0.296,0.214,0.364,0.727,0.235,0.471,0
Chris Boucher,38.16,1.32,3.95,46.05,6.58,3.95,0,0.31,0,0,0.629,0.4,0.333,0
BJ Johnson,16.67,27.78,11.11,22.22,0,16.67,5.56,0.333,0.6,1,0.25,0,0.667,0
Jordan Bell,0.52,33.85,16.15,48.96,0,0,0.52,0,0.338,0.419,0.681,0,0,0
Jaylen Adams,53.21,8.26,9.17,15.6,11.01,1.83,0.92,0.397,0.444,0.2,0.412,0.167,0,0
Jason Smith,35.59,18.64,5.08,32.2,1.69,6.78,0,0.333,0.273,0,0.474,0,0.5,0
Milos Teodosic,55,12.5,10,10,5,5,2.5,0.364,0.6,0.25,0.75,0.5,0.5,0
Andrew Harrison,37.74,16.98,9.43,26.42,5.66,1.89,1.89,0.2,0.111,0.4,0.571,0.333,0,0
PJ Dozier,28.57,9.52,19.05,33.33,9.52,0,0,0.167,0,0,0.857,0.5,0,0
Svi Mykhailiuk,44.6,15.11,4.32,16.55,6.47,12.95,0,0.306,0.286,0.167,0.435,0.556,0.278,0
Tyson Chandler,1.01,1.01,7.07,90.91,0,0,0,0,0,0.429,0.644,0,0,0
Skal Labissiere,24.49,14.29,16.33,42.86,0,2.04,0,0.5,0.571,0.375,0.619,0,0,0
Dante Cunningham,13.29,11.39,17.09,30.38,12.66,14.56,0.63,0.571,0.222,0.444,0.604,0.5,0.348,0
Isaac Humphries,28.57,9.52,4.76,33.33,9.52,14.29,0,0.167,0,0,0.429,1,0,0
Jordan Sibert,100,0,0,0,0,0,0,1,0,0,0,0,0,0
J.P. Macura,33.33,0,11.11,44.44,0,11.11,0,0,0,0,0.75,0,0,0
Daniel Hamilton,20,5,23.33,33.33,3.33,15,0,0.333,0.333,0.286,0.5,1,0.222,0
Gary Clark,64.24,0,1.99,6.62,15.23,11.92,0,0.351,0,0.333,0.8,0.174,0.167,0
Edmond Sumner,29.69,10.94,6.25,40.63,3.13,9.38,0,0.211,0.286,0.75,0.385,0.5,0.333,0
Dairis Bertans,57.45,25.53,2.13,0,8.51,6.38,0,0.296,0.167,0,0,0.5,0,0
C.J. Williams,32.35,17.65,11.76,26.47,8.82,2.94,0,0.455,0.833,0.25,0.667,0,0,0
Jarell Martin,26.92,22.12,3.85,19.23,14.42,13.46,0,0.393,0.304,0.5,0.7,0.4,0.214,0
Gary Trent Jr.,34,30,16,12,4,4,0,0.176,0.467,0.125,0.5,0,1,0
Lonnie Walker IV,26.09,30.43,10.87,30.43,2.17,0,0,0.333,0.214,0.2,0.5,1,0,0
Robert Williams III,0,7.84,1.96,90.2,0,0,0,0,0.25,0,0.761,0,0,0
Yuta Watanabe,19.61,19.61,27.45,21.57,1.96,9.8,0,0.1,0.2,0.286,0.636,1,0,0
Deonte Burton,18.29,10.98,12.2,43.9,6.1,8.54,0,0.4,0.333,0.3,0.528,0.2,0.143,0
Patrick McCaw,23.81,6.35,12.7,38.1,4.76,14.29,0,0.133,0.25,0.25,0.583,0.333,0.667,0
Ryan Anderson,46.38,20.29,1.45,20.29,5.8,4.35,1.45,0.25,0.357,0,0.5,0.25,0,0
Jaylen Morris,30,0,10,60,0,0,0,0.333,0,0,0.5,0,0,0
Troy Caupain,37.5,37.5,12.5,12.5,0,0,0,0.667,0.333,1,0,0,0,0
Udonis Haslem,30.3,30.3,12.12,21.21,6.06,0,0,0,0.5,0.25,0.714,0,0,0
Jordan Loyd,44.44,22.22,5.56,27.78,0,0,0,0.5,0.25,1,0.4,0,0,0
James Nunnally,38.24,5.88,5.88,14.71,11.76,23.53,0,0.308,0,0,0.8,0.25,0.375,0
Jared Terrell,33.33,25.64,10.26,20.51,7.69,2.56,0,0.231,0.5,0.25,0.25,0,1,0
Khyri Thomas,26.09,17.39,11.59,20.29,11.59,13.04,0,0.222,0.25,0.25,0.5,0.375,0.333,0
Jose Calderon,39.17,35.83,4.17,12.5,4.17,3.33,0.83,0.234,0.512,0.4,0.467,0.2,0.5,0
Ekpe Udoh,0,2.78,27.78,69.44,0,0,0,0,0,0.55,0.78,0,0,0
Scott Machado,25,0,0,75,0,0,0,1,0,0,0.667,0,0,0
Guerschon Yabusele,28.57,9.09,12.99,41.56,3.9,3.9,0,0.364,0.286,0.4,0.625,0,0.333,0
Nick Young,66.67,0,11.11,0,11.11,11.11,0,0.5,0,0,0,0,0,0
Amile Jefferson,0,0,25,75,0,0,0,0,0,0.25,0.75,0,0,0
Julian Washburn,25,27.08,12.5,10.42,16.67,6.25,2.08,0.167,0.308,0.5,0.8,0.25,0.333,0
Lorenzo Brown,23.94,9.86,14.08,36.62,4.23,8.45,2.82,0.176,0.429,0.4,0.385,0.333,0.333,0
Dzanan Musa,36.36,9.09,22.73,22.73,4.55,4.55,0,0.125,0.5,0.6,0.8,0,0,0
Caleb Swanigan,5.66,15.09,32.08,39.62,1.89,5.66,0,0,0.125,0.235,0.571,0,0.333,0
Zhou Qi,0,0,0,100,0,0,0,0,0,0,1,0,0,0
Kalin Lucas,100,0,0,0,0,0,0,0,0,0,0,0,0,0
