,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,url_list
88,Alex Caruso,PG,25,LAL,16,0,319,4.8,11.6,.416,1.5,5.3,.286,3.3,6.3,.524,0.6,0.9,.667,0.2,3.8,3.9,4.8,2.7,0.9,2.6,3.2,11.7,,94,103,https://www.basketball-reference.com/players/c/carusal01.html
89,Willie Cauley-Stein,C,26,GSW,16,15,359,6.6,12.5,.526,0.0,0.0,,6.6,12.5,.526,1.7,2.2,.765,2.6,10.6,13.2,3.7,2.4,2.4,2.0,5.7,14.9,,110,108,https://www.basketball-reference.com/players/c/caulewi01.html
90,Tyson Chandler,C,37,HOU,16,3,146,3.4,4.7,.733,0.0,0.0,,3.4,4.7,.733,1.6,2.8,.556,5.6,8.8,14.4,1.9,1.3,2.2,1.9,6.9,8.4,,136,107,https://www.basketball-reference.com/players/c/chandty01.html
91,Zylan Cheatham,SF,24,NOP,2,0,20,2.3,9.2,.250,0.0,2.3,.000,2.3,6.9,.333,0.0,0.0,,0.0,6.9,6.9,2.3,0.0,0.0,2.3,6.9,4.6,,53,118,https://www.basketball-reference.com/players/c/cheatzy01.html
92,Chris Chiozza,PG,24,WAS,3,0,37,2.5,11.2,.222,2.5,5.0,.500,0.0,6.2,.000,0.0,0.0,,0.0,5.0,5.0,8.7,2.5,2.5,3.7,7.5,7.5,,78,112,https://www.basketball-reference.com/players/c/chiozch01.html
93,Marquese Chriss,PF,22,GSW,18,1,315,7.5,14.9,.505,0.5,2.1,.214,7.1,12.8,.553,4.5,5.4,.833,3.9,8.7,12.6,5.6,2.4,2.9,3.9,5.7,20.0,,110,108,https://www.basketball-reference.com/players/c/chrisma01.html
94,Gary Clark,PF,25,HOU,5,0,39,8.2,16.4,.500,4.7,11.7,.400,3.5,4.7,.750,0.0,0.0,,3.5,7.0,10.5,2.3,1.2,1.2,0.0,5.9,21.1,,141,110,https://www.basketball-reference.com/players/c/clarkga01.html
95,Brandon Clarke,PF,23,MEM,16,1,352,11.4,18.0,.635,1.2,2.6,.450,10.2,15.3,.667,2.2,2.6,.850,3.1,10.0,13.1,2.6,1.2,2.1,2.2,3.4,26.2,,126,111,https://www.basketball-reference.com/players/c/clarkbr01.html
96,Jordan Clarkson,SG,27,CLE,18,0,408,9.9,23.6,.422,3.8,10.5,.360,6.2,13.0,.473,7.2,8.2,.884,1.3,3.6,4.9,5.1,1.3,0.7,2.5,2.5,30.9,,116,115,https://www.basketball-reference.com/players/c/clarkjo01.html
97,Nicolas Claxton,PF,20,BRK,9,0,119,4.3,8.2,.524,0.0,2.0,.000,4.3,6.3,.688,2.0,4.7,.417,3.1,5.5,8.6,4.3,0.4,2.0,2.3,3.9,10.6,,106,112,https://www.basketball-reference.com/players/c/claxtni01.html
98,Chris Clemons,SG,22,HOU,12,0,101,8.1,19.0,.429,6.3,15.8,.400,1.8,3.2,.571,1.4,1.8,.750,0.9,3.2,4.1,2.7,0.9,0.9,2.3,5.0,24.0,,114,113,https://www.basketball-reference.com/players/c/clemoch01.html
99,John Collins,PF,22,ATL,5,5,161,9.3,17.7,.525,2.6,5.5,.474,6.7,12.2,.548,3.5,4.9,.706,2.9,9.9,12.8,2.3,1.5,2.9,2.0,4.9,24.7,,120,110,https://www.basketball-reference.com/players/c/collijo01.html
100,Zach Collins,PF,22,POR,3,3,86,4.9,10.3,.474,1.6,3.8,.429,3.3,6.5,.500,3.3,3.3,1.000,2.2,4.3,6.5,3.3,0.0,1.1,3.3,6.0,14.7,,112,116,https://www.basketball-reference.com/players/c/colliza01.html
101,Mike Conley,PG,32,UTA,18,18,548,7.3,19.9,.368,2.9,8.3,.347,4.4,11.6,.383,4.9,6.2,.789,1.0,4.3,5.3,7.3,1.1,0.2,3.4,3.5,22.4,,101,107,https://www.basketball-reference.com/players/c/conlemi01.html
102,Pat Connaughton,SG,27,MIL,16,0,280,5.8,12.1,.480,2.4,7.4,.326,3.4,4.7,.724,1.0,1.0,1.000,1.1,7.8,8.9,3.9,0.5,1.6,1.3,2.6,15.0,,121,105,https://www.basketball-reference.com/players/c/connapa01.html
