,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,Unnamed: 0,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
263,T.J. Leaf,PF,22.0,IND,15.0,1.0,158.0,8.0,17.7,0.44799999999999995,1.5,3.4,0.455,6.4,14.4,0.447,1.5,2.4,0.625,6.1,11.3,17.4,1.8,2.1,0.9,1.8,4.3,19.0,109.0,100.0,https://www.basketball-reference.com/players/l/leaftj01.html,16.6,0.504,0.19,0.138,13.8,25.3,19.6,5.2,2.1,1.7,8.9,18.3,0.0,0.2,0.3,0.5,0.145,0.0,-1.8,0.7,-1.1,0.0,341.0,"$2,813,280",,,,,,,,,,,,
265,Damion Lee,SG,27.0,GSW,11.0,0.0,241.0,6.9,17.9,0.385,2.4,6.9,0.34299999999999997,4.5,11.0,0.41100000000000003,5.5,6.5,0.848,1.8,6.7,8.5,3.9,1.6,0.0,2.6,3.5,21.6,105.0,115.0,https://www.basketball-reference.com/players/l/leeda03.html,12.7,0.521,0.385,0.363,3.9,15.2,9.5,12.5,1.6,0.0,11.0,20.7,0.0,0.1,0.1,0.2,0.04,0.0,-1.4,-2.7,-4.1,-0.1,,,Warriors,241.0,-0.2,-0.8,-1.0,-1.5,0.4,-1.2,-0.4,-0.6,-1.0,0.2
277,Timothé Luwawu-Cabarrot,SG,24.0,BRK,2.0,0.0,6.0,0.0,15.5,0.0,0.0,7.8,0.0,0.0,7.8,0.0,7.8,15.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,41.0,118.0,https://www.basketball-reference.com/players/l/luwawti01.html,-9.0,0.174,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,-0.305,0.0,-13.1,-6.5,-19.5,0.0,,,,,,,,,,,,,,
279,Daryl Macon,SG,24.0,MIA,3.0,0.0,13.0,3.7,11.0,0.33299999999999996,3.7,7.3,0.5,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,7.3,3.7,11.0,65.0,113.0,https://www.basketball-reference.com/players/m/maconda01.html,-3.0,0.5,0.667,0.0,0.0,0.0,0.0,10.4,0.0,0.0,40.0,16.5,0.0,0.0,0.0,0.0,-0.141,0.0,-9.5,-5.5,-15.0,0.0,,,Heat,13.0,-9.5,-0.2,-9.7,-13.3,22.7,9.4,-10.7,4.1,-6.7,-0.0
280,Josh Magette,PG,30.0,ORL,2.0,0.0,8.0,12.3,30.7,0.4,0.0,0.0,0.0,12.3,30.7,0.4,0.0,0.0,0.0,6.1,6.1,12.3,12.3,12.3,0.0,0.0,0.0,24.6,108.0,84.0,https://www.basketball-reference.com/players/m/magetjo01.html,33.5,0.4,0.0,0.0,12.6,13.9,13.2,46.6,12.3,0.0,0.0,27.1,0.0,0.0,0.0,0.0,0.253,0.0,6.9,10.0,16.9,0.0,,,Magic,8.0,5.1,8.9,14.0,3.0,-18.8,-15.7,5.1,4.3,9.4,0.0
283,Boban Marjanović,C,31.0,DAL,8.0,1.0,104.0,11.0,22.1,0.5,0.0,0.5,0.0,11.0,21.6,0.511,4.6,5.5,0.833,5.5,11.5,17.0,2.3,0.9,0.5,3.2,6.4,26.7,110.0,108.0,https://www.basketball-reference.com/players/m/marjabo01.html,17.9,0.544,0.021,0.25,12.3,24.1,18.4,7.5,0.9,0.8,11.6,24.4,0.0,0.1,0.1,0.3,0.12,0.0,-2.7,-2.1,-4.8,-0.1,86.0,"$3,500,000",,,,,,,,,,,,
287,Kelan Martin,SF,24.0,MIN,8.0,0.0,116.0,5.9,17.4,0.341,2.0,9.5,0.20800000000000002,4.0,7.9,0.5,0.0,0.0,0.0,0.8,9.1,9.9,0.8,0.4,0.4,1.2,7.1,13.9,81.0,110.0,https://www.basketball-reference.com/players/m/martike03.html,2.9,0.39799999999999996,0.545,0.0,1.8,20.1,10.9,2.4,0.4,0.7,6.4,16.5,0.0,-0.2,0.1,-0.1,-0.04,0.0,-7.0,-2.7,-9.7,-0.2,,,Timberwolves,116.0,-4.5,-2.5,-7.0,-9.3,4.6,-4.7,-5.6,-1.4,-7.0,-0.2
288,Garrison Mathews,SG,23.0,WAS,2.0,0.0,14.0,0.0,6.6,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,6.6,0.0,0.0,3.3,9.8,0.0,39.0,121.0,https://www.basketball-reference.com/players/m/mathega01.html,-7.1,0.0,1.0,0.0,0.0,8.0,3.9,15.1,0.0,0.0,33.3,8.8,0.0,-0.1,0.0,-0.1,-0.19899999999999998,0.0,-9.0,-3.2,-12.2,0.0,,,Wizards,14.0,-4.9,0.9,-4.0,-16.0,30.6,14.6,-7.3,6.4,-0.9,0.0
293,Jalen McDaniels,PF,22.0,CHO,1.0,0.0,3.0,16.1,32.2,0.5,0.0,0.0,0.0,16.1,32.2,0.5,0.0,0.0,0.0,16.1,0.0,16.1,0.0,0.0,0.0,0.0,0.0,32.2,118.0,121.0,https://www.basketball-reference.com/players/m/mcdanja01.html,26.8,0.5,0.0,0.0,35.3,0.0,18.5,0.0,0.0,0.0,0.0,28.8,0.0,0.0,0.0,0.0,0.124,0.0,1.0,-12.3,-11.4,0.0,,,Hornets,3.0,12.7,-24.4,-11.7,4.5,-6.0,-1.6,12.0,-22.2,-10.2,-0.0
298,Jordan McLaughlin,PG,23.0,MIN,4.0,0.0,57.0,3.2,12.1,0.267,0.8,6.4,0.125,2.4,5.6,0.429,1.6,1.6,1.0,0.8,4.8,5.6,6.4,0.8,0.0,3.2,3.2,8.9,79.0,112.0,https://www.basketball-reference.com/players/m/mclaujo01.html,2.9,0.34600000000000003,0.5329999999999999,0.133,1.8,10.6,6.2,18.3,0.8,0.0,20.1,14.2,0.0,-0.1,0.0,-0.1,-0.062,0.0,-6.6,-1.7,-8.4,-0.1,,,Timberwolves,57.0,-8.1,-4.9,-12.9,-11.5,-4.5,-16.0,-9.1,-5.1,-14.2,-0.3
301,Nicolò Melli,C,29.0,NOP,16.0,3.0,263.0,5.9,12.9,0.45899999999999996,3.3,8.7,0.38,2.6,4.2,0.625,2.8,3.5,0.8,2.1,6.3,8.4,3.7,1.7,0.5,2.1,5.4,17.9,121.0,114.0,https://www.basketball-reference.com/players/m/mellini01.html,13.7,0.622,0.6759999999999999,0.27,4.7,15.0,9.7,10.7,1.7,1.0,12.7,14.6,0.0,0.5,0.1,0.6,0.107,0.0,1.5,-1.1,0.4,0.2,152.0,"$3,902,439",,,,,,,,,,,,
305,C.J. Miles,SG,32.0,WAS,10.0,0.0,161.0,5.4,16.8,0.322,3.1,10.0,0.314,2.3,6.8,0.33299999999999996,4.3,5.7,0.75,1.1,2.3,3.4,3.4,2.9,1.1,1.1,4.0,18.3,103.0,114.0,https://www.basketball-reference.com/players/m/milescj01.html,11.3,0.47200000000000003,0.593,0.33899999999999997,2.7,5.5,4.1,9.0,2.9,2.1,5.6,18.3,0.0,0.1,0.1,0.1,0.032,0.0,-0.5,-1.5,-2.0,0.0,383.0,"$8,730,158",,,,,,,,,,,,
311,Naz Mitrou-Long,SG,26.0,IND,3.0,0.0,43.0,6.7,18.0,0.375,2.2,12.4,0.182,4.5,5.6,0.8,0.0,0.0,0.0,0.0,6.7,6.7,7.9,1.1,1.1,2.2,1.1,15.7,96.0,105.0,https://www.basketball-reference.com/players/m/mitrona01.html,10.6,0.43799999999999994,0.688,0.0,0.0,15.1,7.6,21.6,1.1,2.0,11.1,17.9,0.0,0.0,0.1,0.0,0.048,0.0,-2.3,-0.2,-2.5,0.0,,,Pacers,43.0,-1.1,6.4,5.4,-1.9,14.3,12.4,-1.3,8.2,6.9,0.2
315,Juwan Morgan,PF,22.0,UTA,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,15.9,0.0,0.0,0.0,0.0,15.9,0.0,0.0,103.0,https://www.basketball-reference.com/players/m/morgaju01.html,-1.4,0.0,0.0,0.0,0.0,34.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,-9.2,0.2,-8.9,0.0,,,Jazz,3.0,-1.9,-6.3,-8.2,-13.8,16.7,2.9,-4.1,-2.5,-6.6,-0.0
316,Marcus Morris,SF,30.0,NYK,18.0,18.0,594.0,8.9,21.2,0.42,4.2,8.2,0.515,4.7,13.0,0.361,5.6,6.7,0.84,1.8,7.3,9.1,2.0,1.5,0.9,2.9,4.6,27.7,111.0,112.0,https://www.basketball-reference.com/players/m/morrima03.html,16.3,0.5720000000000001,0.385,0.315,3.7,16.6,9.8,6.8,1.5,1.8,10.7,23.4,0.0,0.9,0.3,1.2,0.09699999999999999,0.0,0.4,-1.8,-1.4,0.1,477.0,"$15,000,000",,,,,,,,,,,,
319,Johnathan Motley,PF,24.0,LAC,2.0,0.0,4.0,11.7,35.2,0.33299999999999996,11.7,11.7,1.0,0.0,23.4,0.0,0.0,0.0,0.0,11.7,11.7,23.4,23.4,0.0,0.0,23.4,11.7,35.2,88.0,106.0,https://www.basketball-reference.com/players/m/motlejo01.html,11.5,0.5,0.33299999999999996,0.0,26.2,25.1,25.7,82.6,0.0,0.0,40.0,51.1,0.0,0.0,0.0,0.0,-0.134,0.0,2.4,5.1,7.5,0.0,,,Clippers,4.0,-10.3,-33.8,-44.1,-9.1,-9.4,-18.5,-10.8,-31.2,-42.0,-0.1
323,Džanan Musa,SF,20.0,BRK,13.0,0.0,211.0,5.3,15.7,0.33799999999999997,1.3,7.7,0.171,4.0,7.9,0.5,4.0,5.3,0.75,1.3,7.3,8.6,3.1,1.3,0.2,4.0,2.6,15.9,84.0,111.0,https://www.basketball-reference.com/players/m/musadz01.html,6.1,0.441,0.493,0.33799999999999997,3.0,16.1,9.7,9.2,1.3,0.4,18.1,19.5,0.0,-0.4,0.2,-0.2,-0.051,0.0,-5.8,-1.4,-7.2,-0.3,359.0,"$1,911,600",,,,,,,,,,,,
325,Sviatoslav Mykhailiuk,SF,22.0,DET,13.0,0.0,205.0,4.7,11.3,0.41700000000000004,4.3,9.0,0.474,0.5,2.4,0.2,0.5,0.5,1.0,0.5,2.8,3.3,3.5,0.9,0.2,2.8,3.8,14.2,104.0,114.0,https://www.basketball-reference.com/players/m/mykhasv01.html,7.4,0.614,0.792,0.042,1.1,6.6,3.9,10.3,0.9,0.4,19.7,12.9,0.0,0.1,0.1,0.1,0.032,0.0,-1.0,-2.5,-3.5,-0.1,456.0,"$1,416,852",,,,,,,,,,,,
327,Larry Nance,C,27.0,CLE,16.0,3.0,414.0,7.6,14.6,0.52,2.2,6.1,0.365,5.4,8.5,0.63,2.4,3.4,0.7240000000000001,4.0,10.1,14.1,2.4,2.2,0.7,1.6,3.0,19.8,124.0,109.0,https://www.basketball-reference.com/players/n/nancela02.html,19.0,0.617,0.41600000000000004,0.23199999999999998,8.7,23.0,15.7,8.1,2.2,1.2,9.2,15.6,0.0,1.0,0.4,1.4,0.157,0.0,2.3,0.8,3.0,0.5,431.0,"$12,727,273",,,,,,,,,,,,
332,Zach Norvell,SG,22.0,LAL,2.0,0.0,5.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,9.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,https://www.basketball-reference.com/players/n/norveza01.html,-5.7,0.0,0.0,0.0,0.0,21.9,11.1,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,-0.14800000000000002,0.0,-14.4,-2.7,-17.1,0.0,,,,,,,,,,,,,,
347,Kelly Oubre,SF,24.0,PHO,17.0,17.0,518.0,9.1,19.8,0.45899999999999996,2.2,6.4,0.33799999999999997,6.9,13.4,0.517,6.0,7.3,0.8270000000000001,2.1,6.7,8.7,2.5,2.0,0.8,2.6,4.7,26.4,110.0,108.0,https://www.basketball-reference.com/players/o/oubreke01.html,16.6,0.573,0.32299999999999995,0.368,4.8,16.0,10.3,8.3,2.0,1.5,10.2,23.4,0.0,0.7,0.6,1.3,0.11699999999999999,0.0,0.2,-0.1,0.1,0.3,95.0,"$15,625,000",,,,,,,,,,,,
359,Jakob Pöltl,C,24.0,SAS,19.0,5.0,334.0,6.4,11.4,0.563,0.0,0.0,0.0,6.4,11.4,0.563,2.3,4.0,0.5710000000000001,6.0,9.7,15.6,4.0,1.4,2.7,2.6,5.0,15.1,118.0,110.0,https://www.basketball-reference.com/players/p/poeltja01.html,17.6,0.574,0.0,0.35,13.1,22.3,17.6,11.2,1.4,4.7,16.3,13.9,0.0,0.6,0.3,0.9,0.12300000000000001,0.0,-0.2,2.3,2.1,0.4,166.0,"$3,754,886",,,,,,,,,,,,
360,Shamorie Ponds,PG,21.0,TOR,1.0,0.0,6.0,15.8,23.8,0.667,0.0,7.9,0.0,15.8,15.8,1.0,0.0,0.0,0.0,0.0,7.9,7.9,15.8,0.0,0.0,0.0,15.8,31.7,153.0,107.0,https://www.basketball-reference.com/players/p/pondssh01.html,27.1,0.667,0.33299999999999996,0.0,0.0,16.0,8.5,65.1,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.1,0.413,0.0,10.6,-3.5,7.1,0.0,,,Raptors,6.0,8.7,-47.5,-38.8,25.7,-19.3,6.4,12.2,-45.1,-32.9,-0.1
362,Kevin Porter,SF,19.0,CLE,17.0,1.0,355.0,5.8,14.8,0.39399999999999996,1.1,5.0,0.21600000000000003,4.8,9.8,0.486,2.6,3.4,0.76,0.8,6.1,6.9,4.6,1.9,0.5,3.0,6.1,15.4,93.0,112.0,https://www.basketball-reference.com/players/p/porteke02.html,8.3,0.47100000000000003,0.33899999999999997,0.22899999999999998,1.8,13.9,7.7,14.4,1.9,1.0,15.5,17.1,0.0,-0.2,0.2,0.0,-0.003,0.0,-3.3,-0.1,-3.3,-0.1,441.0,"$1,290,960",,,,,,,,,,,,
363,Michael Porter,PF,21.0,DEN,10.0,0.0,90.0,8.1,18.5,0.441,1.1,5.4,0.2,7.1,13.0,0.542,2.7,4.3,0.625,4.3,8.1,12.5,2.2,0.0,1.6,3.3,7.1,20.1,97.0,105.0,https://www.basketball-reference.com/players/p/portemi01.html,10.3,0.493,0.294,0.235,9.2,17.8,13.4,6.6,0.0,3.1,13.8,20.6,0.0,0.0,0.1,0.1,0.054000000000000006,0.0,-4.2,-0.5,-4.7,-0.1,23.0,"$3,389,400",,,,,,,,,,,,
364,Otto Porter,SF,26.0,CHI,9.0,9.0,226.0,7.3,17.4,0.41700000000000004,3.3,8.3,0.4,3.9,9.1,0.43200000000000005,3.1,4.1,0.75,1.7,4.8,6.4,2.9,1.9,0.6,1.5,4.1,20.9,111.0,109.0,https://www.basketball-reference.com/players/p/porteot01.html,13.6,0.544,0.47600000000000003,0.23800000000000002,3.5,11.0,7.1,9.6,1.9,1.2,7.0,18.2,0.0,0.3,0.2,0.5,0.1,0.0,-0.3,-0.5,-0.8,0.1,411.0,"$27,250,576",,,,,,,,,,,,
366,Kristaps Porziņģis,PF,24.0,DAL,16.0,16.0,499.0,10.1,24.6,0.41,3.5,9.6,0.37,6.5,15.0,0.436,4.3,6.2,0.6920000000000001,2.6,11.5,14.1,2.4,0.8,3.3,2.7,4.6,28.0,103.0,105.0,https://www.basketball-reference.com/players/p/porzikr01.html,17.3,0.513,0.391,0.254,5.8,24.1,15.2,7.6,0.8,5.6,9.0,26.4,0.0,0.2,0.7,1.0,0.09300000000000001,0.0,-2.2,0.6,-1.5,0.1,77.0,"$27,285,000",,,,,,,,,,,,
371,J.J. Redick,SG,35.0,NOP,17.0,13.0,479.0,7.6,17.0,0.444,5.6,11.8,0.48,1.9,5.3,0.364,4.1,4.9,0.843,0.4,4.4,4.8,3.1,0.8,0.5,2.3,2.5,24.9,121.0,118.0,https://www.basketball-reference.com/players/r/redicjj01.html,15.3,0.649,0.691,0.287,0.9,10.6,5.5,9.4,0.8,0.9,10.7,19.0,0.0,1.1,0.0,1.0,0.105,0.0,2.9,-3.1,-0.2,0.2,145.0,"$13,486,300",,,,,,,,,,,,
375,Glenn Robinson,SF,26.0,GSW,19.0,19.0,604.0,7.1,14.6,0.484,2.0,4.8,0.41,5.1,9.8,0.52,1.7,2.0,0.846,2.5,4.5,7.1,3.2,1.6,0.3,1.3,2.4,17.8,117.0,116.0,https://www.basketball-reference.com/players/r/robingl02.html,13.9,0.575,0.32799999999999996,0.14,5.6,10.4,8.0,10.3,1.6,0.6,7.9,14.9,0.0,0.9,0.1,1.0,0.079,0.0,0.8,-1.3,-0.5,0.2,238.0,"$1,882,867",,,,,,,,,,,,
387,Dario Šarić,PF,25.0,PHO,17.0,17.0,468.0,6.7,15.8,0.424,3.1,7.9,0.392,3.6,7.9,0.456,1.7,2.1,0.81,2.8,9.0,11.8,3.4,1.8,0.7,2.5,4.1,18.2,105.0,107.0,https://www.basketball-reference.com/players/s/saricda01.html,13.2,0.544,0.5,0.133,6.5,21.6,13.9,10.3,1.8,1.3,13.0,17.5,0.0,0.3,0.6,0.8,0.087,0.0,-0.2,1.2,1.0,0.4,101.0,"$3,481,986",,,,,,,,,,,,
388,Tomáš Satoranský,PG,28.0,CHI,19.0,19.0,495.0,6.2,13.5,0.462,2.4,5.4,0.439,3.9,8.1,0.47700000000000004,1.7,2.0,0.857,1.6,4.4,6.1,9.2,2.7,0.3,3.9,4.0,16.6,110.0,108.0,https://www.basketball-reference.com/players/s/satorto01.html,14.5,0.575,0.39899999999999997,0.147,3.4,10.3,6.7,29.3,2.7,0.6,21.2,16.1,0.0,0.5,0.5,1.0,0.102,0.0,-0.1,0.2,0.1,0.3,414.0,"$10,000,000",,,,,,,,,,,,
390,Dennis Schröder,PG,26.0,OKC,17.0,0.0,490.0,9.5,21.8,0.43700000000000006,2.2,7.6,0.28600000000000003,7.4,14.3,0.517,3.5,4.7,0.75,0.8,6.1,6.9,6.4,1.4,0.5,4.8,4.1,24.8,96.0,110.0,https://www.basketball-reference.com/players/s/schrode01.html,12.7,0.518,0.34700000000000003,0.21600000000000003,1.8,13.5,7.8,22.1,1.4,0.8,16.8,26.2,0.0,-0.3,0.4,0.1,0.009000000000000001,0.0,-2.0,-0.8,-2.8,-0.1,177.0,"$15,500,000",,,,,,,,,,,,
397,Chris Silva,PF,23.0,MIA,16.0,0.0,161.0,7.4,10.9,0.6759999999999999,0.0,0.6,0.0,7.4,10.3,0.7140000000000001,4.1,5.9,0.7,9.1,10.3,19.5,3.2,1.2,3.5,6.8,13.0,18.9,111.0,99.0,https://www.basketball-reference.com/players/s/silvach01.html,17.2,0.6990000000000001,0.054000000000000006,0.541,23.5,23.3,23.4,10.4,1.2,7.3,33.4,18.4,0.0,0.2,0.3,0.6,0.171,0.0,-0.5,4.4,3.9,0.2,,,Heat,161.0,-2.0,4.1,2.1,3.8,1.6,5.4,-1.1,3.6,2.5,0.4
401,Dennis Smith,PG,22.0,NYK,11.0,0.0,172.0,6.6,19.7,0.33299999999999996,2.0,6.3,0.318,4.6,13.4,0.34,1.4,2.3,0.625,2.6,2.6,5.1,8.3,1.7,0.3,4.6,7.4,16.5,87.0,115.0,https://www.basketball-reference.com/players/s/smithde03.html,6.3,0.4,0.319,0.11599999999999999,5.3,5.9,5.5,26.3,1.7,0.6,18.1,21.8,0.0,-0.3,0.0,-0.3,-0.07200000000000001,0.0,-4.2,-3.0,-7.2,-0.2,484.0,"$4,463,640",,,,,,,,,,,,
419,Gary Trent,SG,21.0,POR,11.0,1.0,93.0,7.5,16.6,0.455,5.5,11.5,0.478,2.0,5.0,0.4,0.0,0.0,0.0,1.5,4.5,6.0,2.5,1.0,1.0,1.0,3.5,20.6,125.0,114.0,https://www.basketball-reference.com/players/t/trentga02.html,15.0,0.621,0.6970000000000001,0.0,3.3,9.7,6.5,7.6,1.0,1.8,5.7,15.6,0.0,0.2,0.0,0.2,0.127,0.0,2.2,-1.9,0.2,0.1,226.0,"$1,416,852",,,,,,,,,,,,
424,Jonas Valančiūnas,C,27.0,MEM,17.0,17.0,412.0,10.4,18.9,0.55,1.1,3.1,0.35700000000000004,9.3,15.8,0.589,2.9,3.4,0.867,4.4,13.6,17.9,3.6,0.6,1.5,4.3,4.9,24.9,109.0,111.0,https://www.basketball-reference.com/players/v/valanjo01.html,18.6,0.609,0.166,0.17800000000000002,10.1,31.6,20.8,12.1,0.6,2.7,17.3,22.1,0.0,0.5,0.3,0.8,0.094,0.0,-0.5,0.0,-0.5,0.2,191.0,"$16,000,000",,,,,,,,,,,,
429,Nikola Vučević,C,29.0,ORL,14.0,14.0,431.0,10.8,24.1,0.45,1.8,5.7,0.32,9.0,18.4,0.491,3.8,4.4,0.846,4.7,13.8,18.5,5.6,1.0,1.7,2.3,3.1,27.3,111.0,103.0,https://www.basketball-reference.com/players/v/vucevni01.html,22.3,0.524,0.237,0.185,9.6,31.2,19.9,20.1,1.0,3.1,8.1,25.0,0.0,0.7,0.7,1.5,0.16399999999999998,0.0,1.5,2.6,4.1,0.7,364.0,"$28,000,000",,,,,,,,,,,,
430,Dean Wade,PF,23.0,CLE,3.0,0.0,18.0,2.7,5.4,0.5,2.7,2.7,1.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,5.4,5.4,0.0,2.7,0.0,0.0,8.0,8.0,148.0,111.0,https://www.basketball-reference.com/players/w/wadede01.html,6.6,0.75,0.5,0.0,0.0,12.2,6.0,0.0,2.7,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.08900000000000001,0.0,-2.3,-1.0,-3.3,0.0,,,Cavaliers,18.0,-5.1,-6.5,-11.7,20.6,-9.2,11.5,-0.6,-7.1,-7.7,-0.0
433,Lonnie Walker,SG,21.0,SAS,12.0,0.0,64.0,7.4,20.0,0.37,0.7,3.0,0.25,6.7,17.1,0.391,0.7,5.2,0.14300000000000002,1.5,6.7,8.2,3.0,0.0,0.7,2.2,3.7,16.3,77.0,117.0,https://www.basketball-reference.com/players/w/walkelo01.html,3.5,0.366,0.14800000000000002,0.259,3.3,15.4,9.2,8.6,0.0,1.3,9.1,21.8,0.0,-0.2,0.0,-0.2,-0.14,0.0,-8.1,-4.0,-12.1,-0.2,168.0,"$2,760,480",,,,,,,,,,,,
435,Taurean Waller-Prince,SF,25.0,BRK,18.0,18.0,540.0,7.2,17.7,0.41,4.2,10.5,0.402,3.0,7.1,0.42200000000000004,1.6,2.2,0.72,1.2,8.2,9.4,2.8,1.3,0.4,3.4,4.4,20.2,98.0,110.0,https://www.basketball-reference.com/players/p/princta02.html,10.5,0.544,0.595,0.122,2.7,18.1,10.5,8.7,1.3,0.7,15.3,19.6,0.0,-0.1,0.5,0.4,0.033,0.0,-1.7,-0.8,-2.5,-0.1,354.0,"$3,481,986",,,,,,,,,,,,
436,Derrick Walton,PG,24.0,LAC,3.0,0.0,9.0,5.2,5.2,1.0,5.2,5.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,5.2,10.4,15.6,125.0,114.0,https://www.basketball-reference.com/players/w/waltode01.html,8.6,1.5,1.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,50.0,9.1,0.0,0.0,0.0,0.0,0.08900000000000001,0.0,0.9,-6.8,-6.0,0.0,59.0,"$1,445,697",,,,,,,,,,,,
439,PJ Washington,PF,21.0,CHO,19.0,19.0,522.0,7.6,15.3,0.49700000000000005,2.3,5.2,0.446,5.3,10.1,0.523,2.4,3.6,0.667,1.6,7.5,9.1,2.5,1.9,1.5,2.1,4.6,19.9,111.0,111.0,https://www.basketball-reference.com/players/w/washipj01.html,14.6,0.59,0.33899999999999997,0.23600000000000002,3.4,18.1,10.4,8.0,1.9,2.7,11.2,17.0,0.0,0.6,0.4,1.0,0.08900000000000001,0.0,-0.8,0.6,-0.2,0.2,404.0,"$3,831,840",,,,,,,,,,,,
440,Yuta Watanabe,SG,25.0,MEM,1.0,0.0,3.0,30.8,30.8,1.0,0.0,0.0,0.0,30.8,30.8,1.0,0.0,0.0,0.0,0.0,15.4,15.4,0.0,0.0,0.0,0.0,15.4,61.5,200.0,113.0,https://www.basketball-reference.com/players/w/watanyu01.html,49.3,1.0,0.0,0.0,0.0,35.9,17.8,0.0,0.0,0.0,0.0,27.6,0.0,0.0,0.0,0.0,0.44,0.0,10.2,-10.9,-0.7,0.0,,,Grizzlies,3.0,15.0,4.0,19.0,7.7,35.6,43.3,14.5,10.2,24.7,0.0
441,Tremont Waters,PG,22.0,BOS,1.0,0.0,20.0,4.8,16.8,0.28600000000000003,2.4,12.0,0.2,2.4,4.8,0.5,4.8,4.8,1.0,0.0,4.8,4.8,7.2,2.4,4.8,4.8,4.8,16.8,87.0,99.0,https://www.basketball-reference.com/players/w/watertr01.html,10.8,0.444,0.7140000000000001,0.28600000000000003,0.0,10.2,5.1,20.6,2.4,9.4,20.2,21.0,0.0,0.0,0.0,0.0,0.02,0.0,-4.6,4.0,-0.6,0.0,,,Celtics,20.0,3.0,6.6,9.6,19.9,3.4,23.3,6.3,6.3,12.5,0.2
451,Robert Williams,C,22.0,BOS,15.0,1.0,213.0,6.3,8.6,0.737,0.0,0.0,0.0,6.3,8.6,0.737,1.4,2.5,0.545,3.8,11.3,15.1,4.5,3.2,3.8,2.7,6.3,14.0,128.0,95.0,https://www.basketball-reference.com/players/w/williro04.html,20.1,0.7240000000000001,0.0,0.289,8.2,23.9,16.1,13.5,3.2,7.5,21.9,10.9,0.0,0.4,0.6,1.0,0.228,0.0,-0.2,7.8,7.6,0.5,274.0,"$1,937,520",,,,,,,,,,,,
460,Ante Žižić,C,23.0,CLE,4.0,0.0,64.0,7.5,13.6,0.556,0.0,0.0,0.0,7.5,13.6,0.556,3.0,3.8,0.8,3.8,6.8,10.6,0.0,0.8,0.8,0.8,6.0,18.1,124.0,114.0,https://www.basketball-reference.com/players/z/zizican01.html,13.9,0.594,0.0,0.278,8.3,15.4,11.8,0.0,0.8,1.3,4.7,14.1,0.0,0.1,0.0,0.1,0.11199999999999999,0.0,-3.0,-4.2,-7.3,-0.1,437.0,"$2,281,800",,,,,,,,,,,,
462,Luol Deng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,"$4,990,000",,,,,,,,,,,,
463,DeMarcus Cousins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,"$3,500,000",,,,,,,,,,,,
464,Talen Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,"$898,310",,,,,,,,,,,,
465,Gerald Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,"$2,564,753",,,,,,,,,,,,
466,Nenê Hilário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,"$2,564,753",,,,,,,,,,,,
467,Troy Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,"$122,741",,,,,,,,,,,,
468,William Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,"$50,000",,,,,,,,,,,,
