,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,Unnamed: 0,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR
62,Oshae Brissett,SF,21.0,TOR,3.0,0.0,13.0,3.7,11.0,0.33299999999999996,3.7,3.7,1.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,3.7,3.7,3.7,3.7,0.0,0.0,0.0,11.0,115.0,103.0,https://www.basketball-reference.com/players/b/brissos01.html,11.0,0.5,0.33299999999999996,0.0,0.0,7.4,3.9,10.0,3.7,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.124,0.0,-1.7,1.6,-0.1,0.0,,,Raptors,13.0,-0.9,-0.6,-1.5,11.1,-13.1,-2.1,1.2,-3.1,-1.9,0.0
67,Charlie Brown,SG,22.0,ATL,4.0,0.0,16.0,2.9,8.8,0.33299999999999996,2.9,2.9,1.0,0.0,5.8,0.0,11.7,11.7,1.0,5.8,2.9,8.8,0.0,0.0,2.9,0.0,0.0,20.4,169.0,118.0,https://www.basketball-reference.com/players/b/brownch02.html,21.7,0.735,0.33299999999999996,1.3330000000000002,13.8,6.9,10.4,0.0,0.0,5.7,0.0,12.3,0.0,0.1,0.0,0.1,0.25,0.0,2.2,-4.4,-2.2,0.0,,,,,,,,,,,,,,
69,Moses Brown,C,20.0,POR,4.0,0.0,15.0,9.3,21.8,0.429,0.0,0.0,0.0,9.3,21.8,0.429,6.2,12.5,0.5,6.2,21.8,28.0,0.0,3.1,0.0,3.1,12.5,24.9,95.0,99.0,https://www.basketball-reference.com/players/b/brownmo01.html,15.6,0.457,0.0,0.5710000000000001,13.7,46.9,30.4,0.0,3.1,0.0,10.2,27.0,0.0,0.0,0.0,0.0,0.066,0.0,-10.5,-7.6,-18.1,-0.1,,,Trail Blazers,15.0,-1.9,-7.5,-9.4,-5.1,-19.2,-24.3,-2.7,-10.2,-12.8,-0.1
71,Troy Brown,SG,20.0,WAS,13.0,9.0,275.0,6.0,13.9,0.434,1.2,3.8,0.304,4.8,10.0,0.483,1.5,1.7,0.9,2.8,7.2,10.0,4.5,2.3,0.2,2.5,2.3,14.7,104.0,114.0,https://www.basketball-reference.com/players/b/browntr01.html,12.3,0.503,0.27699999999999997,0.12,6.6,17.5,11.9,12.0,2.3,0.3,14.6,15.3,0.0,0.1,0.1,0.2,0.04,0.0,-1.3,-0.1,-1.4,0.0,388.0,"$3,219,480",,,,,,,,,,,,
80,Vlatko Čančar,SF,22.0,DEN,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,https://www.basketball-reference.com/players/c/cancavl01.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,-6.3,1.4,-5.0,0.0,28.0,"$1,517,981",,,,,,,,,,,,
85,Wendell Carter,C,20.0,CHI,19.0,19.0,545.0,7.9,13.6,0.5820000000000001,0.2,1.0,0.16699999999999998,7.7,12.6,0.616,4.5,6.4,0.693,6.1,9.8,15.9,1.5,0.9,1.4,2.2,6.6,20.5,123.0,107.0,https://www.basketball-reference.com/players/c/cartewe01.html,18.1,0.623,0.076,0.475,12.8,22.7,17.5,4.9,0.9,2.7,12.0,16.4,0.0,1.3,0.7,1.9,0.17,0.0,-0.5,0.6,0.2,0.3,419.0,"$5,201,400",,,,,,,,,,,,
90,Zylan Cheatham,SF,24.0,NOP,2.0,0.0,20.0,2.3,9.2,0.25,0.0,2.3,0.0,2.3,6.9,0.33299999999999996,0.0,0.0,0.0,0.0,6.9,6.9,2.3,0.0,0.0,2.3,6.9,4.6,53.0,118.0,https://www.basketball-reference.com/players/c/cheatzy01.html,-3.4,0.25,0.25,0.0,0.0,16.5,7.9,6.1,0.0,0.0,20.0,10.1,0.0,-0.1,0.0,-0.1,-0.139,0.0,-9.4,-2.1,-11.5,0.0,,,Pelicans,20.0,-8.2,-9.9,-18.2,-16.5,-17.9,-34.4,-10.2,-11.9,-22.1,-0.2
91,Chris Chiozza,PG,24.0,WAS,3.0,0.0,37.0,2.5,11.2,0.222,2.5,5.0,0.5,0.0,6.2,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.7,2.5,2.5,3.7,7.5,7.5,78.0,112.0,https://www.basketball-reference.com/players/c/chiozch01.html,4.8,0.33299999999999996,0.444,0.0,0.0,12.1,5.9,21.2,2.5,4.5,25.0,13.3,0.0,-0.1,0.0,0.0,-0.061,0.0,-6.2,1.2,-5.0,0.0,,,Wizards,37.0,-4.9,6.2,1.3,-18.8,23.2,4.4,-7.8,9.7,2.0,0.1
97,Chris Clemons,SG,22.0,HOU,12.0,0.0,101.0,8.1,19.0,0.429,6.3,15.8,0.4,1.8,3.2,0.5710000000000001,1.4,1.8,0.75,0.9,3.2,4.1,2.7,0.9,0.9,2.3,5.0,24.0,114.0,113.0,https://www.basketball-reference.com/players/c/clemoch01.html,13.4,0.606,0.833,0.095,2.0,7.0,4.5,9.1,0.9,1.7,10.3,19.6,0.0,0.2,0.1,0.2,0.1,0.0,1.1,-3.3,-2.2,0.0,,,Rockets,101.0,3.1,1.9,5.0,-2.1,0.3,-1.8,2.3,1.7,4.0,0.4
103,Tyler Cook,PF,22.0,CLE,6.0,0.0,17.0,14.2,17.0,0.833,0.0,0.0,0.0,14.2,17.0,0.833,5.7,5.7,1.0,8.5,5.7,14.2,0.0,2.8,0.0,2.8,2.8,34.1,154.0,111.0,https://www.basketball-reference.com/players/c/cookty01.html,34.9,0.872,0.0,0.33299999999999996,18.6,12.9,15.8,0.0,2.8,0.0,12.7,19.8,0.0,0.1,0.0,0.1,0.322,0.0,5.6,-5.7,0.0,0.0,,,Cavaliers,17.0,1.5,-1.5,0.1,-5.1,-0.4,-5.5,0.4,-1.3,-0.8,0.0
123,Luka Dončić,PG,20.0,DAL,17.0,17.0,578.0,13.7,28.2,0.485,4.3,13.1,0.32899999999999996,9.4,15.1,0.621,10.8,13.1,0.823,2.1,12.0,14.1,13.4,2.1,0.2,6.5,3.6,42.4,121.0,106.0,https://www.basketball-reference.com/players/d/doncilu01.html,32.1,0.625,0.465,0.465,4.6,25.1,15.2,48.1,2.1,0.4,16.2,35.6,0.0,2.8,0.8,3.6,0.298,0.0,11.3,2.4,13.7,2.3,83.0,"$7,683,360",,,,,,,,,,,,
