,Player,Age_x,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%_x,OREB,DREB_x,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB_y,DREB%,T_DREB%_x,STL,T_STL%_x,BLK,T_BLK%_x,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_DREB%_y,T_REB%,T_AST%,T_TOV%,T_STL%_y,T_BLK%_y,T_BLKA%,T_PF%,T_PFD%,T_PTS%,Age_y,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,FT%_y,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,Unnamed: 0,salary
2,Luka Doncic,20,12,6,34.2,9.8,20.2,48.6,3.1,9.4,32.5,8.1,9.8,82.4,1.5,8.4,9.9,9.6,4.5,2.7,57.5,13,7,5.6,8.4,22.9,33.3,1.4,31.7,0.2,5.4,11.5,10.3,10.1,33.7,0.064,35.0,33.8,32.6,28.8,31.5,49.7,47.2,19.4,33.3,30.0,56.5,46.6,31.7,5.4,18.2,19.3,45.8,36.2,20,53.6,46.4,44.0,2.9,29.8,7.9,26.2,9.6,41.2,20.5,79.5,25.5,74.5,22.0,78.0,2.9,2.7,2.4,12.7,11.5,10.3,10.1,33.7,0.4,7.6,Mavericks,578.0,10.2,1.4,11.6,7.2,-5.1,2.2,10.0,0.3,10.3,3.9,,
20,Bojan Bogdanovic,30,12,6,33.3,7.6,15.6,48.8,3.3,7.0,46.8,3.6,4.1,87.8,0.7,3.7,4.4,2.2,2.7,2.0,30.9,0,0,5.7,3.7,10.2,14.3,0.8,19.2,0.2,7.8,11.8,9.8,8.6,31.9,0.135,25.6,28.0,26.9,35.8,31.6,25.0,22.2,11.9,14.3,13.8,14.3,25.8,19.2,7.8,37.9,14.3,19.3,28.4,30,55.2,44.8,39.2,3.0,44.5,14.1,16.3,20.6,36.2,48.7,51.3,88.1,11.9,65.7,34.3,4.6,1.6,3.1,8.0,11.8,9.8,8.6,31.9,1.2,3.2,Jazz,565.0,1.9,-0.2,1.6,7.9,-1.6,6.3,3.1,-0.5,2.6,1.5,,
37,Marcus Morris Sr.,30,4,15,33.0,6.0,14.2,42.4,2.8,5.4,52.4,3.8,4.6,83.9,1.2,4.9,6.2,1.3,1.9,3.3,30.8,1,0,-4.4,4.9,15.2,22.7,0.9,16.1,0.6,20.0,11.4,8.2,10.6,29.2,0.056,22.3,22.8,23.3,37.8,28.5,34.9,28.1,13.1,22.7,19.8,9.0,18.8,16.1,20.0,16.1,18.6,23.8,26.3,30,61.7,38.3,33.8,17.5,45.6,8.5,20.6,15.8,16.3,38.3,61.7,77.8,22.2,57.0,43.0,2.9,1.9,1.6,3.1,11.4,8.2,10.6,29.2,0.5,3.3,Knicks,594.0,0.9,0.1,1.0,3.2,-0.9,2.3,1.4,-0.0,1.4,1.2,,
56,Kelly Oubre Jr.,23,8,10,31.0,6.1,13.2,46.0,1.6,4.4,35.4,3.8,4.7,81.2,1.3,4.6,5.9,1.7,1.7,3.2,31.2,2,0,0.6,4.6,14.6,21.2,1.3,28.2,0.6,21.7,10.4,8.5,8.3,32.2,0.066,22.4,22.9,23.1,19.3,20.3,28.6,28.7,25.3,21.2,22.0,9.7,17.9,28.2,21.7,35.3,22.0,23.6,23.6,23,66.7,33.3,51.4,6.3,26.7,15.9,21.9,23.5,45.1,55.6,44.4,96.4,3.6,66.1,33.9,4.1,2.2,2.8,7.9,10.4,8.5,8.3,32.2,1.3,4.1,Suns,518.0,1.2,1.6,2.9,-1.7,-2.0,-3.8,0.7,1.0,1.8,1.2,,
58,Kristaps Porzingis,24,11,6,31.4,6.2,15.5,39.8,2.2,6.2,34.9,2.8,3.9,70.1,1.6,7.8,9.4,1.5,1.7,2.8,37.5,7,0,3.2,7.8,22.3,32.0,0.6,13.2,2.2,62.7,10.2,9.4,10.9,28.4,0.085,24.8,23.8,26.7,25.2,24.1,20.3,22.0,23.5,32.0,30.1,10.0,19.2,13.2,62.7,23.7,22.0,20.5,23.3,24,59.8,40.2,46.3,13.6,37.8,7.5,16.0,8.2,32.7,69.1,30.9,97.3,2.7,79.0,21.0,1.4,2.7,1.3,5.6,10.2,9.4,10.9,28.4,0.5,3.0,Mavericks,499.0,-2.0,0.5,-1.4,-4.4,2.8,-1.6,-2.7,1.0,-1.7,0.3,,
61,Nikola Vucevic,29,6,8,30.8,6.8,15.1,45.0,1.1,3.6,32.0,2.4,2.8,84.6,2.9,8.6,11.6,3.5,1.4,1.9,39.9,10,0,4.2,8.6,27.5,36.7,0.6,12.3,1.1,26.8,8.8,6.9,6.3,28.0,0.121,25.0,26.3,26.7,17.2,18.7,21.7,21.0,44.1,36.7,38.3,21.7,19.6,12.3,26.8,28.9,17.8,21.8,24.7,29,76.3,23.7,66.1,7.5,20.1,2.9,13.8,10.9,58.6,72.2,27.8,100,0.0,76.8,23.2,1.9,1.4,0.5,10.0,8.8,6.9,6.3,28.0,0.8,2.7,Magic,431.0,-0.5,2.1,1.6,5.6,-0.4,5.2,0.7,1.7,2.4,1.1,,
74,Nikola Jokic,24,13,4,31.0,6.4,13.9,45.8,0.9,4.1,23.2,1.9,2.5,76.7,2.2,8.2,10.4,6.0,2.6,3.3,39.3,7,3,6.4,8.2,25.8,35.5,1.1,21.1,0.5,19.6,8.9,6.6,8.1,28.8,0.150,24.4,24.1,24.1,14.2,20.6,19.8,20.7,31.6,35.5,34.6,36.8,30.6,21.1,19.6,13.2,26.5,29.1,22.5,24,70.8,29.2,69.4,14.3,18.1,5.3,12.5,12.8,55.1,51.1,48.9,93.8,6.3,57.4,42.6,2.0,2.6,0.8,8.6,8.9,6.6,8.1,28.8,0.4,3.9,Nuggets,490.0,1.6,-0.2,1.4,2.6,-1.0,1.6,1.8,-0.5,1.3,1.0,,
75,Goran Dragic,33,12,5,28.6,5.2,11.2,46.3,2.1,5.3,40.0,3.0,4.2,70.8,0.3,3.0,3.3,4.9,2.7,1.7,27.0,0,0,1.9,3.0,9.7,14.6,0.7,15.0,0.2,9.1,12.8,8.6,7.5,28.1,0.079,23.0,22.7,23.7,25.5,25.7,21.0,23.0,6.4,14.6,13.1,33.6,23.4,15.0,9.1,26.5,12.2,19.5,22.7,33,52.6,47.4,39.5,4.6,41.1,13.3,19.4,13.7,35.0,28.8,71.2,55.6,44.4,39.8,60.2,2.1,0.4,2.1,5.4,12.8,8.6,7.5,28.1,0.5,2.9,Heat,460.0,2.2,-2.5,-0.3,-1.2,-6.8,-8.0,1.7,-3.5,-1.7,0.2,,
77,Dennis Schroder,26,7,11,29.0,6.0,13.7,43.9,1.4,4.8,29.1,2.0,2.7,75.0,0.4,3.6,4.0,4.0,2.9,2.3,26.5,0,0,2.8,3.6,11.0,16.7,0.8,17.7,0.3,8.1,10.0,9.0,6.8,26.6,0.151,25.7,25.4,26.9,21.6,25.4,17.5,17.8,9.3,16.7,15.4,31.0,31.1,17.7,8.1,19.6,17.8,19.6,23.6,26,65.0,35.0,59.9,20.2,27.1,10.5,13.0,15.5,39.7,30.1,69.9,88.0,12.0,43.5,56.5,2.4,0.7,1.6,6.1,10.0,9.0,6.8,26.6,0.6,2.7,Thunder,490.0,-1.9,0.2,-1.8,-2.3,14.8,12.6,-2.1,2.9,0.8,0.9,,
78,JJ Redick,35,6,12,28.5,4.7,10.8,43.6,3.5,7.6,46.3,2.4,2.8,84.3,0.2,2.8,3.1,1.9,1.4,1.6,22.7,0,0,-1.5,2.8,9.4,14.0,0.4,8.4,0.3,10.0,12.1,9.1,9.2,30.8,0.033,18.4,18.6,19.7,38.9,33.1,22.6,20.2,3.2,14.0,11.2,12.5,13.7,8.4,10.0,15.2,12.0,20.1,21.8,35,30.3,69.7,15.9,10.9,68.5,18.8,15.6,14.5,5.1,90.9,9.1,90.5,9.5,90.6,9.4,2.2,1.5,2.9,0.8,12.1,9.1,9.2,30.8,0.4,2.5,Pelicans,479.0,2.5,-2.0,0.5,2.1,-1.6,0.6,2.5,-2.0,0.5,0.8,,
