,Player,Age_x,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%_x,OREB,DREB_x,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB_y,DREB%,T_DREB%_x,STL,T_STL%_x,BLK,T_BLK%_x,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_DREB%_y,T_REB%,T_AST%,T_TOV%,T_STL%_y,T_BLK%_y,T_BLKA%,T_PF%,T_PFD%,T_PTS%,Age_y,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,FT%_y,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,Unnamed: 0,salary
80,Jaren Jackson Jr.,20,5,12,26.8,5.5,12.1,45.4,2.1,5.1,40.2,2.1,2.6,79.5,1.4,3.6,5.0,1.4,1.8,3.9,25.9,1,0,-7.5,3.6,13.2,18.8,0.5,11.9,1.1,40.0,11.8,8.6,9.4,27.3,0.004,23.1,23.8,23.8,29.4,26.9,28.7,27.3,24.7,18.8,20.1,9.1,19.1,11.9,40.0,33.3,28.8,30.2,25.1,20,57.6,42.4,45.3,2.3,41.0,8.2,13.7,7.8,43.0,69.0,31.0,88.6,11.4,76.3,23.7,1.2,2.3,1.2,6.5,11.8,8.6,9.4,27.3,1.2,3.2,Grizzlies,425.0,-0.7,-1.4,-2.1,0.5,-10.2,-9.7,-0.5,-3.0,-3.5,-0.2,,
83,Bogdan Bogdanovic,27,8,9,27.8,5.2,12.9,40.5,2.8,7.4,38.4,1.7,2.4,72.5,0.2,2.5,2.8,4.8,1.8,1.9,28.5,2,0,-1.2,2.5,9.5,14.1,1.5,34.7,0.1,3.8,8.8,6.3,5.1,24.5,0.074,24.4,24.3,26.3,36.4,35.1,19.3,20.6,4.3,14.1,11.8,36.0,20.9,34.7,3.8,33.3,14.6,20.0,25.1,27,43.2,56.8,32.2,15.7,56.5,12.2,11.4,14.5,16.5,17.1,82.9,79.2,20.8,50.6,49.4,2.2,1.5,1.8,2.5,8.8,6.3,5.1,24.5,0.9,2.4,Kings,445.0,4.1,1.1,5.2,-0.2,1.4,1.3,3.6,1.2,4.8,1.7,,
92,Marvin Bagley III,20,0,1,27.7,6.0,16.0,37.5,0.0,0.0,0.0,2.0,4.0,50.0,4.0,6.0,10.0,0.0,1.0,1.0,31.0,1,0,-21.0,6.0,18.8,24.0,1.0,50.0,1.0,33.3,17.0,10.0,22.0,48.0,-0.029,25.7,27.3,31.4,0.0,0.0,28.6,33.3,50.0,24.0,30.3,0.0,5.9,50.0,33.3,50.0,7.7,30.0,24.1,20,100,0.0,85.7,28.6,0.0,0.0,14.3,14.3,57.1,66.7,33.3,0.0,0.0,66.7,33.3,2.0,7.0,0.0,8.0,17.0,10.0,22.0,48.0,3.0,3.0,Kings,28.0,-7.0,0.7,-6.3,-12.0,-6.1,-18.1,-8.2,-0.5,-8.8,-0.1,,
96,Jonas Valanciunas,27,5,13,24.6,5.7,10.3,55.4,0.6,1.7,33.3,1.6,1.8,84.8,2.6,7.2,9.8,1.9,2.2,2.6,29.5,11,0,-3.8,7.2,27.1,37.7,0.3,8.3,0.9,38.1,10.7,6.0,7.4,24.8,0.058,21.6,27.2,22.1,10.0,11.1,21.2,19.8,43.1,37.7,39.0,14.6,23.5,8.3,38.1,17.9,24.9,19.4,24.6,27,83.9,16.1,76.2,4.1,12.3,7.0,11.5,12.3,72.1,54.8,45.2,100,0.0,59.2,40.8,1.7,3.5,0.9,9.8,10.7,6.0,7.4,24.8,0.7,1.8,Grizzlies,412.0,-1.3,1.0,-0.3,-1.5,0.8,-0.6,-1.4,1.1,-0.3,0.5,,
101,Taurean Prince,25,10,9,30.2,4.7,11.6,40.7,2.8,6.9,40.2,0.9,1.3,72.0,0.8,5.1,5.9,1.7,2.2,2.8,24.0,4,0,1.8,5.1,15.6,23.4,0.8,17.2,0.3,8.6,9.5,7.7,6.4,30.8,0.074,19.2,18.1,20.2,30.1,28.0,8.6,8.8,12.0,23.4,20.6,11.5,23.3,17.2,8.6,19.3,21.5,10.9,18.2,25,40.3,59.7,29.5,4.0,63.3,10.8,7.2,14.3,25.5,62.2,37.8,84.9,15.1,75.6,24.4,1.9,1.1,1.4,3.4,9.5,7.7,6.4,30.8,0.6,1.5,Nets,540.0,-1.8,0.5,-1.3,3.4,-1.5,1.9,-0.9,0.1,-0.8,0.6,,
106,Tim Hardaway Jr.,27,12,6,24.0,4.3,10.3,41.9,2.4,6.2,38.7,1.9,2.4,79.1,0.3,1.8,2.1,1.8,0.5,2.2,19.5,0,0,6.4,1.8,6.3,9.3,0.5,14.5,0.1,5.1,6.1,6.9,6.6,22.9,0.083,20.2,20.7,22.7,31.9,29.8,16.3,16.3,5.4,9.3,8.5,14.9,9.2,14.5,5.1,26.7,19.9,14.7,21.3,27,40.3,59.7,30.0,11.2,55.4,10.3,14.6,10.3,18.9,51.4,48.6,93.0,7.0,74.4,25.6,1.3,1.8,1.3,2.4,6.1,6.9,6.6,22.9,0.4,1.8,Mavericks,396.0,2.2,0.5,2.7,2.9,3.4,6.3,2.3,1.1,3.4,1.2,,
108,Davis Bertans,27,6,11,27.5,4.2,9.4,45.0,3.3,7.5,44.1,1.1,1.2,85.7,0.7,3.8,4.5,1.8,0.7,2.6,23.2,0,0,1.0,3.8,13.4,20.3,0.5,13.4,0.5,17.8,9.8,9.4,7.2,28.1,0.041,15.3,16.3,17.4,35.7,32.0,11.1,10.9,14.0,20.3,19.0,10.7,8.3,13.4,17.8,7.7,18.6,9.7,18.2,27,20.6,79.4,14.7,1.8,77.1,15.6,8.3,18.3,12.8,75.0,25.0,94.6,5.4,90.3,9.7,2.4,0.6,2.0,1.6,9.8,9.4,7.2,28.1,0.2,1.2,Wizards,441.0,3.7,-1.0,2.7,3.5,3.1,6.6,3.8,-0.2,3.6,1.4,,
111,Wendell Carter Jr.,20,6,14,28.9,5.0,8.7,56.9,0.1,0.7,15.4,2.7,4.0,68.4,3.8,6.0,9.7,0.9,1.3,4.1,28.7,10,0,0.2,6.0,20.2,29.5,0.7,11.6,0.8,42.1,10.4,7.0,9.5,28.5,0.093,16.8,20.9,16.0,1.3,3.1,24.9,27.2,52.1,29.5,35.4,6.4,14.4,11.6,42.1,26.4,28.0,25.2,19.2,20,92.5,7.5,76.4,3.9,2.4,8.3,21.3,20.1,72.4,64.9,35.1,100,0.0,65.7,34.3,2.6,4.5,1.1,9.2,10.4,7.0,9.5,28.5,1.0,3.4,Bulls,545.0,-1.3,-1.9,-3.2,7.4,0.7,8.1,0.3,-1.5,-1.2,0.4,,
117,Danuel House Jr.,26,9,5,29.7,3.9,8.3,47.4,2.6,5.8,44.4,1.9,2.4,79.4,1.1,3.4,4.6,1.1,0.9,2.0,24.6,0,0,4.9,3.4,10.3,15.0,1.3,23.4,0.7,18.9,13.9,7.4,9.7,31.0,0.099,13.4,15.4,14.7,27.7,21.0,13.0,12.6,15.4,15.0,15.1,7.5,8.8,23.4,18.9,9.5,14.7,14.4,16.5,26,30.2,69.8,22.0,1.2,62.4,19.1,15.6,15.6,20.8,84.2,15.8,100,0.0,94.5,5.5,1.9,1.7,2.4,2.6,13.9,7.4,9.7,31.0,0.3,2.1,Rockets,416.0,1.1,3.4,4.5,2.7,1.4,4.0,1.4,3.2,4.6,1.6,,
127,P.J. Washington,21,8,13,28.1,4.5,9.0,49.7,1.4,3.0,45.3,1.5,2.2,67.4,0.9,4.2,5.1,1.6,1.2,2.7,25.0,1,0,-4.9,4.2,15.8,22.9,1.2,29.4,0.8,34.0,10.9,6.9,7.6,31.9,0.024,16.8,19.8,17.9,17.4,15.2,17.4,19.4,15.4,22.9,21.1,10.5,12.1,29.4,34.0,17.3,24.3,20.8,19.2,21,66.1,33.9,52.4,0.8,35.1,15.7,12.5,16.1,51.6,86.2,13.8,96.6,3.4,89.4,10.6,1.9,0.9,1.9,6.1,10.9,6.9,7.6,31.9,0.4,2.4,Hornets,522.0,-1.5,-2.5,-4.0,-1.0,-0.4,-1.4,-1.5,-2.1,-3.6,-0.2,,
132,Glenn Robinson III,25,4,16,31.7,4.5,9.8,45.9,1.3,3.3,38.5,1.3,1.5,83.3,1.6,3.1,4.7,2.1,0.9,1.7,23.0,1,0,-7.3,3.1,9.2,14.0,1.0,19.4,0.3,8.9,12.6,9.7,7.9,33.5,0.015,14.7,17.6,16.9,18.5,16.6,9.8,9.7,25.0,14.0,16.5,12.1,9.5,19.4,8.9,20.8,11.9,8.9,16.3,25,66.8,33.2,56.5,15.7,32.6,21.3,10.9,25.7,40.9,76.9,23.1,88.0,12.0,80.0,20.0,3.0,1.5,2.5,4.7,12.6,9.7,7.9,33.5,0.8,1.1,Warriors,604.0,-0.1,-1.4,-1.4,2.0,-5.4,-3.4,0.3,-2.1,-1.8,0.3,,
137,Otto Porter Jr.,26,3,6,25.1,3.9,9.3,41.7,1.8,4.4,40.0,1.7,2.2,75.0,0.9,2.6,3.4,1.6,0.8,2.2,20.9,0,0,0.8,2.6,10.3,16.5,1.0,22.5,0.3,16.7,7.9,7.9,6.0,28.4,0.061,18.4,18.7,20.4,26.7,24.4,16.7,16.4,19.0,16.5,17.1,12.4,11.5,22.5,16.7,10.3,22.2,16.0,19.3,26,52.4,47.6,37.6,4.0,47.5,15.8,14.9,18.8,33.7,21.1,78.9,87.5,12.5,51.4,48.6,2.1,1.4,1.8,3.8,7.9,7.9,6.0,28.4,0.3,1.9,Bulls,226.0,0.7,-0.3,0.4,2.0,-2.3,-0.3,1.0,-0.7,0.4,0.4,,
141,Larry Nance Jr.,26,5,12,25.9,4.2,7.8,54.1,1.3,3.3,39.3,1.3,1.8,71.0,2.1,5.6,7.6,1.3,0.9,1.6,25.8,3,0,-6.6,5.6,21.6,31.5,1.1,24.4,0.4,23.3,8.5,8.3,6.5,26.7,0.023,15.4,21.2,16.4,21.2,17.4,13.5,14.6,36.5,31.5,32.7,11.7,12.0,24.4,23.3,4.6,15.6,16.8,19.9,26,57.9,42.1,53.2,3.2,35.1,5.3,11.7,14.4,50.0,62.0,38.0,95.5,4.5,72.2,27.8,1.6,2.3,0.6,5.5,8.5,8.3,6.5,26.7,0.2,1.9,Cavaliers,414.0,0.9,-1.6,-0.7,-3.0,-5.0,-8.1,0.2,-2.3,-2.0,0.2,,
149,Dario Saric,25,8,10,27.8,3.8,9.2,41.6,1.7,4.7,36.9,1.2,1.4,84.6,1.6,5.4,7.1,2.0,1.4,2.5,25.1,3,0,2.1,5.4,19.3,27.6,1.0,24.7,0.5,25.7,9.9,7.6,6.8,28.2,0.067,16.8,15.9,17.8,21.5,21.9,11.5,11.1,29.3,27.6,28.0,12.1,15.9,24.7,25.7,17.9,19.1,13.4,15.9,25,49.4,50.6,39.8,4.2,48.7,8.4,11.5,16.2,35.6,71.1,28.9,96.8,3.2,82.6,17.4,1.7,0.4,0.9,3.8,9.9,7.6,6.8,28.2,0.6,1.9,Suns,468.0,-1.3,0.8,-0.5,4.2,-1.1,3.1,-0.4,0.5,0.1,0.7,,
155,Damion Lee,27,2,9,21.9,3.2,8.3,38.5,1.1,3.2,34.3,2.5,3.0,84.8,0.8,3.1,3.9,1.8,1.2,1.6,18.4,1,0,-1.8,3.1,12.5,18.4,0.7,20.5,0.0,0.0,9.4,6.9,7.1,21.5,0.048,18.8,18.5,20.1,23.5,22.6,21.2,21.7,14.8,18.4,17.5,18.9,17.1,20.5,0.0,18.5,21.2,28.1,19.6,27,61.5,38.5,41.8,10.9,32.7,21.8,25.5,19.1,30.9,60.9,39.1,91.7,8.3,71.4,28.6,1.9,1.3,2.2,3.1,9.4,6.9,7.1,21.5,0.5,3.3,Warriors,241.0,-0.2,-0.8,-1.0,-1.5,0.4,-1.2,-0.4,-0.6,-1.0,0.2,,
170,Tomas Satoransky,28,6,14,26.2,3.5,7.6,46.4,1.4,3.1,44.3,1.0,1.2,87.0,0.9,2.5,3.4,5.3,2.1,2.2,23.9,0,0,-0.8,2.5,9.3,13.9,1.5,29.9,0.2,7.0,10.6,7.7,8.0,30.1,0.062,15.9,15.9,15.6,19.0,16.3,10.0,8.6,14.9,13.9,14.1,39.5,23.3,29.9,7.0,11.3,17.7,15.9,15.3,28,59.6,40.4,46.0,3.2,43.3,15.0,10.7,15.5,42.8,18.6,81.4,96.3,3.7,48.6,51.4,1.5,0.8,1.4,4.0,10.6,7.7,8.0,30.1,0.4,1.9,Bulls,495.0,0.7,2.3,3.0,6.0,-0.7,5.3,1.8,1.9,3.6,1.6,,
188,Ky Bowman,22,4,16,22.7,3.5,7.6,45.7,1.1,2.6,41.2,0.8,0.9,94.1,0.5,2.1,2.5,2.8,1.0,1.9,18.0,0,0,-0.9,2.1,8.9,13.1,1.0,25.0,0.1,5.1,7.6,5.6,5.6,22.0,0.052,16.4,19.2,18.3,22.6,20.1,7.9,7.1,11.0,13.1,12.6,25.8,16.1,25.0,5.1,13.7,21.3,12.8,17.2,22,66.2,33.8,54.9,21.7,36.0,9.7,9.1,14.3,33.1,35.4,64.6,81.0,19.0,49.3,50.7,1.3,0.6,0.9,2.9,7.6,5.6,5.6,22.0,0.4,1.3,Warriors,421.0,-1.4,-1.8,-3.3,1.3,3.5,4.8,-1.0,-0.8,-1.8,0.2,,
214,Kevin Knox II,20,4,14,19.8,2.5,6.5,38.5,1.3,3.5,38.1,1.5,2.3,64.3,0.5,2.4,2.9,1.4,0.7,1.7,15.1,0,0,-4.0,2.4,11.6,16.7,0.6,17.9,0.2,12.1,7.4,4.4,4.4,18.2,0.046,17.4,16.8,18.2,27.6,25.3,20.8,22.1,11.4,16.7,15.5,17.0,11.6,17.9,12.1,11.1,16.3,19.5,18.7,20,46.2,53.8,29.8,9.9,51.1,14.2,19.1,22.7,19.9,42.9,57.1,95.8,4.2,71.1,28.9,1.8,1.1,1.1,1.6,7.4,4.4,4.4,18.2,0.2,1.7,Knicks,357.0,-1.3,-3.9,-5.2,-5.5,-1.2,-6.7,-2.1,-3.6,-5.7,-0.5,,
228,James Ennis III,29,14,6,16.7,2.6,4.9,53.6,0.9,2.1,43.9,1.4,1.8,77.1,1.3,2.2,3.5,0.8,0.7,1.9,14.5,0,0,1.9,2.2,13.2,17.4,0.5,15.9,0.3,19.4,6.7,3.5,3.9,17.0,0.050,15.2,17.4,15.8,22.5,19.0,19.6,19.4,34.7,17.4,21.4,7.8,12.6,15.9,19.4,14.8,20.3,18.6,18.3,29,57.7,42.3,45.6,2.7,36.2,24.2,18.1,18.1,43.0,67.6,32.4,100,0.0,78.8,21.2,1.4,1.2,1.8,3.2,6.7,3.5,3.9,17.0,0.2,1.4,76ers,286.0,1.4,-1.1,0.3,5.3,-2.3,3.0,2.2,-1.4,0.8,0.5,,
234,Boban Marjanovic,31,5,3,13.0,3.0,6.0,50.0,0.0,0.1,0.0,1.3,1.5,83.3,1.5,3.1,4.6,0.6,0.9,1.8,14.0,0,0,5.6,3.1,20.3,29.4,0.3,16.7,0.1,11.1,4.9,3.3,4.3,12.0,0.044,23.5,23.1,23.8,0.0,1.3,29.4,30.8,41.4,29.4,32.5,9.1,25.0,16.7,11.1,38.5,29.2,42.5,20.6,31,97.9,2.1,82.8,3.4,0.0,3.4,17.2,10.3,79.3,45.8,54.2,0.0,0.0,45.8,54.2,0.8,2.6,0.3,5.8,4.9,3.3,4.3,12.0,0.6,2.1,Mavericks,104.0,0.2,-2.1,-1.9,13.7,-1.2,12.5,2.6,-2.1,0.5,0.2,,
241,Derrick Jones Jr.,22,3,1,14.4,3.0,5.0,60.0,0.3,1.0,25.0,0.8,0.8,100,0.8,1.3,2.0,0.5,0.5,2.8,11.9,0,0,2.8,1.3,7.4,10.2,0.8,42.9,0.0,0.0,6.8,4.0,5.5,15.5,0.056,15.5,22.2,18.3,5.6,9.3,10.7,8.6,42.9,10.2,14.3,5.9,9.5,42.9,0.0,25.0,31.4,18.5,18.2,22,80.0,20.0,78.6,0.0,10.7,7.1,10.7,21.4,78.6,81.8,18.2,100,0.0,83.3,16.7,1.5,1.0,0.5,5.5,6.8,4.0,5.5,15.5,0.3,1.3,Heat,57.0,-1.3,4.1,2.8,4.6,-2.3,2.3,-0.3,3.0,2.8,0.2,,
244,Tremont Waters,21,1,0,19.7,2.0,7.0,28.6,1.0,5.0,20.0,2.0,2.0,100,0.0,2.0,2.0,3.0,2.0,2.0,20.9,0,0,20.0,2.0,8.7,14.3,1.0,25.0,2.0,66.7,5.0,9.0,3.0,6.0,0.120,21.3,10.5,18.9,16.7,31.3,16.7,16.7,0.0,14.3,9.5,30.0,40.0,25.0,66.7,0.0,25.0,11.1,12.5,21,28.6,71.4,28.6,0.0,42.9,0.0,28.6,0.0,28.6,0.0,100,0.0,100,0.0,100,0.0,0.0,0.0,2.0,5.0,9.0,3.0,6.0,0.0,1.0,Celtics,20.0,3.0,6.6,9.6,19.9,3.4,23.3,6.3,6.3,12.5,0.2,,
245,Troy Brown Jr.,20,5,9,21.0,2.9,6.6,43.0,0.5,1.8,28.0,0.7,0.9,83.3,1.4,3.4,4.8,2.0,1.2,1.1,18.5,1,0,-2.6,3.4,15.7,25.0,1.2,33.3,0.1,11.1,6.6,6.9,7.1,24.7,0.014,15.6,14.5,16.3,10.4,13.5,11.0,10.6,29.9,25.0,26.3,16.8,17.3,33.3,11.1,25.6,12.6,11.2,13.7,20,73.1,26.9,68.0,16.5,21.6,14.4,10.3,22.7,51.5,48.5,51.5,100,0.0,57.5,42.5,1.6,0.6,1.0,3.6,6.6,6.9,7.1,24.7,0.8,0.9,Wizards,275.0,-0.6,1.4,0.8,-0.8,0.5,-0.3,-0.7,1.4,0.7,0.5,,
250,Ersan Ilyasova,32,15,3,16.2,2.4,5.0,48.9,0.8,2.6,30.4,1.2,1.4,84.0,1.2,3.4,4.6,0.6,0.3,1.7,15.3,1,0,-1.1,3.4,18.7,26.1,0.4,20.5,0.3,18.8,4.5,3.4,5.0,13.2,0.043,14.9,17.3,15.9,19.2,19.3,21.2,18.9,35.0,26.1,27.9,7.0,6.9,20.5,18.8,3.1,25.0,22.6,18.0,32,48.9,51.1,48.8,6.5,34.1,11.4,17.1,15.4,42.3,66.7,33.3,100,0.0,77.3,22.7,1.1,1.6,0.8,2.9,4.5,3.4,5.0,13.2,0.1,1.4,Bucks,257.0,1.8,2.5,4.4,-2.6,-4.0,-6.6,1.1,1.4,2.5,0.7,,
