,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
61,Oshae Brissett,SF,21,TOR,3,13,11.0,.500,.333,.000,0.0,7.4,3.9,10.0,3.7,0.0,0.0,9.9,,0.0,0.0,0.0,.124,,-1.7,1.6,-0.1,0.0
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Ryan Broekhoff,SG,29,DAL,4,25,19.9,.750,.625,.000,0.0,20.0,10.3,16.9,1.9,0.0,11.1,15.1,,0.1,0.0,0.1,.215,,3.4,-0.9,2.5,0.0
64,Malcolm Brogdon,PG,27,IND,14,432,22.6,.576,.292,.239,2.3,14.7,8.5,39.8,1.5,0.6,14.4,26.8,,1.2,0.6,1.8,.200,,4.3,0.1,4.4,0.7
65,Dillon Brooks,SG,24,MEM,17,465,10.7,.501,.385,.190,4.1,9.3,6.7,10.7,1.8,1.3,10.3,21.5,,0.0,0.2,0.2,.016,,-1.2,-1.8,-3.0,-0.1
66,Bruce Brown,SG,23,DET,18,489,9.3,.488,.228,.260,3.6,13.2,8.4,19.2,1.9,1.7,20.3,15.8,,-0.2,0.4,0.3,.026,,-2.9,0.9,-2.0,0.0
67,Charlie Brown,SG,22,ATL,4,16,21.7,.735,.333,1.333,13.8,6.9,10.4,0.0,0.0,5.7,0.0,12.3,,0.1,0.0,0.1,.250,,2.2,-4.4,-2.2,0.0
68,Jaylen Brown,SF,23,BOS,14,466,18.1,.575,.327,.275,3.3,19.3,11.3,10.6,1.8,0.8,8.5,23.6,,0.7,0.8,1.5,.156,,1.0,0.3,1.3,0.4
69,Moses Brown,C,20,POR,4,15,15.6,.457,.000,.571,13.7,46.9,30.4,0.0,3.1,0.0,10.2,27.0,,0.0,0.0,0.0,.066,,-10.5,-7.6,-18.1,-0.1
70,Sterling Brown,SF,24,MIL,15,255,11.9,.546,.541,.176,4.4,23.8,14.5,11.1,1.4,0.7,15.8,15.1,,0.1,0.4,0.6,.111,,-1.6,0.9,-0.7,0.1
71,Troy Brown,SG,20,WAS,13,275,12.3,.503,.277,.120,6.6,17.5,11.9,12.0,2.3,0.3,14.6,15.3,,0.1,0.1,0.2,.040,,-1.3,-0.1,-1.4,0.0
72,Jalen Brunson,PG,23,DAL,17,295,15.5,.538,.306,.250,3.6,11.9,7.9,24.4,1.6,0.0,13.1,19.7,,0.5,0.2,0.7,.111,,0.2,-1.3,-1.1,0.1
73,Thomas Bryant,C,22,WAS,16,458,21.0,.634,.204,.269,8.9,24.9,16.7,12.4,0.8,3.3,10.5,18.7,,1.4,0.2,1.6,.163,,2.4,0.5,2.9,0.6
74,Trey Burke,PG,27,PHI,6,105,12.4,.427,.244,.195,4.3,7.3,5.8,26.4,0.9,0.8,4.3,18.8,,0.1,0.1,0.2,.099,,-1.7,-2.1,-3.8,0.0
75,Alec Burks,SG,28,GSW,16,454,15.2,.540,.340,.361,2.1,15.7,8.8,15.5,1.4,1.1,9.4,22.6,,0.5,0.1,0.7,.070,,-0.3,-2.1,-2.4,0.0
76,Deonte Burton,SG,26,OKC,9,75,9.1,.502,.533,.067,3.0,21.3,12.3,4.2,0.6,0.0,8.9,19.8,,0.0,0.1,0.0,.016,,-3.9,-3.4,-7.4,-0.1
77,Jimmy Butler,SF,30,MIA,13,438,24.4,.580,.212,.648,7.0,11.0,9.1,30.6,3.7,2.5,13.5,24.0,,1.5,0.9,2.3,.256,,3.4,3.1,6.4,0.9
78,Bruno Caboclo,SF,24,MEM,10,87,13.3,.484,.406,.000,7.3,14.8,11.1,8.1,2.1,8.0,11.1,17.1,,0.0,0.1,0.1,.044,,-2.6,2.7,0.1,0.0
79,Kentavious Caldwell-Pope,SG,26,LAL,18,412,10.6,.561,.427,.145,2.4,8.0,5.2,7.8,1.5,0.6,10.2,15.2,,0.3,0.5,0.8,.098,,-1.0,-0.5,-1.5,0.1
80,Vlatko Čančar,SF,22,DEN,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.030,,-6.3,1.4,-5.0,0.0
81,Clint Capela,C,25,HOU,15,478,21.9,.622,.000,.274,12.0,34.9,23.4,5.0,1.2,5.4,11.6,16.9,,1.1,0.8,1.9,.192,,-1.7,2.4,0.7,0.3
82,DeMarre Carroll,SF,33,SAS,9,100,7.3,.442,.500,.182,7.3,20.8,13.9,11.1,0.5,1.7,17.4,12.1,,0.0,0.0,0.0,.011,,-2.9,-0.7,-3.6,0.0
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Jevon Carter,PG,24,PHO,13,196,10.1,.552,.612,.082,1.7,12.6,7.0,16.5,2.9,2.2,22.8,14.3,,0.0,0.3,0.2,.056,,-1.8,1.9,0.1,0.1
85,Vince Carter,SF,43,ATL,13,202,5.9,.463,.649,.081,1.6,14.2,7.9,5.7,0.9,1.4,10.5,17.5,,-0.2,0.0,-0.2,-0.041,,-3.6,-3.3,-6.9,-0.3
86,Wendell Carter,C,20,CHI,19,545,18.1,.623,.076,.475,12.8,22.7,17.5,4.9,0.9,2.7,12.0,16.4,,1.3,0.7,1.9,.170,,-0.5,0.6,0.2,0.3
87,Michael Carter-Williams,SG,28,ORL,10,149,11.3,.421,.362,.426,7.5,14.9,11.0,12.6,2.6,3.6,12.5,18.6,,-0.1,0.3,0.2,.049,,-3.6,2.6,-1.0,0.0
88,Alex Caruso,PG,25,LAL,16,319,8.5,.490,.455,.078,0.4,8.6,4.5,12.8,2.7,1.7,17.6,12.9,,-0.1,0.5,0.4,.058,,-3.2,1.6,-1.6,0.0
89,Willie Cauley-Stein,C,26,GSW,16,359,15.1,.551,.000,.179,5.9,24.1,14.9,11.7,2.4,4.3,12.8,13.8,,0.3,0.4,0.7,.094,,-2.7,2.9,0.2,0.2
90,Tyson Chandler,C,37,HOU,16,146,12.8,.712,.000,.600,12.6,19.5,16.1,5.4,1.3,4.1,24.0,6.9,,0.3,0.2,0.4,.147,,-1.5,2.5,1.0,0.1
91,Zylan Cheatham,SF,24,NOP,2,20,-3.4,.250,.250,.000,0.0,16.5,7.9,6.1,0.0,0.0,20.0,10.1,,-0.1,0.0,-0.1,-0.139,,-9.4,-2.1,-11.5,0.0
92,Chris Chiozza,PG,24,WAS,3,37,4.8,.333,.444,.000,0.0,12.1,5.9,21.2,2.5,4.5,25.0,13.3,,-0.1,0.0,0.0,-0.061,,-6.2,1.2,-5.0,0.0
93,Marquese Chriss,PF,22,GSW,18,315,18.5,.579,.141,.364,8.7,19.9,14.3,18.1,2.4,5.2,18.5,18.8,,0.4,0.3,0.7,.108,,-0.8,2.7,1.9,0.3
94,Gary Clark,PF,25,HOU,5,39,18.6,.643,.714,.000,7.9,15.6,11.8,7.8,1.2,2.2,0.0,14.5,,0.1,0.0,0.2,.210,,3.2,-1.2,2.0,0.0
95,Brandon Clarke,PF,23,MEM,16,352,22.7,.686,.146,.146,7.3,23.2,15.2,9.1,1.2,4.0,10.4,19.1,,1.0,0.3,1.2,.170,,2.1,0.4,2.5,0.4
96,Jordan Clarkson,SG,27,CLE,18,408,19.8,.569,.447,.347,2.8,8.1,5.4,18.2,1.3,1.2,8.4,26.2,,1.0,0.1,1.1,.130,,3.5,-3.0,0.6,0.3
97,Nicolas Claxton,PF,20,BRK,9,119,9.7,.514,.238,.571,7.1,12.1,9.7,12.5,0.4,3.3,18.6,11.2,,0.1,0.1,0.1,.055,,-3.3,0.8,-2.5,0.0
98,Chris Clemons,SG,22,HOU,12,101,13.4,.606,.833,.095,2.0,7.0,4.5,9.1,0.9,1.7,10.3,19.6,,0.2,0.1,0.2,.100,,1.1,-3.3,-2.2,0.0
99,John Collins,PF,22,ATL,5,161,20.3,.621,.311,.279,6.9,23.3,15.1,7.9,1.5,5.7,9.3,19.3,,0.4,0.1,0.5,.145,,0.9,0.7,1.6,0.1
100,Zach Collins,PF,22,POR,3,86,9.2,.624,.368,.316,4.8,9.3,7.1,9.2,0.0,1.9,21.7,13.4,,0.1,0.0,0.1,.055,,-1.4,-1.1,-2.5,0.0
101,Mike Conley,PG,32,UTA,18,548,12.3,.496,.417,.311,2.5,9.2,6.0,24.3,1.1,0.3,13.1,23.7,,0.1,0.7,0.8,.068,,-0.6,-0.6,-1.2,0.1
102,Pat Connaughton,SG,27,MIL,16,280,13.1,.599,.613,.080,2.5,16.3,9.7,11.2,0.5,3.1,9.3,12.5,,0.4,0.4,0.9,.146,,0.0,1.1,1.0,0.2
103,Quinn Cook,PG,26,LAL,15,216,9.6,.479,.364,.039,2.1,8.1,5.1,17.0,1.3,0.4,13.3,17.9,,-0.1,0.3,0.2,.045,,-3.2,-1.6,-4.7,-0.1
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Tyler Cook,PF,22,CLE,6,17,34.9,.872,.000,.333,18.6,12.9,15.8,0.0,2.8,0.0,12.7,19.8,,0.1,0.0,0.1,.322,,5.6,-5.7,0.0,0.0
106,Robert Covington,PF,29,MIN,17,460,14.6,.590,.596,.256,2.9,17.8,10.4,6.3,2.4,2.9,13.5,17.7,,0.4,0.7,1.1,.113,,-0.6,1.6,1.0,0.3
107,Allen Crabbe,SG,27,ATL,8,155,9.1,.479,.565,.152,3.6,13.6,8.6,6.4,1.2,1.2,7.5,14.1,,0.0,0.0,0.0,.008,,-2.3,-2.3,-4.6,-0.1
108,Torrey Craig,SF,29,DEN,13,187,8.1,.400,.488,.220,5.0,14.8,9.8,10.5,1.3,5.5,10.0,11.4,,-0.1,0.4,0.3,.077,,-3.9,4.2,0.3,0.1
109,Jae Crowder,SF,29,MEM,17,526,11.7,.576,.732,.215,2.2,17.8,10.0,11.9,1.4,1.2,13.8,14.9,,0.4,0.2,0.6,.057,,0.6,-0.4,0.2,0.3
110,Jarrett Culver,SG,20,MIN,18,425,8.2,.426,.415,.222,4.3,8.6,6.5,14.3,1.8,1.7,12.2,20.5,,-0.5,0.4,-0.2,-0.017,,-3.9,-0.2,-4.1,-0.2
111,Seth Curry,SG,29,DAL,15,314,11.8,.594,.615,.209,2.0,5.7,3.9,10.3,1.4,0.8,10.8,14.9,,0.5,0.2,0.7,.100,,0.9,-1.5,-0.6,0.1
112,Stephen Curry,PG,31,GSW,4,112,21.1,.548,.561,.273,3.8,15.4,9.5,40.9,2.1,1.5,16.9,33.4,,0.1,0.1,0.2,.074,,4.9,-1.8,3.1,0.1
113,Troy Daniels,SG,28,LAL,13,198,7.9,.498,.735,.044,1.7,7.7,4.8,4.0,1.0,0.5,5.5,15.8,,0.0,0.2,0.2,.055,,-1.7,-2.2,-3.9,-0.1
114,Anthony Davis,PF,26,LAL,17,594,27.8,.582,.186,.406,8.1,20.3,14.3,16.4,2.2,7.2,10.6,30.6,,1.7,1.4,3.1,.252,,2.4,4.3,6.7,1.3
115,Ed Davis,C,30,UTA,6,73,6.5,.425,.000,.400,14.1,31.0,23.0,1.9,0.7,3.4,29.8,10.0,,-0.1,0.2,0.1,.062,,-6.9,2.2,-4.7,0.0
116,Terence Davis,SG,22,TOR,17,264,17.1,.638,.558,.128,4.1,14.2,9.5,19.3,1.3,1.4,9.9,16.4,,0.8,0.4,1.2,.211,,3.2,0.7,4.0,0.4
117,Dewayne Dedmon,C,30,SAC,17,260,9.1,.501,.462,.143,10.4,21.7,15.9,4.7,1.3,2.8,21.2,20.6,,-0.3,0.3,-0.1,-0.012,,-4.2,-0.7,-4.9,-0.2
118,Matthew Dellavedova,PG,29,CLE,16,225,4.4,.368,.600,.260,1.9,9.7,5.7,22.6,1.3,0.4,21.2,13.4,,-0.3,0.1,-0.2,-0.047,,-4.4,-1.7,-6.1,-0.2
119,DeMar DeRozan,SF,30,SAS,19,646,20.5,.588,.013,.384,1.5,15.7,8.4,21.6,1.2,1.4,12.1,26.5,,1.4,0.2,1.6,.117,,1.1,-1.3,-0.2,0.3
120,Cheick Diallo,C,23,PHO,12,121,24.0,.834,.000,.237,8.1,23.2,15.5,8.4,0.0,2.9,12.5,16.9,,0.5,0.1,0.6,.238,,2.8,-0.3,2.5,0.1
121,Hamidou Diallo,SF,21,OKC,12,256,13.8,.525,.141,.196,6.1,13.3,9.8,6.3,3.4,1.3,12.3,19.5,,0.0,0.4,0.4,.066,,-2.6,1.2,-1.4,0.0
122,Gorgui Dieng,C,30,MIN,14,177,21.5,.556,.328,.250,7.5,27.4,17.5,16.1,2.6,6.7,10.1,18.2,,0.3,0.4,0.7,.193,,-0.3,5.2,4.9,0.3
123,Spencer Dinwiddie,SG,26,BRK,18,513,18.7,.545,.388,.418,0.6,8.2,4.5,32.3,1.2,1.4,11.3,29.4,,1.1,0.3,1.4,.129,,2.2,-2.9,-0.7,0.2
124,Donte DiVincenzo,SG,23,MIL,15,311,13.7,.520,.478,.104,4.9,14.4,9.8,10.4,3.1,0.6,11.1,17.7,,0.2,0.6,0.8,.116,,-0.4,1.3,0.9,0.2
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Luka Dončić,PG,20,DAL,17,578,32.1,.625,.465,.465,4.6,25.1,15.2,48.1,2.1,0.4,16.2,35.6,,2.8,0.8,3.6,.298,,11.3,2.4,13.7,2.3
127,Damyean Dotson,SG,25,NYK,14,198,9.1,.466,.535,.099,1.0,11.9,6.1,10.3,1.5,1.5,8.6,17.4,,-0.1,0.1,0.0,.004,,-3.0,-2.0,-5.0,-0.2
128,Sekou Doumbouya,SF,19,DET,1,2,-20.3,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,,0.0,0.0,0.0,-0.535,,-16.0,-7.9,-23.9,0.0
129,Goran Dragić,PG,33,MIA,16,460,15.2,.583,.486,.401,1.1,11.0,6.3,27.1,1.1,0.9,17.8,23.7,,0.6,0.6,1.1,.117,,0.4,-1.4,-1.0,0.1
130,Andre Drummond,C,26,DET,18,618,21.7,.568,.041,.314,14.9,41.5,28.4,15.6,2.2,4.1,20.3,24.6,,0.5,1.2,1.7,.133,,-1.2,4.4,3.2,0.8
131,Jared Dudley,SF,34,LAL,10,72,7.2,.667,.667,.000,0.0,12.2,6.2,10.0,0.7,1.2,10.0,5.9,,0.1,0.1,0.2,.119,,-1.9,0.1,-1.7,0.0
132,Kris Dunn,PG,25,CHI,19,381,12.7,.454,.314,.107,2.1,13.1,7.3,23.1,4.6,1.5,10.6,15.4,,0.1,0.7,0.7,.092,,-1.9,2.9,1.0,0.3
133,Carsen Edwards,SG,21,BOS,15,172,8.8,.453,.588,.162,3.0,13.0,8.0,11.6,1.1,1.1,8.8,19.7,,-0.1,0.2,0.1,.038,,-2.6,-1.1,-3.7,-0.1
134,Henry Ellenson,PF,23,BRK,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.007,,-6.3,0.0,-6.2,0.0
