,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,def_kmean
37,Jarrell Brantley,23.0,0.0,1.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,8.1,0.0,0.0,7.0,3.0,60.0,0.0,0.0,1.0,100.0,2.0,0.0,2.0,6.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,5.0,5.0,0.4,5.4,28.1,18.0,46.1,9.6,3.5,13.1,0.0,0,1
38,Jaylen Hoard,20.0,3.0,0.0,3.6,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.3,0.3,0.0,0.3,3.8,0.0,0.0,-3.3,1.0,33.3,0.3,33.3,0.0,0.0,0.7,0.0,1.0,3.3,-0.022,5.9,10.0,9.1,0.0,0.0,0.0,0.0,25.0,30.8,33.3,0.0,0.0,11.1,0.0,8.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.7,0.0,0.7,0.7,0.7,0.0,1.0,3.3,0.0,0.0,11.0,6.6,-7.9,-1.3,-1.0,-15.2,-16.3,5.5,-9.7,-4.2,0.0,0,1
39,John Konchar,23.0,0.0,1.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,6.0,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,6.0,0.0,0.0,7.0,-3.8,-6.2,-10.0,-4.6,-13.8,-18.3,-4.2,-7.8,-12.0,0.0,0,1
40,Johnathan Motley,24.0,1.0,1.0,2.2,0.5,1.5,33.3,0.5,0.5,100.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,3.2,0.0,0.0,-1.5,0.5,20.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.006,45.5,33.3,37.5,33.3,25.0,0.0,0.0,100.0,33.3,66.7,66.7,100.0,25.0,0.0,33.3,66.7,33.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.5,0.0,4.0,-10.3,-33.8,-44.1,-9.1,-9.4,-18.5,-10.8,-31.2,-42.0,-0.1,0,1
42,Jordan Bone,22.0,1.0,2.0,2.1,0.7,1.7,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.016,41.2,66.7,55.6,0.0,33.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.7,0.0,33.3,80.0,20.0,100.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.0,0.0,6.0,-30.5,-11.2,-41.7,-20.2,6.2,-14.0,-30.2,-8.5,-38.7,-0.1,0,1
43,Jordan McLaughlin,23.0,2.0,2.0,14.3,1.0,3.8,26.7,0.3,2.0,12.5,0.5,0.5,100.0,0.3,1.5,1.8,2.0,1.0,1.0,7.6,0.0,0.0,-6.3,1.5,17.1,0.3,10.0,0.0,0.0,5.5,4.8,5.5,18.0,0.037000000000000005,12.6,9.5,12.8,7.7,15.4,10.0,6.9,6.7,14.0,28.6,23.5,50.0,14.3,17.2,9.4,46.7,53.3,54.5,0.0,27.3,0.0,54.5,54.5,66.7,33.3,100.0,0.0,75.0,25.0,1.5,0.8,0.0,1.5,5.5,4.8,5.5,18.0,0.8,1.3,57.0,-8.1,-4.9,-12.9,-11.5,-4.5,-16.0,-9.1,-5.1,-14.2,-0.3,0,1
44,Josh Gray,26.0,1.0,1.0,11.4,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,2.5,0.5,1.2,0.0,0.0,-3.5,0.5,6.7,0.0,0.0,0.0,0.0,7.0,4.0,5.5,11.0,0.08199999999999999,13.7,7.1,6.1,0.0,0.0,0.0,0.0,50.0,11.8,20.0,31.3,0.0,11.1,25.0,5.6,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,7.0,4.0,5.5,11.0,0.0,0.5,23.0,-8.3,0.6,-7.6,-18.5,9.3,-9.2,-10.6,2.3,-8.3,-0.1,0,1
46,Juancho Hernangomez,24.0,8.0,2.0,13.0,1.2,2.7,44.4,0.7,1.8,38.9,0.3,0.7,42.9,0.4,2.1,2.5,0.7,0.7,0.7,7.7,0.0,0.0,0.9,2.1,21.2,0.0,0.0,0.3,17.6,4.7,3.2,2.9,12.6,0.067,11.4,10.6,10.8,20.6,22.0,10.7,14.3,13.8,19.5,9.1,16.7,0.0,12.3,24.5,11.8,33.3,66.7,29.4,0.0,61.8,26.5,8.8,29.4,80.0,20.0,100.0,0.0,91.7,8.3,0.3,1.2,0.9,1.0,4.7,3.2,2.9,12.6,0.0,1.2,122.0,-2.5,0.9,-1.6,2.0,3.2,5.2,-1.7,1.2,-0.5,0.1,"$3,321,030 ",1
47,Juwan Morgan,22.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.2,0.0,0.0,-1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,3.0,-1.9,-6.3,-8.2,-13.8,16.7,2.9,-4.1,-2.5,-6.6,0.0,0,1
48,Kelan Martin,24.0,4.0,4.0,14.5,1.9,5.5,34.1,0.6,3.0,20.8,0.0,0.0,0.0,0.3,2.9,3.1,0.3,0.4,2.3,8.9,0.0,0.0,-3.0,2.9,24.5,0.1,6.7,0.1,6.3,5.6,4.5,2.8,13.8,0.055,16.0,18.5,20.7,17.9,25.0,0.0,0.0,6.9,20.3,4.5,7.5,0.0,30.0,1.9,15.1,45.5,54.5,57.1,17.1,42.9,14.3,14.3,40.0,50.0,50.0,100.0,0.0,66.7,33.3,0.6,0.9,0.6,1.8,5.6,4.5,2.8,13.8,0.0,0.1,116.0,-4.5,-2.5,-7.0,-9.3,4.6,-4.7,-5.6,-1.4,-7.0,-0.2,0,1
52,Kostas Antetokounmpo,22.0,2.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,-2.7,-14.1,-16.8,9.9,11.0,20.8,-0.5,-10.4,-10.8,0.0,0,1
56,Lonnie Walker IV,20.0,5.0,8.0,5.0,0.8,2.1,37.0,0.1,0.3,25.0,0.1,0.5,14.3,0.2,0.7,0.8,0.3,0.2,0.4,3.2,0.0,0.0,-0.6,0.7,18.4,0.0,0.0,0.1,10.0,1.6,0.5,0.8,3.7,0.018000000000000002,20.0,18.9,22.3,20.0,17.4,3.7,17.1,9.5,15.7,14.3,17.6,28.6,20.0,14.7,15.9,85.2,14.8,81.8,9.1,13.6,18.2,9.1,72.7,77.8,22.2,100.0,0.0,80.0,20.0,0.2,0.0,0.3,1.2,1.6,0.5,0.8,3.7,0.2,0.4,64.0,-2.7,-4.7,-7.4,-5.2,3.9,-1.3,-3.3,-3.3,-6.6,-0.1,"$2,760,480 ",1
60,Melvin Frazier Jr.,23.0,0.0,2.0,3.8,0.5,2.5,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.0,4.0,-0.001,23.8,11.1,27.8,0.0,50.0,0.0,0.0,25.0,14.3,16.7,0.0,100.0,0.0,0.0,10.0,80.0,20.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,2.5,1.0,4.0,0.5,0.0,8.0,-4.0,-24.1,-28.1,3.0,-18.8,-15.7,-2.8,-24.4,-27.2,-0.1,"$1,416,852 ",1
61,Michael Porter Jr.,21.0,8.0,2.0,9.0,1.5,3.4,44.1,0.2,1.0,20.0,0.5,0.8,62.5,0.8,1.5,2.3,0.4,0.6,1.3,7.4,0.0,0.0,-2.8,1.5,22.7,0.0,0.0,0.3,25.0,2.5,2.9,4.0,8.4,0.032,19.7,21.7,20.4,14.3,20.4,17.2,17.4,44.4,27.4,8.9,20.7,30.8,31.0,12.2,20.4,70.6,29.4,70.3,21.6,16.2,13.5,10.8,48.6,61.5,38.5,50.0,50.0,60.0,40.0,0.4,0.9,0.5,1.8,2.5,2.9,4.0,8.4,0.4,0.5,90.0,-3.6,-0.1,-3.7,-10.3,-5.2,-15.5,-5.0,-1.2,-6.2,-0.2,"$3,389,400 ",1
62,Moses Brown,20.0,3.0,1.0,3.8,0.8,1.8,42.9,0.0,0.0,0.0,0.5,1.0,50.0,0.5,1.8,2.3,0.0,0.3,1.0,5.2,0.0,0.0,-3.5,1.8,53.8,0.3,33.3,0.0,0.0,0.5,1.3,1.3,4.0,-0.025,22.7,23.1,23.3,0.0,0.0,33.3,44.4,50.0,52.9,0.0,25.0,0.0,44.4,50.0,23.5,100.0,0.0,75.0,0.0,0.0,0.0,0.0,75.0,66.7,33.3,0.0,0.0,66.7,33.3,0.0,1.5,0.0,1.5,0.5,1.3,1.3,4.0,0.0,0.5,15.0,-1.9,-7.5,-9.4,-5.1,-19.2,-24.3,-2.7,-10.2,-12.8,-0.1,0,1
67,Oshae Brissett,21.0,3.0,0.0,4.2,0.3,1.0,33.3,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,2.9,0.0,0.0,-0.3,0.3,11.1,0.3,50.0,0.0,0.0,2.7,0.7,1.0,4.0,-0.011,10.0,7.7,14.3,14.3,10.0,0.0,0.0,0.0,11.1,10.0,0.0,0.0,0.0,0.0,8.8,66.7,33.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.7,0.7,1.0,4.0,0.0,0.0,13.0,-0.9,-0.6,-1.5,11.1,-13.1,-2.1,1.2,-3.1,-1.9,0.0,0,1
71,Shamorie Ponds,21.0,1.0,0.0,5.9,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,8.2,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,-0.043,21.4,28.6,27.3,0.0,16.7,0.0,0.0,0.0,50.0,40.0,0.0,0.0,66.7,0.0,21.1,66.7,33.3,100.0,0.0,0.0,50.0,50.0,100.0,50.0,50.0,0.0,0.0,50.0,50.0,2.0,0.0,2.0,4.0,2.0,0.0,3.0,4.0,0.0,0.0,6.0,8.7,-47.5,-38.8,25.7,-19.3,6.4,12.2,-45.1,-32.9,-0.1,0,1
73,Spencer Hawes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$2,007,058 ",1
74,Svi Mykhailiuk,22.0,4.0,10.0,15.7,1.5,3.8,39.6,1.4,2.9,46.3,0.1,0.1,100.0,0.3,0.9,1.1,1.2,0.9,1.2,7.9,0.0,0.0,1.2,0.9,8.5,0.3,14.8,0.1,3.3,5.2,4.8,4.5,16.6,0.038,12.7,11.6,13.8,28.8,26.6,2.4,1.7,8.9,8.6,14.0,16.9,3.7,16.7,6.4,12.4,22.6,77.4,6.3,0.0,90.5,22.2,4.8,6.3,50.0,50.0,100.0,0.0,95.2,4.8,0.2,1.1,1.0,0.3,5.2,4.8,4.5,16.6,0.1,0.4,205.0,-1.9,-3.0,-4.9,2.6,0.9,3.5,-1.2,-2.4,-3.6,-0.1,"$1,416,852 ",1
