,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,def_kmean
0,Ante Zizic,22.0,0.0,5.0,13.3,2.0,3.6,55.6,0.0,0.0,0.0,0.8,1.0,80.0,1.0,2.0,3.0,0.0,0.2,1.6,9.4,0.0,0.0,-2.4,2.0,22.2,0.2,14.3,0.2,33.3,3.4,3.6,3.4,14.0,-0.016,13.2,17.9,15.4,0.0,0.0,14.3,12.5,45.5,26.8,0.0,5.3,25.0,29.6,23.3,15.2,100.0,0.0,83.3,0.0,0.0,8.3,16.7,83.3,80.0,20.0,0.0,0.0,80.0,20.0,0.8,1.0,0.4,4.0,3.4,3.6,3.4,14.0,0.4,1.4,64.0,-3.6,-1.4,-4.9,1.6,-8.0,-6.4,-2.7,-2.6,-5.3,-0.1,"$2,281,800 ",1
4,Brian Bowen II,21.0,2.0,1.0,3.2,0.3,1.3,25.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,2.1,0.0,0.0,1.0,0.3,12.5,0.0,0.0,0.3,50.0,0.0,0.0,0.7,2.0,0.016,16.0,10.0,20.0,0.0,20.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,20.0,8.7,75.0,25.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,2.0,0.0,0.3,10.0,-7.6,7.4,-0.2,-1.1,0.8,-0.3,-6.7,6.5,-0.2,0.0,0,1
6,Charles Brown Jr.,22.0,0.0,4.0,4.1,0.3,0.8,33.3,0.3,0.3,100.0,1.0,1.0,100.0,0.5,0.3,0.8,0.0,0.0,0.0,3.4,0.0,0.0,2.5,0.3,10.0,0.0,0.0,0.3,100.0,0.0,0.8,0.0,1.5,0.045,12.2,9.1,11.5,25.0,11.1,36.4,25.0,50.0,21.4,0.0,0.0,0.0,0.0,30.0,18.9,66.7,33.3,0.0,0.0,42.9,28.6,28.6,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.5,0.0,0.5,0.0,0.0,0.8,0.0,1.5,0.0,0.8,16.0,2.7,7.3,10.0,3.3,12.6,15.9,3.0,8.8,11.8,0.1,0,1
8,Chris Clemons,22.0,9.0,4.0,8.9,1.8,4.0,46.2,1.4,3.3,41.9,0.2,0.3,75.0,0.2,0.5,0.7,0.5,0.5,0.9,7.3,0.0,0.0,0.2,0.5,8.0,0.2,15.4,0.2,14.3,3.2,3.0,2.0,8.6,0.032,21.4,25.8,24.4,43.9,33.3,7.3,7.8,8.7,8.1,12.0,17.1,16.7,21.8,14.6,25.7,17.3,82.7,17.4,2.9,78.3,10.1,18.8,14.5,0.0,100.0,66.7,33.3,50.0,50.0,1.0,0.5,0.5,0.8,3.2,3.0,2.0,8.6,0.2,0.5,101.0,3.1,1.9,5.0,-2.1,0.3,-1.8,2.3,1.7,4.0,0.4,0,1
13,DaQuan Jeffries,22.0,0.0,2.0,5.4,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,2.4,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.083,3.6,9.1,4.0,0.0,0.0,0.0,0.0,50.0,10.0,14.3,0.0,0.0,16.7,33.3,8.3,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.5,11.0,-0.6,10.8,10.2,-9.2,21.8,12.6,-2.2,13.5,11.3,0.1,0,1
15,Daryl Macon,24.0,3.0,0.0,4.4,0.3,1.0,33.3,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.3,0.8,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,1.0,2.7,0.066,17.2,12.5,16.7,33.3,25.0,0.0,0.0,0.0,0.0,12.5,25.0,0.0,20.0,0.0,13.6,33.3,66.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,1.0,2.7,0.0,0.0,13.0,-9.5,-0.2,-9.7,-13.3,22.7,9.4,-10.7,4.1,-6.7,0.0,0,1
17,Dean Wade,23.0,0.0,3.0,6.1,0.3,0.7,50.0,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,1.0,2.8,0.0,0.0,1.0,0.7,28.6,0.3,33.3,0.0,0.0,1.3,3.7,1.3,8.7,-0.027000000000000003,4.4,5.0,5.1,12.5,5.3,0.0,0.0,0.0,18.2,0.0,0.0,0.0,42.9,11.1,5.6,50.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.3,3.7,1.3,8.7,0.0,0.3,18.0,-5.1,-6.5,-11.7,20.6,-9.2,11.5,-0.6,-7.1,-7.7,0.0,0,1
21,Derrick Walton Jr.,24.0,2.0,2.0,3.1,0.3,0.5,50.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.9,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5,2.5,0.028,12.0,10.0,11.8,14.3,18.2,0.0,0.0,0.0,0.0,16.7,25.0,0.0,33.3,0.0,9.7,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5,2.5,0.0,0.0,9.0,0.4,-4.4,-4.0,13.3,10.2,23.5,2.7,-2.1,0.6,0.0,"$1,445,697 ",1
22,Devon Hall,24.0,0.0,2.0,7.3,0.5,2.0,25.0,0.0,1.0,0.0,1.5,2.0,75.0,0.0,0.5,0.5,1.0,0.5,0.5,4.1,0.0,0.0,8.0,0.5,7.7,0.0,0.0,0.0,0.0,1.0,2.0,1.0,10.0,0.055,19.4,7.1,15.4,0.0,16.7,23.1,25.0,0.0,5.9,22.2,25.0,0.0,12.5,18.2,10.4,50.0,50.0,40.0,0.0,0.0,0.0,40.0,40.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,10.0,0.0,1.0,15.0,-5.0,-15.8,-20.8,30.7,-1.2,29.5,1.4,-13.9,-12.5,-0.1,0,1
23,Drew Eubanks,22.0,2.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.5,1.0,1.3,0.0,0.0,-4.0,0.5,100.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.0,-0.021,36.4,0.0,42.9,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,66.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.0,0.5,0.0,2.0,-39.9,-9.7,-49.6,-38.0,1.0,-37.1,-42.0,-8.3,-50.2,-0.1,0,1
25,Garrison Mathews,23.0,1.0,1.0,6.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,1.5,1.6,0.0,0.0,4.0,0.5,8.3,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,0.124,8.1,0.0,8.0,0.0,14.3,0.0,0.0,0.0,7.1,33.3,12.5,50.0,42.9,28.6,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,0.5,1.0,14.0,-4.9,0.9,-4.0,-16.0,30.6,14.6,-7.3,6.4,-0.9,0.0,0,1
26,Gary Trent Jr.,20.0,3.0,8.0,8.5,1.4,3.0,45.5,1.0,2.1,47.8,0.0,0.0,0.0,0.3,0.8,1.1,0.5,0.2,0.6,6.6,0.0,0.0,-2.1,0.8,14.8,0.2,16.7,0.2,16.7,3.1,2.5,3.4,10.2,-0.002,15.5,19.5,18.5,35.5,29.9,0.0,0.0,16.7,15.2,14.7,8.0,9.1,15.9,8.1,19.2,30.3,69.7,19.5,4.9,80.5,0.0,7.3,14.6,50.0,50.0,90.9,9.1,80.0,20.0,0.3,0.5,0.0,0.5,3.1,2.5,3.4,10.2,0.1,0.3,93.0,4.0,-2.4,1.6,-0.8,-8.8,-9.7,3.3,-3.7,-0.4,0.1,"$1,416,852 ",1
29,Harry Giles III,21.0,3.0,4.0,7.4,1.6,3.6,44.0,0.0,0.0,0.0,0.3,0.3,100.0,0.4,0.6,1.0,0.7,0.7,1.9,7.1,0.0,0.0,-3.7,0.6,14.8,0.3,20.0,0.4,42.9,2.0,1.3,1.9,6.9,0.008,27.0,29.7,28.1,0.0,0.0,16.7,11.8,37.5,20.0,21.7,29.4,20.0,39.4,23.8,25.3,100.0,0.0,91.7,33.3,0.0,8.3,25.0,58.3,81.8,18.2,0.0,0.0,81.8,18.2,0.9,0.3,0.3,2.0,2.0,1.3,1.9,6.9,0.1,0.7,52.0,-8.6,-3.4,-12.0,-13.0,-1.5,-14.5,-9.9,-3.2,-13.1,-0.3,"$2,578,800 ",1
30,Henry Ellenson,22.0,1.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.0,0.0,0.0,3.0,-0.6,-12.5,-13.1,-17.2,-3.6,-20.8,-3.9,-11.6,-15.4,0.0,0,1
33,Jalen McDaniels,21.0,0.0,1.0,2.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.015,28.6,50.0,33.3,0.0,0.0,0.0,0.0,50.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,12.7,-24.4,-11.7,4.5,-6.0,-1.6,12.0,-22.2,-10.2,0.0,0,1
35,Jared Harper,22.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.014,14.3,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,-12.9,-8.9,-21.7,-18.0,-1.9,-19.9,-14.6,-8.1,-22.8,0.0,0,1
