,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,off_kmean
90,James Harden,30.0,13.0,6.0,36.8,10.7,24.1,44.6,4.9,13.9,35.5,12.5,14.4,86.5,0.9,5.1,5.9,7.8,5.3,3.1,59.2,6.0,0.0,7.8,5.1,17.6,1.7,24.6,0.5,16.4,14.8,10.1,14.1,37.8,0.132,38.3,35.3,35.5,41.2,40.3,62.0,57.2,10.1,15.8,49.2,43.9,29.0,19.0,46.8,41.8,42.0,58.0,29.8,0.5,38.2,7.6,14.6,29.2,13.6,86.4,16.0,84.0,14.7,85.3,5.7,3.2,2.9,11.4,14.8,10.1,14.1,37.8,0.9,8.8,669.0,10.2,-0.1,10.1,2.7,9.5,12.1,9.4,1.7,11.1,4.7,"$37,800,000",2
91,Giannis Antetokounmpo,24.0,17.0,3.0,32.4,11.5,20.6,56.0,1.4,4.9,28.6,6.5,11.1,58.6,2.7,10.7,13.4,5.9,4.1,3.3,60.4,19.0,2.0,10.3,10.7,38.3,1.5,28.8,1.4,30.8,10.8,6.3,8.3,25.7,0.182,36.4,38.8,33.7,15.0,18.0,49.6,57.7,40.6,38.8,35.1,39.9,44.4,23.9,51.9,37.8,76.2,23.8,65.4,3.9,13.6,22.0,19.9,61.5,38.6,61.4,50.0,50.0,40.0,60.0,6.2,4.4,6.8,19.0,10.8,6.3,8.3,25.7,1.2,9.0,595.0,5.7,2.6,8.3,3.7,6.3,10.0,5.5,3.4,8.9,3.6,"$25,842,697",2
92,Kyrie Irving,27.0,4.0,7.0,33.8,10.2,22.9,44.4,2.8,8.3,34.1,5.4,5.7,93.7,0.9,4.5,5.4,7.2,2.4,2.9,48.3,2.0,1.0,-0.8,4.5,18.0,1.1,21.1,0.5,13.3,11.8,7.8,7.7,38.4,0.046,32.8,34.1,35.6,28.4,31.1,41.3,32.1,12.2,16.7,45.4,21.3,25.7,20.0,30.7,34.6,63.9,36.1,51.6,12.1,29.6,9.2,12.4,39.5,16.0,84.0,38.7,61.3,22.3,77.7,3.5,2.2,2.6,11.3,11.8,7.8,7.7,38.4,0.8,4.6,372.0,7.0,-4.3,2.7,1.4,-3.6,-2.2,6.4,-4.4,2.0,0.9,"$31,742,000",2
93,Trae Young,21.0,4.0,15.0,34.5,9.3,20.4,45.4,3.4,8.8,38.7,6.5,7.6,85.4,0.5,3.7,4.2,8.4,4.9,1.2,45.6,6.0,1.0,-6.9,3.7,16.8,1.4,23.5,0.1,1.7,14.8,11.0,10.5,37.8,-0.018000000000000002,33.8,31.0,32.2,41.7,37.8,48.4,43.9,7.2,14.6,48.2,40.6,25.0,6.9,43.1,35.0,56.7,43.3,41.1,5.6,36.1,11.1,13.9,35.6,18.9,81.1,32.3,67.7,23.9,76.1,3.9,1.5,3.2,10.1,14.8,11.0,10.5,37.8,1.3,7.1,581.0,3.9,-1.6,2.2,8.6,-12.2,-3.7,5.1,-3.6,1.4,1.3,"$6,273,000",2
94,Bradley Beal,26.0,6.0,11.0,36.6,10.0,21.2,47.2,2.9,8.2,35.0,5.4,6.5,82.9,0.9,3.4,4.3,7.1,3.2,2.6,44.6,3.0,0.0,-2.1,3.4,13.9,1.0,19.1,0.2,8.0,12.3,10.4,11.9,41.1,-0.004,30.2,28.6,29.6,30.6,33.3,46.0,44.8,12.5,13.5,31.9,30.2,15.9,15.9,39.1,31.1,61.1,38.9,50.3,14.1,30.6,11.0,13.1,36.2,36.4,63.6,71.4,28.6,46.5,53.5,3.7,1.8,3.1,10.2,12.3,10.4,11.9,41.1,0.8,5.9,592.0,6.3,-3.9,2.4,3.8,-4.3,-0.5,6.1,-4.1,2.0,1.4,"$27,093,019",2
95,Damian Lillard,29.0,8.0,10.0,37.0,8.5,19.0,44.7,3.3,9.0,36.4,7.1,7.7,92.0,0.6,4.2,4.8,7.3,2.8,2.1,45.9,3.0,0.0,2.6,4.2,14.8,1.1,22.9,0.5,10.8,11.0,12.6,9.6,36.6,0.09,27.6,26.2,26.8,34.9,33.5,46.4,42.5,7.9,13.3,47.3,26.3,29.3,12.5,38.0,30.6,52.6,47.4,38.2,6.5,36.0,8.9,8.7,31.7,11.7,88.3,22.0,78.0,15.7,84.3,2.4,1.2,2.4,8.7,11.0,12.6,9.6,36.6,1.2,6.1,629.0,7.9,-1.7,6.2,2.5,2.5,5.0,7.3,-1.0,6.3,2.9,"$29,802,321",2
96,Karl-Anthony Towns,24.0,9.0,7.0,33.0,8.9,17.3,51.3,3.9,8.9,44.4,4.6,5.8,79.3,2.6,10.0,12.6,4.1,3.4,3.4,51.7,14.0,0.0,2.3,10.0,38.6,1.1,19.3,1.5,37.5,9.5,8.6,8.8,33.1,0.09300000000000001,27.8,31.3,27.5,42.9,31.7,32.4,31.5,34.5,37.6,24.7,34.0,22.4,23.3,32.2,32.8,48.7,51.3,37.6,2.9,45.0,4.5,12.4,34.8,49.4,50.6,81.0,19.0,63.4,36.6,3.3,4.4,1.2,9.1,9.5,8.6,8.8,33.1,0.8,5.1,527.0,5.0,4.5,9.6,3.2,-2.1,1.1,5.0,3.5,8.5,3.1,"$27,250,000",2
97,Anthony Davis,26.0,16.0,2.0,34.5,9.0,18.8,47.9,1.2,3.4,33.9,6.9,7.9,86.7,2.6,6.6,9.2,3.5,2.5,2.4,52.9,7.0,0.0,6.4,6.6,25.7,1.5,23.7,2.8,50.0,12.3,8.2,13.3,30.8,0.146,29.3,29.4,29.2,15.1,15.9,52.8,45.7,34.6,27.7,17.8,23.1,31.0,16.7,39.4,31.8,81.7,18.3,60.1,10.2,13.4,9.6,16.0,49.9,60.3,39.7,100.0,0.0,65.4,34.6,4.2,3.4,2.5,13.0,12.3,8.2,13.3,30.8,0.7,6.1,594.0,1.9,5.5,7.5,-5.1,0.4,-4.7,0.7,4.8,5.5,2.5,"$27,093,019",2
98,Brandon Ingram,22.0,4.0,11.0,33.6,9.3,19.0,49.1,2.4,5.9,40.9,4.8,5.9,80.9,0.9,6.5,7.4,4.0,3.0,2.8,43.1,3.0,0.0,-4.2,6.5,27.4,0.8,14.0,1.0,25.4,14.4,10.5,12.2,36.7,0.02,29.2,31.5,29.9,25.0,23.0,38.5,36.3,13.9,24.4,22.8,25.7,18.2,16.6,35.6,31.8,69.1,30.9,53.6,12.9,27.8,12.6,16.5,40.7,28.8,71.2,94.4,5.6,45.7,54.3,4.3,2.5,3.3,10.5,14.4,10.5,12.2,36.7,0.5,5.6,468.0,2.3,-1.9,0.4,-0.7,-3.5,-4.3,1.8,-2.2,-0.4,0.6,"$7,265,485",2
99,LeBron James,34.0,17.0,2.0,34.8,9.8,19.7,49.9,2.1,5.8,36.0,3.9,5.8,67.3,1.0,6.1,7.1,11.0,3.7,1.5,52.8,16.0,5.0,9.7,6.1,24.3,1.3,21.2,0.6,11.7,12.3,7.4,11.9,29.5,0.163,31.1,30.8,30.9,25.3,26.3,33.6,37.0,14.3,22.1,55.4,34.7,33.3,9.9,29.6,30.7,70.4,29.6,60.2,11.5,24.6,18.0,19.3,48.8,25.9,74.1,42.5,57.5,29.4,70.6,4.9,2.8,4.6,12.5,12.3,7.4,11.9,29.5,0.8,4.6,636.0,7.5,0.5,8.0,9.8,4.9,14.7,8.2,1.3,9.5,4.0,"$37,436,858",2
