,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,def_kmean
1,Boban Marjanovic,31.0,5.0,3.0,13.0,3.0,6.0,50.0,0.0,0.1,0.0,1.3,1.5,83.3,1.5,3.1,4.6,0.6,0.9,1.8,14.0,0.0,0.0,5.6,3.1,29.4,0.3,16.7,0.1,11.1,4.9,3.3,4.3,12.0,0.044,23.5,23.1,23.8,0.0,1.3,29.4,30.8,41.4,32.5,9.1,25.0,38.5,29.2,42.5,20.6,97.9,2.1,82.8,3.4,0.0,3.4,10.3,79.3,45.8,54.2,0.0,0.0,45.8,54.2,0.8,2.6,0.3,5.8,4.9,3.3,4.3,12.0,0.6,2.1,104.0,0.2,-2.1,-1.9,13.7,-1.2,12.5,2.6,-2.1,0.5,0.2,"$3,500,000 ",0
5,CJ Miles,32.0,4.0,6.0,16.1,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2.0,75.0,0.4,0.8,1.2,1.2,0.4,1.4,13.4,0.0,0.0,-0.8,0.8,7.5,1.0,40.0,0.4,22.2,6.1,4.1,3.7,16.8,0.016,16.9,12.6,17.7,24.4,25.2,23.4,26.7,10.8,8.4,12.8,9.1,12.5,16.5,18.7,15.6,40.7,59.3,25.0,3.1,51.6,14.1,18.8,21.9,75.0,25.0,90.9,9.1,84.2,15.8,1.2,1.3,0.9,1.4,6.1,4.1,3.7,16.8,0.2,1.4,161.0,1.2,-0.3,0.9,0.1,-6.6,-6.5,1.0,-1.4,-0.4,0.2,"$8,730,158 ",0
7,Chris Chiozza,24.0,1.0,3.0,10.5,0.5,2.8,18.2,0.5,1.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8,1.0,1.5,7.3,0.0,0.0,1.5,1.0,12.1,0.5,33.3,0.5,50.0,3.5,1.5,2.0,8.0,0.13699999999999998,14.0,7.1,14.1,15.4,10.0,0.0,0.0,0.0,10.0,38.9,19.0,40.0,22.2,11.1,7.7,63.6,36.4,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.8,0.0,3.5,1.5,2.0,8.0,0.5,0.5,37.0,-4.9,6.2,1.3,-18.8,23.2,4.4,-7.8,9.7,2.0,0.1,0,0
9,Chris Silva,23.0,13.0,4.0,10.5,1.6,2.4,67.5,0.0,0.1,0.0,1.1,1.5,69.2,1.9,2.4,4.4,0.7,1.4,2.9,12.3,0.0,0.0,1.8,2.4,30.8,0.2,12.9,0.8,70.0,5.9,3.3,3.4,8.0,0.055,16.8,17.4,12.8,0.0,1.5,31.6,33.8,64.7,40.2,12.8,27.0,36.4,48.5,36.8,17.0,95.0,5.0,75.0,5.6,0.0,0.0,15.3,69.4,63.0,37.0,0.0,0.0,63.0,37.0,0.6,1.5,0.0,2.9,5.9,3.3,3.4,8.0,0.2,1.5,161.0,-2.0,4.1,2.1,3.8,1.6,5.4,-1.1,3.6,2.5,0.4,0,0
10,Dzanan Musa,20.0,8.0,6.0,16.3,1.8,5.4,33.3,0.5,2.7,18.4,1.4,1.9,73.1,0.5,2.4,2.9,1.1,1.5,0.9,10.9,0.0,0.0,-3.5,2.4,19.0,0.5,21.9,0.1,3.4,7.8,5.0,6.5,14.7,0.051,19.1,14.4,18.0,15.6,22.2,20.4,20.8,17.5,18.7,13.9,25.6,30.4,12.7,23.1,15.6,49.3,50.7,47.4,0.0,27.6,14.5,21.1,47.4,66.7,33.3,85.7,14.3,72.0,28.0,1.1,0.8,0.8,2.6,7.8,5.0,6.5,14.7,0.5,1.8,211.0,-4.5,1.2,-3.3,-8.5,0.7,-7.9,-5.5,1.2,-4.3,-0.2,"$1,911,600 ",0
11,Damion Lee,27.0,2.0,9.0,21.9,3.2,8.3,38.5,1.1,3.2,34.3,2.5,3.0,84.8,0.8,3.1,3.9,1.8,1.2,1.6,18.4,1.0,0.0,-1.8,3.1,18.4,0.7,20.5,0.0,0.0,9.4,6.9,7.1,21.5,0.048,18.8,18.5,20.1,23.5,22.6,21.2,21.7,14.8,17.5,18.9,17.1,18.5,21.2,28.1,19.6,61.5,38.5,41.8,10.9,32.7,21.8,19.1,30.9,60.9,39.1,91.7,8.3,71.4,28.6,1.9,1.3,2.2,3.1,9.4,6.9,7.1,21.5,0.5,3.3,241.0,-0.2,-0.8,-1.0,-1.5,0.4,-1.2,-0.4,-0.6,-1.0,0.2,0,0
16,Davis Bertans,27.0,6.0,11.0,27.5,4.2,9.4,45.0,3.3,7.5,44.1,1.1,1.2,85.7,0.7,3.8,4.5,1.8,0.7,2.6,23.2,0.0,0.0,1.0,3.8,20.3,0.5,13.4,0.5,17.8,9.8,9.4,7.2,28.1,0.041,15.3,16.3,17.4,35.7,32.0,11.1,10.9,14.0,19.0,10.7,8.3,7.7,18.6,9.7,18.2,20.6,79.4,14.7,1.8,77.1,15.6,18.3,12.8,75.0,25.0,94.6,5.4,90.3,9.7,2.4,0.6,2.0,1.6,9.8,9.4,7.2,28.1,0.2,1.2,441.0,3.7,-1.0,2.7,3.5,3.1,6.6,3.8,-0.2,3.6,1.4,0,0
19,Dennis Smith Jr.,22.0,2.0,10.0,15.5,2.0,5.8,34.3,0.6,1.8,31.8,0.5,0.9,54.5,0.8,0.9,1.8,2.6,1.6,2.3,11.2,0.0,0.0,-6.7,0.9,8.0,0.5,31.6,0.1,6.7,7.0,5.6,3.4,15.2,0.02,20.8,18.2,21.3,15.6,17.3,11.8,14.5,24.4,11.7,40.8,26.8,23.5,28.3,19.7,16.9,68.6,31.4,55.7,9.8,34.4,9.8,13.1,45.9,17.6,82.4,57.1,42.9,29.2,70.8,0.7,0.8,0.5,2.3,7.0,5.6,3.4,15.2,0.3,1.1,172.0,-4.0,-3.1,-7.1,-6.9,-5.3,-12.2,-4.7,-3.6,-8.3,-0.5,"$4,463,640 ",0
20,Derrick Jones Jr.,22.0,3.0,1.0,14.4,3.0,5.0,60.0,0.3,1.0,25.0,0.8,0.8,100.0,0.8,1.3,2.0,0.5,0.5,2.8,11.9,0.0,0.0,2.8,1.3,10.2,0.8,42.9,0.0,0.0,6.8,4.0,5.5,15.5,0.056,15.5,22.2,18.3,5.6,9.3,10.7,8.6,42.9,14.3,5.9,9.5,25.0,31.4,18.5,18.2,80.0,20.0,78.6,0.0,10.7,7.1,21.4,78.6,81.8,18.2,100.0,0.0,83.3,16.7,1.5,1.0,0.5,5.5,6.8,4.0,5.5,15.5,0.3,1.3,57.0,-1.3,4.1,2.8,4.6,-2.3,2.3,-0.3,3.0,2.8,0.2,"$1,645,357 ",0
24,Ersan Ilyasova,32.0,15.0,3.0,16.2,2.4,5.0,48.9,0.8,2.6,30.4,1.2,1.4,84.0,1.2,3.4,4.6,0.6,0.3,1.7,15.3,1.0,0.0,-1.1,3.4,26.1,0.4,20.5,0.3,18.8,4.5,3.4,5.0,13.2,0.043,14.9,17.3,15.9,19.2,19.3,21.2,18.9,35.0,27.9,7.0,6.9,3.1,25.0,22.6,18.0,48.9,51.1,48.8,6.5,34.1,11.4,15.4,42.3,66.7,33.3,100.0,0.0,77.3,22.7,1.1,1.6,0.8,2.9,4.5,3.4,5.0,13.2,0.1,1.4,257.0,1.8,2.5,4.4,-2.6,-4.0,-6.6,1.1,1.4,2.5,0.7,"$7,000,000 ",0
