,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,def_kmean
32,Jakob Poeltl,24.0,7.0,13.0,17.5,2.4,4.2,57.1,0.0,0.0,0.0,0.8,1.4,57.1,2.2,3.6,5.8,1.4,1.0,1.8,18.7,1.0,0.0,2.4,3.6,28.3,0.5,21.3,1.2,50.0,4.5,4.2,4.6,15.9,0.055,13.4,14.3,12.2,0.0,0.0,14.2,19.6,50.0,33.9,14.2,20.2,28.9,26.7,23.3,13.1,100.0,0.0,85.7,1.8,0.0,11.6,12.5,83.9,75.0,25.0,0.0,0.0,75.0,25.0,0.7,1.7,0.7,4.7,4.5,4.2,4.6,15.9,0.6,1.7,334.0,0.2,4.5,4.8,7.5,1.7,9.2,1.6,4.4,6.0,1.5,"$3,754,886 ",0
34,James Ennis III,29.0,14.0,6.0,16.7,2.6,4.9,53.6,0.9,2.1,43.9,1.4,1.8,77.1,1.3,2.2,3.5,0.8,0.7,1.9,14.5,0.0,0.0,1.9,2.2,17.4,0.5,15.9,0.3,19.4,6.7,3.5,3.9,17.0,0.05,15.2,17.4,15.8,22.5,19.0,19.6,19.4,34.7,21.4,7.8,12.6,14.8,20.3,18.6,18.3,57.7,42.3,45.6,2.7,36.2,24.2,18.1,43.0,67.6,32.4,100.0,0.0,78.8,21.2,1.4,1.2,1.8,3.2,6.7,3.5,3.9,17.0,0.2,1.4,286.0,1.4,-1.1,0.3,5.3,-2.3,3.0,2.2,-1.4,0.8,0.5,"$1,882,867 ",0
45,Josh Magette,30.0,0.0,2.0,3.8,1.0,2.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,7.7,0.0,0.0,0.0,0.5,33.3,1.0,66.7,0.0,0.0,1.0,2.5,1.0,4.0,-0.001,23.8,22.2,27.8,0.0,0.0,0.0,0.0,25.0,28.6,33.3,0.0,0.0,0.0,0.0,20.0,100.0,0.0,100.0,0.0,0.0,50.0,50.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,2.0,1.0,2.5,1.0,4.0,0.0,0.0,8.0,5.1,8.9,14.0,3.0,-18.8,-15.7,5.1,4.3,9.4,0.0,0,0
50,Kevin Knox II,20.0,4.0,14.0,19.8,2.5,6.5,38.5,1.3,3.5,38.1,1.5,2.3,64.3,0.5,2.4,2.9,1.4,0.7,1.7,15.1,0.0,0.0,-4.0,2.4,16.7,0.6,17.9,0.2,12.1,7.4,4.4,4.4,18.2,0.046,17.4,16.8,18.2,27.6,25.3,20.8,22.1,11.4,15.5,17.0,11.6,11.1,16.3,19.5,18.7,46.2,53.8,29.8,9.9,51.1,14.2,22.7,19.9,42.9,57.1,95.8,4.2,71.1,28.9,1.8,1.1,1.1,1.6,7.4,4.4,4.4,18.2,0.2,1.7,357.0,-1.3,-3.9,-5.2,-5.5,-1.2,-6.7,-2.1,-3.6,-5.7,-0.5,"$4,380,120 ",0
51,Kevin Porter Jr.,19.0,5.0,13.0,20.4,2.4,6.2,38.7,0.4,2.1,21.1,1.1,1.4,76.0,0.3,2.7,3.0,1.9,1.3,2.6,14.4,0.0,0.0,-6.8,2.7,19.5,0.8,20.6,0.2,16.0,7.0,7.2,5.6,18.8,0.029,16.6,16.3,17.2,9.9,14.3,14.5,14.5,8.6,17.1,22.5,20.3,17.2,32.2,12.6,15.3,65.8,34.2,61.9,12.4,21.2,21.2,15.9,49.6,34.3,65.7,62.5,37.5,39.5,60.5,1.0,0.6,1.3,3.1,7.0,7.2,5.6,18.8,0.6,1.1,355.0,-2.1,-4.1,-6.2,-8.6,-3.9,-12.5,-3.4,-4.2,-7.6,-0.9,"$1,290,960 ",0
54,Ky Bowman,22.0,4.0,16.0,22.7,3.5,7.6,45.7,1.1,2.6,41.2,0.8,0.9,94.1,0.5,2.1,2.5,2.8,1.0,1.9,18.0,0.0,0.0,-0.9,2.1,13.1,1.0,25.0,0.1,5.1,7.6,5.6,5.6,22.0,0.052000000000000005,16.4,19.2,18.3,22.6,20.1,7.9,7.1,11.0,12.6,25.8,16.1,13.7,21.3,12.8,17.2,66.2,33.8,54.9,21.7,36.0,9.7,14.3,33.1,35.4,64.6,81.0,19.0,49.3,50.7,1.3,0.6,0.9,2.9,7.6,5.6,5.6,22.0,0.4,1.3,421.0,-1.4,-1.8,-3.3,1.3,3.5,4.8,-1.0,-0.8,-1.8,0.2,0,0
63,Naz Mitrou-Long,26.0,2.0,1.0,14.2,2.0,5.3,37.5,0.7,3.7,18.2,0.0,0.0,0.0,0.0,2.0,2.0,2.3,0.7,0.3,11.9,0.0,0.0,6.0,2.0,14.3,0.3,25.0,0.3,16.7,4.7,2.0,2.7,10.7,0.165,17.3,17.6,19.0,22.2,37.9,0.0,0.0,0.0,11.5,38.9,22.2,0.0,6.3,13.6,15.6,31.3,68.8,57.1,0.0,42.9,28.6,21.4,57.1,25.0,75.0,100.0,0.0,50.0,50.0,1.0,0.0,1.3,2.7,4.7,2.0,2.7,10.7,0.0,1.0,43.0,-1.1,6.4,5.4,-1.9,14.3,12.4,-1.3,8.2,6.9,0.2,0,0
64,Nicolo Melli,28.0,6.0,11.0,16.1,2.0,4.6,43.6,1.1,3.2,35.2,0.9,1.2,80.0,0.7,2.1,2.8,1.2,0.7,1.8,13.1,0.0,0.0,-3.5,2.1,20.6,0.6,26.8,0.2,12.0,6.2,5.5,6.1,18.5,0.012,14.9,16.0,15.7,20.7,22.3,16.7,16.4,25.5,21.6,16.2,13.3,0.0,28.4,20.3,16.8,30.8,69.2,29.1,7.8,55.3,1.0,21.4,21.4,53.3,46.7,100.0,0.0,79.4,20.6,1.3,1.0,0.1,1.3,6.2,5.5,6.1,18.5,0.0,1.4,263.0,-0.2,-2.7,-2.9,-4.0,-4.8,-8.8,-0.9,-3.1,-4.1,-0.2,"$3,902,439 ",0
68,Otto Porter Jr.,26.0,3.0,6.0,25.1,3.9,9.3,41.7,1.8,4.4,40.0,1.7,2.2,75.0,0.9,2.6,3.4,1.6,0.8,2.2,20.9,0.0,0.0,0.8,2.6,16.5,1.0,22.5,0.3,16.7,7.9,7.9,6.0,28.4,0.061,18.4,18.7,20.4,26.7,24.4,16.7,16.4,19.0,17.1,12.4,11.5,10.3,22.2,16.0,19.3,52.4,47.6,37.6,4.0,47.5,15.8,18.8,33.7,21.1,78.9,87.5,12.5,51.4,48.6,2.1,1.4,1.8,3.8,7.9,7.9,6.0,28.4,0.3,1.9,226.0,0.7,-0.3,0.4,2.0,-2.3,-0.3,1.0,-0.7,0.4,0.4,"$27,250,576 ",0
70,Robert Williams III,22.0,11.0,5.0,14.4,1.9,2.6,73.8,0.0,0.0,0.0,0.4,0.7,54.5,1.1,3.4,4.5,1.3,0.9,1.8,17.1,0.0,0.0,-0.3,3.4,36.0,1.0,29.1,1.1,56.3,5.2,5.1,3.5,12.6,0.025,11.2,15.6,10.0,0.0,0.0,6.6,9.7,36.0,36.0,19.4,22.2,0.0,24.6,12.1,12.5,100.0,0.0,91.2,5.9,0.0,5.9,14.7,85.3,74.2,25.8,0.0,0.0,74.2,25.8,0.6,1.1,0.3,3.6,5.2,5.1,3.5,12.6,0.0,0.8,213.0,-1.3,1.8,0.6,4.5,-8.0,-3.5,-0.3,0.0,-0.3,0.3,"$1,937,520 ",0
72,Skal Labissiere,23.0,8.0,12.0,16.7,2.8,4.9,56.7,0.1,0.4,28.6,0.8,1.1,68.2,2.1,3.0,5.1,1.2,1.2,2.8,16.9,1.0,0.0,-1.0,3.0,22.6,0.3,12.5,1.1,55.3,5.6,5.3,4.5,17.3,0.055,16.0,19.9,15.4,2.2,2.9,13.2,14.8,56.0,30.0,16.2,23.0,12.1,31.8,13.4,16.7,92.8,7.2,83.5,20.5,4.7,7.1,7.1,63.0,73.6,26.4,100.0,0.0,74.5,25.5,0.5,1.6,0.5,4.0,5.6,5.3,4.5,17.3,0.2,1.0,317.0,-0.7,0.9,0.3,-1.3,0.4,-0.8,-0.8,0.9,0.1,0.5,"$2,338,847 ",0
77,Tim Hardaway Jr.,27.0,12.0,6.0,24.0,4.3,10.3,41.9,2.4,6.2,38.7,1.9,2.4,79.1,0.3,1.8,2.1,1.8,0.5,2.2,19.5,0.0,0.0,6.4,1.8,9.3,0.5,14.5,0.1,5.1,6.1,6.9,6.6,22.9,0.083,20.2,20.7,22.7,31.9,29.8,16.3,16.3,5.4,8.5,14.9,9.2,26.7,19.9,14.7,21.3,40.3,59.7,30.0,11.2,55.4,10.3,10.3,18.9,51.4,48.6,93.0,7.0,74.4,25.6,1.3,1.8,1.3,2.4,6.1,6.9,6.6,22.9,0.4,1.8,396.0,2.2,0.5,2.7,2.9,3.4,6.3,2.3,1.1,3.4,1.2,"$18,150,000 ",0
79,TJ Leaf,22.0,9.0,6.0,10.5,1.7,3.9,44.8,0.3,0.7,45.5,0.3,0.5,62.5,1.3,2.5,3.8,0.4,0.4,0.9,10.9,1.0,0.0,0.7,2.5,29.1,0.5,35.0,0.2,15.0,3.9,2.3,2.8,9.9,0.073,17.1,19.4,18.8,17.2,12.1,13.5,16.3,46.5,33.5,7.3,10.5,25.0,23.3,14.0,18.6,81.0,19.0,67.7,0.0,24.2,12.9,12.9,67.7,66.7,33.3,100.0,0.0,73.1,26.9,0.5,0.7,0.5,2.8,3.9,2.3,2.8,9.9,0.3,0.5,158.0,0.2,0.4,0.6,-7.2,5.0,-2.2,-1.1,1.2,0.0,0.2,0,0
81,Tremont Waters,21.0,1.0,0.0,19.7,2.0,7.0,28.6,1.0,5.0,20.0,2.0,2.0,100.0,0.0,2.0,2.0,3.0,2.0,2.0,20.9,0.0,0.0,20.0,2.0,14.3,1.0,25.0,2.0,66.7,5.0,9.0,3.0,6.0,0.12,21.3,10.5,18.9,16.7,31.3,16.7,16.7,0.0,9.5,30.0,40.0,0.0,25.0,11.1,12.5,28.6,71.4,28.6,0.0,42.9,0.0,0.0,28.6,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,2.0,5.0,9.0,3.0,6.0,0.0,1.0,20.0,3.0,6.6,9.6,19.9,3.4,23.3,6.3,6.3,12.5,0.2,0,0
82,Troy Brown Jr.,20.0,5.0,9.0,21.0,2.9,6.6,43.0,0.5,1.8,28.0,0.7,0.9,83.3,1.4,3.4,4.8,2.0,1.2,1.1,18.5,1.0,0.0,-2.6,3.4,25.0,1.2,33.3,0.1,11.1,6.6,6.9,7.1,24.7,0.014,15.6,14.5,16.3,10.4,13.5,11.0,10.6,29.9,26.3,16.8,17.3,25.6,12.6,11.2,13.7,73.1,26.9,68.0,16.5,21.6,14.4,22.7,51.5,48.5,51.5,100.0,0.0,57.5,42.5,1.6,0.6,1.0,3.6,6.6,6.9,7.1,24.7,0.8,0.9,275.0,-0.6,1.4,0.8,-0.8,0.5,-0.3,-0.7,1.4,0.7,0.5,"$3,219,480 ",0
85,Wes Iwundu,24.0,4.0,5.0,14.7,0.9,3.4,25.8,0.1,1.0,11.1,1.4,1.8,81.3,0.3,1.9,2.2,0.8,0.4,0.9,8.7,0.0,0.0,-2.6,1.9,19.8,0.4,15.4,0.2,13.3,5.2,5.1,4.0,14.9,0.037000000000000005,13.7,7.5,12.6,3.7,11.5,33.3,30.8,11.1,17.7,13.2,11.4,20.0,17.8,15.6,10.7,71.0,29.0,46.7,20.0,10.0,30.0,43.3,26.7,71.4,28.6,100.0,0.0,75.0,25.0,1.4,0.3,1.0,0.9,5.2,5.1,4.0,14.9,0.3,0.8,132.0,-4.9,-0.2,-5.1,-1.4,-4.1,-5.5,-4.5,-1.0,-5.5,-0.2,"$1,618,520 ",0
167,Jordan Clarkson,27.0,5.0,14.0,22.5,4.6,10.9,41.8,1.7,4.9,35.5,3.3,3.7,88.6,0.6,1.7,2.3,2.5,1.3,1.2,22.1,0.0,0.0,-3.3,1.7,10.6,0.6,16.7,0.3,20.0,7.1,6.1,5.8,22.3,0.057999999999999996,25.3,27.2,27.3,30.8,29.3,35.4,30.2,13.3,11.1,26.8,18.2,26.5,13.1,25.2,29.2,55.3,44.7,40.1,2.2,36.8,9.7,13.4,37.9,29.6,70.4,72.7,27.3,46.0,54.0,1.9,1.0,1.4,5.4,7.1,6.1,5.8,22.3,0.9,2.7,408.0,4.5,-2.9,1.6,-2.9,1.9,-1.0,3.5,-2.2,1.3,0.8,"$13,437,500",0
181,Bryn Forbes,26.0,7.0,13.0,27.0,4.5,11.2,39.9,2.4,6.9,35.0,1.6,1.7,91.2,0.4,2.3,2.7,2.0,0.7,1.9,19.8,0.0,0.0,-5.6,2.3,11.7,0.5,16.7,0.0,0.0,7.8,7.2,8.8,28.0,-0.003,19.7,19.4,22.4,47.5,47.7,15.6,13.5,6.7,10.7,14.6,9.4,30.2,17.1,10.3,21.1,38.6,61.4,31.9,17.1,56.0,19.5,13.6,14.8,68.3,31.7,93.8,6.3,82.0,18.0,1.8,1.1,2.5,1.9,7.8,7.2,8.8,28.0,0.8,1.1,517.0,1.2,-4.6,-3.3,-1.4,-4.9,-6.3,0.8,-4.8,-4.0,-0.3,"$2,875,000",0
183,Norman Powell,26.0,14.0,4.0,27.9,4.6,9.9,46.1,1.7,4.7,36.9,1.9,2.2,85.0,0.5,3.3,3.8,1.6,1.5,1.8,21.4,0.0,0.0,2.2,3.3,15.5,0.7,14.9,0.4,12.1,10.3,8.7,6.2,24.3,0.12,18.7,20.0,19.7,22.1,22.5,19.5,18.2,10.2,14.5,10.8,16.4,18.3,15.6,14.8,20.2,52.8,47.2,44.5,2.6,40.6,28.8,20.1,41.9,64.7,35.3,96.8,3.2,76.8,23.2,2.6,0.7,3.7,5.3,10.3,8.7,6.2,24.3,0.6,1.7,463.0,-1.4,-0.4,-1.8,-2.5,-2.5,-5.0,-1.7,-0.8,-2.6,0.0,"$10,116,576",0
184,Dillon Brooks,23.0,5.0,13.0,27.4,4.6,11.9,38.8,1.7,4.4,37.5,1.8,2.2,80.0,1.1,2.4,3.6,2.1,1.4,3.8,22.8,0.0,0.0,-1.6,2.4,11.7,1.0,22.8,0.4,12.3,9.3,7.9,8.4,27.2,0.07400000000000001,21.0,18.7,22.5,24.8,25.6,24.4,23.7,18.2,13.2,13.5,15.1,12.5,28.2,20.4,20.0,62.6,37.4,46.5,14.9,39.5,21.5,13.2,31.6,56.6,43.4,100.0,0.0,72.3,27.7,1.7,1.1,2.7,4.0,9.3,7.9,8.4,27.2,0.4,2.1,465.0,-1.7,-1.8,-3.5,5.2,4.8,9.9,-0.5,-0.6,-1.1,0.4,"$1,618,520",0
188,Langston Galloway,27.0,6.0,13.0,28.0,3.8,9.1,42.4,2.4,5.8,41.4,2.3,2.5,91.5,0.4,1.8,2.2,1.7,0.8,1.3,19.6,0.0,0.0,-1.3,1.8,9.5,0.6,15.5,0.4,10.9,12.3,7.3,7.9,29.7,0.051,15.8,17.2,18.7,32.4,29.8,19.9,16.7,6.7,8.9,12.3,8.4,5.7,11.3,13.1,19.5,35.5,64.5,23.0,5.1,58.7,13.6,14.9,17.9,74.1,25.9,100.0,0.0,90.4,9.6,1.8,1.2,1.7,2.2,12.3,7.3,7.9,29.7,0.2,1.7,505.0,3.1,-1.9,1.2,1.7,-1.6,0.1,3.0,-1.9,1.1,1.0,"$7,333,333",0
191,Rodney Hood,27.0,7.0,11.0,30.4,4.6,8.7,53.2,1.8,3.6,50.8,1.2,1.5,77.8,0.5,3.1,3.6,1.6,0.9,2.3,21.2,0.0,0.0,0.9,3.1,13.6,0.9,23.9,0.2,5.6,9.3,10.1,8.3,30.9,0.067,14.0,17.0,14.8,21.7,16.2,10.9,11.5,8.7,12.6,11.9,11.5,6.8,15.9,14.3,16.7,58.3,41.7,45.5,17.3,45.0,10.5,13.6,28.2,32.0,68.0,87.9,12.1,54.2,45.8,1.7,0.7,1.3,3.4,9.3,10.1,8.3,30.9,0.2,1.7,512.0,1.3,-0.8,0.5,3.5,0.8,4.3,1.7,-0.5,1.3,1.1,"$5,718,000",0
194,Moritz Wagner,22.0,6.0,11.0,19.4,4.6,7.6,60.8,1.1,2.6,43.2,1.6,1.9,84.4,1.5,4.1,5.6,1.4,2.4,3.9,22.6,2.0,0.0,2.2,4.1,29.7,0.7,23.1,0.7,38.7,6.8,5.9,4.9,18.8,0.064,21.8,25.6,19.8,18.4,16.1,22.9,22.9,36.1,31.3,12.0,36.0,18.2,39.8,34.5,24.3,66.2,33.8,58.8,1.0,27.9,4.4,12.3,57.8,75.0,25.0,100.0,0.0,81.0,19.0,1.5,2.1,0.5,6.9,6.8,5.9,4.9,18.8,0.4,2.9,307.0,1.0,3.9,4.9,1.3,5.6,7.0,1.1,4.6,5.7,1.3,"$2,063,520",0
197,Isaiah Thomas,30.0,5.0,10.0,24.3,4.6,10.6,43.4,1.9,4.8,40.3,0.7,0.9,84.6,0.1,1.4,1.5,5.0,2.1,2.1,21.0,1.0,0.0,-5.1,1.4,9.3,0.5,15.6,0.2,12.5,8.3,8.2,9.6,30.7,-0.031,21.7,19.7,22.3,31.2,30.0,10.0,9.5,1.4,7.4,32.5,27.8,28.0,20.3,15.6,19.7,54.7,45.3,44.9,13.5,48.9,5.1,15.7,31.5,42.5,57.5,69.0,31.0,53.6,46.4,1.9,1.1,0.6,3.7,8.3,8.2,9.6,30.7,0.9,1.5,343.0,-0.6,-5.9,-6.5,2.2,-8.7,-6.5,-0.2,-6.7,-6.8,-0.7,"$2,320,044",0
198,Kyle Kuzma,24.0,14.0,1.0,22.6,4.3,9.5,45.8,1.7,4.7,35.7,1.4,1.8,77.8,0.4,3.2,3.6,0.8,1.7,1.9,16.9,0.0,0.0,3.2,3.2,20.2,0.1,3.8,0.3,10.4,8.4,6.3,6.4,21.2,0.10800000000000001,22.0,22.3,23.0,29.8,29.2,18.8,18.8,10.3,18.2,6.5,24.3,14.3,21.3,13.8,22.6,50.7,49.3,45.5,8.0,42.6,13.6,19.9,37.5,80.0,20.0,96.0,4.0,86.2,13.8,2.3,1.7,1.6,4.4,8.4,6.3,6.4,21.2,0.2,1.3,322.0,-3.4,-1.7,-5.1,-3.6,0.4,-3.2,-3.7,-1.5,-5.1,-0.4,"$1,974,600",0
