,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,shoot_kmean
164,Hassan Whiteside,30,8,10,27.5,6.1,10.4,58.8,0.0,0.0,0.0,2.7,3.6,75.4,3.8,8.7,12.4,0.9,2.1,3.0,36.6,12,0,1.3,8.7,41.8,0.4,13.5,2.1,59.4,8.1,8.4,7.6,25.0,0.053,21.1,25.5,19.8,0.0,0.0,24.7,28.4,57.6,45.6,7.5,26.6,17.5,25.8,31.2,23.0,100.0,0.0,81.8,9.7,0.0,2.2,13.4,72.1,66.4,33.6,0.0,0.0,66.4,33.6,2.0,4.0,0.3,10.8,8.1,8.4,7.6,25.0,0.6,3.4,495.0,-0.2,3.0,2.8,0.4,-2.6,-2.2,-0.1,2.0,1.9,1.2,"$27,093,018",0
170,Bam Adebayo,22,15,5,32.3,5.2,9.0,57.2,0.1,0.3,16.7,3.8,5.7,66.7,2.5,8.0,10.4,4.1,2.8,2.6,38.1,11,0,4.2,8.0,32.9,1.5,23.6,1.3,38.5,13.2,8.6,7.8,29.7,0.145,19.2,19.8,16.6,0.7,1.5,27.6,31.7,44.1,35.0,23.8,23.4,21.2,18.8,31.5,19.3,96.7,3.3,72.1,3.5,1.1,5.3,13.8,68.6,75.5,24.5,100.0,0.0,75.7,24.3,2.0,2.5,0.8,9.7,13.2,8.6,7.8,29.7,0.6,5.1,646.0,-1.0,3.9,2.9,-1.3,2.6,1.3,-1.1,3.7,2.6,1.8,"$3,454,080",0
171,Rudy Gobert,27,11,8,34.4,5.2,7.9,64.9,0.0,0.0,0.0,3.7,5.9,61.9,3.4,10.3,13.7,1.2,2.2,3.2,38.6,13,0,2.8,10.3,38.4,0.8,18.2,2.1,67.2,12.3,8.8,9.6,32.0,0.14800000000000002,15.8,18.7,13.2,0.0,0.0,26.3,32.3,57.7,41.8,7.5,20.2,18.3,21.8,35.1,18.1,100.0,0.0,73.7,0.0,0.0,4.1,15.8,73.7,71.4,28.6,0.0,0.0,71.4,28.6,2.2,3.6,0.6,10.3,12.3,8.8,9.6,32.0,0.7,6.1,654.0,-1.4,6.8,5.4,0.1,3.5,3.6,-1.2,6.5,5.3,2.7,"$25,008,427",0
174,Thomas Bryant,22,6,12,28.4,5.6,10.2,54.9,0.6,1.9,28.6,2.2,2.9,73.6,2.3,6.2,8.5,2.7,1.3,2.4,31.1,5,0,-6.5,6.2,33.4,0.4,11.4,1.0,47.4,10.0,8.0,10.4,34.2,-0.032,18.4,21.2,18.4,8.2,10.5,25.5,27.0,39.6,34.9,15.5,15.8,10.0,19.6,22.5,20.4,81.0,19.0,72.5,14.3,12.0,9.2,8.4,58.2,79.1,20.9,90.0,10.0,80.2,19.8,1.2,2.9,1.3,8.1,10.0,8.0,10.4,34.2,0.4,2.6,511.0,-2.3,-0.5,-2.7,-3.9,-5.9,-9.7,-2.8,-1.5,-4.3,-0.4,"$7,936,508",0
176,Tristan Thompson,28,5,14,31.4,5.8,11.5,50.9,0.2,0.4,42.9,2.1,3.4,60.9,4.2,6.4,10.6,2.2,1.5,2.5,34.4,12,0,-3.1,6.4,27.6,0.8,19.2,1.2,57.5,12.1,8.3,9.3,35.5,0.07,19.6,23.2,20.2,2.4,2.0,18.6,24.2,60.2,35.1,17.4,14.9,32.2,22.5,23.7,20.4,96.8,3.2,81.8,3.8,3.4,5.3,10.6,78.0,61.1,38.9,33.3,66.7,60.4,39.6,1.5,3.1,0.7,10.8,12.1,8.3,9.3,35.5,1.5,3.2,597.0,-1.4,2.8,1.4,0.2,2.3,2.5,-1.1,3.0,1.9,1.4,"$18,539,130",0
181,Rui Hachimura,21,6,13,28.0,5.8,11.9,48.7,0.4,2.0,21.1,1.4,1.7,84.4,1.5,4.1,5.6,1.7,0.8,2.2,24.5,1,0,-5.5,4.1,22.8,0.7,18.2,0.2,7.5,10.3,8.8,9.6,32.8,-0.042,19.7,21.7,21.9,6.2,11.3,16.2,15.2,27.4,23.9,10.3,10.1,39.1,17.4,12.8,19.5,83.2,16.8,80.0,18.8,9.4,12.9,16.1,61.2,68.6,31.4,100.0,0.0,70.9,29.1,2.2,1.8,1.7,8.2,10.3,8.8,9.6,32.8,1.4,1.4,532.0,-0.9,-4.2,-5.1,2.1,-9.5,-7.4,-0.4,-5.5,-5.9,-0.8,"$4,469,160",0
185,Ben Simmons,23,14,5,34.3,5.4,10.2,53.1,0.1,0.2,33.3,2.1,3.6,58.0,1.5,5.4,6.9,8.4,3.7,3.4,39.1,9,1,4.7,5.4,20.5,2.4,35.4,0.5,12.8,11.8,7.8,9.0,32.8,0.145,18.9,18.2,16.3,0.7,0.7,17.2,21.8,21.3,20.7,43.6,32.3,14.3,20.1,26.3,16.3,98.5,1.5,82.6,1.6,1.2,29.1,20.6,81.0,51.0,49.0,100.0,0.0,51.5,48.5,2.7,1.3,3.8,10.5,11.8,7.8,9.0,32.8,0.4,4.3,652.0,-1.1,2.8,1.7,2.8,-0.0,2.8,-0.3,2.4,2.0,1.6,"$8,113,930",0
202,Brandon Clarke,23,6,12,21.2,5.1,8.1,63.0,0.6,1.2,45.5,1.1,1.3,82.6,1.3,4.6,5.9,1.3,1.1,1.7,24.1,1,0,-4.7,4.6,29.3,0.5,17.0,0.9,37.8,10.0,6.9,8.4,22.2,0.036000000000000004,18.6,27.5,19.9,12.3,9.3,17.9,15.9,30.8,29.6,10.0,15.4,11.9,17.3,12.9,24.9,84.9,15.1,77.0,4.7,14.1,11.7,13.6,72.3,79.3,20.7,100.0,0.0,81.5,18.5,1.6,1.4,1.4,8.6,10.0,6.9,8.4,22.2,0.3,1.0,381.0,0.3,-1.6,-1.3,-1.6,-1.1,-2.7,-0.0,-1.5,-1.5,0.2,"$2,478,840",0
204,Jarrett Allen,21,10,10,26.5,4.5,6.8,66.7,0.0,0.1,0.0,2.6,4.4,58.0,3.4,7.1,10.5,1.2,1.2,2.6,30.4,9,0,2.2,7.1,35.1,0.7,17.1,1.3,43.9,7.8,6.9,6.4,25.3,0.076,15.1,19.7,13.4,0.0,0.2,27.9,35.8,55.3,39.8,8.8,14.6,22.4,21.7,35.5,18.4,99.3,0.7,77.9,0.0,0.0,6.5,16.5,77.9,77.8,22.2,0.0,0.0,77.8,22.2,1.9,3.1,0.8,9.0,7.8,6.9,6.4,25.3,0.6,3.8,529.0,-0.5,4.1,3.6,4.7,4.5,9.2,0.5,4.5,5.0,2.1,"$2,376,840",0
205,Richaun Holmes,26,8,11,27.7,4.9,7.5,65.7,0.0,0.0,0.0,1.6,2.1,77.5,2.5,5.7,8.3,0.9,1.0,4.1,28.6,6,0,1.5,5.7,30.4,0.8,17.9,1.5,50.9,9.4,7.4,5.7,27.9,0.09,14.9,21.7,15.2,0.0,0.0,17.8,18.3,47.5,34.2,6.3,11.5,20.5,34.8,20.4,18.5,100.0,0.0,85.8,4.6,0.0,5.5,18.3,81.3,79.8,20.2,0.0,0.0,79.8,20.2,2.1,2.7,0.6,9.4,9.4,7.4,5.7,27.9,0.5,2.2,527.0,-0.3,0.9,0.6,3.3,4.0,7.3,0.4,1.6,2.0,1.3,"$4,767,000",0
208,Cody Zeller,27,6,13,24.0,4.4,8.4,52.5,0.6,1.7,36.4,1.7,2.6,65.3,3.1,4.9,7.9,1.2,1.5,2.4,23.7,4,0,-6.7,4.9,32.4,0.5,15.5,0.4,23.5,9.9,7.2,5.7,27.7,0.006,19.2,23.3,19.6,9.4,9.8,24.2,29.5,54.7,38.4,10.9,15.7,27.3,27.6,29.7,21.6,79.4,20.6,67.9,0.9,17.0,6.6,11.3,67.0,61.1,38.9,91.7,8.3,65.5,34.5,1.3,3.2,0.7,7.5,9.9,7.2,5.7,27.7,0.6,2.9,456.0,-0.7,-3.4,-4.1,-3.7,-6.3,-10.0,-1.3,-4.1,-5.4,-0.6,"$14,471,910",0
227,Steven Adams,26,7,9,26.3,4.3,7.4,58.5,0.0,0.0,0.0,1.2,2.6,46.3,2.7,6.3,9.0,2.8,1.4,1.9,27.8,4,0,0.9,6.3,32.4,0.5,14.3,0.9,45.5,8.8,5.2,6.2,25.6,0.07200000000000001,15.9,19.8,16.2,0.0,0.0,10.9,18.3,54.4,36.8,23.2,17.6,24.3,18.4,22.7,16.3,100.0,0.0,87.9,0.0,0.0,5.1,14.0,87.9,63.8,36.2,0.0,0.0,63.8,36.2,1.4,1.9,0.5,8.6,8.8,5.2,6.2,25.6,0.6,2.9,420.0,-0.5,-2.8,-3.3,1.7,1.2,2.8,-0.1,-2.1,-2.2,0.1,"$25,842,697",0
236,Jahlil Okafor,23,1,12,17.6,3.8,5.8,65.3,0.1,0.2,50.0,1.8,2.8,66.7,1.6,3.1,4.7,1.3,1.5,2.8,19.4,1,0,-3.5,3.1,22.5,0.3,13.3,1.0,50.0,7.2,3.5,5.9,20.2,0.03,19.3,24.6,16.7,1.7,1.1,39.3,40.4,41.2,26.6,13.7,26.3,32.0,34.9,36.2,23.7,97.3,2.7,78.0,0.0,2.4,4.9,5.7,78.0,60.4,39.6,100.0,0.0,61.2,38.8,0.5,1.6,0.5,7.4,7.2,3.5,5.9,20.2,0.6,2.6,229.0,-0.9,-1.7,-2.6,-1.0,-3.9,-4.9,-1.0,-2.2,-3.2,-0.1,"$1,702,486",0
237,Rondae Hollis-Jefferson,24,10,3,22.0,3.8,6.5,57.6,0.0,0.2,0.0,1.8,2.6,70.6,2.7,3.3,6.0,1.7,1.2,1.9,21.4,2,0,5.2,3.3,19.8,0.8,23.3,0.4,13.2,7.7,6.2,6.4,16.8,0.12300000000000001,16.1,20.7,16.1,0.0,1.0,20.0,21.4,39.8,25.6,15.1,16.2,11.1,18.0,19.9,18.4,97.6,2.4,80.3,9.8,0.0,11.5,21.3,70.5,63.3,36.7,0.0,0.0,63.3,36.7,2.0,1.8,1.1,6.6,7.7,6.2,6.4,16.8,0.3,2.1,286.0,3.6,-0.1,3.5,0.5,4.8,5.3,3.1,0.9,4.0,1.0,"$2,500,000",0
252,Hamidou Diallo,21,4,8,21.4,3.8,7.7,50.0,0.2,1.1,15.4,0.9,1.5,61.1,1.2,2.7,3.8,0.8,1.2,2.4,18.9,1,0,0.9,2.7,16.8,1.5,41.9,0.3,13.8,7.2,5.8,3.8,21.5,0.121,18.5,21.8,20.4,3.8,8.4,12.8,14.9,28.6,19.2,8.4,14.9,32.3,27.4,15.4,18.7,85.9,14.1,83.8,3.8,5.7,17.1,26.7,80.0,61.4,38.6,50.0,50.0,60.9,39.1,2.3,1.4,1.5,7.0,7.2,5.8,3.8,21.5,0.8,1.6,256.0,-2.2,2.9,0.7,-1.2,6.5,5.2,-2.1,3.8,1.7,0.6,"$1,416,852",0
260,Mitchell Robinson,21,3,14,20.5,3.4,4.9,67.9,0.0,0.0,0.0,1.8,2.9,61.2,2.9,3.7,6.6,0.6,0.9,3.8,24.0,1,0,-5.5,3.7,27.0,0.6,20.4,1.9,66.0,7.9,6.8,6.4,15.9,0.033,14.8,22.1,13.8,0.0,0.0,23.3,26.6,51.0,34.1,7.9,12.8,17.1,35.6,28.8,20.3,100.0,0.0,79.2,0.0,0.0,2.8,10.4,79.2,64.9,35.1,0.0,0.0,64.9,35.1,0.9,3.7,0.2,6.7,7.9,6.8,6.4,15.9,0.4,2.6,348.0,1.2,0.4,1.6,-2.0,-1.0,-3.0,0.7,0.2,0.9,0.6,"$1,559,712",0
264,Derrick Favors,28,2,7,21.0,4.0,6.4,62.1,0.1,0.2,50.0,0.2,0.7,33.3,3.4,5.4,8.9,2.1,1.6,2.3,23.6,3,0,-1.6,5.4,37.1,0.6,13.9,0.4,23.5,9.6,7.0,9.1,24.4,0.018000000000000002,15.1,20.5,15.2,1.6,1.2,3.8,8.0,54.4,42.3,17.6,19.7,38.9,27.3,13.0,16.0,96.6,3.4,93.3,2.7,4.0,5.3,16.0,90.7,74.3,25.7,100.0,0.0,75.0,25.0,1.3,2.0,0.4,7.6,9.6,7.0,9.1,24.4,0.8,1.1,189.0,0.2,-1.8,-1.6,3.5,-2.2,1.3,0.8,-1.9,-1.1,0.2,"$17,650,000",0
267,Jaxson Hayes,19,6,12,20.2,3.3,5.3,61.5,0.0,0.1,0.0,1.7,2.7,63.3,1.9,2.7,4.6,0.7,0.9,3.1,19.0,1,0,1.4,2.7,18.8,0.8,21.2,0.9,44.7,7.4,6.2,5.7,19.4,0.051,14.9,17.8,13.9,0.0,0.8,24.0,27.5,46.7,25.2,6.8,14.9,17.5,30.4,25.8,16.5,97.9,2.1,79.2,0.0,0.0,18.8,9.4,79.2,71.2,28.8,0.0,0.0,71.2,28.8,0.8,2.1,1.6,6.6,7.4,6.2,5.7,19.4,0.4,2.2,363.0,-1.8,-2.7,-4.4,4.1,2.2,6.2,-0.7,-1.8,-2.4,0.1,"$4,862,040",0
271,Ivica Zubac,22,16,6,16.0,3.1,5.2,59.1,0.0,0.0,0.0,1.9,2.3,82.0,2.2,4.2,6.4,0.8,0.9,2.5,19.9,3,0,1.2,4.2,33.3,0.2,6.3,1.1,50.0,5.3,3.4,5.0,13.6,0.078,18.0,23.6,17.1,0.0,0.4,32.3,31.1,52.2,38.0,10.7,17.2,45.5,31.6,21.4,22.4,99.1,0.9,76.8,3.4,0.0,11.3,20.3,73.4,75.0,25.0,0.0,0.0,75.0,25.0,1.6,2.2,0.9,5.9,5.3,3.4,5.0,13.6,0.5,1.5,353.0,0.3,1.6,1.9,-4.3,3.3,-1.0,-0.7,2.0,1.3,0.7,"$6,481,482",0
273,DeAndre Jordan,31,8,9,21.5,3.4,4.9,68.7,0.0,0.0,0.0,1.3,2.1,61.1,2.2,6.9,9.2,2.0,1.0,2.1,25.6,3,0,-3.8,6.9,42.9,0.5,16.7,1.1,51.4,9.9,6.4,5.7,20.7,0.047,12.9,19.1,12.4,0.0,0.0,16.3,19.6,53.5,45.1,19.5,12.6,15.8,21.1,25.6,16.7,100.0,0.0,83.8,0.0,0.0,0.0,14.7,83.8,80.7,19.3,0.0,0.0,80.7,19.3,1.2,2.4,0.0,6.7,9.9,6.4,5.7,20.7,0.4,2.7,366.0,0.3,1.1,1.4,-5.0,-2.9,-7.8,-0.8,0.4,-0.5,0.4,"$9,881,598",0
280,Bismack Biyombo,27,6,14,16.7,3.1,5.3,58.1,0.0,0.0,0.0,1.8,3.3,55.4,1.7,2.7,4.4,0.9,0.7,1.9,17.0,1,0,-1.5,2.7,25.0,0.3,14.0,0.8,48.5,5.5,4.6,4.7,17.8,0.034,18.8,22.3,17.3,0.0,0.0,32.4,39.2,42.9,29.7,9.8,15.5,37.9,26.2,32.5,21.5,100.0,0.0,77.2,1.3,0.0,7.6,14.6,75.9,82.0,18.0,0.0,0.0,82.0,18.0,1.2,1.1,0.6,6.0,5.5,4.6,4.7,17.8,0.6,2.5,334.0,-1.0,-0.5,-1.5,2.1,3.4,5.5,-0.4,0.4,0.0,0.5,"$17,000,000",0
282,DeAndre' Bembry,25,5,16,26.0,3.2,6.3,51.1,0.4,1.4,30.0,0.9,1.8,48.6,1.0,3.7,4.7,2.8,1.6,2.2,22.1,2,0,-7.0,3.7,21.0,1.6,31.4,0.4,17.6,11.5,8.0,7.1,24.8,0.047,13.6,15.5,13.5,9.2,8.8,8.7,13.4,18.8,20.5,22.5,15.6,12.8,17.3,15.2,13.8,77.4,22.6,72.4,0.0,16.6,19.6,23.9,72.4,59.3,40.7,100.0,0.0,64.7,35.3,1.9,1.0,1.5,5.6,11.5,8.0,7.1,24.8,0.5,1.7,546.0,-1.0,1.2,0.1,-7.8,4.8,-2.9,-2.5,2.1,-0.5,0.6,"$2,603,982",0
284,Enes Kanter,27,7,5,16.4,3.0,5.3,57.1,0.0,0.1,0.0,1.8,2.8,63.6,2.9,3.6,6.5,1.1,0.8,1.2,20.1,1,0,4.6,3.6,31.6,0.8,33.3,0.5,54.5,4.6,4.2,4.0,16.2,0.076,17.9,21.4,17.0,0.0,0.8,24.4,28.9,62.5,40.6,12.9,17.9,25.0,18.2,27.7,19.8,98.4,1.6,77.4,4.3,0.0,5.4,16.1,73.1,41.7,58.3,0.0,0.0,41.7,58.3,1.3,3.1,0.4,5.7,4.6,4.2,4.0,16.2,0.5,2.3,197.0,3.9,1.8,5.6,4.1,-0.0,4.0,4.1,1.4,5.6,0.8,"$4,767,000",0
288,Nerlens Noel,25,8,10,18.6,3.0,4.7,63.5,0.0,0.0,0.0,1.6,2.1,76.3,1.3,3.6,4.8,1.4,1.1,2.8,22.5,1,0,-3.4,3.6,28.1,0.9,27.9,1.7,66.0,7.2,6.9,6.0,18.4,0.045,16.0,20.9,14.8,0.0,0.0,22.8,23.5,50.0,31.8,17.1,19.4,2.6,35.4,25.2,19.2,100.0,0.0,78.8,8.8,0.0,4.4,13.9,70.1,79.6,20.4,0.0,0.0,79.6,20.4,1.1,1.6,0.3,5.3,7.2,6.9,6.0,18.4,0.1,2.1,335.0,-0.7,4.4,3.6,-5.3,-2.7,-8.0,-1.7,3.2,1.5,0.7,"$2,028,594",0
289,Dwight Powell,28,12,5,25.7,3.2,4.9,64.3,0.2,0.6,36.4,1.0,2.0,50.0,1.6,2.9,4.5,1.1,1.0,2.6,16.9,0,0,6.2,2.9,15.2,0.7,20.0,0.4,15.0,9.8,6.8,7.2,26.8,0.075,11.2,13.9,10.7,2.9,3.2,10.4,15.8,29.7,18.3,8.2,12.8,24.1,28.5,21.5,12.0,86.9,13.1,77.5,0.0,9.3,4.7,10.9,77.5,82.0,18.0,100.0,0.0,83.3,16.7,0.8,1.4,0.4,5.9,9.8,6.8,7.2,26.8,0.4,2.6,436.0,-1.5,0.3,-1.3,7.5,-1.2,6.2,0.2,-0.0,0.2,0.7,"$10,259,375",0
291,Willie Cauley-Stein,26,3,16,22.4,3.4,6.3,53.8,0.0,0.0,0.0,0.7,1.0,73.7,1.4,5.1,6.4,1.6,0.9,3.0,23.5,1,0,-6.3,5.1,32.9,1.1,28.4,1.2,44.9,8.1,7.9,5.4,21.5,0.026000000000000002,14.9,19.0,15.6,0.0,0.0,9.6,10.4,37.7,33.8,14.6,15.7,21.6,32.4,11.7,16.0,100.0,0.0,90.1,5.6,0.0,16.2,20.4,84.5,76.6,23.4,0.0,0.0,76.6,23.4,1.5,1.2,1.2,6.3,8.1,7.9,5.4,21.5,0.6,1.0,426.0,-4.5,3.1,-1.4,-2.7,-0.3,-3.0,-4.4,2.7,-1.7,0.2,"$2,177,483",0
296,Damian Jones,24,4,16,18.4,3.0,4.4,69.0,0.1,0.3,40.0,1.3,1.7,73.5,1.6,2.2,3.8,0.8,0.7,3.5,16.2,0,0,-5.1,2.2,19.9,0.5,14.3,0.8,55.2,7.9,5.9,6.3,20.0,-0.015,12.9,18.6,12.9,2.6,2.2,19.7,20.9,40.0,25.3,8.2,10.5,16.4,34.8,19.5,17.3,94.3,5.7,78.9,1.4,4.1,5.4,16.3,77.6,82.8,17.2,100.0,0.0,83.3,16.7,1.2,1.7,0.4,5.7,7.9,5.9,6.3,20.0,0.6,1.5,369.0,-0.7,-2.6,-3.2,2.3,-7.6,-5.3,-0.1,-3.7,-3.8,-0.2,"$2,305,057",0
298,Marquese Chriss,22,4,17,18.2,2.6,5.5,47.8,0.1,0.8,17.6,2.0,2.3,85.4,1.4,3.3,4.8,2.1,1.6,2.1,20.1,0,0,-2.8,3.3,28.9,0.8,23.3,1.0,58.3,7.3,4.4,5.0,19.7,0.026000000000000002,18.0,18.1,16.1,3.6,6.8,25.3,25.4,34.1,30.3,23.4,27.5,15.7,31.3,23.1,18.1,85.2,14.8,67.5,3.9,5.8,7.1,16.9,63.6,69.2,30.8,100.0,0.0,70.9,29.1,1.2,1.8,0.5,4.7,7.3,4.4,5.0,19.7,0.4,1.9,382.0,-2.1,4.1,2.0,0.6,-1.9,-1.3,-1.6,3.3,1.6,0.9,"$1,678,854",0
303,Mason Plumlee,29,13,5,16.5,2.8,4.8,58.6,0.0,0.2,0.0,1.4,2.6,53.2,1.7,3.9,5.6,2.2,1.5,2.8,19.5,0,0,-1.1,3.9,31.8,0.6,23.3,0.8,35.9,4.7,4.1,4.2,16.6,0.085,19.1,21.8,15.6,0.0,1.8,29.1,34.3,40.3,34.0,24.2,32.1,12.5,35.5,28.8,20.7,96.6,3.4,80.3,1.6,0.0,4.7,13.4,78.7,74.5,25.5,0.0,0.0,74.5,25.5,0.9,1.6,0.3,5.6,4.7,4.1,4.2,16.6,0.2,2.1,297.0,-1.6,3.4,1.8,-4.3,1.7,-2.6,-2.3,3.1,0.8,0.5,"$14,041,096",0
304,Dwight Howard,33,18,3,19.9,2.8,3.8,73.8,0.0,0.0,0.0,1.4,2.7,52.6,2.1,4.8,6.9,0.8,1.1,3.9,20.7,2,0,3.8,4.8,34.8,0.3,12.5,1.4,53.6,6.7,4.9,5.6,17.0,0.071,13.0,16.2,10.7,0.0,0.4,21.1,27.4,47.3,37.9,8.3,19.7,16.7,49.7,32.1,15.4,98.8,1.3,79.7,1.4,0.0,4.1,6.1,78.4,61.0,39.0,0.0,0.0,61.0,39.0,0.4,2.9,0.3,5.5,6.7,4.9,5.6,17.0,0.2,3.2,417.0,0.2,1.4,1.7,4.1,-2.8,1.2,1.0,0.5,1.6,0.9,"$2,564,753",0
305,Dwight Howard,33,18,3,19.9,2.8,3.8,73.8,0.0,0.0,0.0,1.4,2.7,52.6,2.1,4.8,6.9,0.8,1.1,3.9,20.7,2,0,3.8,4.8,34.8,0.3,12.5,1.4,53.6,6.7,4.9,5.6,17.0,0.071,13.0,16.2,10.7,0.0,0.4,21.1,27.4,47.3,37.9,8.3,19.7,16.7,49.7,32.1,15.4,98.8,1.3,79.7,1.4,0.0,4.1,6.1,78.4,61.0,39.0,0.0,0.0,61.0,39.0,0.4,2.9,0.3,5.5,6.7,4.9,5.6,17.0,0.2,3.2,417.0,0.2,1.4,1.7,4.1,-2.8,1.2,1.0,0.5,1.6,0.9,"$3,039,097",0
306,Edmond Sumner,23,0,3,22.2,3.0,6.0,50.0,0.0,1.0,0.0,1.0,1.7,60.0,0.3,0.7,1.0,2.0,0.3,3.0,16.9,0,0,-11.0,0.7,6.1,1.7,35.7,0.3,14.3,7.0,10.7,3.0,20.7,-0.037000000000000005,13.6,15.3,14.3,0.0,10.7,16.7,22.7,7.7,6.5,16.7,6.7,0.0,27.3,23.1,14.5,83.3,16.7,85.7,0.0,0.0,38.1,38.1,85.7,55.6,44.4,0.0,0.0,55.6,44.4,2.7,0.0,2.7,6.0,7.0,10.7,3.0,20.7,0.0,2.0,67.0,-0.8,4.1,3.2,-1.9,-12.4,-14.3,-1.0,0.8,-0.2,0.1,"$2,000,000",0
307,JaVale McGee,31,18,3,16.7,3.1,5.1,60.2,0.0,0.0,0.0,0.8,1.2,64.0,2.0,4.4,6.4,0.7,0.9,2.1,20.1,2,0,2.5,4.4,35.1,0.6,15.8,1.2,44.6,6.0,4.4,6.3,14.9,0.068,16.0,19.9,16.2,0.0,0.0,18.2,21.6,49.4,38.5,6.8,15.8,24.1,30.8,24.6,17.8,100.0,0.0,89.0,0.0,0.0,6.2,17.1,89.0,70.8,29.2,0.0,0.0,70.8,29.2,1.2,1.8,0.4,6.2,6.0,4.4,6.3,14.9,0.3,1.3,351.0,-1.0,5.9,4.9,1.0,-2.7,-1.7,-0.7,4.4,3.7,1.2,"$4,000,000",0
311,Alex Len,26,5,15,16.7,2.6,5.3,49.5,0.2,1.3,15.4,1.4,2.1,68.3,1.3,3.1,4.3,0.8,1.1,2.1,15.7,1,0,-5.2,3.1,24.4,0.4,12.9,0.8,38.1,7.0,5.1,4.8,15.4,0.039,17.6,20.9,17.7,6.3,11.7,21.1,23.8,37.9,27.2,11.2,15.7,18.2,29.0,21.1,19.6,75.2,24.8,70.6,0.0,8.8,5.1,8.1,70.6,79.2,20.8,100.0,0.0,80.8,19.2,0.6,1.3,0.4,4.8,7.0,5.1,4.8,15.4,0.4,1.6,334.0,-3.0,2.6,-0.4,-10.9,1.4,-9.5,-4.8,2.6,-2.2,0.1,"$4,160,000",0
313,Kyle Anderson,26,5,12,20.5,2.8,5.5,50.5,0.2,0.9,25.0,0.9,1.6,57.1,0.9,3.5,4.4,2.6,0.9,1.7,19.2,0,0,-4.7,3.5,24.6,0.7,23.5,0.7,25.5,9.8,7.2,6.6,22.6,0.034,14.0,15.6,14.4,6.3,8.2,13.9,17.8,22.5,24.1,22.7,12.3,4.4,19.3,17.5,14.6,82.8,17.2,75.4,8.8,10.5,21.1,19.3,66.7,60.5,39.5,100.0,0.0,63.8,36.2,1.3,0.9,1.4,4.5,9.8,7.2,6.6,22.6,0.1,1.4,348.0,0.4,-0.9,-0.4,-3.2,-2.3,-5.4,-0.3,-1.1,-1.4,0.2,"$9,073,050",0
322,Daniel Theis,27,11,5,21.6,2.6,5.3,48.2,0.1,0.8,15.4,1.2,1.7,70.4,1.7,5.1,6.8,1.3,0.8,3.2,21.7,1,0,3.0,5.1,30.4,0.5,12.3,1.5,58.5,5.2,4.7,4.9,16.8,0.122,13.0,14.7,13.0,2.2,5.0,16.1,19.1,37.5,31.9,12.0,13.6,20.8,34.9,23.7,13.5,84.7,15.3,75.7,3.9,5.8,5.8,9.7,71.8,84.6,15.4,100.0,0.0,85.4,14.6,0.6,1.7,0.4,4.6,5.2,4.7,4.9,16.8,0.7,2.3,346.0,-3.6,4.1,0.6,-2.5,5.8,3.2,-3.6,4.6,1.0,0.7,"$5,000,000",0
339,JaKarr Sampson,26,6,3,18.5,2.6,4.6,56.1,0.2,1.1,20.0,0.2,0.8,28.6,0.8,1.9,2.7,0.4,0.7,2.6,12.4,0,0,1.3,1.9,13.9,0.6,20.8,0.7,30.0,6.7,3.6,5.8,17.3,0.07400000000000001,13.0,14.7,13.5,8.3,13.0,5.4,14.9,23.3,15.8,4.2,11.3,7.7,35.4,13.1,13.4,75.6,24.4,84.0,12.0,12.0,16.0,28.0,72.0,90.5,9.5,100.0,0.0,91.3,8.7,1.6,0.0,0.9,4.0,6.7,3.6,5.8,17.3,0.1,0.9,166.0,-4.0,2.3,-1.7,-0.6,0.8,0.2,-3.5,2.1,-1.4,0.1,"$1,737,145",0
342,Taj Gibson,34,4,15,16.3,2.5,4.8,51.6,0.1,0.4,25.0,0.5,0.8,60.0,2.1,2.5,4.6,1.1,0.7,2.3,14.5,0,0,-4.0,2.5,23.9,0.7,23.2,0.2,20.0,6.4,3.7,5.1,15.6,0.023,14.6,19.3,15.9,2.9,4.7,9.5,10.6,47.6,30.7,15.2,15.2,12.0,27.2,17.4,16.1,91.2,8.8,85.7,21.0,5.7,9.5,19.0,64.8,73.3,26.7,100.0,0.0,74.5,25.5,1.1,1.2,0.5,3.6,6.4,3.7,5.1,15.6,0.2,1.1,311.0,-1.5,-0.8,-2.3,-0.9,-3.2,-4.1,-1.4,-1.3,-2.7,0.0,"$9,800,000",0
