,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,off_kmean
45,Josh Magette,30.0,0.0,2.0,3.8,1.0,2.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,7.7,0.0,0.0,0.0,0.5,33.3,1.0,66.7,0.0,0.0,1.0,2.5,1.0,4.0,-0.001,23.8,22.2,27.8,0.0,0.0,0.0,0.0,25.0,28.6,33.3,0.0,0.0,0.0,0.0,20.0,100.0,0.0,100.0,0.0,0.0,50.0,50.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,2.0,1.0,2.5,1.0,4.0,0.0,0.0,8.0,5.1,8.9,14.0,3.0,-18.8,-15.7,5.1,4.3,9.4,0.0,0,0
53,Kristaps Porzingis,24.0,11.0,6.0,31.4,6.2,15.5,39.8,2.2,6.2,34.9,2.8,3.9,70.1,1.6,7.8,9.4,1.5,1.7,2.8,37.5,7.0,0.0,3.2,7.8,32.0,0.6,13.2,2.2,62.7,10.2,9.4,10.9,28.4,0.085,24.8,23.8,26.7,25.2,24.1,20.3,22.0,23.5,30.1,10.0,19.2,23.7,22.0,20.5,23.3,59.8,40.2,46.3,13.6,37.8,7.5,8.2,32.7,69.1,30.9,97.3,2.7,79.0,21.0,1.4,2.7,1.3,5.6,10.2,9.4,10.9,28.4,0.5,3.0,499.0,-2.0,0.5,-1.4,-4.4,2.8,-1.6,-2.7,1.0,-1.7,0.3,"$27,285,000 ",0
55,Larry Nance Jr.,26.0,5.0,12.0,25.9,4.2,7.8,54.1,1.3,3.3,39.3,1.3,1.8,71.0,2.1,5.6,7.6,1.3,0.9,1.6,25.8,3.0,0.0,-6.6,5.6,31.5,1.1,24.4,0.4,23.3,8.5,8.3,6.5,26.7,0.023,15.4,21.2,16.4,21.2,17.4,13.5,14.6,36.5,32.7,11.7,12.0,4.6,15.6,16.8,19.9,57.9,42.1,53.2,3.2,35.1,5.3,14.4,50.0,62.0,38.0,95.5,4.5,72.2,27.8,1.6,2.3,0.6,5.5,8.5,8.3,6.5,26.7,0.2,1.9,414.0,0.9,-1.6,-0.7,-3.0,-5.0,-8.1,0.2,-2.3,-2.0,0.2,"$12,727,273 ",0
59,Marvin Bagley III,20.0,0.0,1.0,27.7,6.0,16.0,37.5,0.0,0.0,0.0,2.0,4.0,50.0,4.0,6.0,10.0,0.0,1.0,1.0,31.0,1.0,0.0,-21.0,6.0,24.0,1.0,50.0,1.0,33.3,17.0,10.0,22.0,48.0,-0.029,25.7,27.3,31.4,0.0,0.0,28.6,33.3,50.0,30.3,0.0,5.9,50.0,7.7,30.0,24.1,100.0,0.0,85.7,28.6,0.0,0.0,14.3,57.1,66.7,33.3,0.0,0.0,66.7,33.3,2.0,7.0,0.0,8.0,17.0,10.0,22.0,48.0,3.0,3.0,28.0,-7.0,0.7,-6.3,-12.0,-6.1,-18.1,-8.2,-0.5,-8.8,-0.1,"$8,556,120 ",0
62,Moses Brown,20.0,3.0,1.0,3.8,0.8,1.8,42.9,0.0,0.0,0.0,0.5,1.0,50.0,0.5,1.8,2.3,0.0,0.3,1.0,5.2,0.0,0.0,-3.5,1.8,53.8,0.3,33.3,0.0,0.0,0.5,1.3,1.3,4.0,-0.025,22.7,23.1,23.3,0.0,0.0,33.3,44.4,50.0,52.9,0.0,25.0,0.0,44.4,50.0,23.5,100.0,0.0,75.0,0.0,0.0,0.0,0.0,75.0,66.7,33.3,0.0,0.0,66.7,33.3,0.0,1.5,0.0,1.5,0.5,1.3,1.3,4.0,0.0,0.5,15.0,-1.9,-7.5,-9.4,-5.1,-19.2,-24.3,-2.7,-10.2,-12.8,-0.1,0,0
66,Nikola Vucevic,29.0,6.0,8.0,30.8,6.8,15.1,45.0,1.1,3.6,32.0,2.4,2.8,84.6,2.9,8.6,11.6,3.5,1.4,1.9,39.9,10.0,0.0,4.2,8.6,36.7,0.6,12.3,1.1,26.8,8.8,6.9,6.3,28.0,0.121,25.0,26.3,26.7,17.2,18.7,21.7,21.0,44.1,38.3,21.7,19.6,28.9,17.8,21.8,24.7,76.3,23.7,66.1,7.5,20.1,2.9,10.9,58.6,72.2,27.8,100.0,0.0,76.8,23.2,1.9,1.4,0.5,10.0,8.8,6.9,6.3,28.0,0.8,2.7,431.0,-0.5,2.1,1.6,5.6,-0.4,5.2,0.7,1.7,2.4,1.1,"$28,000,000 ",0
70,Robert Williams III,22.0,11.0,5.0,14.4,1.9,2.6,73.8,0.0,0.0,0.0,0.4,0.7,54.5,1.1,3.4,4.5,1.3,0.9,1.8,17.1,0.0,0.0,-0.3,3.4,36.0,1.0,29.1,1.1,56.3,5.2,5.1,3.5,12.6,0.025,11.2,15.6,10.0,0.0,0.0,6.6,9.7,36.0,36.0,19.4,22.2,0.0,24.6,12.1,12.5,100.0,0.0,91.2,5.9,0.0,5.9,14.7,85.3,74.2,25.8,0.0,0.0,74.2,25.8,0.6,1.1,0.3,3.6,5.2,5.1,3.5,12.6,0.0,0.8,213.0,-1.3,1.8,0.6,4.5,-8.0,-3.5,-0.3,0.0,-0.3,0.3,"$1,937,520 ",0
72,Skal Labissiere,23.0,8.0,12.0,16.7,2.8,4.9,56.7,0.1,0.4,28.6,0.8,1.1,68.2,2.1,3.0,5.1,1.2,1.2,2.8,16.9,1.0,0.0,-1.0,3.0,22.6,0.3,12.5,1.1,55.3,5.6,5.3,4.5,17.3,0.055,16.0,19.9,15.4,2.2,2.9,13.2,14.8,56.0,30.0,16.2,23.0,12.1,31.8,13.4,16.7,92.8,7.2,83.5,20.5,4.7,7.1,7.1,63.0,73.6,26.4,100.0,0.0,74.5,25.5,0.5,1.6,0.5,4.0,5.6,5.3,4.5,17.3,0.2,1.0,317.0,-0.7,0.9,0.3,-1.3,0.4,-0.8,-0.8,0.9,0.1,0.5,"$2,338,847 ",0
75,Tacko Fall,23.0,1.0,0.0,3.6,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,6.6,0.0,0.0,-2.0,3.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.036000000000000004,62.5,66.7,80.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,50.0,0.0,100.0,0.0,66.7,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,-31.0,-0.4,-31.4,-12.2,3.3,-8.9,-29.2,0.0,-29.2,-0.1,0,0
84,Wendell Carter Jr.,20.0,6.0,14.0,28.9,5.0,8.7,56.9,0.1,0.7,15.4,2.7,4.0,68.4,3.8,6.0,9.7,0.9,1.3,4.1,28.7,10.0,0.0,0.2,6.0,29.5,0.7,11.6,0.8,42.1,10.4,7.0,9.5,28.5,0.093,16.8,20.9,16.0,1.3,3.1,24.9,27.2,52.1,35.4,6.4,14.4,26.4,28.0,25.2,19.2,92.5,7.5,76.4,3.9,2.4,8.3,20.1,72.4,64.9,35.1,100.0,0.0,65.7,34.3,2.6,4.5,1.1,9.2,10.4,7.0,9.5,28.5,1.0,3.4,545.0,-1.3,-1.9,-3.2,7.4,0.7,8.1,0.3,-1.5,-1.2,0.4,"$5,201,400 ",0
87,Yuta Watanabe,25.0,0.0,1.0,2.9,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.2,0.0,0.0,5.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.076,22.2,40.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,40.0,100.0,0.0,100.0,50.0,0.0,0.0,50.0,50.0,0.0,100.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,15.0,4.0,19.0,7.7,35.6,43.3,14.5,10.2,24.7,0.0,0,0
123,LaMarcus Aldridge,34.0,7.0,13.0,32.8,7.7,14.8,51.7,0.6,1.6,35.5,3.0,3.6,83.3,2.1,4.7,6.7,2.5,1.7,2.2,36.3,2.0,0.0,-5.1,4.7,19.3,0.7,16.9,1.8,52.2,9.6,8.3,10.0,32.9,0.015,23.3,27.4,24.9,9.5,9.3,22.9,22.2,34.2,22.3,15.7,17.7,12.1,16.4,24.4,25.2,89.5,10.5,75.3,34.5,8.8,2.1,8.2,40.8,62.0,38.0,100.0,0.0,64.7,35.3,1.6,2.9,0.4,7.7,9.6,8.3,10.0,32.9,0.4,3.4,625.0,-1.2,0.9,-0.3,-4.3,-6.4,-10.7,-1.9,-0.3,-2.2,0.2,"$26,000,000",0
127,Montrezl Harrell,25.0,14.0,6.0,29.8,7.8,13.2,58.9,0.0,0.3,0.0,3.1,4.6,66.3,3.0,4.7,7.6,2.3,1.9,2.3,35.6,5.0,0.0,5.5,4.7,20.3,0.9,18.5,1.3,37.9,10.1,8.3,8.6,26.9,0.121,22.5,29.8,23.8,0.0,1.6,21.4,25.5,42.4,25.5,15.9,18.1,33.3,15.9,29.0,25.5,97.7,2.3,83.6,0.0,0.0,15.1,15.6,83.6,58.1,41.9,0.0,0.0,58.1,41.9,2.9,4.1,2.8,15.5,10.1,8.3,8.6,26.9,1.2,4.7,572.0,1.5,6.6,8.2,5.0,1.8,6.8,2.3,6.0,8.3,3.2,"$6,000,000",0
130,Domantas Sabonis,23.0,11.0,6.0,34.4,7.2,14.0,51.3,0.3,1.2,25.0,3.8,4.8,80.2,3.7,9.3,13.0,3.6,2.7,3.5,40.5,14.0,0.0,4.6,9.3,37.6,0.7,13.6,0.5,16.4,10.4,7.3,8.2,31.9,0.132,23.1,23.6,21.9,4.5,6.8,35.1,36.7,49.6,40.4,21.3,26.9,32.7,23.8,36.3,23.6,91.6,8.4,74.5,10.2,4.8,4.8,13.4,64.3,59.0,41.0,100.0,0.0,60.7,39.3,2.5,3.1,0.9,11.9,10.4,7.3,8.2,31.9,1.0,5.1,510.0,0.7,0.7,1.4,2.7,3.5,6.2,1.1,1.2,2.3,1.3,"$3,529,555",0
137,Deandre Ayton,21.0,1.0,0.0,33.4,9.0,14.0,64.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,0.0,0.0,2.0,46.2,1.0,0.0,25.0,8.0,29.6,1.0,10.0,4.0,44.4,6.0,7.0,8.0,22.0,0.444,16.1,26.5,20.3,0.0,0.0,0.0,0.0,42.9,32.4,0.0,0.0,0.0,15.4,6.3,22.0,100.0,0.0,100.0,22.2,0.0,11.1,22.2,77.8,66.7,33.3,0.0,0.0,66.7,33.3,4.0,4.0,2.0,14.0,6.0,7.0,8.0,22.0,0.0,1.0,33.0,-0.7,13.9,13.2,-0.5,19.7,19.2,-0.8,15.7,15.0,0.3,"$9,562,920",0
143,Andre Drummond,26.0,6.0,13.0,34.5,7.4,13.5,54.5,0.0,0.5,0.0,2.7,4.3,64.2,4.6,12.5,17.1,3.2,3.9,4.2,48.6,16.0,0.0,-0.7,12.5,51.0,1.5,32.2,1.7,49.3,13.7,9.8,9.9,35.2,0.081,24.2,25.7,22.3,0.0,2.4,25.1,29.2,64.0,53.9,17.7,32.3,47.5,29.5,30.1,22.8,96.1,3.9,84.3,1.2,0.0,4.5,12.0,83.1,57.9,42.1,0.0,0.0,57.9,42.1,2.1,4.9,0.8,14.5,13.7,9.8,9.9,35.2,1.5,4.3,618.0,-2.3,3.0,0.7,-0.0,3.9,3.9,-2.0,3.4,1.4,1.3,"$27,093,019",0
146,Eric Paschall,23.0,4.0,15.0,31.3,6.3,12.5,50.0,0.7,2.5,27.1,3.8,4.7,80.9,1.3,3.9,5.2,1.6,1.6,2.1,26.3,2.0,0.0,-6.1,3.9,18.5,0.4,7.4,0.4,12.7,11.5,9.1,9.9,34.2,0.015,21.3,24.8,21.8,11.4,14.1,27.0,28.0,21.9,19.3,9.8,18.0,28.6,17.0,26.3,24.1,79.8,20.2,65.6,11.8,12.1,7.1,14.6,53.9,58.5,41.5,100.0,0.0,63.0,37.0,2.5,1.9,1.2,9.2,11.5,9.1,9.9,34.2,1.1,3.5,566.0,-1.1,-4.9,-6.1,2.8,-6.8,-4.0,-0.4,-5.5,-5.9,-0.9,"$898,310",0
147,John Collins,22.0,2.0,3.0,32.2,6.4,12.2,52.5,1.8,3.8,47.4,2.4,3.4,70.6,2.0,6.8,8.8,1.6,1.4,3.4,37.6,1.0,0.0,-0.8,6.8,29.6,1.0,16.1,2.0,47.6,12.0,10.2,5.8,30.0,0.159,19.4,25.4,21.3,36.0,18.4,20.7,21.3,28.6,29.3,10.7,12.1,28.6,23.0,21.1,25.4,68.9,31.1,54.1,7.1,31.8,8.2,20.0,47.1,56.5,43.5,100.0,0.0,68.8,31.3,3.4,3.2,1.4,8.0,12.0,10.2,5.8,30.0,1.6,3.0,161.0,2.5,0.4,2.9,-5.8,11.4,5.6,1.1,2.5,3.6,0.5,"$2,686,560",0
152,Harrison Barnes,27.0,8.0,10.0,35.1,5.7,11.4,50.0,1.6,4.0,38.9,3.7,4.7,79.8,1.1,3.9,5.0,2.1,1.4,1.3,28.1,0.0,0.0,0.4,3.9,16.4,1.0,18.8,0.2,6.5,12.2,8.4,8.1,35.8,0.10300000000000001,18.1,19.9,18.3,16.5,15.9,31.5,30.9,16.0,16.3,12.3,11.8,22.7,8.4,28.2,21.2,65.0,35.0,49.8,4.0,27.9,6.3,16.6,45.8,45.3,54.7,85.7,14.3,56.3,43.7,2.8,2.1,1.1,7.7,12.2,8.4,8.1,35.8,0.8,4.0,586.0,1.7,-0.2,1.5,3.6,0.9,4.5,2.2,-0.0,2.1,1.5,"$24,147,727",0
162,Hassan Whiteside,30.0,8.0,9.0,27.6,6.0,10.3,58.3,0.0,0.0,0.0,2.8,3.6,75.8,3.6,8.8,12.4,0.9,2.0,2.9,36.8,11.0,0.0,2.0,8.8,42.1,0.4,13.7,2.2,58.7,8.1,8.5,7.8,25.5,0.059000000000000004,20.7,24.8,19.5,0.0,0.0,24.7,28.3,56.4,45.5,8.0,25.0,18.0,25.8,30.9,22.4,100.0,0.0,81.3,9.6,0.0,2.4,14.3,71.7,64.7,35.3,0.0,0.0,64.7,35.3,2.1,4.1,0.4,10.6,8.1,8.5,7.8,25.5,0.6,3.5,439.0,0.0,2.5,2.5,0.9,-2.9,-2.0,0.2,1.6,1.8,1.0,"$27,093,018",0
163,Aron Baynes,32.0,7.0,6.0,24.0,5.5,9.7,56.3,1.9,4.4,43.9,1.8,2.6,70.6,1.5,4.2,5.7,2.9,1.1,3.9,27.8,1.0,0.0,3.4,4.2,23.7,0.3,11.4,0.7,42.9,8.5,7.4,6.8,24.3,0.069,20.1,25.0,21.9,29.4,25.1,19.2,21.8,37.3,26.1,19.1,14.7,25.9,28.5,27.5,24.6,54.8,45.2,48.2,1.0,39.3,2.1,9.9,47.1,78.3,21.7,100.0,0.0,85.9,14.1,1.5,1.5,0.3,6.9,8.5,7.4,6.8,24.3,0.5,3.8,288.0,6.0,0.8,6.7,8.5,2.3,10.8,6.7,1.1,7.8,1.6,"$5,453,280",0
164,Clint Capela,25.0,9.0,6.0,31.9,6.7,10.5,63.7,0.0,0.0,0.0,1.3,2.9,44.2,3.7,10.9,14.7,1.0,1.5,2.9,40.8,11.0,0.0,1.0,10.9,42.8,0.9,14.6,2.0,54.5,13.9,9.3,12.8,34.5,0.107,16.3,24.8,17.5,0.0,0.0,9.7,16.2,48.7,44.2,6.5,13.1,41.2,19.7,18.3,19.1,100.0,0.0,91.3,0.9,0.0,15.5,14.2,90.4,85.0,15.0,0.0,0.0,85.0,15.0,2.1,3.2,2.3,13.2,13.9,9.3,12.8,34.5,1.4,2.6,478.0,-1.3,5.4,4.1,-2.7,-0.2,-2.9,-1.7,4.7,3.0,1.4,"$16,456,522",0
165,Al Horford,33.0,12.0,6.0,31.2,5.9,12.2,48.2,1.4,4.0,34.7,1.2,1.8,66.7,1.8,5.2,7.0,4.1,1.2,2.2,33.7,2.0,0.0,4.8,5.2,20.9,1.1,18.6,0.9,24.3,9.8,6.8,7.6,28.6,0.146,19.2,21.5,21.7,18.5,20.7,12.3,13.9,30.0,22.7,22.1,11.1,15.7,14.8,13.9,20.0,67.3,32.7,62.5,20.1,29.0,5.0,14.7,42.5,59.3,40.7,96.0,4.0,67.9,32.1,2.1,1.6,0.7,6.1,9.8,6.8,7.6,28.6,0.4,1.8,530.0,1.0,1.8,2.8,2.6,3.5,6.1,1.3,2.1,3.5,1.7,"$28,000,000",0
166,Thomas Bryant,22.0,6.0,11.0,28.2,5.8,10.2,56.6,0.6,2.0,29.4,2.1,2.8,76.6,2.2,6.3,8.5,2.6,1.4,2.4,31.7,5.0,0.0,-5.2,6.3,34.5,0.5,11.9,1.1,47.4,9.7,7.8,10.2,33.5,-0.024,18.4,21.8,18.5,8.6,10.8,25.2,26.1,39.6,35.7,15.5,16.4,10.4,20.0,22.1,20.9,80.3,19.7,72.7,14.0,12.4,9.5,8.7,58.7,78.4,21.6,90.0,10.0,79.6,20.4,1.2,2.9,1.4,8.4,9.7,7.8,10.2,33.5,0.4,2.5,458.0,-1.2,0.4,-0.7,-1.7,-7.8,-9.5,-1.4,-1.0,-2.3,0.1,"$7,936,508",0
168,Tristan Thompson,28.0,5.0,13.0,31.5,5.9,11.5,51.7,0.2,0.4,42.9,2.1,3.3,61.7,4.1,6.3,10.4,2.3,1.6,2.5,34.7,11.0,0.0,-2.4,6.3,27.0,0.8,20.5,1.2,61.1,12.0,8.4,9.3,35.4,0.077,19.6,23.5,20.2,2.5,2.1,18.2,23.5,58.3,34.2,18.0,15.1,30.5,22.3,23.5,20.6,96.6,3.4,81.9,3.9,3.5,5.5,10.2,78.0,61.5,38.5,33.3,66.7,60.7,39.3,1.4,3.1,0.8,11.0,12.0,8.4,9.3,35.4,1.4,3.2,536.0,-0.8,3.8,3.0,2.9,0.6,3.5,-0.1,3.5,3.4,1.6,"$18,539,130",0
