,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,off_kmean
0,Ante Zizic,22.0,0.0,5.0,13.3,2.0,3.6,55.6,0.0,0.0,0.0,0.8,1.0,80.0,1.0,2.0,3.0,0.0,0.2,1.6,9.4,0.0,0.0,-2.4,2.0,22.2,0.2,14.3,0.2,33.3,3.4,3.6,3.4,14.0,-0.016,13.2,17.9,15.4,0.0,0.0,14.3,12.5,45.5,26.8,0.0,5.3,25.0,29.6,23.3,15.2,100.0,0.0,83.3,0.0,0.0,8.3,16.7,83.3,80.0,20.0,0.0,0.0,80.0,20.0,0.8,1.0,0.4,4.0,3.4,3.6,3.4,14.0,0.4,1.4,64.0,-3.6,-1.4,-4.9,1.6,-8.0,-6.4,-2.7,-2.6,-5.3,-0.1,"$2,281,800 ",0
1,Boban Marjanovic,31.0,5.0,3.0,13.0,3.0,6.0,50.0,0.0,0.1,0.0,1.3,1.5,83.3,1.5,3.1,4.6,0.6,0.9,1.8,14.0,0.0,0.0,5.6,3.1,29.4,0.3,16.7,0.1,11.1,4.9,3.3,4.3,12.0,0.044,23.5,23.1,23.8,0.0,1.3,29.4,30.8,41.4,32.5,9.1,25.0,38.5,29.2,42.5,20.6,97.9,2.1,82.8,3.4,0.0,3.4,10.3,79.3,45.8,54.2,0.0,0.0,45.8,54.2,0.8,2.6,0.3,5.8,4.9,3.3,4.3,12.0,0.6,2.1,104.0,0.2,-2.1,-1.9,13.7,-1.2,12.5,2.6,-2.1,0.5,0.2,"$3,500,000 ",0
9,Chris Silva,23.0,13.0,4.0,10.5,1.6,2.4,67.5,0.0,0.1,0.0,1.1,1.5,69.2,1.9,2.4,4.4,0.7,1.4,2.9,12.3,0.0,0.0,1.8,2.4,30.8,0.2,12.9,0.8,70.0,5.9,3.3,3.4,8.0,0.055,16.8,17.4,12.8,0.0,1.5,31.6,33.8,64.7,40.2,12.8,27.0,36.4,48.5,36.8,17.0,95.0,5.0,75.0,5.6,0.0,0.0,15.3,69.4,63.0,37.0,0.0,0.0,63.0,37.0,0.6,1.5,0.0,2.9,5.9,3.3,3.4,8.0,0.2,1.5,161.0,-2.0,4.1,2.1,3.8,1.6,5.4,-1.1,3.6,2.5,0.4,0,0
13,DaQuan Jeffries,22.0,0.0,2.0,5.4,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,2.4,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.083,3.6,9.1,4.0,0.0,0.0,0.0,0.0,50.0,10.0,14.3,0.0,0.0,16.7,33.3,8.3,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.5,11.0,-0.6,10.8,10.2,-9.2,21.8,12.6,-2.2,13.5,11.3,0.1,0,0
20,Derrick Jones Jr.,22.0,3.0,1.0,14.4,3.0,5.0,60.0,0.3,1.0,25.0,0.8,0.8,100.0,0.8,1.3,2.0,0.5,0.5,2.8,11.9,0.0,0.0,2.8,1.3,10.2,0.8,42.9,0.0,0.0,6.8,4.0,5.5,15.5,0.056,15.5,22.2,18.3,5.6,9.3,10.7,8.6,42.9,14.3,5.9,9.5,25.0,31.4,18.5,18.2,80.0,20.0,78.6,0.0,10.7,7.1,21.4,78.6,81.8,18.2,100.0,0.0,83.3,16.7,1.5,1.0,0.5,5.5,6.8,4.0,5.5,15.5,0.3,1.3,57.0,-1.3,4.1,2.8,4.6,-2.3,2.3,-0.3,3.0,2.8,0.2,"$1,645,357 ",0
29,Harry Giles III,21.0,3.0,4.0,7.4,1.6,3.6,44.0,0.0,0.0,0.0,0.3,0.3,100.0,0.4,0.6,1.0,0.7,0.7,1.9,7.1,0.0,0.0,-3.7,0.6,14.8,0.3,20.0,0.4,42.9,2.0,1.3,1.9,6.9,0.008,27.0,29.7,28.1,0.0,0.0,16.7,11.8,37.5,20.0,21.7,29.4,20.0,39.4,23.8,25.3,100.0,0.0,91.7,33.3,0.0,8.3,25.0,58.3,81.8,18.2,0.0,0.0,81.8,18.2,0.9,0.3,0.3,2.0,2.0,1.3,1.9,6.9,0.1,0.7,52.0,-8.6,-3.4,-12.0,-13.0,-1.5,-14.5,-9.9,-3.2,-13.1,-0.3,"$2,578,800 ",0
32,Jakob Poeltl,24.0,7.0,13.0,17.5,2.4,4.2,57.1,0.0,0.0,0.0,0.8,1.4,57.1,2.2,3.6,5.8,1.4,1.0,1.8,18.7,1.0,0.0,2.4,3.6,28.3,0.5,21.3,1.2,50.0,4.5,4.2,4.6,15.9,0.055,13.4,14.3,12.2,0.0,0.0,14.2,19.6,50.0,33.9,14.2,20.2,28.9,26.7,23.3,13.1,100.0,0.0,85.7,1.8,0.0,11.6,12.5,83.9,75.0,25.0,0.0,0.0,75.0,25.0,0.7,1.7,0.7,4.7,4.5,4.2,4.6,15.9,0.6,1.7,334.0,0.2,4.5,4.8,7.5,1.7,9.2,1.6,4.4,6.0,1.5,"$3,754,886 ",0
33,Jalen McDaniels,21.0,0.0,1.0,2.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.015,28.6,50.0,33.3,0.0,0.0,0.0,0.0,50.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,12.7,-24.4,-11.7,4.5,-6.0,-1.6,12.0,-22.2,-10.2,0.0,0,0
36,Jaren Jackson Jr.,20.0,5.0,12.0,26.8,5.5,12.1,45.4,2.1,5.1,40.2,2.1,2.6,79.5,1.4,3.6,5.0,1.4,1.8,3.9,25.9,1.0,0.0,-7.5,3.6,18.8,0.5,11.9,1.1,40.0,11.8,8.6,9.4,27.3,0.004,23.1,23.8,23.8,29.4,26.9,28.7,27.3,24.7,20.1,9.1,19.1,33.3,28.8,30.2,25.1,57.6,42.4,45.3,2.3,41.0,8.2,7.8,43.0,69.0,31.0,88.6,11.4,76.3,23.7,1.2,2.3,1.2,6.5,11.8,8.6,9.4,27.3,1.2,3.2,425.0,-0.7,-1.4,-2.1,0.5,-10.2,-9.7,-0.5,-3.0,-3.5,-0.2,"$6,927,480 ",0
41,Jonas Valanciunas,27.0,5.0,13.0,24.6,5.7,10.3,55.4,0.6,1.7,33.3,1.6,1.8,84.8,2.6,7.2,9.8,1.9,2.2,2.6,29.5,11.0,0.0,-3.8,7.2,37.7,0.3,8.3,0.9,38.1,10.7,6.0,7.4,24.8,0.058,21.6,27.2,22.1,10.0,11.1,21.2,19.8,43.1,39.0,14.6,23.5,17.9,24.9,19.4,24.6,83.9,16.1,76.2,4.1,12.3,7.0,12.3,72.1,54.8,45.2,100.0,0.0,59.2,40.8,1.7,3.5,0.9,9.8,10.7,6.0,7.4,24.8,0.7,1.8,412.0,-1.3,1.0,-0.3,-1.5,0.8,-0.6,-1.4,1.1,-0.3,0.5,"$16,000,000 ",0
