,Player,Age,W,L,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,PF,FP,DD2,TD3,+/-,DEF_RTG,DREB%,T_DREB%,STL,T_STL%,BLK,T_BLK%,OP_TOV,OP_2NDPTS,OP_PAINT,DEF_WS,USG%,T_FGM%,T_FGA%,T_3PM%,T_3PA%,T_FTM%,T_FTA%,T_OREB%,T_REB%,T_AST%,T_TOV%,T_BLKA%,T_PF%,T_PFD%,T_PTS%,FGA_2P%,FGA_3P%,2PT%,2PT_MR%,3PT%,FBPTS%,OFFTOV%,PAINTPTS%,AST_2FGM%,UAST_2FGM%,AST_3FGM%,UAST_3FGM%,FGM_AST%,FGM_UAST%,PTS_TOV,2ND_CH_PTS,FB_PTS,PAINT_PTS,OPP_PTS_TOV,OPP_2ND_PTS,OPP_FBPTS,OPP_PAINT_PTS,BLKA,PFD,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,salary,off_kmean
4,Brian Bowen II,21.0,2.0,1.0,3.2,0.3,1.3,25.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,2.1,0.0,0.0,1.0,0.3,12.5,0.0,0.0,0.3,50.0,0.0,0.0,0.7,2.0,0.016,16.0,10.0,20.0,0.0,20.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,20.0,8.7,75.0,25.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,2.0,0.0,0.3,10.0,-7.6,7.4,-0.2,-1.1,0.8,-0.3,-6.7,6.5,-0.2,0.0,0,1
5,CJ Miles,32.0,4.0,6.0,16.1,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2.0,75.0,0.4,0.8,1.2,1.2,0.4,1.4,13.4,0.0,0.0,-0.8,0.8,7.5,1.0,40.0,0.4,22.2,6.1,4.1,3.7,16.8,0.016,16.9,12.6,17.7,24.4,25.2,23.4,26.7,10.8,8.4,12.8,9.1,12.5,16.5,18.7,15.6,40.7,59.3,25.0,3.1,51.6,14.1,18.8,21.9,75.0,25.0,90.9,9.1,84.2,15.8,1.2,1.3,0.9,1.4,6.1,4.1,3.7,16.8,0.2,1.4,161.0,1.2,-0.3,0.9,0.1,-6.6,-6.5,1.0,-1.4,-0.4,0.2,"$8,730,158 ",1
6,Charles Brown Jr.,22.0,0.0,4.0,4.1,0.3,0.8,33.3,0.3,0.3,100.0,1.0,1.0,100.0,0.5,0.3,0.8,0.0,0.0,0.0,3.4,0.0,0.0,2.5,0.3,10.0,0.0,0.0,0.3,100.0,0.0,0.8,0.0,1.5,0.045,12.2,9.1,11.5,25.0,11.1,36.4,25.0,50.0,21.4,0.0,0.0,0.0,0.0,30.0,18.9,66.7,33.3,0.0,0.0,42.9,28.6,28.6,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.5,0.0,0.5,0.0,0.0,0.8,0.0,1.5,0.0,0.8,16.0,2.7,7.3,10.0,3.3,12.6,15.9,3.0,8.8,11.8,0.1,0,1
7,Chris Chiozza,24.0,1.0,3.0,10.5,0.5,2.8,18.2,0.5,1.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8,1.0,1.5,7.3,0.0,0.0,1.5,1.0,12.1,0.5,33.3,0.5,50.0,3.5,1.5,2.0,8.0,0.13699999999999998,14.0,7.1,14.1,15.4,10.0,0.0,0.0,0.0,10.0,38.9,19.0,40.0,22.2,11.1,7.7,63.6,36.4,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.8,0.0,3.5,1.5,2.0,8.0,0.5,0.5,37.0,-4.9,6.2,1.3,-18.8,23.2,4.4,-7.8,9.7,2.0,0.1,0,1
8,Chris Clemons,22.0,9.0,4.0,8.9,1.8,4.0,46.2,1.4,3.3,41.9,0.2,0.3,75.0,0.2,0.5,0.7,0.5,0.5,0.9,7.3,0.0,0.0,0.2,0.5,8.0,0.2,15.4,0.2,14.3,3.2,3.0,2.0,8.6,0.032,21.4,25.8,24.4,43.9,33.3,7.3,7.8,8.7,8.1,12.0,17.1,16.7,21.8,14.6,25.7,17.3,82.7,17.4,2.9,78.3,10.1,18.8,14.5,0.0,100.0,66.7,33.3,50.0,50.0,1.0,0.5,0.5,0.8,3.2,3.0,2.0,8.6,0.2,0.5,101.0,3.1,1.9,5.0,-2.1,0.3,-1.8,2.3,1.7,4.0,0.4,0,1
10,Dzanan Musa,20.0,8.0,6.0,16.3,1.8,5.4,33.3,0.5,2.7,18.4,1.4,1.9,73.1,0.5,2.4,2.9,1.1,1.5,0.9,10.9,0.0,0.0,-3.5,2.4,19.0,0.5,21.9,0.1,3.4,7.8,5.0,6.5,14.7,0.051,19.1,14.4,18.0,15.6,22.2,20.4,20.8,17.5,18.7,13.9,25.6,30.4,12.7,23.1,15.6,49.3,50.7,47.4,0.0,27.6,14.5,21.1,47.4,66.7,33.3,85.7,14.3,72.0,28.0,1.1,0.8,0.8,2.6,7.8,5.0,6.5,14.7,0.5,1.8,211.0,-4.5,1.2,-3.3,-8.5,0.7,-7.9,-5.5,1.2,-4.3,-0.2,"$1,911,600 ",1
11,Damion Lee,27.0,2.0,9.0,21.9,3.2,8.3,38.5,1.1,3.2,34.3,2.5,3.0,84.8,0.8,3.1,3.9,1.8,1.2,1.6,18.4,1.0,0.0,-1.8,3.1,18.4,0.7,20.5,0.0,0.0,9.4,6.9,7.1,21.5,0.048,18.8,18.5,20.1,23.5,22.6,21.2,21.7,14.8,17.5,18.9,17.1,18.5,21.2,28.1,19.6,61.5,38.5,41.8,10.9,32.7,21.8,19.1,30.9,60.9,39.1,91.7,8.3,71.4,28.6,1.9,1.3,2.2,3.1,9.4,6.9,7.1,21.5,0.5,3.3,241.0,-0.2,-0.8,-1.0,-1.5,0.4,-1.2,-0.4,-0.6,-1.0,0.2,0,1
12,Danuel House Jr.,26.0,9.0,5.0,29.7,3.9,8.3,47.4,2.6,5.8,44.4,1.9,2.4,79.4,1.1,3.4,4.6,1.1,0.9,2.0,24.6,0.0,0.0,4.9,3.4,15.0,1.3,23.4,0.7,18.9,13.9,7.4,9.7,31.0,0.099,13.4,15.4,14.7,27.7,21.0,13.0,12.6,15.4,15.1,7.5,8.8,9.5,14.7,14.4,16.5,30.2,69.8,22.0,1.2,62.4,19.1,15.6,20.8,84.2,15.8,100.0,0.0,94.5,5.5,1.9,1.7,2.4,2.6,13.9,7.4,9.7,31.0,0.3,2.1,416.0,1.1,3.4,4.5,2.7,1.4,4.0,1.4,3.2,4.6,1.6,"$3,540,000 ",1
14,Dario Saric,25.0,8.0,10.0,27.8,3.8,9.2,41.6,1.7,4.7,36.9,1.2,1.4,84.6,1.6,5.4,7.1,2.0,1.4,2.5,25.1,3.0,0.0,2.1,5.4,27.6,1.0,24.7,0.5,25.7,9.9,7.6,6.8,28.2,0.067,16.8,15.9,17.8,21.5,21.9,11.5,11.1,29.3,28.0,12.1,15.9,17.9,19.1,13.4,15.9,49.4,50.6,39.8,4.2,48.7,8.4,16.2,35.6,71.1,28.9,96.8,3.2,82.6,17.4,1.7,0.4,0.9,3.8,9.9,7.6,6.8,28.2,0.6,1.9,468.0,-1.3,0.8,-0.5,4.2,-1.1,3.1,-0.4,0.5,0.1,0.7,"$3,481,986 ",1
15,Daryl Macon,24.0,3.0,0.0,4.4,0.3,1.0,33.3,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.3,0.8,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,1.0,2.7,0.066,17.2,12.5,16.7,33.3,25.0,0.0,0.0,0.0,0.0,12.5,25.0,0.0,20.0,0.0,13.6,33.3,66.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,1.0,2.7,0.0,0.0,13.0,-9.5,-0.2,-9.7,-13.3,22.7,9.4,-10.7,4.1,-6.7,0.0,0,1
