,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,cluster
238,Danny Green,SG,32,LAL,16,16,410,5.8,12.9,0.45,4,9.2,0.43,1.9,3.7,0.5,0.9,1.3,0.727,1.3,4.9,6.2,2.4,2.6,0.9,2.1,4.8,16.5,112,102,https://www.basketball-reference.com/players/g/greenda02.html,12.2,0.613,0.712,0.099,3,11.1,7.1,6.7,2.6,1.7,13.4,13.9,0.4,0.7,1.1,0.131,1,1.6,2.6,0.5,"$14,634,146 ",Lakers,410,0.7,2.7,3.4,2.8,0,2.9,1,2.3,3.4,1.3,5
239,Draymond Green,PF,29,GSW,10,10,296,5.3,13.9,0.379,1.3,4.8,0.267,4,9.1,0.439,2.1,2.7,0.765,1,10.8,11.8,8.6,1.9,0.8,2.7,3.8,13.9,99,112,https://www.basketball-reference.com/players/g/greendr01.html,12.3,0.46,0.345,0.195,2.1,25,13.4,26,1.9,1.5,15.2,15.8,0,0.2,0.2,0.025,-2.3,0.6,-1.7,0,"$18,539,130 ",Warriors,296,-2.2,-1.5,-3.7,-3.2,0.2,-3,-2.5,-1.1,-3.6,-0.1,6
240,JaMychal Green,PF,29,LAC,17,0,376,5.5,13.5,0.407,3.4,9,0.375,2.1,4.5,0.472,1.8,2.1,0.824,3,11.8,14.8,0.8,1.3,0.6,2.1,5.4,16.1,108,103,https://www.basketball-reference.com/players/g/greenja01.html,11.6,0.555,0.66,0.16,7.2,25.5,16.6,2.3,1.3,1.3,13,15.1,0.2,0.6,0.8,0.115,-1.3,-0.4,-1.7,0,"$4,767,000 ",Clippers,376,-1.2,-0.6,-1.8,-0.6,3.7,3.1,-1.2,0.1,-1.1,0.3,6
241,Javonte Green,SF,26,BOS,10,0,71,10.1,18.9,0.536,1.3,5.4,0.25,8.8,13.5,0.65,1.3,3.4,0.4,1.3,4.7,6.1,2,2.7,0,0.7,6.7,22.9,112,104,https://www.basketball-reference.com/players/g/greenja02.html,15,0.563,0.286,0.179,2.9,9.9,6.4,6.9,2.7,0,3.2,18.7,0.1,0.1,0.2,0.138,-0.5,-0.6,-1,0,"$898,310 ",Celtics,71,0.4,-1.7,-1.3,2,-8.1,-6.1,0.6,-2.9,-2.3,0,1
242,Jeff Green,PF,33,UTA,16,1,307,5.3,15.7,0.337,3,8.7,0.339,2.3,7,0.333,5.1,6.5,0.786,0.8,5.9,6.7,1.7,1.1,1.4,3.1,4.5,18.7,93,103,https://www.basketball-reference.com/players/g/greenje02.html,8.3,0.502,0.554,0.416,1.8,12.7,7.5,5.4,1.1,2.5,14.3,19.7,-0.2,0.5,0.3,0.044,-3.7,0.9,-2.8,-0.1,"$2,564,753 ",Jazz,307,-3.6,-1.9,-5.5,-5.7,-2.5,-8.1,-4.1,-2.2,-6.3,-0.5,6
243,Blake Griffin,PF,30,DET,4,4,116,10.3,25.6,0.403,2.1,9.5,0.217,8.3,16.1,0.513,9.5,11.2,0.852,2.5,6.2,8.7,6.6,0.8,0.8,5.8,2.5,32.3,101,113,https://www.basketball-reference.com/players/g/griffbl01.html,17.1,0.528,0.371,0.435,6,14.8,10.5,23.3,0.8,1.4,15.9,32.7,0,0.1,0.1,0.04,-0.2,-2.6,-2.8,0,"$34,234,964 ",Pistons,116,0,-2,-2,2.4,-6.6,-4.2,0.4,-2.9,-2.5,0,2
244,Marko Guduric,SG,24,MEM,15,0,254,5.6,15.4,0.365,2.2,7.1,0.308,3.4,8.3,0.413,1.3,1.3,1,1.6,4.5,6.2,4.5,0.9,0.7,2.9,2.7,14.7,92,115,https://www.basketball-reference.com/players/g/gudurma01.html,7.6,0.46,0.459,0.082,3.8,10.6,7.2,13.3,0.9,1.4,15.4,17,-0.2,0,-0.2,-0.03,-3.4,-1.8,-5.2,-0.2,"$2,625,000 ",Grizzlies,254,-2.6,-2.3,-4.9,-2.6,-1.5,-4.1,-2.7,-2.2,-4.9,-0.3,3
245,Rui Hachimura,PF,21,WAS,14,14,375,9.7,19.4,0.5,0.6,2.8,0.217,9.1,16.6,0.548,2.2,2.7,0.818,3.1,6,9.1,2.7,1.4,0.1,1.7,3.3,22.3,111,117,https://www.basketball-reference.com/players/h/hachiru01.html,15.4,0.544,0.139,0.132,7.5,14.1,10.7,8.1,1.3,0.2,7.5,20,0.5,0,0.5,0.069,-0.1,-2.4,-2.5,0,"$4,469,160 ",Wizards,375,-0.9,-5,-5.9,-0.4,-9,-9.4,-0.9,-5.8,-6.8,-0.8,2
246,James Harden,SG,30,HOU,17,17,634,12.9,29.5,0.436,5.7,16.8,0.338,7.2,12.7,0.565,14.9,17.3,0.863,1.1,6.4,7.5,9.8,2,0.6,6.7,4,46.3,119,109,https://www.basketball-reference.com/players/h/hardeja01.html,30.9,0.627,0.566,0.597,2.4,13.9,8.1,38.5,2.1,1.1,15.1,39.3,2.8,0.6,3.4,0.278,10.9,-0.7,10.2,1.8,"$37,800,000 ",Rockets,634,10.8,-0.4,10.4,2.5,9.5,12,10,1.2,11.2,4.5,0
247,Maurice Harkless,SF,26,LAC,17,7,386,5,9.9,0.506,1,2.8,0.348,4,7.1,0.569,0.9,1.5,0.583,1.7,4.6,6.3,2.4,2.1,1.5,2.2,6.3,11.8,105,104,https://www.basketball-reference.com/players/h/harklma01.html,9.5,0.571,0.273,0.156,3.8,9.7,6.8,7.1,2.2,3,17.9,11.4,0.1,0.6,0.7,0.09,-1.4,3.1,1.7,0.3,"$11,511,234 ",Clippers,386,-3.2,-0.1,-3.3,-3.6,0.5,-3.1,-3.5,0,-3.5,-0.2,1
