,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,cluster
268,Justin Holiday,SG,30,IND,15,2,389,4.8,12.7,0.382,2.7,8.2,0.333,2.1,4.5,0.472,2.1,2.6,0.81,0.9,6.5,7.3,3.4,1.5,1.2,1.1,3.9,14.5,110,103,https://www.basketball-reference.com/players/h/holidju01.html,10.9,0.526,0.647,0.206,1.9,14.4,8.2,9,1.5,2.3,7.5,13.3,0.3,0.6,0.9,0.117,-0.5,2,1.5,0.3,"$4,767,000 ",Pacers,389,0.1,2.2,2.3,-4.5,2.2,-2.3,-0.6,2.3,1.6,0.9,5
269,Rondae Hollis-Jefferson,SF,25,TOR,8,0,170,8,13.9,0.58,0,0.6,0,8,13.3,0.604,3.9,5.5,0.7,6.4,7.2,13.6,3.3,2.2,0.8,3,5.8,20,121,102,https://www.basketball-reference.com/players/h/holliro01.html,18.6,0.612,0.04,0.4,14.9,14.6,14.7,10.5,2.2,1.6,15.8,17.5,0.4,0.3,0.7,0.199,1.3,2.4,3.7,0.2,"$2,500,000 ",Raptors,170,2.1,0.5,2.6,-0.9,5.1,4.2,1.7,1.2,2.9,0.5,9
270,Richaun Holmes,C,26,SAC,15,11,410,8.8,13.4,0.661,0,0,0,8.8,13.4,0.661,3.2,4.1,0.794,4.5,10.4,14.9,1.4,1.3,2.7,1.9,7.3,20.9,132,108,https://www.basketball-reference.com/players/h/holmeri01.html,19.8,0.679,0,0.311,11.1,24.7,17.7,4.7,1.2,4.8,11.4,15.3,1.1,0.4,1.4,0.185,0.9,1.3,2.3,0.4,"$4,767,000 ",Kings,410,-0.6,1.2,0.6,7.1,4.2,11.4,0.7,1.8,2.4,1.1,4
271,Rodney Hood,SF,27,POR,15,15,457,6.6,12.9,0.512,2.5,5.2,0.49,4.1,7.7,0.526,1.6,2.1,0.762,0.8,4.7,5.5,1.9,1.4,0.4,1.7,3.5,17.4,117,114,https://www.basketball-reference.com/players/h/hoodro01.html,12.3,0.628,0.402,0.165,1.8,10.2,6,5.9,1.4,0.7,11.1,13.9,0.6,0.2,0.8,0.083,0.2,-0.5,-0.3,0.2,"$5,718,000 ",Trail Blazers,457,0.2,-1,-0.8,1,-0.5,0.5,0.4,-0.9,-0.5,0.5,2
272,Al Horford,C,33,PHI,15,15,465,9.2,20.1,0.459,2.2,6.6,0.328,7.1,13.5,0.523,2,3.2,0.645,3,7.9,10.9,6.3,1.6,1.3,1.8,4,22.6,114,103,https://www.basketball-reference.com/players/h/horfoal01.html,18.1,0.527,0.327,0.158,7.1,18.2,12.7,19.5,1.6,2.4,7.9,20.6,0.8,0.7,1.6,0.161,1.8,1.6,3.4,0.6,"$28,000,000 ",76ers,465,0.6,1.8,2.4,2.8,3.5,6.2,1,2.1,3.1,1.4,5
273,Dwight Howard,C,34,LAL,16,0,325,6.6,8.8,0.75,0,0,0,6.6,8.8,0.75,3.5,6.3,0.558,5.6,12.3,17.9,2.2,0.9,3.7,2.8,9.4,16.8,129,98,https://www.basketball-reference.com/players/h/howardw01.html,18.4,0.722,0,0.717,13,28.1,20.6,6.2,0.9,6.9,19.4,12.8,0.8,0.7,1.5,0.225,-0.3,4.3,4,0.5,"$2,564,753 ",Lakers,325,0.9,2.4,3.3,3.3,-0.8,2.5,1.4,1.9,3.3,1,4
274,Dwight Howard,C,34,LAL,16,0,325,6.6,8.8,0.75,0,0,0,6.6,8.8,0.75,3.5,6.3,0.558,5.6,12.3,17.9,2.2,0.9,3.7,2.8,9.4,16.8,129,98,https://www.basketball-reference.com/players/h/howardw01.html,18.4,0.722,0,0.717,13,28.1,20.6,6.2,0.9,6.9,19.4,12.8,0.8,0.7,1.5,0.225,-0.3,4.3,4,0.5,"$3,039,097 ",Lakers,325,0.9,2.4,3.3,3.3,-0.8,2.5,1.4,1.9,3.3,1,4
275,Kevin Huerter,SG,21,ATL,10,3,225,6.7,15.6,0.427,3.5,9.2,0.386,3.1,6.5,0.484,2.5,3.1,0.8,1.2,6,7.3,5.8,1.2,0.6,3.5,4.4,19.4,107,116,https://www.basketball-reference.com/players/h/huertke01.html,12.5,0.57,0.587,0.2,3,14.4,8.7,18.2,1.2,1.2,17.2,18.2,0.2,0,0.2,0.042,0.1,-2.4,-2.2,0,"$2,636,280 ",Hawks,225,-0.7,-5.1,-5.8,-3.7,-1.4,-5.1,-1.2,-4.6,-5.8,-0.4,2
276,De'Andre Hunter,SF,22,ATL,16,16,491,6.9,16.4,0.419,2.6,6.7,0.386,4.3,9.7,0.441,2.8,3.7,0.744,0.8,5.5,6.3,2.8,1,0.4,2.4,3.7,19.1,101,117,https://www.basketball-reference.com/players/h/huntede01.html,9.9,0.529,0.407,0.227,1.8,13.2,7.5,8.7,1,0.8,11.7,18.1,0.1,0,0.1,0.007,-1.7,-2.6,-4.4,-0.3,"$7,068,360 ",Hawks,491,-1.6,-2.6,-4.2,6.4,-0.3,6.1,-0.3,-2.3,-2.6,0,2
277,Chandler Hutchison,SF,23,CHI,7,5,144,5.8,13.6,0.429,1.3,3.6,0.364,4.5,10.1,0.452,5.8,8.4,0.692,0.3,9.4,9.7,2.6,1.3,0.6,3.2,3.9,18.8,98,107,https://www.basketball-reference.com/players/h/hutchch01.html,10.4,0.543,0.262,0.619,0.7,21.7,10.8,8.1,1.3,1.3,15.8,18.1,0,0.2,0.1,0.05,-4.7,0,-4.8,-0.1,"$2,332,320 ",Bulls,144,-1,2.3,1.3,-6.6,3,-3.6,-1.9,2.5,0.6,0.2,6
278,Serge Ibaka,C,30,TOR,8,0,183,11.3,21.6,0.524,1.3,4.1,0.313,10,17.5,0.574,4.9,5.9,0.826,1.8,11.6,13.4,1.5,1.3,2.6,4.4,4.9,28.8,102,99,https://www.basketball-reference.com/players/i/ibakase01.html,18.2,0.595,0.19,0.274,4.2,23.5,14.5,5.5,1.3,4.8,15.3,25.9,0.1,0.4,0.5,0.118,-3.4,1.5,-1.9,0,"$23,271,604 ",Raptors,183,-2.2,3,0.8,-5.8,-0.1,-5.9,-3,2.6,-0.4,0.2,1
279,Joe Ingles,SF,32,UTA,16,1,441,3.7,11.2,0.33,2.2,7.5,0.29,1.5,3.7,0.412,1.5,1.9,0.778,0.5,7.1,7.7,6.1,1.1,0.2,2.7,4.1,11,94,104,https://www.basketball-reference.com/players/i/inglejo01.html,6.9,0.46,0.67,0.175,1.3,15.4,8.7,18.1,1.1,0.4,18.4,13.4,-0.2,0.7,0.5,0.054,-2.5,1.9,-0.6,0.2,"$11,954,546 ",Jazz,441,-2.9,-1.6,-4.5,-6,1,-5,-3.5,-1.2,-4.7,-0.4,6
280,Brandon Ingram,PF,22,NOP,13,13,428,13.4,26.4,0.506,3.6,7.9,0.459,9.7,18.5,0.526,5.9,7.6,0.775,1.4,8.5,9.9,5.9,1.2,1.3,4.3,4.1,36.2,114,113,https://www.basketball-reference.com/players/i/ingrabr01.html,23.9,0.618,0.298,0.302,2.9,20.6,11.4,21.6,1.3,2.4,13,30.2,1,0.2,1.2,0.151,3.7,-0.7,3,0.5,"$7,265,485 ",Pelicans,428,3.1,-2.2,0.8,0.2,-3.8,-3.5,2.7,-2.5,0.2,0.7,7
281,Kyrie Irving,PG,27,BRK,11,11,372,13.9,31.3,0.444,3.9,11.3,0.341,10.1,20,0.503,7.3,7.8,0.937,1.2,6.1,7.3,9.8,1.5,0.7,3.2,4,39,117,110,https://www.basketball-reference.com/players/i/irvinky01.html,26.2,0.561,0.361,0.25,2.8,13.4,8.2,39.4,1.5,1.3,8.5,33.6,1.3,0.3,1.6,0.208,7.3,-0.8,6.6,0.8,"$31,742,000 ",Nets,372,7.1,-3.7,3.4,3.3,-5.8,-2.4,6.9,-4.2,2.7,1,7
282,Jonathan Isaac,SF,22,ORL,13,13,399,8,16,0.5,2.2,6,0.367,5.8,10,0.58,3.2,3.8,0.839,2.6,9,11.6,2.7,2.3,4.4,2.3,3.9,21.4,115,99,https://www.basketball-reference.com/players/i/isaacjo01.html,20.4,0.606,0.377,0.238,5.3,20.2,12.4,8.9,2.3,7.9,11.7,17.6,0.6,0.9,1.5,0.18,0.5,5.5,6,0.8,"$5,806,440 ",Magic,399,1.6,5.1,6.7,1.5,4.1,5.5,1.7,5.2,6.8,2,5
283,Frank Jackson,PG,21,NOP,16,1,269,8.2,21.1,0.387,3.2,10,0.322,4.9,11.1,0.446,4.1,5.1,0.8,0.9,3.6,4.4,3.2,1.4,0.2,2.9,5.1,23.6,99,117,https://www.basketball-reference.com/players/j/jacksfr01.html,10.7,0.518,0.483,0.254,2,8.5,5.1,10.5,1.4,0.3,11.5,23.2,0,0,0.1,0.012,-1.6,-3.8,-5.4,-0.2,"$1,618,520 ",Pelicans,269,-1,-6.6,-7.5,1.6,-7.2,-5.7,-0.6,-6.9,-7.6,-0.7,3
284,Justin Jackson,PF,24,DAL,15,0,207,8.3,17.4,0.48,3.9,8.8,0.447,4.4,8.6,0.514,2.1,2.5,0.818,1.6,6.7,8.3,1.4,0.5,0.5,0.9,3.9,22.7,123,112,https://www.basketball-reference.com/players/j/jacksju01.html,15.5,0.626,0.507,0.155,3.8,13.9,9,4.4,0.5,0.8,5,17.2,0.5,0.1,0.6,0.145,1.3,-2.9,-1.6,0,"$3,280,920 ",Mavericks,207,0.7,-4.4,-3.7,2.2,-2,0.2,0.9,-4.3,-3.4,-0.1,2
285,Reggie Jackson,PG,29,DET,2,2,36,5.3,14.7,0.364,1.3,6.7,0.2,4,8,0.5,1.3,1.3,1,1.3,5.3,6.7,10.7,0,0,1.3,2.7,13.3,112,116,https://www.basketball-reference.com/players/j/jacksre01.html,11,0.437,0.455,0.091,3.2,12.8,8,31.9,0,0,8,14.9,0,0,0,0.065,-1.2,-4,-5.2,0,"$18,086,956 ",Pistons,36,-2.8,-1.4,-4.2,-9.6,9.5,-0.1,-4.1,0.4,-3.7,0,8
286,Justin James,SG,23,SAC,6,0,64,9.2,19.9,0.462,2.3,6.9,0.333,6.9,13,0.529,0.8,4.6,0.167,0,4.6,4.6,3.8,1.5,1.5,1.5,3.1,21.4,98,112,https://www.basketball-reference.com/players/j/jamesju01.html,12.4,0.449,0.304,0.261,0,12.3,6,14,2,3.9,7.2,24.9,-0.1,0,0,-0.027,-4,-1.2,-5.2,0,"$898,310 ",Kings,64,-4,-3.6,-7.6,-14.1,10.9,-3.2,-5.9,-1.3,-7.2,-0.1,3
287,LeBron James,PG,35,LAL,16,16,563,13.1,26.9,0.489,2.5,7.6,0.333,10.6,19.3,0.551,5.3,7.6,0.708,1.4,9,10.4,14.7,1.8,0.8,4.8,2,34.2,116,102,https://www.basketball-reference.com/players/j/jamesle01.html,27.2,0.566,0.284,0.281,3.2,20.4,11.9,50.7,1.8,1.4,13.6,31.1,1.9,1,2.9,0.246,6.8,2.3,9.1,1.6,"$37,436,858 ",Lakers,563,7.5,0.3,7.8,12.4,3.2,15.6,8.6,0.7,9.3,3.5,0
289,Alize Johnson,SF,23,IND,5,0,32,7.6,13.6,0.556,0,0,0,7.6,13.6,0.556,4.5,6,0.75,9.1,9.1,18.1,3,0,0,1.5,6,19.6,134,107,https://www.basketball-reference.com/players/j/johnsal02.html,19.4,0.604,0,0.444,20.3,20.1,20.2,8.8,0,0,8.5,15.8,0.1,0,0.2,0.232,1.6,-1.2,0.5,0,"$1,416,852 ",Pacers,32,7.4,-3,4.5,16.7,-8.3,8.4,9.4,-4,5.4,0.1,9
290,Cameron Johnson,PF,23,PHO,14,0,261,7.3,17.6,0.418,4.8,11.8,0.409,2.5,5.7,0.438,2.5,2.7,0.933,1.8,5,6.8,1.8,1.4,0.7,1.6,4.3,22,111,108,https://www.basketball-reference.com/players/j/johnsca02.html,14.5,0.599,0.659,0.165,4.5,13,8.7,5.6,1.5,1.5,7.6,18.6,0.3,0.3,0.6,0.128,1.4,-0.9,0.6,0.2,"$4,033,440 ",Suns,261,0.2,-0.9,-0.7,-6.9,2.3,-4.6,-1,-0.4,-1.4,0.2,2
291,James Johnson,PF,32,MIA,5,0,60,6.3,14.2,0.444,1.6,7.1,0.222,4.7,7.1,0.667,1.6,3.2,0.5,1.6,6.3,7.9,3.2,2.4,1.6,2.4,3.2,15.8,98,101,https://www.basketball-reference.com/players/j/johnsja01.html,11.5,0.506,0.5,0.222,4,14.4,9.5,9.8,2.4,3.2,13.2,16.3,0,0.1,0.1,0.084,-2.7,1.8,-0.9,0,"$15,349,400 ",Heat,60,-1.7,6.8,5.1,11.8,5.8,17.6,0.4,6.9,7.3,0.3,1
294,Tyler Johnson,SG,27,PHO,16,3,326,5.5,14.1,0.388,2.4,7,0.347,3,7,0.429,2,2.6,0.778,0.6,3.7,4.3,5.3,0.7,0.9,2.4,3.6,15.4,99,111,https://www.basketball-reference.com/players/j/johnsty01.html,8.3,0.495,0.489,0.17,1.4,9.3,5.3,15.3,0.7,1.7,12.9,15.8,0,0.3,0.3,0.039,-2.6,-0.5,-3,-0.1,"$19,245,370 ",Suns,326,-3.2,-2.4,-5.6,-12.5,0.5,-12,-4.9,-2,-6.9,-0.7,8
295,Damian Jones,C,24,ATL,15,7,267,7.2,10.5,0.683,0.4,0.7,0.5,6.8,9.8,0.696,2.8,3.7,0.762,4,5.1,9.1,2.1,1.6,2.3,1.8,8.1,17.5,136,114,https://www.basketball-reference.com/players/j/jonesda03.html,17,0.722,0.067,0.35,9.6,12.1,10.9,6.7,1.6,4.5,12.6,12.3,0.7,0.1,0.8,0.149,1.5,0.6,2.1,0.3,"$2,305,057 ",Hawks,267,-0.9,-2.9,-3.8,1.5,-7.8,-6.4,-0.5,-3.8,-4.3,-0.2,9
296,Tyus Jones,PG,23,MEM,15,1,304,6.1,15.6,0.388,0.8,4.2,0.179,5.3,11.4,0.467,2,2.9,0.684,0,3,3,11.7,2.3,0,3.2,2.4,14.9,98,114,https://www.basketball-reference.com/players/j/jonesty01.html,11.1,0.44,0.272,0.184,0,7.1,3.5,34.7,2.3,0,15.9,18,0,0.1,0.1,0.008,-3.2,-3.7,-6.9,-0.4,"$8,408,000 ",Grizzlies,304,-1.3,-3.4,-4.6,-0.3,-3,-3.2,-1.1,-3.4,-4.6,-0.3,3
297,DeAndre Jordan,C,31,BRK,15,3,319,6.7,10,0.667,0,0,0,6.7,10,0.667,3,4.8,0.636,4.8,15.1,19.9,4.5,0.9,2.5,2.2,4.9,16.4,133,104,https://www.basketball-reference.com/players/j/jordade01.html,20.3,0.672,0,0.47,10.8,33.9,22.6,14.3,0.9,4.2,15,12.7,0.8,0.5,1.3,0.211,0.1,3.7,3.8,0.4,"$9,881,598 ",Nets,319,-0.1,0,-0.1,-3.9,-2.7,-6.6,-0.8,-0.4,-1.2,0.2,4
298,Cory Joseph,PG,28,SAC,15,6,341,5,13.6,0.368,0.6,3.3,0.174,4.4,10.3,0.431,1.7,1.7,1,1.3,4,5.3,7.9,1.3,1.3,2.7,4.9,12.3,98,113,https://www.basketball-reference.com/players/j/josepco01.html,8.4,0.421,0.259,0.141,3.3,10.1,6.6,23.2,1.1,2.8,17.4,15.5,-0.1,0.1,0,0.002,-3.5,-0.3,-3.8,-0.1,"$12,000,000 ",Kings,341,-2.4,-0.1,-2.5,-2.7,-4.1,-6.9,-2.6,-0.7,-3.4,-0.1,8
300,Frank Kaminsky,C,26,PHO,16,4,384,6.8,16.6,0.412,2.2,7.3,0.3,4.6,9.3,0.5,4.8,6.7,0.709,1.7,9,10.7,4.1,0.5,0.7,2.4,4,20.6,105,108,https://www.basketball-reference.com/players/k/kaminfr01.html,12.2,0.53,0.442,0.419,3.8,21.6,12.6,12.3,0.4,1.4,11.6,20,0.2,0.4,0.6,0.078,-1.7,-0.1,-1.8,0,"$4,767,000 ",Suns,384,-2.6,-2.3,-4.8,-6.3,-0.6,-7,-3.3,-2.1,-5.5,-0.5,6
301,Enes Kanter,C,27,BOS,8,2,121,8.3,13.8,0.6,0,0.4,0,8.3,13.4,0.618,5.1,8.3,0.619,6.7,11.1,17.8,2.8,1.6,1.6,2.8,4,21.7,123,100,https://www.basketball-reference.com/players/k/kanteen01.html,21.7,0.622,0.029,0.6,14.3,23.2,18.8,8.9,1.6,3,13.7,18,0.3,0.2,0.6,0.223,0,2.4,2.4,0.1,"$4,767,000 ",Celtics,121,0.9,-1.1,-0.1,2,0.2,2.3,1.1,-1,0.2,0.2,4
302,Luke Kennard,SG,23,DET,16,13,542,7.7,18.1,0.424,3.5,9.6,0.37,4.2,8.6,0.485,4.2,4.7,0.887,0.4,4.9,5.2,6.3,0.7,0.2,2.2,3.2,23.1,116,115,https://www.basketball-reference.com/players/k/kennalu01.html,14.5,0.572,0.527,0.259,0.9,11.6,6.3,20.2,0.7,0.3,9.9,20.2,1,0.1,1.2,0.104,2,-2.8,-0.8,0.2,"$3,827,160 ",Pistons,542,2.8,-3.2,-0.5,4,-4.6,-0.6,3.1,-3.6,-0.5,0.6,2
305,Maxi Kleber,C,28,DAL,15,5,391,5.4,12.5,0.431,2.9,8,0.369,2.5,4.5,0.541,2,2.2,0.889,2.6,8,10.5,2.1,0.5,1.5,1.3,3.8,15.7,120,110,https://www.basketball-reference.com/players/k/klebima01.html,12.6,0.565,0.629,0.155,6.2,17.4,12,5.7,0.5,2.7,8,13,0.6,0.3,0.9,0.117,0.5,0.2,0.6,0.2,"$8,000,000 ",Mavericks,391,-0.6,1.4,0.8,-6.6,4.1,-2.5,-1.7,2,0.3,0.6,5
306,Brandon Knight,PG,28,CLE,6,0,76,7,20.3,0.344,5.7,16.5,0.346,1.3,3.8,0.333,1.3,2.5,0.5,0.6,3.8,4.4,7.6,1.3,0,3.8,5.1,21,97,115,https://www.basketball-reference.com/players/k/knighbr03.html,9.6,0.489,0.813,0.125,1.4,8.7,5,24.7,1.3,0,15.1,22.4,0,0,0,-0.007,0.3,-4.1,-3.8,0,"$15,643,750 ",Cavaliers,76,-2.7,-2.6,-5.4,2.7,-11.3,-8.5,-1.9,-4.2,-6.1,-0.1,3
307,Furkan Korkmaz,SG,22,PHI,15,5,345,7,15.9,0.443,3.9,9.9,0.389,3.2,5.9,0.535,1.7,2.1,0.8,0.4,4.1,4.6,1.7,0.6,0.7,1.5,3.6,19.6,110,108,https://www.basketball-reference.com/players/k/korkmfu01.html,10.4,0.584,0.626,0.13,1,9.5,5.3,4.8,0.6,1.2,8.3,16.2,0.3,0.4,0.7,0.093,-0.2,-1.9,-2,0,"$1,620,564 ",76ers,345,-0.1,-2.1,-2.1,-3.9,-6.4,-10.3,-0.7,-2.9,-3.6,-0.2,2
308,Luke Kornet,C,24,CHI,10,0,116,6,17.3,0.349,2,9.3,0.217,4,8.1,0.5,2,2,1,2,5.6,7.6,2.4,0.4,2.8,1.2,4,16.1,96,109,https://www.basketball-reference.com/players/k/kornelu01.html,9.5,0.442,0.535,0.116,4.3,13,8.5,7.6,0.4,5.7,6.2,17.1,0,0.1,0.1,0.031,-3.7,0.5,-3.1,0,"$2,195,122 ",Bulls,116,-5.3,-7.1,-12.4,-0.8,-6.7,-7.6,-4.8,-7.4,-12.2,-0.6,3
309,Kyle Korver,SF,38,MIL,13,0,206,6.1,15.7,0.389,5,12.9,0.39,1.1,2.8,0.385,1.3,1.7,0.75,1.1,3.3,4.4,0.7,1.1,0.9,2.4,2.4,18.6,100,107,https://www.basketball-reference.com/players/k/korveky01.html,9.3,0.563,0.819,0.111,2.5,6.8,4.7,1.9,1.1,1.7,12.7,17.1,0,0.3,0.3,0.06,-0.9,-1.7,-2.6,0,"$3,440,000 ",Bucks,206,-1.3,0.1,-1.2,-4.6,-3.5,-8.1,-2,-0.6,-2.5,0,8
310,Kyle Korver,SF,38,MIL,13,0,206,6.1,15.7,0.389,5,12.9,0.39,1.1,2.8,0.385,1.3,1.7,0.75,1.1,3.3,4.4,0.7,1.1,0.9,2.4,2.4,18.6,100,107,https://www.basketball-reference.com/players/k/korveky01.html,9.3,0.563,0.819,0.111,2.5,6.8,4.7,1.9,1.1,1.7,12.7,17.1,0,0.3,0.3,0.06,-0.9,-1.7,-2.6,0,"$2,564,753 ",Bucks,206,-1.3,0.1,-1.2,-4.6,-3.5,-8.1,-2,-0.6,-2.5,0,8
311,Rodions Kurucs,PF,21,BRK,9,0,98,3.8,9.4,0.4,1.4,2.4,0.6,2.4,7.1,0.333,0.9,2.8,0.333,2.4,8,10.4,0.5,1.9,0,5.2,7.6,9.9,69,108,https://www.basketball-reference.com/players/k/kurucro01.html,1.4,0.464,0.25,0.3,5.4,17.7,11.6,1.3,1.9,0,32.7,14.1,-0.3,0.1,-0.2,-0.079,-8.4,-0.9,-9.3,-0.2,"$1,699,236 ",Nets,98,-7.8,0.7,-7.1,-4.7,2,-2.7,-7.7,1,-6.7,-0.2,3
312,Kyle Kuzma,PF,24,LAL,12,1,274,9.4,20.4,0.462,3.7,10.8,0.339,5.8,9.6,0.6,3,4,0.739,1,6.6,7.7,1.2,0.3,0.9,3.5,4,25.5,100,106,https://www.basketball-reference.com/players/k/kuzmaky01.html,11.9,0.574,0.53,0.197,2.4,15.1,8.8,3.7,0.3,1.6,13.6,22.8,0,0.4,0.4,0.066,-2.1,-2.6,-4.7,-0.2,"$1,974,600 ",Lakers,274,-3.8,-2.1,-5.9,-6.2,-0.1,-6.3,-4.5,-1.9,-6.4,-0.5,2
313,Jeremy Lamb,SG,27,IND,6,6,193,9,19.8,0.456,1.5,6,0.25,7.5,13.8,0.545,5.3,6,0.875,1.3,8,9.3,3,2,1.3,2,4,24.8,110,101,https://www.basketball-reference.com/players/l/lambje01.html,17,0.553,0.304,0.304,2.8,17.8,10.3,9.1,2,2.3,8.2,21.7,0.3,0.4,0.6,0.153,-0.5,1.4,0.9,0.1,"$10,500,000 ",Pacers,193,1.3,3.3,4.6,0.8,-5.6,-4.8,1.2,1.9,3.2,0.6,1
315,Zach LaVine,SG,24,CHI,17,17,537,11.2,26.2,0.429,4.3,10.6,0.402,7,15.6,0.447,4.7,5.7,0.818,1.3,4.8,6.1,5.6,1.7,0.6,5,3.8,31.4,101,109,https://www.basketball-reference.com/players/l/lavinza01.html,16.5,0.547,0.405,0.219,2.8,11,6.7,20.9,1.7,1.2,14.7,29.7,0.2,0.5,0.7,0.059,1.2,-1.3,-0.1,0.3,"$19,500,000 ",Bulls,537,-0.1,0.1,0,0.3,-9,-8.7,0,-1.4,-1.4,0.4,7
316,Jake Layman,PF,25,MIN,14,2,369,7.6,16.4,0.462,2.4,6.7,0.352,5.2,9.7,0.538,0.7,1.2,0.6,1.5,3.6,5.1,1.4,1.5,1.2,2.2,3.9,18.3,100,111,https://www.basketball-reference.com/players/l/laymaja01.html,10.4,0.539,0.409,0.076,3.3,8,5.6,4.4,1.5,2.2,11.7,17,0,0.3,0.3,0.038,-2.2,-0.3,-2.5,0,"$3,581,986 ",Timberwolves,369,-2.6,-1.3,-3.9,-0.2,6.3,6.1,-2.3,-0.1,-2.4,0.1,8
317,Courtney Lee,SG,34,DAL,5,3,47,10.2,17.3,0.588,4.1,7.1,0.571,6.1,10.2,0.6,0,0,0,0,2,2,3.1,0,2,0,5.1,24.5,144,114,https://www.basketball-reference.com/players/l/leeco01.html,18.1,0.706,0.412,0,0,4.3,2.2,9.6,0,3.5,0,15.3,0.2,0,0.2,0.19,2.7,-2.8,-0.1,0,"$12,759,670 ",Mavericks,47,1.4,-3.6,-2.1,9.9,-9.3,0.6,2.8,-4.8,-2,0,2
318,Alex Len,C,26,ATL,16,9,269,6.3,14.5,0.434,0.7,4.4,0.16,5.6,10.1,0.552,3.8,5.9,0.647,3.8,8.7,12.5,2.6,0.7,2.8,3,5.9,17.1,100,113,https://www.basketball-reference.com/players/l/lenal01.html,12.1,0.5,0.301,0.41,9.1,20.7,14.9,8,0.7,5.5,14.8,17.8,0,0.1,0.1,0.025,-3.1,0,-3.1,-0.1,"$4,160,000 ",Hawks,269,-4.1,2.4,-1.6,-12.4,-3.2,-15.6,-5.6,1.7,-3.9,-0.2,6
319,Kawhi Leonard,SF,28,LAC,12,12,386,13.2,30.2,0.435,2.6,8.5,0.3,10.6,21.7,0.489,8.7,10.5,0.826,1.6,10.1,11.7,8,3,1.3,5.5,3.7,37.5,106,99,https://www.basketball-reference.com/players/l/leonaka01.html,24.3,0.539,0.279,0.323,3.6,22.5,13.3,29.8,3.3,2.8,14.4,35.2,0.4,0.8,1.2,0.158,2.6,3.8,6.5,0.8,"$32,742,000 ",Clippers,386,3.4,3.8,7.2,3.2,5.5,8.7,3.5,4.2,7.7,2.1,0
320,Meyers Leonard,PF,27,MIA,15,15,292,6.5,10.7,0.606,2.3,4.1,0.56,4.2,6.7,0.634,0.6,1.1,0.571,0.6,9.7,10.4,2.1,0.8,1.1,2.3,5.2,15.9,116,103,https://www.basketball-reference.com/players/l/leoname01.html,11.9,0.709,0.379,0.106,1.7,22.2,12.5,6.6,0.8,2.3,16.9,12.2,0.3,0.5,0.8,0.131,-1.5,1.3,-0.2,0.1,"$11,286,515 ",Heat,292,-2.1,-1.9,-4.1,2.7,2.2,4.9,-1.5,-1.4,-2.9,0,5
321,Caris LeVert,SG,25,BRK,9,9,284,9.6,22.8,0.421,2.1,5.9,0.361,7.5,16.9,0.442,3.3,5,0.645,1.6,5.7,7.3,5.9,1,0.2,5,3.3,24.6,93,112,https://www.basketball-reference.com/players/l/leverca01.html,11.1,0.491,0.257,0.221,3.7,12.5,8.2,20.1,1,0.3,16.8,26.6,-0.3,0.2,-0.1,-0.021,-3.3,-1.7,-5,-0.2,"$2,625,718 ",Nets,284,-3.3,-0.2,-3.6,0.9,-2.1,-1.3,-2.8,-0.5,-3.3,-0.1,3
322,Damian Lillard,PG,29,POR,15,15,572,10.8,24.4,0.445,4.1,11.2,0.362,6.8,13.1,0.516,8.8,9.5,0.923,0.8,5.5,6.3,8.8,1.3,0.7,3.6,2.8,34.5,122,114,https://www.basketball-reference.com/players/l/lillada01.html,25.1,0.605,0.462,0.391,1.8,11.9,6.8,30.5,1.3,1.3,11.2,28.6,2.2,0.2,2.4,0.203,6.9,-1.5,5.4,1.1,"$29,802,321 ",Trail Blazers,572,7.8,-1.8,6,0.6,3,3.6,6.9,-1,5.9,2.6,7
323,Nassir Little,PF,19,POR,10,3,169,5.5,13.8,0.4,1.4,5.5,0.25,4.1,8.3,0.5,2.8,4.4,0.625,3.9,8,11.9,1.1,1.4,1.1,1.4,6.9,15.2,105,111,https://www.basketball-reference.com/players/l/littlna01.html,10.6,0.482,0.4,0.32,8.4,17.4,12.9,3.2,1.4,1.9,8.1,15.2,0.1,0.1,0.2,0.056,-2.5,-0.9,-3.4,-0.1,"$2,105,520 ",Trail Blazers,169,-3.1,2,-1.1,4.2,-7.2,-3,-2,0.6,-1.4,0.1,1
325,Brook Lopez,C,31,MIL,16,16,430,6.4,15,0.427,2.5,8.4,0.3,3.9,6.6,0.587,3.5,3.8,0.917,1.2,6.9,8.1,2.4,1.3,4.2,1.9,4,18.8,110,100,https://www.basketball-reference.com/players/l/lopezbr01.html,15.2,0.563,0.559,0.252,2.6,14.4,8.7,7.1,1.3,8,10.2,16.7,0.4,0.9,1.3,0.149,-0.6,4.1,3.5,0.6,"$12,093,024 ",Bucks,430,-1.6,2.8,1.2,3.9,1.8,5.7,-0.8,2.6,1.9,1,5
